mpn_id	syn1_id	is_rbh	pident	align_len	mpn_len	syn1_len	mpn_cov_pct	syn1_cov_pct	evalue	bitscore	mpn_primary_id	mpn_locus_tag	mpn_gene	mpn_product	mpn_seqid	mpn_start_1b	mpn_end_1b	mpn_strand	syn1_primary_id	syn1_locus_tag	syn1_gene	syn1_product	syn1_seqid	syn1_start_1b	syn1_end_1b	syn1_strand	source
MPN_RS01055|rpsM|NC_000912.1	MMSYN1_0647|rpsM|CP002027.1	True	65.833	120	124	121	96.7741935483871	99.17355371900827	4.48e-55	163.0	MPN_RS01055	MPN_RS01055	rpsM	30S ribosomal protein S13	NC_000912.1	230703	231077	+	MMSYN1_0647	MMSYN1_0647	rpsM	30S ribosomal protein S13	CP002027.1	792902	793267	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS00970|rplP|NC_000912.1	MMSYN1_0664|rplP|CP002027.1	True	64.706	136	139	137	97.84172661870504	99.27007299270073	3.5399999999999997e-62	182.0	MPN_RS00970	MPN_RS00970	rplP	50S ribosomal protein L16	NC_000912.1	222617	223036	+	MMSYN1_0664	MMSYN1_0664	rplP	ribosomal protein L16	CP002027.1	801436	801849	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS00955|rpsS|NC_000912.1	MMSYN1_0667|rpsS|CP002027.1	True	62.069	87	87	88	100.0	98.86363636363636	5.360000000000001e-35	110.0	MPN_RS00955	MPN_RS00955	rpsS	30S ribosomal protein S19	NC_000912.1	221050	221313	+	MMSYN1_0667	MMSYN1_0667	rpsS	ribosomal protein S19	CP002027.1	802930	803196	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS01265|rpsG|NC_000912.1	MMSYN1_0149|rpsG|CP002027.1	True	61.935	155	155	155	100.0	100.0	6.160000000000001e-72	208.0	MPN_RS01265	MPN_RS01265	rpsG	30S ribosomal protein S7	NC_000912.1	277170	277637	+	MMSYN1_0149	MMSYN1_0149	rpsG	ribosomal protein S7	CP002027.1	189458	189925	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS00950|rplB|NC_000912.1	MMSYN1_0668|rplB|CP002027.1	True	60.993	282	287	282	98.25783972125436	100.0	2.5800000000000003e-116	331.0	MPN_RS00950	MPN_RS00950	rplB	50S ribosomal protein L2	NC_000912.1	220187	221050	+	MMSYN1_0668	MMSYN1_0668	rplB	ribosomal protein L2	CP002027.1	803218	804066	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS01230|rplK|NC_000912.1	MMSYN1_0810|rplK|CP002027.1	True	59.559	136	137	142	99.27007299270073	95.77464788732394	8.880000000000001e-57	169.0	MPN_RS01230	MPN_RS01230	rplK	50S ribosomal protein L11	NC_000912.1	272049	272462	+	MMSYN1_0810	MMSYN1_0810	rplK	ribosomal protein L11	CP002027.1	952502	952930	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS03450|eno|NC_000912.1	MMSYN1_0213|eno|CP002027.1	True	59.3	457	456	451	100.21929824561404	101.33037694013304	1.81e-178	502.0	MPN_RS03450	MPN_RS03450	eno	phosphopyruvate hydratase	NC_000912.1	726174	727544	-	MMSYN1_0213	MMSYN1_0213	eno	phosphopyruvate hydratase	CP002027.1	276076	277431	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS03505|rpsI|NC_000912.1	MMSYN1_0637|rpsI|CP002027.1	True	58.779	131	132	132	99.24242424242425	99.24242424242425	1.24e-47	145.0	MPN_RS03505	MPN_RS03505	rpsI	30S ribosomal protein S9	NC_000912.1	739424	739822	-	MMSYN1_0637	MMSYN1_0637	rpsI	ribosomal protein S9	CP002027.1	781913	782311	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS02455|dnaK|NC_000912.1	MMSYN1_0542|dnaK|CP002027.1	True	57.264	592	595	591	99.49579831932773	100.16920473773266	0.0	668.0	MPN_RS02455	MPN_RS02455	dnaK	molecular chaperone DnaK	NC_000912.1	521837	523624	-	MMSYN1_0542	MMSYN1_0542	dnaK	chaperone protein DnaK	CP002027.1	649183	650958	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS03790|ftsH|NC_000912.1	MMSYN1_0039||CP002027.1	True	57.233	477	709	648	67.27785613540198	73.61111111111111	0.0	545.0	MPN_RS03790	MPN_RS03790	ftsH	ATP-dependent zinc metalloprotease FtsH	NC_000912.1	794302	796431	-	MMSYN1_0039	MMSYN1_0039		peptidase, M41 family	CP002027.1	65087	67033	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS00980|rpsQ|NC_000912.1	MMSYN1_0662|rpsQ|CP002027.1	True	57.143	84	85	85	98.82352941176471	98.82352941176471	5.3700000000000004e-27	89.7	MPN_RS00980	MPN_RS00980	rpsQ	30S ribosomal protein S17	NC_000912.1	223371	223628	+	MMSYN1_0662	MMSYN1_0662	rpsQ	30S ribosomal protein S17	CP002027.1	800763	801020	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS00995|rplE|NC_000912.1	MMSYN1_0659|rplE|CP002027.1	True	56.742	178	180	180	98.88888888888889	98.88888888888889	2.5600000000000002e-73	214.0	MPN_RS00995	MPN_RS00995	rplE	50S ribosomal protein L5	NC_000912.1	224338	224880	+	MMSYN1_0659	MMSYN1_0659	rplE	50S ribosomal protein L5 (BL6)	CP002027.1	799478	800020	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS02435|gap|NC_000912.1	MMSYN1_0607|gap|CP002027.1	True	56.677	337	337	338	100.0	99.70414201183432	3.23e-131	373.0	MPN_RS02435	MPN_RS02435	gap	type I glyceraldehyde-3-phosphate dehydrogenase	NC_000912.1	517837	518850	-	MMSYN1_0607	MMSYN1_0607	gap	glyceraldehyde-3-phosphate dehydrogenase, type I	CP002027.1	749255	750271	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS00665|rplT|NC_000912.1	MMSYN1_0198|rplT|CP002027.1	True	55.357	112	127	119	88.18897637795276	94.11764705882354	4.3799999999999995e-40	125.0	MPN_RS00665	MPN_RS00665	rplT	50S ribosomal protein L20	NC_000912.1	151444	151827	+	MMSYN1_0198	MMSYN1_0198	rplT	ribosomal protein L20	CP002027.1	262729	263088	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS03420|atpA|NC_000912.1	MMSYN1_0792|atpA|CP002027.1	True	54.894	521	518	525	100.57915057915058	99.23809523809524	0.0	604.0	MPN_RS03420	MPN_RS03420	atpA	F0F1 ATP synthase subunit alpha	NC_000912.1	721814	723370	-	MMSYN1_0792	MMSYN1_0792	atpA	ATP synthase F1, alpha subunit	CP002027.1	932169	933746	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS00140|fba|NC_000912.1	MMSYN1_0131|fba|CP002027.1	True	54.861	288	288	297	100.0	96.96969696969697	1.68e-113	325.0	MPN_RS00140	MPN_RS00140	fba	class II fructose-1,6-bisphosphate aldolase	NC_000912.1	30244	31110	+	MMSYN1_0131	MMSYN1_0131	fba	fructose-1,6-bisphosphate aldolase, class II	CP002027.1	170143	171036	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS03520|uvrA|NC_000912.1	MMSYN1_0824|uvrA|CP002027.1	True	54.574	940	948	946	99.15611814345992	99.36575052854123	0.0	1053.0	MPN_RS03520	MPN_RS03520	uvrA	excinuclease ABC subunit UvrA	NC_000912.1	742353	745199	-	MMSYN1_0824	MMSYN1_0824	uvrA	excinuclease ABC subunit A	CP002027.1	967897	970737	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS01860|lon|NC_000912.1	MMSYN1_0394|lon|CP002027.1	True	54.529	563	795	786	70.81761006289308	71.62849872773536	0.0	643.0	MPN_RS01860	MPN_RS01860	lon	endopeptidase La	NC_000912.1	390328	392715	+	MMSYN1_0394	MMSYN1_0394	lon	ATP-dependent protease La	CP002027.1	480950	483310	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS00985|rplN|NC_000912.1	MMSYN1_0661|rplN|CP002027.1	True	54.098	122	122	122	100.0	100.0	5.18e-48	145.0	MPN_RS00985	MPN_RS00985	rplN	50S ribosomal protein L14	NC_000912.1	223632	224000	+	MMSYN1_0661	MMSYN1_0661	rplN	ribosomal protein L14	CP002027.1	800379	800747	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS00440||NC_000912.1	MMSYN1_0030||CP002027.1	True	54.008	237	465	344	50.96774193548387	68.8953488372093	2.23e-83	256.0	MPN_RS00440	MPN_RS00440		ABC transporter ATP-binding protein	NC_000912.1	100567	101964	+	MMSYN1_0030	MMSYN1_0030		abc transporter, ATP-binding protein	CP002027.1	45634	46668	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS03465|pstB|NC_000912.1	MMSYN1_0427|pstB|CP002027.1	True	54.0	250	329	269	75.98784194528875	92.93680297397769	3.22e-89	263.0	MPN_RS03465	MPN_RS03465	pstB	phosphate ABC transporter ATP-binding protein PstB	NC_000912.1	728749	729738	-	MMSYN1_0427	MMSYN1_0427	pstB	phosphate ABC transporter, ATP-binding protein	CP002027.1	530513	531322	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS01020|rpsE|NC_000912.1	MMSYN1_0654|rpsE|CP002027.1	True	54.0	150	219	254	68.4931506849315	59.05511811023622	1.16e-46	150.0	MPN_RS01020	MPN_RS01020	rpsE	30S ribosomal protein S5	NC_000912.1	226405	227064	+	MMSYN1_0654	MMSYN1_0654	rpsE	30S ribosomal protein S5	CP002027.1	797150	797914	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS02750||NC_000912.1	MMSYN1_0317||CP002027.1	True	54.0	50	73	81	68.4931506849315	61.72839506172839	4.87e-15	58.9	MPN_RS02750	MPN_RS02750		YneF family protein	NC_000912.1	586492	586713	-	MMSYN1_0317	MMSYN1_0317		conserved hypothetical protein	CP002027.1	402680	402925	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS01235|rplA|NC_000912.1	MMSYN1_0809|rplA|CP002027.1	True	53.982	226	226	226	100.0	100.0	2.49e-80	235.0	MPN_RS01235	MPN_RS01235	rplA	50S ribosomal protein L1	NC_000912.1	272462	273142	+	MMSYN1_0809	MMSYN1_0809	rplA	ribosomal protein L1	CP002027.1	951822	952502	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS02205|pdhB|NC_000912.1	MMSYN1_0226|pdhB|CP002027.1	True	53.704	324	327	329	99.08256880733946	98.48024316109422	6.47e-131	372.0	MPN_RS02205	MPN_RS02205	pdhB	pyruvate dehydrogenase complex E1 component subunit beta	NC_000912.1	469374	470357	-	MMSYN1_0226	MMSYN1_0226	pdhB	pyruvate dehydrogenase E1 component subunit beta (Scomplex, 36 kDa subunit)	CP002027.1	291917	292906	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS01060|rpsK|NC_000912.1	MMSYN1_0646|rpsK|CP002027.1	True	53.271	107	121	129	88.4297520661157	82.94573643410853	1.13e-37	119.0	MPN_RS01060	MPN_RS01060	rpsK	30S ribosomal protein S11	NC_000912.1	231077	231442	+	MMSYN1_0646	MMSYN1_0646	rpsK	30S ribosomal protein S11	CP002027.1	792487	792876	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS00015|gyrB|NC_000912.1	MMSYN1_0006|gyrB|CP002027.1	True	53.168	647	650	634	99.53846153846153	102.05047318611987	0.0	672.0	MPN_RS00015	MPN_RS00015	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	NC_000912.1	2869	4821	+	MMSYN1_0006	MMSYN1_0006	gyrB	DNA gyrase, B subunit	CP002027.1	5515	7419	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS02430||NC_000912.1	MMSYN1_0606|pgk|CP002027.1	True	53.056	409	409	404	100.0	101.23762376237623	1.51e-137	395.0	MPN_RS02430	MPN_RS02430		phosphoglycerate kinase	NC_000912.1	516605	517834	-	MMSYN1_0606	MMSYN1_0606	pgk	phosphoglycerate kinase	CP002027.1	747929	749143	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS01075||NC_000912.1	MMSYN1_0643||CP002027.1	True	52.788	269	274	408	98.17518248175182	65.93137254901961	1.66e-90	270.0	MPN_RS01075	MPN_RS01075		energy-coupling factor transporter ATPase	NC_000912.1	232792	233616	+	MMSYN1_0643	MMSYN1_0643		cobalt import ATP-binding protein CbiO 2	CP002027.1	789817	791043	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS03730|rpsP|NC_000912.1	MMSYN1_0362|rpsP|CP002027.1	True	52.326	86	94	92	91.48936170212765	93.47826086956522	9.46e-30	97.4	MPN_RS03730	MPN_RS03730	rpsP	30S ribosomal protein S16	NC_000912.1	784141	784425	-	MMSYN1_0362	MMSYN1_0362	rpsP	ribosomal protein S16	CP002027.1	451493	451771	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS02515|rpsD|NC_000912.1	MMSYN1_0238|rpsD|CP002027.1	True	51.707	205	205	208	100.0	98.5576923076923	4.6599999999999994e-74	218.0	MPN_RS02515	MPN_RS02515	rpsD	30S ribosomal protein S4	NC_000912.1	542664	543281	-	MMSYN1_0238	MMSYN1_0238	rpsD	ribosomal protein S4	CP002027.1	304607	305233	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS00265|glpK|NC_000912.1	MMSYN1_0218|glpK|CP002027.1	True	51.587	504	508	505	99.21259842519684	99.8019801980198	0.0	545.0	MPN_RS00265	MPN_RS00265	glpK	glycerol kinase GlpK	NC_000912.1	61977	63503	-	MMSYN1_0218	MMSYN1_0218	glpK	glycerol kinase	CP002027.1	280204	281721	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS03060|clpB|NC_000912.1	MMSYN1_0545||CP002027.1	True	50.925	703	715	713	98.32167832167832	98.59747545582047	0.0	711.0	MPN_RS03060	MPN_RS03060	clpB	chaperone protein ClpB	NC_000912.1	651802	653949	-	MMSYN1_0545	MMSYN1_0545		ATPase family associated with various cellular activities (AAA) protein	CP002027.1	652648	654789	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS03295|glyA|NC_000912.1	MMSYN1_0799|glyA|CP002027.1	True	50.852	411	406	413	101.23152709359606	99.51573849878935	2.78e-151	430.0	MPN_RS03295	MPN_RS03295	glyA	serine hydroxymethyltransferase	NC_000912.1	698685	699905	-	MMSYN1_0799	MMSYN1_0799	glyA	glycine hydroxymethyltransferase	CP002027.1	937338	938579	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS02030|prfA|NC_000912.1	MMSYN1_0141|prfA|CP002027.1	True	50.592	338	359	364	94.15041782729806	92.85714285714286	8.780000000000001e-116	336.0	MPN_RS02030	MPN_RS02030	prfA	peptide chain release factor 1	NC_000912.1	430628	431707	+	MMSYN1_0141	MMSYN1_0141	prfA	peptide chain release factor 1	CP002027.1	181409	182503	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS00960|rplV|NC_000912.1	MMSYN1_0666|rplV|CP002027.1	True	49.541	109	159	111	68.55345911949685	98.1981981981982	2.61e-27	94.4	MPN_RS00960	MPN_RS00960	rplV	50S ribosomal protein L22	NC_000912.1	221315	221794	+	MMSYN1_0666	MMSYN1_0666	rplV	ribosomal protein L22	CP002027.1	802571	802906	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS03560|ptsP|NC_000912.1	MMSYN1_0233|ptsP|CP002027.1	True	49.303	574	572	573	100.34965034965035	100.17452006980803	0.0	565.0	MPN_RS03560	MPN_RS03560	ptsP	phosphoenolpyruvate--protein phosphotransferase	NC_000912.1	752540	754258	-	MMSYN1_0233	MMSYN1_0233	ptsP	phosphoenolpyruvate-protein phosphotransferase	CP002027.1	300902	302623	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
