locus_tag,TIR,start_position
JCVISYN3A_0380,3144.1487,31
JCVISYN3A_0381,3896.0409,31
JCVISYN3A_0382,3902.0467,31
JCVISYN3A_0387,12429.0159,31
JCVISYN3A_0388,698.649,31
JCVISYN3A_0389,1552.5568,31
JCVISYN3A_0390,15824.9711,31
JCVISYN3A_0391,39650.6199,31
JCVISYN3A_0392,13813.3581,31
JCVISYN3A_0394,4329.9814,31
JCVISYN3A_0398,9562.6948,31
JCVISYN3A_0399,6563.5649,31
JCVISYN3A_0400,4227.058,31
JCVISYN3A_0401,0.0093,31
JCVISYN3A_0402,11960.0456,31
JCVISYN3A_0403,1273.0695,31
JCVISYN3A_0404,19799.5401,31
JCVISYN3A_0405,54605.0669,31
JCVISYN3A_0406,8896.0599,31
JCVISYN3A_0407,38095.8012,31
JCVISYN3A_0408,1554.9501,31
JCVISYN3A_0409,1223.1486,31
JCVISYN3A_0410,6723.3792,31
JCVISYN3A_0411,36601.9515,31
JCVISYN3A_0412,35106.0625,31
JCVISYN3A_0413,2615.5545,31
JCVISYN3A_0414,4329.9814,31
JCVISYN3A_0415,32449.0679,31
JCVISYN3A_0416,1196.3371,31
JCVISYN3A_0418,5356.2054,31
JCVISYN3A_0419,8004.5178,31
JCVISYN3A_0420,5963.0575,31
JCVISYN3A_0421,812.0122,31
JCVISYN3A_0422,11004.4638,31
JCVISYN3A_0424,1067.6664,31
JCVISYN3A_0425,11941.6373,31
JCVISYN3A_0426,6206.4301,31
JCVISYN3A_0427,14560.5901,31
JCVISYN3A_0428,1376.984,31
JCVISYN3A_0429,72250.8623,31
JCVISYN3A_0430,599.2345,31
JCVISYN3A_0431,25170.5279,31
JCVISYN3A_0432,61662.4127,31
JCVISYN3A_0433,12251.2573,31
JCVISYN3A_0434,4944.3759,31
JCVISYN3A_0435,1618.4129,31
JCVISYN3A_0437,11491.0566,31
JCVISYN3A_0438,1175.1853,31
JCVISYN3A_0439,8667.573,31
JCVISYN3A_0440,12352.9338,31
JCVISYN3A_0441,24977.9466,31
JCVISYN3A_0442,277.863,31
JCVISYN3A_0443,921.4058,31
JCVISYN3A_0444,18542.3787,31
JCVISYN3A_0445,977.9726,31
JCVISYN3A_0447,61567.505,31
JCVISYN3A_0448,9393.483,31
JCVISYN3A_0451,204741.8485,31
JCVISYN3A_0452,1102.6693,31
JCVISYN3A_0453,11040.4581,31
JCVISYN3A_0475,33773.4244,31
JCVISYN3A_0478,1435.3926,31
JCVISYN3A_0479,3896.0409,31
JCVISYN3A_0481,33304.4615,31
JCVISYN3A_0482,2334.9328,31
JCVISYN3A_0154,69417.6911,31
JCVISYN3A_0493,13271.6952,31
JCVISYN3A_0494,11473.3701,31
JCVISYN3A_0495,74.3667,31
JCVISYN3A_0499,84752.2257,31
JCVISYN3A_0500,301.134,31
JCVISYN3A_0501,5373.7249,31
JCVISYN3A_0503,16210.2888,31
JCVISYN3A_0504,6749.7105,31
JCVISYN3A_0930,13441.0512,31
JCVISYN3A_0505,22682.9094,31
JCVISYN3A_0511,8344.052,31
JCVISYN3A_0512,575.7367,31
JCVISYN3A_0513,874.1203,31
JCVISYN3A_0515,23.513,31
JCVISYN3A_0516,14963.9074,31
JCVISYN3A_0517,7087.0796,31
JCVISYN3A_0518,2679.2398,31
JCVISYN3A_0519,17842.7396,31
JCVISYN3A_0520,1084.8273,31
JCVISYN3A_0521,12751.2726,31
JCVISYN3A_0522,11770.849,31
JCVISYN3A_0523,5584.4363,31
JCVISYN3A_0524,2024.8903,31
JCVISYN3A_0525,2799.5098,31
JCVISYN3A_0526,126438.6395,31
JCVISYN3A_0527,368.3775,31
JCVISYN3A_0528,12936.2862,31
JCVISYN3A_0529,5584.4363,31
JCVISYN3A_0530,27969.3798,31
JCVISYN3A_0535,176.4641,31
JCVISYN3A_0536,17842.7396,31
JCVISYN3A_0537,27705.3161,31
JCVISYN3A_0538,74.8855,31
JCVISYN3A_0539,64179.0647,31
JCVISYN3A_0540,8684.601,31
JCVISYN3A_0541,3749.0359,31
JCVISYN3A_0542,99458.6575,31
JCVISYN3A_0543,221795.311,31
JCVISYN3A_0544,274.0047,31
JCVISYN3A_0545,5685.3936,31
JCVISYN3A_0548,4960.5484,31
JCVISYN3A_0549,3194.6855,31
JCVISYN3A_0931,634.7289,31
JCVISYN3A_0592,0.4698,11
JCVISYN3A_0593,57.7028,31
JCVISYN3A_0599,11921.0532,31
JCVISYN3A_0600,2283.0746,31
JCVISYN3A_0601,13906.5616,31
JCVISYN3A_0604,15574.6351,31
JCVISYN3A_0605,14585.7319,31
JCVISYN3A_0606,33787.69,31
JCVISYN3A_0607,6296.4818,31
JCVISYN3A_0608,3460.7789,31
JCVISYN3A_0609,13271.6952,31
JCVISYN3A_0610,4220.5519,31
JCVISYN3A_0611,15454.4921,31
JCVISYN3A_0612,4766.0305,31
JCVISYN3A_0613,14013.782,31
JCVISYN3A_0614,3194.6855,31
JCVISYN3A_0615,84103.7811,31
JCVISYN3A_0616,2692.6682,31
JCVISYN3A_0617,66695.617,31
JCVISYN3A_0620,7990.7202,31
JCVISYN3A_0621,7890.0379,31
JCVISYN3A_0622,4346.9392,31
JCVISYN3A_0623,1084.8273,31
JCVISYN3A_0634,33839.7745,31
JCVISYN3A_0636,7389.0641,31
JCVISYN3A_0637,21750.7143,31
JCVISYN3A_0638,8667.573,31
JCVISYN3A_0639,6997.7831,31
JCVISYN3A_0640,787.7305,31
JCVISYN3A_0641,6553.4625,31
JCVISYN3A_0642,5963.0575,31
JCVISYN3A_0643,8316.8486,31
JCVISYN3A_0644,107742.8188,31
JCVISYN3A_0645,12751.2726,31
JCVISYN3A_0646,24572.2258,31
JCVISYN3A_0647,2137.2093,31
JCVISYN3A_0648,33729.4494,31
JCVISYN3A_0649,6997.7831,31
JCVISYN3A_0650,31668.4416,31
JCVISYN3A_0651,3144.1487,31
JCVISYN3A_0652,9637.0351,31
JCVISYN3A_0653,119793.7783,31
JCVISYN3A_0654,31136.0496,31
JCVISYN3A_0655,1530.3523,31
JCVISYN3A_0656,8344.052,31
JCVISYN3A_0657,8547.2189,31
JCVISYN3A_0658,83575.3936,31
JCVISYN3A_0659,31176.6435,31
JCVISYN3A_0660,20078.3391,31
JCVISYN3A_0661,13989.6261,31
JCVISYN3A_0662,9389.5169,34
JCVISYN3A_0663,20897.8041,31
JCVISYN3A_0664,76353.656,31
JCVISYN3A_0665,11004.4638,31
JCVISYN3A_0666,15928.4,31
JCVISYN3A_0667,26770.7561,31
JCVISYN3A_0668,12751.2726,31
JCVISYN3A_0669,27373.8322,31
JCVISYN3A_0670,30012.9614,31
JCVISYN3A_0671,94231.7033,31
JCVISYN3A_0672,112187.5354,31
JCVISYN3A_0684,4053.3394,31
JCVISYN3A_0685,26197.8224,31
JCVISYN3A_0686,17815.2769,31
JCVISYN3A_0687,32512.8163,31
JCVISYN3A_0688,39083.5403,31
JCVISYN3A_0689,3460.7789,31
JCVISYN3A_0690,10158.3494,31
JCVISYN3A_0691,1976.7588,31
JCVISYN3A_0692,18.9694,31
JCVISYN3A_0693,300.6149,31
JCVISYN3A_0694,14560.5901,31
JCVISYN3A_0695,2283.0746,31
JCVISYN3A_0696,1491.6764,31
JCVISYN3A_0697,5081.3313,31
JCVISYN3A_0706,14963.9074,31
JCVISYN3A_0707,4227.058,31
JCVISYN3A_0708,54605.0669,31
JCVISYN3A_0710,11473.3701,31
JCVISYN3A_0726,10439.7279,31
JCVISYN3A_0727,3545.0444,31
JCVISYN3A_0728,135.3014,31
JCVISYN3A_0729,25575.1016,31
JCVISYN3A_0730,56809.6887,31
JCVISYN3A_0732,1684.4658,31
JCVISYN3A_0733,44775.2018,31
JCVISYN3A_0747,19799.5401,31
JCVISYN3A_0771,44775.2018,31
JCVISYN3A_0772,2504.7979,31
JCVISYN3A_0773,40354.5206,31
JCVISYN3A_0774,41268.8961,31
JCVISYN3A_0775,4220.5519,31
JCVISYN3A_0776,9025.1366,31
JCVISYN3A_0777,4399.5786,31
JCVISYN3A_0778,1015.2193,31
JCVISYN3A_0779,427.1271,31
JCVISYN3A_0787,6563.5649,31
JCVISYN3A_0789,2512.9908,31
JCVISYN3A_0790,14266.2226,31
JCVISYN3A_0791,3590.2816,31
JCVISYN3A_0792,38154.5267,31
JCVISYN3A_0793,5574.8103,31
JCVISYN3A_0794,1401.8775,31
JCVISYN3A_0795,95434.1648,31
JCVISYN3A_0796,61662.4127,31
JCVISYN3A_0797,9259.1382,31
JCVISYN3A_0798,53824.1101,31
JCVISYN3A_0799,2607.0272,31
JCVISYN3A_0800,112360.475,31
JCVISYN3A_0803,46530.901,31
JCVISYN3A_0804,27662.6734,31
JCVISYN3A_0805,5821.3159,31
JCVISYN3A_0806,56809.6887,31
JCVISYN3A_0807,31998.4945,31
JCVISYN3A_0809,11353.5704,31
JCVISYN3A_0810,4181.0408,31
JCVISYN3A_0813,3064.6881,31
JCVISYN3A_0814,11023.4652,31
JCVISYN3A_0817,13485.0153,31
JCVISYN3A_0818,160805.3299,31
JCVISYN3A_0819,7099.3169,31
JCVISYN3A_0820,2410.7327,31
JCVISYN3A_0821,2225.3756,31
JCVISYN3A_0822,5288.7177,31
JCVISYN3A_0823,547.7768,31
JCVISYN3A_0824,22682.9094,31
JCVISYN3A_0825,12429.0159,31
JCVISYN3A_0826,325.6539,31
JCVISYN3A_0827,8684.601,31
JCVISYN3A_0830,7283.3863,31
JCVISYN3A_0831,12429.0159,31
JCVISYN3A_0832,6831.4462,31
JCVISYN3A_0833,755.6763,31
JCVISYN3A_0834,10030.3551,31
JCVISYN3A_0835,20086.82,31
JCVISYN3A_0836,4960.5484,31
JCVISYN3A_0837,14013.782,31
JCVISYN3A_0838,3590.2816,31
JCVISYN3A_0932,78389.4712,31
JCVISYN3A_0839,36078.4737,31
JCVISYN3A_0840,35106.0625,31
JCVISYN3A_0851,724.7925,31
JCVISYN3A_0852,4912.9431,31
JCVISYN3A_0853,12751.2726,31
JCVISYN3A_0859,19328.9061,31
JCVISYN3A_0870,2138.112,31
JCVISYN3A_0872,4220.5519,31
JCVISYN3A_0873,16615.3483,31
JCVISYN3A_0874,238.7926,31
JCVISYN3A_0875,12751.2726,31
JCVISYN3A_0876,171707.8281,31
JCVISYN3A_0877,3304.8707,31
JCVISYN3A_0878,4952.9133,31
JCVISYN3A_0879,10591.2023,31
JCVISYN3A_0881,1753.2145,31
JCVISYN3A_0885,10030.3551,31
JCVISYN3A_0886,2447.7271,31
JCVISYN3A_0887,594.4271,31
JCVISYN3A_0906,5504.5682,31
JCVISYN3A_0907,3545.0444,31
JCVISYN3A_0908,345723.1484,31
JCVISYN3A_0909,22.591,31
JCVISYN3A_0910,146318.289,31
