locus_tag	name	chrom	start0	end0	strand	syn3A_locus_tag	syn3A_name	syn3A_start0	syn3A_end0	syn1_upstream_locus	syn1_upstream_dist	syn1_downstream_locus	syn1_downstream_dist	syn3A_upstream_locus	syn3A_upstream_dist	syn3A_downstream_locus	syn3A_downstream_dist	syn1_cw_neighbor	syn1_cw_dist	syn1_cw_strand	syn1_ccw_neighbor	syn1_ccw_dist	syn1_ccw_strand	syn3A_cw_neighbor	syn3A_cw_dist	syn3A_cw_strand	syn3A_ccw_neighbor	syn3A_ccw_dist	syn3A_ccw_strand	unaltered_ccw_bps	unaltered_cw_bps	cw_context_changed	ccw_context_changed	gene_impact_class
MMSYN1_0011		CP002027.1	15152	16799	-	JCVISYN3A_0011	rnsB%3B uptB	15152.0	16799.0	MMSYN1_0012	186	MMSYN1_0010	11	JCVISYN3A_0012	186	JCVISYN3A_0010	11	MMSYN1_0012	186	-	MMSYN1_0010	11	-	JCVISYN3A_0012	186	-	JCVISYN3A_0010	11	-	19212	1916	False	False	unaffected
MMSYN1_0012	metG	CP002027.1	16985	18515	-	JCVISYN3A_0012	metRS	16985.0	18515.0	MMSYN1_0914	6910	MMSYN1_0011	186	JCVISYN3A_0918	200	JCVISYN3A_0011	186	MMSYN1_0013	200	+	MMSYN1_0011	186	-	JCVISYN3A_0918	200	-	JCVISYN3A_0011	186	-	21045	200	True	False	unaffected
MMSYN1_0918	his3	CP002027.1	27638	28301	-	JCVISYN3A_0918	JCVISYN3A_0918	18715.0	19378.0	MMSYN1_0019	8385	MMSYN1_0917	109	JCVISYN3A_0025	3390	JCVISYN3A_0012	200	MMSYN1_0913	968	+	MMSYN1_0917	109	-	JCVISYN3A_0913	1037	+	JCVISYN3A_0012	200	-	0	2957	False	True	context_only
MMSYN1_0913	tetM	CP002027.1	29269	31258	+	JCVISYN3A_0913	tetM	20415.0	22335.0	MMSYN1_0916	4054	MMSYN1_0915	276	JCVISYN3A_0007	10476	JCVISYN3A_0029	1937	MMSYN1_0915	276	+	MMSYN1_0918	968	-	JCVISYN3A_0025	433	-	JCVISYN3A_0918	1037	-	1631	0	True	False	context_only
MMSYN1_0025	rpsR	CP002027.1	43283	43511	-	JCVISYN3A_0025	rpsR	22768.0	22996.0	MMSYN1_0026	19	MMSYN1_0024	392	JCVISYN3A_0026	19	JCVISYN3A_0918	3390	MMSYN1_0026	19	-	MMSYN1_0024	392	-	JCVISYN3A_0026	19	-	JCVISYN3A_0913	433	+	394	1089	False	True	promoter_lost
MMSYN1_0026		CP002027.1	43530	43971	-	JCVISYN3A_0026	priB	23015.0	23456.0	MMSYN1_0027	11	MMSYN1_0025	19	JCVISYN3A_0027	11	JCVISYN3A_0025	19	MMSYN1_0027	11	-	MMSYN1_0025	19	-	JCVISYN3A_0027	11	-	JCVISYN3A_0025	19	-	641	629	False	False	promoter_lost
MMSYN1_0027		CP002027.1	43982	44396	-	JCVISYN3A_0027	rpsF	23467.0	23881.0	MMSYN1_0028	204	MMSYN1_0026	11	JCVISYN3A_0030	1027	JCVISYN3A_0026	11	MMSYN1_0028	204	-	MMSYN1_0026	11	-	JCVISYN3A_0029	391	+	JCVISYN3A_0026	11	-	1093	204	True	False	promoter_lost
MMSYN1_0029		CP002027.1	44997	45597	+	JCVISYN3A_0029	JCVISYN3A_0029	24272.0	24872.0	MMSYN1_0922	8352	MMSYN1_0034	8683	JCVISYN3A_0913	1937	JCVISYN3A_0034	4636	MMSYN1_0030	36	-	MMSYN1_0028	187	-	JCVISYN3A_0030	36	-	JCVISYN3A_0027	391	-	187	1118	False	True	unaffected
MMSYN1_0030		CP002027.1	45633	46668	-	JCVISYN3A_0030	JCVISYN3A_0030	24908.0	25943.0	MMSYN1_0031	47	MMSYN1_0028	823	JCVISYN3A_0033	260	JCVISYN3A_0027	1027	MMSYN1_0031	47	-	MMSYN1_0029	36	+	JCVISYN3A_0033	260	-	JCVISYN3A_0029	36	+	823	47	True	False	promoter_lost
MMSYN1_0033		CP002027.1	50957	54116	-	JCVISYN3A_0033	JCVISYN3A_0033	26203.0	29362.0	MMSYN1_0039	10970	MMSYN1_0032	122	JCVISYN3A_0039	5699	JCVISYN3A_0030	260	MMSYN1_0034	164	+	MMSYN1_0032	122	-	JCVISYN3A_0034	146	+	JCVISYN3A_0030	260	-	123	5659	False	True	unaffected
MMSYN1_0034		CP002027.1	54280	59650	+	JCVISYN3A_0034	JCVISYN3A_0034	29508.0	34896.0	MMSYN1_0029	8683	MMSYN1_0035	124	JCVISYN3A_0029	4636	JCVISYN3A_0060	11377	MMSYN1_0035	124	+	MMSYN1_0033	164	-	JCVISYN3A_0039	165	-	JCVISYN3A_0033	146	-	3446	125	True	False	unaffected
MMSYN1_0039		CP002027.1	65086	67033	-	JCVISYN3A_0039	ftsH	35061.0	37008.0	MMSYN1_0040	1060	MMSYN1_0033	10970	JCVISYN3A_0040	231	JCVISYN3A_0033	5699	MMSYN1_0041	231	+	MMSYN1_0038	41	+	JCVISYN3A_0040	231	-	JCVISYN3A_0034	165	+	46	231	True	True	unaffected
MMSYN1_0040		CP002027.1	68093	69299	-	JCVISYN3A_0040	tilS	37239.0	38445.0	MMSYN1_0042	2	MMSYN1_0039	1060	JCVISYN3A_0042	2	JCVISYN3A_0039	231	MMSYN1_0042	2	-	MMSYN1_0041	-17	+	JCVISYN3A_0042	2	-	JCVISYN3A_0039	231	-	0	5645	False	True	unaffected
MMSYN1_0042		CP002027.1	69301	70129	-	JCVISYN3A_0042	JCVISYN3A_0042	38447.0	39275.0	MMSYN1_0043	51	MMSYN1_0040	2	JCVISYN3A_0043	51	JCVISYN3A_0040	2	MMSYN1_0043	51	-	MMSYN1_0040	2	-	JCVISYN3A_0043	51	-	JCVISYN3A_0040	2	-	1208	4815	False	False	unaffected
MMSYN1_0043		CP002027.1	70180	70903	-	JCVISYN3A_0043	yabD	39326.0	40049.0	MMSYN1_0044	-1	MMSYN1_0042	51	JCVISYN3A_0044	-1	JCVISYN3A_0042	51	MMSYN1_0044	-1	-	MMSYN1_0042	51	-	JCVISYN3A_0044	-1	-	JCVISYN3A_0042	51	-	2087	4041	False	False	unaffected
MMSYN1_0044		CP002027.1	70902	71643	-	JCVISYN3A_0044	holA	40048.0	40789.0	MMSYN1_0045	-23	MMSYN1_0043	-1	JCVISYN3A_0045	-23	JCVISYN3A_0043	-1	MMSYN1_0045	-23	-	MMSYN1_0043	-1	-	JCVISYN3A_0045	-23	-	JCVISYN3A_0043	-1	-	2809	3301	False	False	unaffected
MMSYN1_0045	tmk	CP002027.1	71620	72262	-	JCVISYN3A_0045	tmk	40766.0	41408.0	MMSYN1_0046	2	MMSYN1_0044	-23	JCVISYN3A_0046	2	JCVISYN3A_0044	-23	MMSYN1_0046	2	-	MMSYN1_0044	-23	-	JCVISYN3A_0046	2	-	JCVISYN3A_0044	-23	-	3527	2682	False	False	unaffected
MMSYN1_0046		CP002027.1	72264	72855	-	JCVISYN3A_0046	recR	41410.0	42001.0	MMSYN1_0047	1	MMSYN1_0045	2	JCVISYN3A_0047	1	JCVISYN3A_0045	2	MMSYN1_0047	1	-	MMSYN1_0045	2	-	JCVISYN3A_0047	1	-	JCVISYN3A_0045	2	-	4171	2089	False	False	unaffected
MMSYN1_0047	dnaX	CP002027.1	72856	74863	-	JCVISYN3A_0047	dnaX	42002.0	44009.0	MMSYN1_0048	81	MMSYN1_0046	1	JCVISYN3A_0049	168	JCVISYN3A_0046	1	MMSYN1_0048	81	-	MMSYN1_0046	1	-	JCVISYN3A_0049	168	-	JCVISYN3A_0046	1	-	4763	81	True	False	unaffected
MMSYN1_0049	srpB	CP002027.1	75392	75491	-	JCVISYN3A_0049	ffs	44177.0	44273.0	MMSYN1_0050	37	MMSYN1_0048	-20	JCVISYN3A_0051	123	JCVISYN3A_0047	168	MMSYN1_0050	37	-	MMSYN1_0048	-20	-	JCVISYN3A_0051	123	-	JCVISYN3A_0047	168	-	86	41	True	True	unaffected
MMSYN1_0051		CP002027.1	76905	77202	-	JCVISYN3A_0051	JCVISYN3A_0051	44396.0	45011.0	MMSYN1_0052	124	MMSYN1_0050	414	JCVISYN3A_0054	281	JCVISYN3A_0049	123	MMSYN1_0052	124	-	MMSYN1_0050	414	-	JCVISYN3A_0054	281	-	JCVISYN3A_0049	123	-	402	133	True	True	unaffected
MMSYN1_0054		CP002027.1	79999	80449	-	JCVISYN3A_0054	ahpC	45292.0	45742.0	MMSYN1_0055	238	MMSYN1_0053	148	JCVISYN3A_0065	5385	JCVISYN3A_0051	281	MMSYN1_0055	238	-	MMSYN1_0053	148	-	JCVISYN3A_0060	531	+	JCVISYN3A_0051	281	-	148	243	True	True	promoter_lost
MMSYN1_0060		CP002027.1	85703	86528	+	JCVISYN3A_0060	JCVISYN3A_0060	46273.0	47098.0	MMSYN1_0059	293	MMSYN1_0061	82	JCVISYN3A_0034	11377	JCVISYN3A_0061	82	MMSYN1_0061	82	+	MMSYN1_0059	293	+	JCVISYN3A_0061	82	+	JCVISYN3A_0054	531	-	293	1453	False	True	promoter_lost
MMSYN1_0061	serS	CP002027.1	86610	87879	+	JCVISYN3A_0061	serRS	47180.0	48449.0	MMSYN1_0060	82	MMSYN1_0062	101	JCVISYN3A_0060	82	JCVISYN3A_0063	109	MMSYN1_0062	101	+	MMSYN1_0060	82	+	JCVISYN3A_0063	109	+	JCVISYN3A_0060	82	+	1200	102	True	False	promoter_proximity_changed
MMSYN1_0063		CP002027.1	88296	89271	+	JCVISYN3A_0063	dusB	48558.0	49533.0	MMSYN1_0062	1	MMSYN1_0064	2	JCVISYN3A_0061	109	JCVISYN3A_0064	2	MMSYN1_0064	2	+	MMSYN1_0062	1	+	JCVISYN3A_0064	2	+	JCVISYN3A_0061	109	+	19	8333	False	True	promoter_proximity_changed
MMSYN1_0064	lysS	CP002027.1	89273	90776	+	JCVISYN3A_0064	lysRS	49535.0	51038.0	MMSYN1_0063	2	MMSYN1_0072	6826	JCVISYN3A_0063	2	JCVISYN3A_0081	10837	MMSYN1_0065	89	-	MMSYN1_0063	2	+	JCVISYN3A_0065	89	-	JCVISYN3A_0063	2	+	996	6828	False	False	promoter_proximity_changed
MMSYN1_0065	trxA	CP002027.1	90865	91174	-	JCVISYN3A_0065	trxA	51127.0	51436.0	MMSYN1_0066	10	MMSYN1_0056	8047	JCVISYN3A_0066	10	JCVISYN3A_0054	5385	MMSYN1_0066	10	-	MMSYN1_0064	89	+	JCVISYN3A_0066	10	-	JCVISYN3A_0064	89	+	2588	6430	False	False	unaffected
MMSYN1_0066		CP002027.1	91184	92027	-	JCVISYN3A_0066	JCVISYN3A_0066	51446.0	52289.0	MMSYN1_0067	120	MMSYN1_0065	10	JCVISYN3A_0067	120	JCVISYN3A_0065	10	MMSYN1_0067	120	-	MMSYN1_0065	10	-	JCVISYN3A_0067	120	-	JCVISYN3A_0065	10	-	2907	5577	False	False	unaffected
MMSYN1_0067	rrf	CP002027.1	92147	92256	-	JCVISYN3A_0067	rrfA	52409.0	52518.0	MMSYN1_0068	74	MMSYN1_0066	120	JCVISYN3A_0068	61	JCVISYN3A_0066	120	MMSYN1_0068	74	-	MMSYN1_0066	120	-	JCVISYN3A_0068	61	-	JCVISYN3A_0066	120	-	3870	5348	False	False	unaffected
MMSYN1_0068	rrl	CP002027.1	92330	95225	-	JCVISYN3A_0068	rrlA	52579.0	55493.0	MMSYN1_0069	231	MMSYN1_0067	74	JCVISYN3A_0069	219	JCVISYN3A_0067	61	MMSYN1_0069	231	-	MMSYN1_0067	74	-	JCVISYN3A_0069	219	-	JCVISYN3A_0067	61	-	4053	2379	False	False	unaffected
MMSYN1_0069	rrs	CP002027.1	95456	96980	-	JCVISYN3A_0069	rrsA	55712.0	57247.0	MMSYN1_0070	282	MMSYN1_0068	231	JCVISYN3A_0070	277	JCVISYN3A_0068	219	MMSYN1_0070	282	-	MMSYN1_0068	231	-	JCVISYN3A_0070	277	-	JCVISYN3A_0068	219	-	7179	624	False	False	unaffected
MMSYN1_0070		CP002027.1	97262	97346	-	JCVISYN3A_0070	tRNA-Leu	57524.0	57608.0	MMSYN1_0071	2	MMSYN1_0069	282	JCVISYN3A_0071	2	JCVISYN3A_0069	277	MMSYN1_0071	2	-	MMSYN1_0069	282	-	JCVISYN3A_0071	2	-	JCVISYN3A_0069	277	-	8985	258	False	False	unaffected
MMSYN1_0071		CP002027.1	97348	97424	-	JCVISYN3A_0071	tRNA-Lys	57610.0	57686.0	MMSYN1_0073	2277	MMSYN1_0070	2	JCVISYN3A_0076	469	JCVISYN3A_0070	2	MMSYN1_0072	178	+	MMSYN1_0070	2	-	JCVISYN3A_0076	469	-	JCVISYN3A_0070	2	-	9071	180	True	False	readthrough_exposed
MMSYN1_0076	asnS	CP002027.1	104865	106230	-	JCVISYN3A_0076	asnRS	58155.0	59520.0	MMSYN1_0077	8	MMSYN1_0075	291	JCVISYN3A_0077	8	JCVISYN3A_0071	469	MMSYN1_0077	8	-	MMSYN1_0075	291	-	JCVISYN3A_0077	8	-	JCVISYN3A_0071	469	-	291	861	False	True	promoter_disconnected
MMSYN1_0077		CP002027.1	106238	107078	-	JCVISYN3A_0077	JCVISYN3A_0077	59528.0	60368.0	MMSYN1_0078	10	MMSYN1_0076	8	JCVISYN3A_0079	35	JCVISYN3A_0076	8	MMSYN1_0078	10	-	MMSYN1_0076	8	-	JCVISYN3A_0079	35	-	JCVISYN3A_0076	8	-	1664	13	True	False	promoter_disconnected
MMSYN1_0079		CP002027.1	108242	109199	-	JCVISYN3A_0079	tsaD	60403.0	61360.0	MMSYN1_0080	94	MMSYN1_0078	23	JCVISYN3A_0080	94	JCVISYN3A_0077	35	MMSYN1_0080	94	-	MMSYN1_0078	23	-	JCVISYN3A_0080	94	-	JCVISYN3A_0077	35	-	24	2309	False	True	promoter_disconnected
MMSYN1_0080		CP002027.1	109293	109515	-	JCVISYN3A_0080	JCVISYN3A_0080	61454.0	61676.0	MMSYN1_0082	1608	MMSYN1_0079	94	JCVISYN3A_0082	1608	JCVISYN3A_0079	94	MMSYN1_0081	199	+	MMSYN1_0079	94	-	JCVISYN3A_0081	199	+	JCVISYN3A_0079	94	-	1075	1993	False	False	promoter_proximity_changed
MMSYN1_0081	trmE	CP002027.1	109714	111073	+	JCVISYN3A_0081	mnmE%3B trmE	61875.0	63234.0	MMSYN1_0072	10045	MMSYN1_0096	19656	JCVISYN3A_0064	10837	JCVISYN3A_0097	4259	MMSYN1_0082	50	-	MMSYN1_0080	199	-	JCVISYN3A_0082	50	-	JCVISYN3A_0080	199	-	1496	435	False	False	unaffected
MMSYN1_0082	rpsT	CP002027.1	111123	111369	-	JCVISYN3A_0082	rpsT	63284.0	63530.0	MMSYN1_0083	133	MMSYN1_0080	1608	JCVISYN3A_0094	133	JCVISYN3A_0080	1608	MMSYN1_0083	133	-	MMSYN1_0081	50	+	JCVISYN3A_0094	133	-	JCVISYN3A_0081	50	+	2905	139	True	False	new_promoter_fusion
MMSYN1_0094		CP002027.1	126973	127690	-	JCVISYN3A_0094	JCVISYN3A_0094	63663.0	64380.0	MMSYN1_0095	114	MMSYN1_0093	-17	JCVISYN3A_0095	114	JCVISYN3A_0082	133	MMSYN1_0095	114	-	MMSYN1_0093	-17	-	JCVISYN3A_0095	114	-	JCVISYN3A_0082	133	-	0	3039	False	True	context_only
MMSYN1_0095	secA	CP002027.1	127804	130639	-	JCVISYN3A_0095	secA	64494.0	67329.0	MMSYN1_0104	8570	MMSYN1_0094	114	JCVISYN3A_0105	1479	JCVISYN3A_0094	114	MMSYN1_0096	90	+	MMSYN1_0094	114	-	JCVISYN3A_0097	164	+	JCVISYN3A_0094	114	-	831	90	True	False	unaffected
MMSYN1_0097		CP002027.1	131379	132291	+	JCVISYN3A_0097	yycJ	67493.0	68405.0	MMSYN1_0096	74	MMSYN1_0098	203	JCVISYN3A_0081	4259	JCVISYN3A_0113	4682	MMSYN1_0098	203	+	MMSYN1_0096	74	+	JCVISYN3A_0105	403	-	JCVISYN3A_0095	164	-	74	205	True	True	promoter_proximity_changed
MMSYN1_0105		CP002027.1	140015	140231	-	JCVISYN3A_0105	xseB	68808.0	69024.0	MMSYN1_0106	-11	MMSYN1_0104	-1	JCVISYN3A_0106	-11	JCVISYN3A_0095	1479	MMSYN1_0106	-11	-	MMSYN1_0104	-1	-	JCVISYN3A_0106	-11	-	JCVISYN3A_0097	403	+	1	3842	False	True	context_only
MMSYN1_0106	xseA	CP002027.1	140220	141630	-	JCVISYN3A_0106	xseA	69013.0	70423.0	MMSYN1_0107	1	MMSYN1_0105	-11	JCVISYN3A_0107	1	JCVISYN3A_0105	-11	MMSYN1_0107	1	-	MMSYN1_0105	-11	-	JCVISYN3A_0107	1	-	JCVISYN3A_0105	-11	-	206	2443	False	False	context_only
MMSYN1_0107	nusB	CP002027.1	141631	142030	-	JCVISYN3A_0107	nusB	70424.0	70823.0	MMSYN1_0108	11	MMSYN1_0106	1	JCVISYN3A_0108	11	JCVISYN3A_0106	1	MMSYN1_0108	11	-	MMSYN1_0106	1	-	JCVISYN3A_0108	11	-	JCVISYN3A_0106	1	-	1617	2043	False	False	unaffected
MMSYN1_0108		CP002027.1	142041	143154	-	JCVISYN3A_0108	JCVISYN3A_0108	70834.0	71947.0	MMSYN1_0109	25	MMSYN1_0107	11	JCVISYN3A_0109	25	JCVISYN3A_0107	11	MMSYN1_0109	25	-	MMSYN1_0107	11	-	JCVISYN3A_0109	25	-	JCVISYN3A_0107	11	-	2027	919	False	False	promoter_lost
MMSYN1_0109		CP002027.1	143179	144049	-	JCVISYN3A_0109	JCVISYN3A_0109	71972.0	72842.0	MMSYN1_0110	-8	MMSYN1_0108	25	JCVISYN3A_0114	1668	JCVISYN3A_0108	25	MMSYN1_0110	-8	-	MMSYN1_0108	25	-	JCVISYN3A_0113	245	+	JCVISYN3A_0108	25	-	3165	24	True	False	promoter_lost
MMSYN1_0113		CP002027.1	147624	148869	+	JCVISYN3A_0113	bcsA	73087.0	74437.0	MMSYN1_0103	8416	MMSYN1_0117	3008	JCVISYN3A_0097	4682	JCVISYN3A_0117	3008	MMSYN1_0114	73	-	MMSYN1_0112	337	-	JCVISYN3A_0114	73	-	JCVISYN3A_0109	245	-	337	3833	False	True	unaffected
MMSYN1_0114		CP002027.1	148942	149863	-	JCVISYN3A_0114	bcsB%3B cps	74510.0	75431.0	MMSYN1_0115	447	MMSYN1_0112	1655	JCVISYN3A_0115	447	JCVISYN3A_0109	1668	MMSYN1_0115	447	-	MMSYN1_0113	73	+	JCVISYN3A_0115	447	-	JCVISYN3A_0113	73	+	1655	2839	False	False	unaffected
MMSYN1_0115		CP002027.1	150310	151183	-	JCVISYN3A_0115	galU%3B gtaB	75878.0	76751.0	MMSYN1_0116	184	MMSYN1_0114	447	JCVISYN3A_0116	184	JCVISYN3A_0114	447	MMSYN1_0116	184	-	MMSYN1_0114	447	-	JCVISYN3A_0116	184	-	JCVISYN3A_0114	447	-	3023	1519	False	False	unaffected
MMSYN1_0116		CP002027.1	151367	151808	-	JCVISYN3A_0116	JCVISYN3A_0116	76935.0	77376.0	MMSYN1_0119	2462	MMSYN1_0115	184	JCVISYN3A_0163	28054	JCVISYN3A_0115	184	MMSYN1_0117	69	+	MMSYN1_0115	184	-	JCVISYN3A_0117	69	+	JCVISYN3A_0115	184	-	4080	894	False	False	context_only
MMSYN1_0117	plsY	CP002027.1	151877	152639	+	JCVISYN3A_0117	plsY	77445.0	78207.0	MMSYN1_0113	3008	MMSYN1_0118	63	JCVISYN3A_0113	3008	JCVISYN3A_0126	195	MMSYN1_0118	63	+	MMSYN1_0116	69	-	JCVISYN3A_0126	195	+	JCVISYN3A_0116	69	-	4590	63	True	False	context_only
MMSYN1_0126	gltX	CP002027.1	164066	165518	+	JCVISYN3A_0126	gluRS	78402.0	79854.0	MMSYN1_0125	132	MMSYN1_0127	2	JCVISYN3A_0117	195	JCVISYN3A_0127	2	MMSYN1_0127	2	+	MMSYN1_0125	132	+	JCVISYN3A_0127	2	+	JCVISYN3A_0117	195	+	132	3491	False	True	context_only
MMSYN1_0127		CP002027.1	165520	166735	+	JCVISYN3A_0127	JCVISYN3A_0127	79856.0	81071.0	MMSYN1_0126	2	MMSYN1_0128	25	JCVISYN3A_0126	2	JCVISYN3A_0128	25	MMSYN1_0128	25	+	MMSYN1_0126	2	+	JCVISYN3A_0128	25	+	JCVISYN3A_0126	2	+	1586	2274	False	False	context_only
MMSYN1_0128		CP002027.1	166760	167189	+	JCVISYN3A_0128	rpoE	81096.0	81525.0	MMSYN1_0127	25	MMSYN1_0129	91	JCVISYN3A_0127	25	JCVISYN3A_0129	91	MMSYN1_0129	91	+	MMSYN1_0127	25	+	JCVISYN3A_0129	91	+	JCVISYN3A_0127	25	+	2826	1820	False	False	context_only
MMSYN1_0129	pyrG	CP002027.1	167280	168879	+	JCVISYN3A_0129	pyrG	81616.0	83215.0	MMSYN1_0128	91	MMSYN1_0130	130	JCVISYN3A_0128	91	JCVISYN3A_0131	288	MMSYN1_0130	130	+	MMSYN1_0128	91	+	JCVISYN3A_0131	288	+	JCVISYN3A_0128	91	+	3346	130	True	False	context_only
MMSYN1_0131	fba	CP002027.1	170142	171036	+	JCVISYN3A_0131	fbaA	83503.0	84397.0	MMSYN1_0130	158	MMSYN1_0132	148	JCVISYN3A_0129	288	JCVISYN3A_0132	148	MMSYN1_0132	148	+	MMSYN1_0130	158	+	JCVISYN3A_0132	148	+	JCVISYN3A_0129	288	+	158	3582	False	True	unaffected
MMSYN1_0132		CP002027.1	171184	172246	+	JCVISYN3A_0132	ietA	84545.0	85607.0	MMSYN1_0131	148	MMSYN1_0133	-8	JCVISYN3A_0131	148	JCVISYN3A_0133	-8	MMSYN1_0133	-8	+	MMSYN1_0131	148	+	JCVISYN3A_0133	-8	+	JCVISYN3A_0131	148	+	1200	2372	False	False	unaffected
MMSYN1_0133		CP002027.1	172238	174512	+	JCVISYN3A_0133	ietS	85599.0	87873.0	MMSYN1_0132	-8	MMSYN1_0136	2189	JCVISYN3A_0132	-8	JCVISYN3A_0137	859	MMSYN1_0134	106	-	MMSYN1_0132	-8	+	JCVISYN3A_0137	859	+	JCVISYN3A_0132	-8	+	2254	106	True	False	unaffected
MMSYN1_0135		CP002027.1	176448	176562	-					MMSYN1_0156	25101	MMSYN1_0134	342		0		0	MMSYN1_0136	139	+	MMSYN1_0134	342	-		0			0		344	141			context_only
MMSYN1_0137	rpmE	CP002027.1	177565	177844	+	JCVISYN3A_0137	rpmE	88732.0	89011.0	MMSYN1_0136	159	MMSYN1_0138	72	JCVISYN3A_0133	859	JCVISYN3A_0138	72	MMSYN1_0138	72	+	MMSYN1_0136	159	+	JCVISYN3A_0138	72	+	JCVISYN3A_0133	859	+	160	15626	False	True	unaffected
MMSYN1_0138		CP002027.1	177916	179815	+	JCVISYN3A_0138	JCVISYN3A_0138	89083.0	90982.0	MMSYN1_0137	72	MMSYN1_0139	9	JCVISYN3A_0137	72	JCVISYN3A_0139	9	MMSYN1_0139	9	+	MMSYN1_0137	72	+	JCVISYN3A_0139	9	+	JCVISYN3A_0137	72	+	511	13655	False	False	unaffected
