operon_id	chrom	strand	start0	end0	length	sense_gene_locusNums	n_overlapping_deletions	overlap_class	per_hit_classes	overlapping_truncations	fully_deleted_genes	partially_deleted_genes	retained_genes	gene_deletion_pattern
OP_00045	CP002027.1	-	111072	112299	1227	0083,0082	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:111508-126973		0083(0.99, 6bps)	0082	leading_deleted
OP_00046	CP002027.1	-	112955	114005	1050	0084	1	fully_deleted	fully_deleted	CP002027.1:111508-126973	0084			all_deleted
OP_00047	CP002027.1	-	114081	116424	2343	0086,0085	1	fully_deleted	fully_deleted	CP002027.1:111508-126973	0086,0085			all_deleted
OP_00048	CP002027.1	-	117049	118566	1517	0087,0086	1	fully_deleted	fully_deleted	CP002027.1:111508-126973	0087,0086			all_deleted
OP_00049	CP002027.1	-	118921	120356	1435	0088	1	fully_deleted	fully_deleted	CP002027.1:111508-126973	0088			all_deleted
OP_00050	CP002027.1	-	120711	122611	1900	0089	1	fully_deleted	fully_deleted	CP002027.1:111508-126973	0089			all_deleted
OP_00051	CP002027.1	-	122663	123385	722	0923	1	fully_deleted	fully_deleted	CP002027.1:111508-126973	0923			all_deleted
OP_00052	CP002027.1	-	123633	126102	2469	0092	1	fully_deleted	fully_deleted	CP002027.1:111508-126973	0092			all_deleted
OP_00053	CP002027.1	-	126219	127690	1471	0094,0093	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:111508-126973		0093(0.98, 17bps)	0094	lagging_deleted
OP_00054	CP002027.1	-	127873	130671	2798	0095	0	intact					0095	intact
OP_00055	CP002027.1	+	130682	133351	2669	0096,0097,0098	2	multi:3'_truncation_gene+intra_truncated	intra_truncated;3'_truncation_gene	CP002027.1:130729-131305;CP002027.1:132496-136059	0096	0098(1.00, 2bps)	0097	intra_deleted
OP_00056	CP002027.1	+	133500	134418	918	0099	1	fully_deleted	fully_deleted	CP002027.1:132496-136059	0099			all_deleted
OP_00057	CP002027.1	+	135785	137738	1953	0100,0101	2	multi:3'_truncation_gene+5'_truncation_gene	5'_truncation_gene;3'_truncation_gene	CP002027.1:132496-136059;CP002027.1:136259-140014	0100,0101			all_deleted
OP_00058	CP002027.1	+	138336	139220	884	0102,0103	1	fully_deleted	fully_deleted	CP002027.1:136259-140014	0102,0103			all_deleted
OP_00059	CP002027.1	-	139293	141017	1724	0106,0105,0104	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:136259-140014		0104(1.00, 2bps)	0106,0105	lagging_deleted
OP_00060	CP002027.1	-	141631	142030	399	0107	0	intact					0107	intact
OP_00061	CP002027.1	-	142149	144944	2795	0111,0110,0109,0108	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:144073-147287	0111	0110(0.96, 32bps)	0109,0108	leading_deleted
OP_00062	CP002027.1	-	145037	147342	2305	0112	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:144073-147287	0112			all_deleted
OP_00063	CP002027.1	+	147450	148903	1453	0113	0	intact					0113	intact
OP_00064	CP002027.1	-	148930	150141	1211	0114	0	intact					0114	intact
OP_00065	CP002027.1	-	150228	151277	1049	0115	0	intact					0115	intact
OP_00066	CP002027.1	+	151079	154274	3195	0117,0118	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:152702-163934	0118		0117	lagging_deleted
OP_00067	CP002027.1	-	154238	155086	848	0119	1	fully_deleted	fully_deleted	CP002027.1:152702-163934	0119			all_deleted
OP_00068	CP002027.1	+	155218	156712	1494	0120,0121	1	fully_deleted	fully_deleted	CP002027.1:152702-163934	0120,0121			all_deleted
OP_00069	CP002027.1	+	158296	159157	861	0122	1	fully_deleted	fully_deleted	CP002027.1:152702-163934	0122			all_deleted
OP_00070	CP002027.1	+	159370	161939	2569	0123,0124	1	fully_deleted	fully_deleted	CP002027.1:152702-163934	0123,0124			all_deleted
OP_00071	CP002027.1	-	159935	160903	968		1	fully_deleted	fully_deleted	CP002027.1:152702-163934				all_deleted
OP_00072	CP002027.1	+	162011	164499	2488	0125,0126	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:152702-163934	0125		0126	leading_deleted
OP_00073	CP002027.1	+	164031	170016	5985	0126,0127,0128,0129,0130	1	intra_truncated	intra_truncated	CP002027.1:169009-169984	0130		0126,0127,0128,0129	lagging_deleted
OP_00074	CP002027.1	+	170115	174549	4434	0131,0132,0133	0	intact					0131,0132,0133	intact
OP_00075	CP002027.1	-	174559	176145	1586	0134	1	intra_truncated	intra_truncated	CP002027.1:174618-176104		0134(1.00, 2bps)		all_deleted
OP_00076	CP002027.1	+	176258	177124	866	0136	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:176703-177405		0136(1.00, 3bps)		all_deleted
OP_00077	CP002027.1	+	177522	179714	2192	0137,0138	0	intact					0137,0138	intact
OP_00078	CP002027.1	+	180145	182572	2427	0139,0140,0141,0142	0	intact					0139,0140,0141,0142	intact
OP_00079	CP002027.1	+	184648	186588	1940	0143,0144,0145	0	intact					0143,0144,0145	intact
OP_00080	CP002027.1	+	186591	187299	708	0146	0	intact					0146	intact
OP_00081	CP002027.1	+	187298	188828	1530	0147	0	intact					0147	intact
OP_00082	CP002027.1	+	188908	193382	4474	0148,0149,0150,0151	0	intact					0148,0149,0150,0151	intact
OP_00083	CP002027.1	+	193450	197629	4179	0152,0153	1	intra_truncated	intra_truncated	CP002027.1:193470-197590	0152,0153			all_deleted
OP_00084	CP002027.1	+	197657	199153	1496	0154	0	intact					0154	intact
OP_00085	CP002027.1	+	199379	200123	744		1	fully_deleted	fully_deleted	CP002027.1:199189-203734				all_deleted
OP_00086	CP002027.1	+	200903	201506	603	0155	1	fully_deleted	fully_deleted	CP002027.1:199189-203734	0155			all_deleted
OP_00087	CP002027.1	-	201663	203734	2071	0157,0156	1	fully_deleted	fully_deleted	CP002027.1:199189-203734	0157,0156			all_deleted
OP_00088	CP002027.1	+	203878	204289	411	0158	0	intact					0158	intact
OP_00089	CP002027.1	+	204413	206543	2130	0159	1	fully_deleted	fully_deleted	CP002027.1:204413-209414	0159			all_deleted
OP_00090	CP002027.1	-	206562	207315	753	0160	1	fully_deleted	fully_deleted	CP002027.1:204413-209414	0160			all_deleted
OP_00091	CP002027.1	-	207401	207998	597	0161	1	fully_deleted	fully_deleted	CP002027.1:204413-209414	0161			all_deleted
OP_00092	CP002027.1	-	208208	209415	1207	0162	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:204413-209414		0162(1.00, 1bps)		all_deleted
OP_00093	CP002027.1	-	210337	212239	1902	0163	0	intact					0163	intact
OP_00094	CP002027.1	-	212292	212787	495	0164	0	intact					0164	intact
OP_00095	CP002027.1	+	213004	215275	2271	0165,0166	0	intact					0165,0166	intact
OP_00096	CP002027.1	+	216012	218043	2031	0167,0168	0	intact					0167,0168	intact
OP_00097	CP002027.1	+	218355	222012	3657	0168,0169	0	intact					0168,0169	intact
OP_00098	CP002027.1	-	222555	223705	1150	0170	1	fully_deleted	fully_deleted	CP002027.1:222394-256770	0170			all_deleted
OP_00099	CP002027.1	-	223757	225140	1383	0171	1	fully_deleted	fully_deleted	CP002027.1:222394-256770	0171			all_deleted
OP_00100	CP002027.1	+	225291	226235	944	0172	1	fully_deleted	fully_deleted	CP002027.1:222394-256770	0172			all_deleted
OP_00101	CP002027.1	-	226199	227956	1757	0173	1	fully_deleted	fully_deleted	CP002027.1:222394-256770	0173			all_deleted
OP_00102	CP002027.1	-	228293	230038	1745	0175	1	fully_deleted	fully_deleted	CP002027.1:222394-256770	0175			all_deleted
OP_00103	CP002027.1	-	230077	232574	2497	0177,0176	1	fully_deleted	fully_deleted	CP002027.1:222394-256770	0177,0176			all_deleted
OP_00104	CP002027.1	-	232650	234512	1862	0178	1	fully_deleted	fully_deleted	CP002027.1:222394-256770	0178			all_deleted
OP_00105	CP002027.1	+	234647	236585	1938	0179	1	fully_deleted	fully_deleted	CP002027.1:222394-256770	0179			all_deleted
OP_00106	CP002027.1	+	236741	244480	7739	0180,0181,0182,0183,0184	1	fully_deleted	fully_deleted	CP002027.1:222394-256770	0180,0181,0182,0183,0184			all_deleted
OP_00107	CP002027.1	+	245364	247662	2298	0185	1	fully_deleted	fully_deleted	CP002027.1:222394-256770	0185			all_deleted
OP_00108	CP002027.1	+	248213	250039	1826	0186,0187	1	fully_deleted	fully_deleted	CP002027.1:222394-256770	0186,0187			all_deleted
OP_00109	CP002027.1	-	250007	254213	4206	0191,0190,0189,0188	1	fully_deleted	fully_deleted	CP002027.1:222394-256770	0191,0190,0189,0188			all_deleted
OP_00110	CP002027.1	+	254433	255818	1385	0192,0193	1	fully_deleted	fully_deleted	CP002027.1:222394-256770	0192,0193			all_deleted
OP_00111	CP002027.1	+	255889	256849	960	0194	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:222394-256770		0194(0.92, 79bps)		all_deleted
OP_00112	CP002027.1	-	257599	261590	3991	0197,0196,0195	0	intact					0197,0196,0195	intact
OP_00113	CP002027.1	-	262699	264676	1977	0201,0200,0199,0198	0	intact					0201,0200,0199,0198	intact
OP_00114	CP002027.1	+	264714	265971	1257	0202,0203	0	intact					0202,0203	intact
OP_00115	CP002027.1	-	267420	269294	1874	0205	1	fully_deleted	fully_deleted	CP002027.1:266188-275868	0205			all_deleted
OP_00116	CP002027.1	+	269436	272099	2663	0206,0207,0208	1	fully_deleted	fully_deleted	CP002027.1:266188-275868	0206,0207,0208			all_deleted
OP_00117	CP002027.1	+	272198	273668	1470		1	fully_deleted	fully_deleted	CP002027.1:266188-275868				all_deleted
OP_00118	CP002027.1	-	274827	275868	1041	0212,0211	1	fully_deleted	fully_deleted	CP002027.1:266188-275868	0212,0211			all_deleted
OP_00119	CP002027.1	+	276042	277481	1439	0213	0	intact					0213	intact
OP_00120	CP002027.1	+	278273	279363	1090	0214,0215,0216	0	intact					0214,0215,0216	intact
OP_00121	CP002027.1	-	279329	283175	3846	0219,0218,0217	2	multi:intra_truncated	intra_truncated;intra_truncated	CP002027.1:279393-280162;CP002027.1:281737-282901	0219	0217(0.99, 5bps)	0218	intra_deleted
OP_00122	CP002027.1	+	282977	284150	1173	0220	0	intact					0220	intact
OP_00123	CP002027.1	+	284264	285975	1711	0221	0	intact					0221	intact
OP_00124	CP002027.1	+	285753	287951	2198	0222	0	intact					0222	intact
OP_00125	CP002027.1	+	288163	291059	2896	0223,0224,0225	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:288391-292905	0224,0225	0223(1.00, 2bps)		all_deleted
OP_00126	CP002027.1	+	291894	298399	6505	0225,0226,0227,0228,0229,0230	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:288391-292905	0225	0226(1.00, 1bps)	0227,0228,0229,0230	leading_deleted
OP_00127	CP002027.1	+	300106	303472	3366	0231,0232,0233,0234,0235	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:298422-300803		0231(1.00, 2bps),0232(0.99, 5bps)	0233,0234,0235	leading_deleted
OP_00128	CP002027.1	+	303492	304592	1100	0236,0237	1	intra_truncated	intra_truncated	CP002027.1:303533-304560		0236(1.00, 1bps),0237(0.99, 2bps)		all_deleted
OP_00129	CP002027.1	-	304559	305385	826	0238	1	3'_truncation_UTR	3'_truncation_UTR	CP002027.1:303533-304560			0238	intact
OP_00130	CP002027.1	+	305470	307204	1734	0239	0	intact					0239	intact
OP_00131	CP002027.1	+	307282	308470	1188	0240	0	intact					0240	intact
OP_00132	CP002027.1	+	308577	311372	2795	0241	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:308606-323314		0241(1.00, 6bps)		all_deleted
OP_00133	CP002027.1	+	311450	313136	1686	0242	1	fully_deleted	fully_deleted	CP002027.1:308606-323314	0242			all_deleted
OP_00134	CP002027.1	+	313146	315438	2292	0243	1	fully_deleted	fully_deleted	CP002027.1:308606-323314	0243			all_deleted
OP_00135	CP002027.1	+	315500	317768	2268	0244	1	fully_deleted	fully_deleted	CP002027.1:308606-323314	0244			all_deleted
OP_00136	CP002027.1	+	317964	320427	2463	0245	1	fully_deleted	fully_deleted	CP002027.1:308606-323314	0245			all_deleted
OP_00137	CP002027.1	-	320395	323364	2969	0247,0246	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:308606-323314		0246(1.00, 2bps)	0247	lagging_deleted
OP_00138	CP002027.1	-	323908	324469	561	0248	0	intact					0248	intact
OP_00139	CP002027.1	-	324470	325049	579	0249	0	intact					0249	intact
OP_00140	CP002027.1	-	325051	325741	690	0250	0	intact					0250	intact
OP_00141	CP002027.1	-	326199	327773	1574	0253,0252	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:325824-327238	0252		0253	lagging_deleted
OP_00142	CP002027.1	-	328344	330715	2371	0255,0254	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:329649-332391		0255(0.99, 7bps)	0254	leading_deleted
OP_00143	CP002027.1	-	330701	332416	1715	0256,0255	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:329649-332391		0256(1.00, 1bps),0255(0.99, 7bps)		all_deleted
OP_00144	CP002027.1	-	332556	334304	1748	0257	0	intact					0257	intact
OP_00145	CP002027.1	-	334374	335903	1529	0259,0258	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:334374-335091		0258(1.00, 3bps)	0259	lagging_deleted
OP_00146	CP002027.1	-	335985	341017	5032	0264,0263,0262,0261,0260	1	intra_truncated	intra_truncated	CP002027.1:338719-339334		0261(0.98, 12bps)	0264,0263,0262,0260	intra_deleted
OP_00147	CP002027.1	-	341266	342894	1628	0268,0264	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:342141-344319		0268(0.98, 16bps)	0264	leading_deleted
OP_00148	CP002027.1	-	342911	344321	1410	0269	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:342141-344319		0269(1.00, 2bps)		all_deleted
OP_00149	CP002027.1	+	344440	345422	982	0270,0271	0	intact					0270,0271	intact
OP_00150	CP002027.1	-	345457	350779	5322	0272	1	fully_deleted	fully_deleted	CP002027.1:345422-359429	0272			all_deleted
OP_00151	CP002027.1	+	350991	354132	3141	0273	1	fully_deleted	fully_deleted	CP002027.1:345422-359429	0273			all_deleted
OP_00152	CP002027.1	+	354146	354761	615	0274	1	fully_deleted	fully_deleted	CP002027.1:345422-359429	0274			all_deleted
OP_00153	CP002027.1	+	354900	355422	522	0275	1	fully_deleted	fully_deleted	CP002027.1:345422-359429	0275			all_deleted
OP_00154	CP002027.1	+	355681	356302	621	0276	1	fully_deleted	fully_deleted	CP002027.1:345422-359429	0276			all_deleted
OP_00155	CP002027.1	-	356973	359449	2476	0278	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:345422-359429	0278			all_deleted
OP_00156	CP002027.1	+	359687	359975	288	0279	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:359689-359975		0279(0.99, 2bps)		all_deleted
OP_00157	CP002027.1	+	360207	362513	2306	0280,0281,0282	0	intact					0280,0281,0282	intact
OP_00158	CP002027.1	+	362525	363143	618	0283	0	intact					0283	intact
OP_00159	CP002027.1	+	363946	365769	1823	0284,0285	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:363144-364030		0284(1.00, 2bps)	0285	leading_deleted
OP_00160	CP002027.1	-	366670	369706	3036	0288,0287	0	intact					0288,0287	intact
OP_00161	CP002027.1	+	369851	371723	1872	0289,0290,0291	1	3'_truncation_UTR	3'_truncation_UTR	CP002027.1:371713-375754			0289,0290,0291	intact
OP_00162	CP002027.1	-	371740	374305	2565	0293,0292	1	fully_deleted	fully_deleted	CP002027.1:371713-375754	0293,0292			all_deleted
OP_00163	CP002027.1	+	372078	373636	1558		1	fully_deleted	fully_deleted	CP002027.1:371713-375754				all_deleted
OP_00164	CP002027.1	+	375240	376407	1167	0294,0295	1	5'_truncation_UTR	5'_truncation_UTR	CP002027.1:371713-375754			0294,0295	intact
OP_00165	CP002027.1	+	376463	377108	645	0296	0	intact					0296	intact
OP_00166	CP002027.1	-	377523	383512	5989	0303,0302,0301,0300,0299,0298,0297	0	intact					0303,0302,0301,0300,0299,0298,0297	intact
OP_00167	CP002027.1	-	387048	388077	1029	0304	0	intact					0304	intact
OP_00168	CP002027.1	-	388236	390364	2128	0306,0305	2	multi:5'_truncation_gene+intra_truncated	intra_truncated;5'_truncation_gene	CP002027.1:389505-389779;CP002027.1:389979-390909		0306(0.74, 200bps)	0305	leading_deleted
OP_00169	CP002027.1	+	389566	391154	1588	0307,0308	2	multi:5'_truncation_UTR+intra_truncated	5'_truncation_UTR;intra_truncated	CP002027.1:389505-389779;CP002027.1:389979-390909		0307(0.99, 2bps)	0308	leading_deleted
OP_00170	CP002027.1	-	392009	392911	902	0309	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:392044-399521		0309(1.00, 3bps)		all_deleted
OP_00171	CP002027.1	+	393023	393824	801	0310	1	fully_deleted	fully_deleted	CP002027.1:392044-399521	0310			all_deleted
OP_00172	CP002027.1	-	393878	394955	1077	0311	1	fully_deleted	fully_deleted	CP002027.1:392044-399521	0311			all_deleted
OP_00173	CP002027.1	+	395691	397862	2171	0312	1	fully_deleted	fully_deleted	CP002027.1:392044-399521	0312			all_deleted
OP_00174	CP002027.1	+	398247	399522	1275	0313	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:392044-399521		0313(1.00, 1bps)		all_deleted
OP_00175	CP002027.1	+	399592	402975	3383	0314,0315,0316,0317	0	intact					0314,0315,0316,0317	intact
OP_00176	CP002027.1	+	402992	404537	1545	0318	1	fully_deleted	fully_deleted	CP002027.1:402992-412894	0318			all_deleted
OP_00177	CP002027.1	+	404562	405390	828	0319	1	fully_deleted	fully_deleted	CP002027.1:402992-412894	0319			all_deleted
OP_00178	CP002027.1	+	405730	408372	2642	0319,0320	1	fully_deleted	fully_deleted	CP002027.1:402992-412894	0319,0320			all_deleted
OP_00179	CP002027.1	+	408423	410708	2285	0321,0322	1	fully_deleted	fully_deleted	CP002027.1:402992-412894	0321,0322			all_deleted
OP_00180	CP002027.1	-	410709	412203	1494	0323	1	fully_deleted	fully_deleted	CP002027.1:402992-412894	0323			all_deleted
OP_00181	CP002027.1	-	412371	412896	525	0324	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:402992-412894		0324(1.00, 2bps)		all_deleted
OP_00182	CP002027.1	+	414260	415751	1491	0325	0	intact					0325	intact
OP_00183	CP002027.1	+	416446	420054	3608	0326,0327,0328,0329,0330,0331	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:419454-420167		0331(1.00, 1bps)	0326,0327,0328,0329,0330	lagging_deleted
OP_00184	CP002027.1	+	420266	421094	828	0332	0	intact					0332	intact
OP_00185	CP002027.1	+	421585	422005	420	0333	1	fully_deleted	fully_deleted	CP002027.1:421585-426208	0333			all_deleted
OP_00186	CP002027.1	+	422444	422924	480	0334	1	fully_deleted	fully_deleted	CP002027.1:421585-426208	0334			all_deleted
OP_00187	CP002027.1	+	423314	423773	459	0335	1	fully_deleted	fully_deleted	CP002027.1:421585-426208	0335			all_deleted
OP_00188	CP002027.1	+	423912	427133	3221	0336,0337,0338	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:421585-426208	0336,0337		0338	leading_deleted
OP_00189	CP002027.1	+	427500	429321	1821	0339	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:427508-435700		0339(1.00, 8bps)		all_deleted
OP_00190	CP002027.1	+	429336	431127	1791	0340	1	fully_deleted	fully_deleted	CP002027.1:427508-435700	0340			all_deleted
OP_00191	CP002027.1	+	431155	432556	1401	0341	1	fully_deleted	fully_deleted	CP002027.1:427508-435700	0341			all_deleted
OP_00192	CP002027.1	+	432894	435687	2793	0342,0343	1	fully_deleted	fully_deleted	CP002027.1:427508-435700	0342,0343			all_deleted
OP_00193	CP002027.1	-	435701	436343	642	0344	0	intact					0344	intact
OP_00194	CP002027.1	+	436435	437999	1564	0345,0346	0	intact					0345,0346	intact
OP_00195	CP002027.1	+	437395	440082	2687	0346,0347,0348	0	intact					0346,0347,0348	intact
OP_00196	CP002027.1	+	441031	442934	1903	0349,0350,0352,0353	2	multi:5'_truncation_gene+intra_truncated	5'_truncation_gene;intra_truncated	CP002027.1:440092-441059;CP002027.1:441989-442461		0349(0.98, 23bps)	0350,0352,0353	leading_deleted
OP_00197	CP002027.1	+	442994	444839	1845	0354,0355	2	multi:3'_truncation_gene+intra_truncated	intra_truncated;3'_truncation_gene	CP002027.1:443061-444476;CP002027.1:444649-445872		0354(1.00, 1bps),0355(1.00, 1bps)		all_deleted
OP_00198	CP002027.1	-	443438	444523	1085		1	3'_truncation_UTR	3'_truncation_UTR	CP002027.1:443061-444476				intact
OP_00199	CP002027.1	+	445953	451377	5424	0356,0357,0358,0359,0360,0361	1	intra_truncated	intra_truncated	CP002027.1:446339-447889	0358	0357(1.00, 1bps)	0356,0359,0360,0361	intra_deleted
OP_00200	CP002027.1	+	451462	453830	2368	0362,0363,0364,0365,0366	0	intact					0362,0363,0364,0365,0366	intact
OP_00201	CP002027.1	+	453480	455097	1617	0366,0367	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:454458-458129		0367(0.98, 10bps)	0366	lagging_deleted
OP_00202	CP002027.1	-	456892	458131	1239	0369	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:454458-458129		0369(1.00, 2bps)		all_deleted
OP_00203	CP002027.1	+	458291	458597	306	0370	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:458291-458590		0370(0.98, 7bps)		all_deleted
OP_00204	CP002027.1	+	458791	461465	2674	0371,0372	0	intact					0371,0372	intact
OP_00205	CP002027.1	+	462589	464197	1608	0373	0	intact					0373	intact
OP_00206	CP002027.1	+	464252	464329	77	0374	0	intact					0374	intact
OP_00207	CP002027.1	+	464382	465123	741	0375	0	intact					0375	intact
OP_00208	CP002027.1	+	465124	465439	315	0376	0	intact					0376	intact
OP_00209	CP002027.1	+	465545	467709	2164	0377,0378,0379	0	intact					0377,0378,0379	intact
OP_00210	CP002027.1	+	467862	468960	1098	0380	0	intact					0380	intact
