locus_tag,gene_name,n_covering_iso,TIR_weighted,dG_mRNA_rRNA_med,dG_standby_med,dG_spacing_med,dG_mRNA_med
MMSYN1_0139,,4,1712.17,-6.381,0.0,5.2592,-1.9
MMSYN1_0140,tdk,22,149093.71476089742,-11.281,0.0,0.8082,0.0
MMSYN1_0141,prfA,18,4415.832319318182,-8.981,0.0,0.3399,-7.6
MMSYN1_0142,prmC,0,,,,,
MMSYN1_0143,,4,6306.188000000001,-5.081,0.0,0.0,-2.6
MMSYN1_0144,,10,4882.0772,-4.881,0.0,0.3399,-2.7
MMSYN1_0145,,16,6424.139448451801,-8.181,0.0,0.8082,-4.8
MMSYN1_0147,,0,,,,,
MMSYN1_0148,rpsL,91,268206.2900151667,-16.381,-2.0,0.3399,-2.4
MMSYN1_0149,rpsG,119,76630.31028335166,-10.981,0.0,0.3399,-1.9
MMSYN1_0150,fusA,71,19023.1412,-8.381,0.0,0.3399,-2.8
MMSYN1_0151,tuf,64,9942.714429755815,-10.681,0.0,0.3399,-6.7
MMSYN1_0152,,23,13485.0153,-5.081,0.0,0.0,-0.7
MMSYN1_0153,,1,5584.4363,-2.281,0.0,0.0039,-0.1
MMSYN1_0154,lap,4,111623.73082191781,-11.381,0.0,0.0039,-2.25
MMSYN1_0156,trmB,1,2799.5098,-5.081,0.0,2.1301,-2.5
MMSYN1_0157,mgtE,2,22303.8502,-5.481,0.0,0.00195,0.0
MMSYN1_0159,,0,,,,,
MMSYN1_0161,abiGIB,0,,,,,
MMSYN1_0163,alaS,0,,,,,
MMSYN1_0164,,0,,,,,
MMSYN1_0165,,1,39711.7422,-8.381,0.0,0.0,-1.3
MMSYN1_0166,,4,116351.22003953488,-10.981,0.0,0.3399,-0.4
MMSYN1_0167,,0,,,,,
MMSYN1_0168,,0,,,,,
MMSYN1_0169,,0,,,,,
MMSYN1_0170,,0,,,,,
MMSYN1_0171,,5,442.82529999999997,-4.681,0.0,0.3399,-8.5
MMSYN1_0172,,2,5081.3313,-8.981,0.0,0.3399,-6.7
MMSYN1_0173,,1,17116.6869,-7.381,0.0,0.0039,-2.4
MMSYN1_0175,,3,17116.6869,-7.381,0.0,0.0039,-2.4
MMSYN1_0176,pgmB,1,1056.6538,-3.181,0.0,3.9658,-1.2
MMSYN1_0177,,2,581.4058,-7.481,0.0,5.2592,-5.7
MMSYN1_0178,,2,7690.636800000001,-7.581,0.0,0.0039,-4.6
MMSYN1_0179,,2,11468.5259,-5.381,0.0,1.4049,0.0
MMSYN1_0180,,9,6550.6956,-5.381,0.0,1.4049,-1.4
MMSYN1_0183,,15,53431.1739057554,-10.181,0.0,1.4049,-0.9
MMSYN1_0184,,5,52888.13590000001,-10.781,0.0,2.9837,0.0
MMSYN1_0185,,0,,,,,
MMSYN1_0186,,27,62109.660253475944,-8.981,0.0,0.0,-0.8
MMSYN1_0187,,16,1455.1765,-3.481,0.0,3.9658,-0.7
MMSYN1_0188,pepF,3,2019.10655708502,-5.681,0.0,0.8082,-5.3
MMSYN1_0189,,33,20906.631200000003,-7.581,0.0,0.0039,-2.1
MMSYN1_0190,,22,15800.614100000003,-7.981,0.0,0.0039,-3.2
MMSYN1_0192,,4,13485.0153,-4.881,0.0,0.0,-0.5
MMSYN1_0195,,0,,,,,
MMSYN1_0196,,3,16273.774300000001,-9.781,-0.8,2.1301,-2.0
MMSYN1_0197,,6,11040.458100000002,-6.281,0.0,0.0,-2.4
MMSYN1_0198,rplT,30,29024.530699999996,-10.181,0.0,2.9837,-0.9
MMSYN1_0200,infC,46,36464.66466445724,-10.681,0.0,0.0039,-3.8
MMSYN1_0201,def,48,13969.472607849562,-8.081,0.0,0.0,-3.6
MMSYN1_0202,,4,5650.927548669201,-5.981,0.0,0.0039,-3.7
MMSYN1_0203,gmk,2,15574.635099999998,-5.781,0.0,0.3399,-0.7
MMSYN1_0204,sun,5,266.6195,-0.181,0.0,0.8082,-4.8
MMSYN1_0205,typA,2,71725.48875642459,-7.430999999999999,0.0,0.3399,-0.4
MMSYN1_0207,,10,3194.6855,-3.681,0.0,0.0,-2.9
MMSYN1_0208,,1,2385.561,-7.381,0.0,2.1301,-5.2
MMSYN1_0211,,0,,,,,
MMSYN1_0213,eno,5,2414.2666798816567,-6.781,-1.2,0.3399,-5.2
MMSYN1_0215,,4,276.7174,-5.981,0.0,6.3152,-5.0
MMSYN1_0216,hpt_1,3,5408.8465,-6.681,0.0,2.9837,-1.6
MMSYN1_0217,,137,3204.5928634961033,-5.081,0.0,0.0039,-4.3
MMSYN1_0218,glpK,154,31466.721755042898,-10.681,0.0,0.0,-4.2
MMSYN1_0219,glpO,95,2054.525325104854,-2.481,-0.3,0.0039,-2.5
MMSYN1_0220,pfkA,0,,,,,
MMSYN1_0221,pyk,1,12652.909,-10.681,0.0,5.2592,-1.2
MMSYN1_0222,thrS,4,34.68120763358778,-10.681,0.0,16.4491,-6.9
MMSYN1_0223,,65,1058.0736067745092,-7.181,0.0,0.3399,-8.8
MMSYN1_0224,,92,11735.500636479153,-8.281,0.0,0.3399,-3.9
MMSYN1_0225,pdhA,11,8094.231570680627,-8.081,0.0,0.0,-4.9
MMSYN1_0226,pdhB,96,92340.16863137369,-14.681,0.0,1.4049,-3.8
MMSYN1_0227,pdhC,136,9785.897524211681,-8.381,0.0,0.0039,-4.7
MMSYN1_0228,lpdA,220,5306.671304885639,-7.681,0.0,0.0039,-5.7
MMSYN1_0229,pta,359,1912.5573021424989,-2.181,0.0,0.0039,-2.7
MMSYN1_0230,ackA,133,16323.185646930422,-10.681,0.0,0.3399,-5.5
MMSYN1_0231,,0,,,,,
MMSYN1_0232,coaD,12,2228.8061,-2.281,0.0,0.0,-2.4
MMSYN1_0233,ptsP,15,12058.864593238435,-7.381,0.0,0.0039,-3.4
MMSYN1_0234,,67,59244.44600000001,-9.581,0.0,0.0,-1.5
MMSYN1_0235,,62,3.413500000000001,-0.981,0.0,10.8027,-6.5
MMSYN1_0236,dhaL,3,8212.0571,-9.581,0.0,0.3399,-6.1
MMSYN1_0237,,1,3189.7683999999995,-5.081,0.0,0.0039,-4.3
MMSYN1_0238,rpsD,2,81463.2337,-10.681,0.0,0.0039,-1.8
MMSYN1_0239,,2,6459.7355,-6.681,0.0,0.3399,-3.8
MMSYN1_0240,thiI,2,3194.6855,-6.181,0.0,0.0,-5.4
MMSYN1_0242,,0,,,,,
MMSYN1_0243,,0,,,,,
MMSYN1_0245,,1,482.9461,-2.281,0.0,0.0039,-5.1
MMSYN1_0246,,1,2931.1353,-9.881,0.0,6.3152,-3.0
MMSYN1_0247,ysxC,3,2710.6661080000003,-5.081,0.0,0.3399,-4.0
MMSYN1_0248,,0,,,,,
MMSYN1_0249,,0,,,,,
MMSYN1_0250,,0,,,,,
MMSYN1_0251,,0,,,,,
MMSYN1_0252,,8,6296.4818000000005,-10.181,0.0,0.0039,-7.7
MMSYN1_0253,,17,75199.6649,-10.681,0.0,0.0039,-2.0
MMSYN1_0254,uvrC,0,,,,,
MMSYN1_0255,,3,15824.9711,-5.581,0.0,0.0,-0.8
MMSYN1_0257,,2,8394.7544,-8.081,0.0,0.0039,-4.85
MMSYN1_0258,,0,,,,,
MMSYN1_0259,,1,4160.19,-4.881,0.0,0.3399,-3.1
MMSYN1_0260,valS,3,602.1642322314049,-10.781,0.0,16.4491,-3.6
MMSYN1_0263,rsgA,12,15574.635099999998,-6.381,0.0,0.3399,-1.3
MMSYN1_0264,,5,14377.1281,-8.981,0.0,0.3399,-4.1
MMSYN1_0270,,0,,,,,
MMSYN1_0272,,0,,,,,
MMSYN1_0274,,0,,,,,
MMSYN1_0275,,0,,,,,
MMSYN1_0277,,0,,,,,
MMSYN1_0278,,1,50484.2795,-11.481,0.0,0.0,-3.8
MMSYN1_0281,,45,29966.766900000002,-6.981,0.0,0.0039,-0.6
MMSYN1_0282,proS,11,7283.386300000001,-3.181,0.0,0.3399,0.0
MMSYN1_0283,rnhA,5,1376.984,-2.781,0.0,0.0039,-4.1
MMSYN1_0284,,5,5821.3159,-9.681,-0.7,0.0,-6.7
MMSYN1_0285,lepA,0,,,,,
MMSYN1_0287,aspS,6,3065.9038171052634,-6.681,0.0,0.0039,-6.3
MMSYN1_0288,hisS,13,7400.4545,-8.081,0.0,0.0,-5.2
MMSYN1_0289,rbfA,10,39650.6199,-11.381,0.0,0.0039,-4.3
MMSYN1_0290,truB,10,756.8412000000001,-1.981,0.0,0.0,-4.8
MMSYN1_0291,,3,17064.73544158416,-14.381,0.0,0.8082,-9.3
MMSYN1_0292,,2,7389.0641,-7.481,0.0,0.0039,-4.6
MMSYN1_0293,,0,,,,,
MMSYN1_0294,rpsO,4,14848.475499999999,-10.781,0.0,5.2592,-0.9
MMSYN1_0296,,2,1552.5568,-0.581,-0.8,0.0039,-0.8
MMSYN1_0297,infB,2,29545.23871818182,-8.981,0.0,1.4049,-1.0
MMSYN1_0298,,133,1110.8152289512016,-5.381,-2.3,0.0039,-5.0
MMSYN1_0299,,122,377.42917211711716,-5.481,-3.5,0.0039,-6.6
MMSYN1_0300,nusA,33,3621.8117734656375,-5.881,0.0,0.8082,-4.0
MMSYN1_0301,,90,3603.179577768144,-6.081,0.0,0.0,-5.0
MMSYN1_0302,,14,853.3425000000001,-2.281,0.0,0.0,-4.8
MMSYN1_0303,polC,0,,,,,
MMSYN1_0304,cdsA,4,6755.928661403509,-3.681,0.0,0.3399,-0.75
MMSYN1_0305,,4,39711.74219999999,-8.581,0.0,0.0,-1.5
MMSYN1_0308,trpS,2,18542.3787,-9.781,0.0,0.0039,-4.6
MMSYN1_0309,,1,,,,,
MMSYN1_0310,,0,,,,,
MMSYN1_0311,,0,,,,,
MMSYN1_0312,,0,,,,,
MMSYN1_0313,trmFO2,0,,,,,
MMSYN1_0314,,11,1549.8805999999997,-8.281,0.0,0.8082,-8.5
MMSYN1_0315,,51,11632.851802815174,-4.481,0.0,0.3399,0.0
MMSYN1_0316,tkt,24,15594.249211242139,-5.881,0.0,0.3399,-0.8
MMSYN1_0317,,36,6997.7831,-5.381,0.0,0.3399,-2.3
MMSYN1_0318,,0,,,,,
MMSYN1_0319,,1,2283.0746,-0.281,0.0,0.3399,0.0
MMSYN1_0320,,11,368.3775,-0.181,0.0,0.0,-4.8
MMSYN1_0322,,1,28379.9048,-9.781,0.0,0.3399,-3.2
MMSYN1_0323,,0,,,,,
MMSYN1_0324,,0,,,,,
MMSYN1_0325,,0,,,,,
MMSYN1_0326,,0,,,,,
MMSYN1_0327,scpA,8,3630.9586,-2.281,0.0,0.0,-1.18
MMSYN1_0328,scpB,7,6601.141540637451,-9.581,0.0,1.4049,-5.5
MMSYN1_0329,,18,1945.4883,-5.881,0.0,0.3399,-6.0
MMSYN1_0330,,11,8344.052,-6.281,0.0,0.0,-3.1
MMSYN1_0331,,1,9377.2912,-9.581,0.0,0.8082,-5.3
MMSYN1_0332,,0,,,,,
MMSYN1_0335,vlcC,0,,,,,
MMSYN1_0336,,3,9393.483,-5.281,0.0,0.0039,-1.8
MMSYN1_0337,,2,2228.8061,-5.081,0.0,0.0,-5.2
MMSYN1_0338,,3,1084.8273,-5.081,0.0,0.0,-7.0
MMSYN1_0339,,0,,,,,
MMSYN1_0340,,0,,,,,
MMSYN1_0341,,0,,,,,
MMSYN1_0343,,6,50484.279500000004,-14.881,0.0,0.0,-7.2
MMSYN1_0344,ppa,1,126274.009,-11.181,0.0,0.8082,-0.4
MMSYN1_0345,,9,3189.7684000000004,-5.081,0.0,0.0039,-4.3
MMSYN1_0346,,14,9125.517660767591,-6.181,0.0,0.0,-2.2
MMSYN1_0347,cmk,16,3040.841660869565,-4.881,0.0,0.3399,-4.0
MMSYN1_0348,engA,0,,,,,
MMSYN1_0350,hup,21,7376.327399999999,-3.681,0.0,0.8082,0.0
MMSYN1_0352,,17,278.4087999999999,-5.081,0.0,0.0,-10.4
MMSYN1_0351,recU,0,,,,,
MMSYN1_0355,,4,3558.9281,-5.181,0.0,2.1301,-2.0
MMSYN1_0357,,34,2024.8903000000003,-5.281,0.0,0.3399,-5.3
MMSYN1_0358,recA,15,26300.422800000004,-8.181,0.0,2.1301,0.0
MMSYN1_0359,,37,785.1622999999998,-3.681,0.0,0.8082,-5.6
MMSYN1_0360,ffh,4,2420.852126,-6.381,0.0,0.0039,-6.4
MMSYN1_0361,,1,42.8452,-9.881,0.0,9.1785,-10.7
MMSYN1_0362,rpsP,18,204348.1642973301,-12.681,0.0,0.0039,-1.5
MMSYN1_0363,rimM,19,285.18770000000006,-1.981,0.0,0.3399,-6.9
MMSYN1_0364,trmD,15,3736.8131999999996,-8.681,-1.1,0.8082,-5.6
MMSYN1_0365,rplS,12,75070.04149999999,-11.481,0.0,0.8082,-2.0
MMSYN1_0366,ylqF,11,1223.1486,-4.081,0.0,0.0,-5.7
MMSYN1_0367,rnhB,2,136.4553,-5.481,0.0,7.6826,-4.9
MMSYN1_0368,,2,148441.2829,-13.981,0.0,0.0039,-3.6
MMSYN1_0369,,0,,,,,
MMSYN1_0371,,44,35220.8903,-10.681,0.0,0.0,-3.9
MMSYN1_0372,,2,246119.44490000003,-13.081,0.0,0.3399,-1.1
MMSYN1_0373,,0,,,,,
MMSYN1_0375,,2,11491.0566,-5.381,0.0,0.0,-1.4
MMSYN1_0376,,0,,,,,
MMSYN1_0377,cgtA,2,9791.9341,-8.581,0.0,0.0,-5.0
MMSYN1_0378,nadE,35,2447.7271,-8.381,0.0,3.9658,-4.3
MMSYN1_0380,,0,,,,,
MMSYN1_0381,mtnN,2,3896.0409,-3.581,0.0,0.0039,-2.3
MMSYN1_0382,,6,3902.0466999999994,-2.881,-0.6,0.0,-1.0
MMSYN1_0383,,13,15574.635099999996,-5.081,0.0,0.3399,0.0
MMSYN1_0384,,5,15574.6351,-5.081,0.0,0.3399,0.0
MMSYN1_0386,,0,,,,,
MMSYN1_0387,trmU,10,12429.015899999999,-6.381,0.0,0.0039,-2.2
MMSYN1_0388,,4,784.1706097560975,-3.681,0.0,0.0,-6.45
MMSYN1_0389,,0,,,,,
MMSYN1_0390,fmt,3,15824.9711,-8.281,0.0,0.0,-3.5
MMSYN1_0391,efp,36,40058.40814515779,-11.281,0.0,0.0039,-4.2
MMSYN1_0392,,89,13813.358099999998,-10.781,0.0,0.3399,-6.0
MMSYN1_0393,tig,9,27267.0443,-8.281,0.0,0.3399,-1.8
MMSYN1_0394,lon,2,4329.9814,-10.881,0.0,0.3399,-9.0
MMSYN1_0395,rarA,3,38089.81234285714,-9.381,0.0,0.3399,-1.7
MMSYN1_0396,,1,27662.6734,-9.381,0.0,0.0039,-3.2
MMSYN1_0397,,0,,,,,
MMSYN1_0398,,0,,,,,
MMSYN1_0400,,1,2176.6274,-6.481,0.0,5.2592,-1.4
MMSYN1_0402,,6,12956.227799999999,-7.381,0.0,0.0,-3.1
MMSYN1_0403,era,3,1273.0695,-3.181,0.0,0.0,-4.7
MMSYN1_0404,recO,2,18856.004749999996,-6.531000000000001,0.0,0.3399,-1.4500000000000002
MMSYN1_0405,glyS,72,78268.818,-9.781,0.0,0.0039,-1.0
MMSYN1_0406,dnaG,15,8896.0599,-9.381,0.0,0.3399,-5.7
MMSYN1_0407,rpoD,14,39114.13949844749,-9.581,0.0,0.0039,-2.6
MMSYN1_0408,,0,,,,,
MMSYN1_0409,,0,,,,,
MMSYN1_0410,,0,,,,,
MMSYN1_0411,,27,48429.9848,-7.581,0.0,0.0039,0.0
MMSYN1_0412,,0,,,,,
MMSYN1_0413,apt,30,2615.5545,-5.081,0.0,0.0,-4.8
MMSYN1_0414,,1,715.6602,-1.581,0.0,0.3399,-4.2
MMSYN1_0415,smc,1,32449.0679,-10.781,0.0,1.4049,-2.8
MMSYN1_0416,,3,1933.428,-5.281,0.0,1.4049,-3.2
MMSYN1_0417,,4,32599.701489473686,-9.281,0.0,0.8082,-1.6
MMSYN1_0418,rnc,15,5356.2054,-8.081,0.0,0.8082,-5.2
MMSYN1_0419,plsX,13,8004.5178,-8.081,0.0,0.0039,-5.0
MMSYN1_0420,,32,5948.608229596648,-4.081,0.0,0.3399,-1.4
MMSYN1_0421,,65,812.0122000000001,-6.981,0.0,1.4049,-7.1
MMSYN1_0422,rpmB,1,11004.4638,-10.381,-0.8,0.8082,-4.9
MMSYN1_0424,,1,6206.4301,-5.281,0.0,0.3399,-2.5
MMSYN1_0425,,13,11941.6373,-9.281,0.0,0.0039,-5.2
MMSYN1_0426,,0,,,,,
MMSYN1_0427,pstB,1,4960.5484,-1.881,0.0,0.0,0.0
MMSYN1_0428,phoU,30,1440.5936912292357,-7.581,-3.0,0.0039,-5.9
MMSYN1_0429,,8,72250.8623,-11.381,0.0,0.0039,-2.8
MMSYN1_0430,,62,5016.917310786974,-6.381,0.0,0.8082,-2.5
MMSYN1_0431,,29,23253.086792943202,-9.581,0.0,0.3399,-3.3
MMSYN1_0432,metK,42,61662.4127,-8.181,0.0,0.0,0.0
MMSYN1_0433,,25,12466.865348613677,-10.781,0.0,0.3399,-6.3
MMSYN1_0434,trmFO,3,4944.3759,-7.081,-1.7,0.8082,-2.7
MMSYN1_0435,,0,,,,,
MMSYN1_0436,ung,3,382.1623,-4.381,-2.3,0.8082,-5.8
MMSYN1_0437,,4,11491.056600000002,-4.581,0.0,0.0,-0.6
MMSYN1_0438,,53,1175.1853000000003,-1.981,0.0,0.0,-3.7
MMSYN1_0439,,20,11759.248366244057,-9.581,0.0,1.4049,-4.9
MMSYN1_0440,,44,12352.9338,-8.181,0.0,0.0,-2.9
MMSYN1_0441,,1,24977.9466,-10.881,0.0,0.3399,-3.5
MMSYN1_0442,,2,277.863,0.219,0.0,1.4049,-3.7
MMSYN1_0443,mthfs,0,,,,,
MMSYN1_0444,,0,,,,,
MMSYN1_0445,pgi,55,977.9726,-6.981,0.0,5.2592,-3.9
MMSYN1_0446,,120,271769.55006898625,-13.981,0.0,0.3399,-1.8
MMSYN1_0447,,127,61450.53058560138,-8.181,0.0,0.0039,0.0
MMSYN1_0448,,85,9393.482999999998,-6.681,0.0,0.0039,-3.2
MMSYN1_0451,,2,219043.969240051,-11.231,0.0,0.0,0.0
MMSYN1_0452,parE,3,2176.6274,-7.481,0.0,5.2592,-2.4
MMSYN1_0453,parC,0,,,,,
MMSYN1_0454,,1,10591.2023,-5.781,0.0,0.0039,-2.0
MMSYN1_0463,,24,1852.8717928338763,-1.981,0.0,0.0,-2.5
MMSYN1_0464,,63,29194.597236046015,-9.581,0.0,0.0,-3.1
MMSYN1_0465,,54,1938.4071567371407,-3.981,0.0,0.0039,-4.5
MMSYN1_0466,,45,3747.327872553096,-5.781,0.0,0.0039,-4.6
MMSYN1_0467,,3,17815.2769,-9.781,0.0,0.0039,-4.7
MMSYN1_0468,,7,786.5181000000001,-0.381,0.0,0.0039,-3.1
MMSYN1_0469,,9,1252.9307,-0.181,0.0,0.3399,-1.4
MMSYN1_0472,,25,7246.2470585377905,-8.781,0.0,0.0039,-6.0
