locus_num,locus_tag_syn1,locus_tag_syn3a,gene_name,gene_product,TPM_mean_syn1,rank_syn1,TPM_mean_syn3a,rank_syn3a,TPM_fold_change,TPM_log10FC,strand_syn1,gene_len_syn1,sense_covering_ops,antisense_covering_ops,coverage_type
29,MMSYN1_0029,JCVISYN3A_0029,,Uncharacterized FMN-dependent NADH-azoreductase,669.2409,197,8696.7164,17,12.994896755413484,1.113772833376675,+,600,OP_00019,,sense_only
30,MMSYN1_0030,JCVISYN3A_0030,,Uncharacterized ABC transporter ATP-binding protein,635.5396,204,2181.4203,86,3.4323908376441064,0.5355967340041546,-,1035,OP_00020,OP_00019,both
33,MMSYN1_0033,JCVISYN3A_0033,,Uncharacterized protein,34.8793,653,232.9201,407,6.677889177821802,0.8246392074916635,-,3159,OP_00022,,sense_only
34,MMSYN1_0034,JCVISYN3A_0034,,Uncharacterized efflux ABC transporter permease,93.7255,532,113.7587,468,1.2137433249222465,0.08412685448565459,+,5370,OP_00023,,sense_only
39,MMSYN1_0039,JCVISYN3A_0039,ftsH,Membrane anchored AAA+ protease,669.9786,196,758.969,209,1.1328257350309399,0.05416310656654084,-,1947,OP_00026,,sense_only
40,MMSYN1_0040,JCVISYN3A_0040,tilS,tRNA lysidine(34) synthetase,4.5371,817,676.9595,234,149.2053293954288,2.1737843357753253,-,1206,OP_00028,OP_00027,both
42,MMSYN1_0042,JCVISYN3A_0042,,Uncharacterized transcriptional regulator,166.2349,428,1767.5674,103,10.632950120582379,1.026653776596253,-,828,OP_00028,,sense_only
43,MMSYN1_0043,JCVISYN3A_0043,yabD,Uncharacterized methyltransferase,33.9565,657,250.9509,397,7.390364142358606,0.868665837734582,-,723,OP_00028,,sense_only
44,MMSYN1_0044,JCVISYN3A_0044,holA,DNA polymerase III subunit delta,3.7492,827,159.9043,444,42.65024538568228,1.6299215341985285,-,741,OP_00028,,sense_only
45,MMSYN1_0045,JCVISYN3A_0045,tmk,dTMP kinase,217.3553,380,132.6659,458,0.610364228523528,-0.21441092690453722,-,642,OP_00029,,sense_only
46,MMSYN1_0046,JCVISYN3A_0046,recR,Recombination protein,63.5652,585,167.1104,439,2.62896050039959,0.4197840609685286,-,591,OP_00029,,sense_only
47,MMSYN1_0047,JCVISYN3A_0047,dnaX,DNA polymerase III subunit gamma and tau,84.7933,552,216.1343,413,2.548954929222002,0.4063621563153904,-,2007,OP_00029,,sense_only
49,MMSYN1_0049,JCVISYN3A_0049,ffs,,321.1915,308,135.7919,455,0.4227755093145366,-0.37389017859643886,-,99,OP_00031,,sense_only
54,MMSYN1_0054,JCVISYN3A_0054,ahpC,Uncharacterized peroxiredoxin,161.5117,435,2278.6077,82,14.10800394027182,1.1494655722910339,-,450,OP_00034,,sense_only
60,MMSYN1_0060,JCVISYN3A_0060,,Uncharacterized protein,670.7703,195,9193.8662,14,13.70643005511723,1.1369243541875065,+,825,OP_00036,,sense_only
61,MMSYN1_0061,JCVISYN3A_0061,serRS,Serine--tRNA ligase,232.8683,363,1357.825,131,5.83087092575503,0.7657334278294166,+,1269,"OP_00036,OP_00037",,sense_only
63,MMSYN1_0063,JCVISYN3A_0063,dusB,Uncharacterized tRNA dihydrouridine synthase,416.3254,277,203.4689,422,0.4887256458529794,-0.3109348707933988,+,975,OP_00037,,sense_only
64,MMSYN1_0064,JCVISYN3A_0064,lysRS,Lysine--tRNA ligase,648.2958,202,517.947,277,0.7989362263337199,-0.09748788608868798,+,1503,OP_00037,,sense_only
65,MMSYN1_0065,JCVISYN3A_0065,trxA,Thioredoxin,6298.4358,30,14502.5083,8,2.302557136487761,0.3622104157433598,-,309,OP_00038,,sense_only
66,MMSYN1_0066,JCVISYN3A_0066,,Low specificity hydrolase,312.5044,313,6487.0077,27,20.758132365496294,1.3171882769295005,-,843,OP_00038,,sense_only
67,MMSYN1_0067,JCVISYN3A_0067,rrfA,,28894.8836,2,124.6074,462,0.004312438206188171,-2.3652771149688183,-,109,OP_00039,,sense_only
68,MMSYN1_0068,JCVISYN3A_0068,rrlA,,3276.0458,70,366.7063,333,0.11193564509995557,-0.951031593497264,-,2895,OP_00039,,sense_only
69,MMSYN1_0069,JCVISYN3A_0069,rrsA,,1472.1629,128,206.9923,419,0.14060420894997422,-0.8520016786306406,-,1524,OP_00039,,sense_only
70,MMSYN1_0070,JCVISYN3A_0070,tRNA-Leu,,571.7576,219,1537.3784,120,2.68886395213636,0.42956882887589376,-,84,OP_00040,,sense_only
71,MMSYN1_0071,JCVISYN3A_0071,tRNA-Lys,,444.0178,263,1214.3855,146,2.7349928313684724,0.4369561923509138,-,76,OP_00041,,sense_only
76,MMSYN1_0076,JCVISYN3A_0076,asnRS,Asparagine--tRNA ligase,560.9197,226,325.682,356,0.5806214329787311,-0.23610693672241206,-,1365,"OP_00043,OP_00043",,sense_only
77,MMSYN1_0077,JCVISYN3A_0077,,Uncharacterized hydrolase,365.1273,289,138.041,453,0.37806266471994837,-0.4224362089286724,-,840,"OP_00043,OP_00043",,sense_only
79,MMSYN1_0079,JCVISYN3A_0079,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit D,170.5833,421,345.8275,343,2.0273233077329373,0.30692301340330014,-,957,"OP_00043,OP_00043",,sense_only
80,MMSYN1_0080,JCVISYN3A_0080,,Uncharacterized protein,1173.6534,152,809.2707,195,0.6895312534347876,-0.1614460443733274,-,222,OP_00043,,sense_only
81,MMSYN1_0081,JCVISYN3A_0081,mnmE%3B trmE,tRNA uridine(34) 5-carboxymethylaminomethyl synthesis GTPase,45.167,617,360.1138,335,7.972940421103903,0.9016185187801139,+,1359,OP_00044,OP_00045,both
82,MMSYN1_0082,JCVISYN3A_0082,rpsT,30S ribosomal protein S20,1115.368,156,4033.4413,39,3.616242621269393,0.5582575605045688,-,246,OP_00045,OP_00044,both
94,MMSYN1_0094,JCVISYN3A_0094,,Uncharacterized protein,6.5021,791,437.1971,304,67.23936881930453,1.8276236280336484,-,717,OP_00053,,sense_only
95,MMSYN1_0095,JCVISYN3A_0095,secA,Preprotein translocase subunit A,195.2852,394,642.4475,241,3.289791033831545,0.5171683126198541,-,2835,OP_00054,,sense_only
97,MMSYN1_0097,JCVISYN3A_0097,yycJ,Uncharacterized 5'-3' exonuclease,143.5191,453,1342.8807,133,9.356808257576866,0.9711277298797631,+,912,OP_00055,,sense_only
105,MMSYN1_0105,JCVISYN3A_0105,xseB,Exodeoxyribonuclease VII small subunit,305.1007,318,210.8663,415,0.691136729610912,-0.16043602637197535,-,216,OP_00059,,sense_only
106,MMSYN1_0106,JCVISYN3A_0106,xseA,Exodeoxyribonuclease VII large subunit,176.3864,413,76.6839,479,0.43474950449694527,-0.3617609043094134,-,1410,OP_00059,,sense_only
107,MMSYN1_0107,JCVISYN3A_0107,nusB,Transcription antitermination factor,162.6708,434,127.2005,460,0.7819504176533218,-0.10682078405299943,-,399,OP_00060,,sense_only
108,MMSYN1_0108,JCVISYN3A_0108,,Uncharacterized lipoprotein,167.0565,426,114.8247,467,0.6873405105458333,-0.16282805884368243,-,1113,OP_00061,,sense_only
109,MMSYN1_0109,JCVISYN3A_0109,,Deoxyribonuclease IV,135.2553,461,93.0034,472,0.687613720127788,-0.16265546631258487,-,870,OP_00061,,sense_only
113,MMSYN1_0113,JCVISYN3A_0113,bcsA,Glycolipid synthase A,92.4718,535,1263.2128,141,13.660519206936602,1.135467206257835,+,1245,OP_00063,,sense_only
114,MMSYN1_0114,JCVISYN3A_0114,bcsB%3B cps,Glycolipid synthase B,24.2136,686,163.5632,441,6.755013711302738,0.8296262348883344,-,921,OP_00064,,sense_only
115,MMSYN1_0115,JCVISYN3A_0115,galU%3B gtaB,UTP--glucose-1-phosphate uridylyltransferase,367.6678,288,6855.6359,25,18.6462776995973,1.2705921478942988,-,873,OP_00065,OP_00066,both
116,MMSYN1_0116,JCVISYN3A_0116,,Uncharacterized protein,1.5729,863,285.4415,373,181.47466463220803,2.2588160024936244,-,441,,OP_00066,antisense_only
117,MMSYN1_0117,JCVISYN3A_0117,plsY,Acyl-phosphate glycerol 3-phosphate acyltransferase,234.2912,362,1023.2045,163,4.367234023300918,0.640206464718469,+,762,OP_00066,,sense_only
126,MMSYN1_0126,JCVISYN3A_0126,gluRS,Glutamate--tRNA ligase,105.0324,506,482.4537,290,4.593379757103523,0.662132352144834,+,1452,"OP_00072,OP_00073",,sense_only
127,MMSYN1_0127,JCVISYN3A_0127,,Uncharacterized phosphohydrolase,55.0487,599,397.1923,322,7.215289371047818,0.8582537532713975,+,1215,OP_00073,,sense_only
128,MMSYN1_0128,JCVISYN3A_0128,rpoE,DNA-directed RNA polymerase subunit delta,8694.0192,17,16624.2583,5,1.9121487907457118,0.28152168317315895,+,429,OP_00073,,sense_only
129,MMSYN1_0129,JCVISYN3A_0129,pyrG,CTP synthase,897.9315,170,3242.5357,59,3.61111699500463,0.5576415591722772,+,1599,OP_00073,,sense_only
131,MMSYN1_0131,JCVISYN3A_0131,fbaA,Fructose-1%2C6-bisphosphate aldolase,1755.9817,116,5142.0285,32,2.9282927606819595,0.4666144938319667,+,894,OP_00074,,sense_only
132,MMSYN1_0132,JCVISYN3A_0132,ietA,Toxin-antitoxin AAA ATPase,35.2021,649,1301.0624,137,36.959795012229385,1.567729553854765,+,1062,OP_00074,,sense_only
133,MMSYN1_0133,JCVISYN3A_0133,ietS,Toxin-antitoxin serine protease,58.7966,593,980.5812,171,16.6775153665348,1.2221313494804114,+,2274,OP_00074,,sense_only
137,MMSYN1_0137,JCVISYN3A_0137,rpmE,50S ribosomal protein L31,20770.1604,6,885.861,186,0.04265065762323145,-1.3700742681321263,+,279,OP_00077,,sense_only
138,MMSYN1_0138,JCVISYN3A_0138,,Uncharacterized protein,31.4133,666,633.9072,242,20.17957998682087,1.3049121226885863,+,1899,OP_00077,,sense_only
139,MMSYN1_0139,JCVISYN3A_0139,ytqI%3B orn,NanoRNAse,156.1821,438,621.5307,245,3.979525822741531,0.5998313271402266,+,951,OP_00078,,sense_only
140,MMSYN1_0140,JCVISYN3A_0140,tdk,Thymidine kinase,420.0194,276,533.3006,273,1.2697046850693088,0.10370272209088814,+,630,OP_00078,,sense_only
141,MMSYN1_0141,JCVISYN3A_0141,prfA,Peptide chain release factor 1,624.0121,205,597.668,253,0.9577827096622005,-0.018733007308106273,+,1095,OP_00078,,sense_only
142,MMSYN1_0142,JCVISYN3A_0142,prmC,Protein-(glutamine-N5) methyltransferase%2C release factor-specific,6.1888,795,218.7434,411,35.34504265770424,1.5483285101448458,+,849,OP_00078,,sense_only
143,MMSYN1_0143,JCVISYN3A_0143,,Uncharacterized protein,6.4684,792,252.304,396,39.00562735761549,1.5911272673869663,+,1473,OP_00079,,sense_only
144,MMSYN1_0144,JCVISYN3A_0144,tsaC,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit,6.8768,785,397.4629,319,57.797652978129356,1.761910203137784,+,501,OP_00079,,sense_only
145,MMSYN1_0145,JCVISYN3A_0145,,Uncharacterized acetyltransferase,1000.9424,165,2865.753,63,2.8630548571026666,0.4568296693309736,+,915,OP_00079,,sense_only
147,MMSYN1_0147,JCVISYN3A_0147,clsA,Cardiolipin synthase,2.2564,854,89.3722,473,39.608314128700584,1.5977863576735662,+,1530,OP_00081,,sense_only
148,MMSYN1_0148,JCVISYN3A_0148,rpsL,30S ribosomal protein S12,4634.8353,47,443.82,300,0.09575744795073948,-1.0188274369090868,+,420,OP_00082,,sense_only
149,MMSYN1_0149,JCVISYN3A_0149,rpsG,30S ribosomal protein S7,1665.8329,121,776.8691,206,0.466354758631553,-0.3312835873864257,+,468,OP_00082,,sense_only
150,MMSYN1_0150,JCVISYN3A_0150,,Translation elongation factor G,3376.6183,68,278.5659,381,0.08249848672560946,-1.0835540176651655,+,2070,OP_00082,,sense_only
151,MMSYN1_0151,JCVISYN3A_0151,,Translation elongation factor Tu,12968.5285,8,1987.1402,90,0.1532278854921744,-0.8146621915354573,+,1188,OP_00082,,sense_only
154,MMSYN1_0154,JCVISYN3A_0154,,Uncharacterized peptidase,2107.0636,105,2888.3229,62,1.3707810718195692,0.13696809892308442,+,1356,OP_00084,,sense_only
158,MMSYN1_0158,JCVISYN3A_0158,ssrA,,24234.1491,4,232582.8081,1,9.597316874641166,0.9821498341427546,+,411,OP_00088,,sense_only
163,MMSYN1_0163,JCVISYN3A_0163,alaRS,Alanine--tRNA ligase,284.9526,330,1091.3523,151,3.829943295832359,0.5831923440758268,-,2691,OP_00093,,sense_only
164,MMSYN1_0164,JCVISYN3A_0164,,Uncharacterized protein,4.8178,811,323.9986,358,67.25032172360828,1.8276943663317475,-,495,OP_00094,,sense_only
165,MMSYN1_0165,JCVISYN3A_0165,amiC,Oligopeptide ABC transporter permease,566.2379,225,798.5971,198,1.4103561418266068,0.14932879414460645,+,1245,OP_00095,,sense_only
166,MMSYN1_0166,JCVISYN3A_0166,,Oligopeptide ABC transporter permease,399.5733,283,459.5562,296,1.1501173877233537,0.06074216925683381,+,1011,OP_00095,,sense_only
167,MMSYN1_0167,JCVISYN3A_0167,amiE,Oligopeptide ABC transporter ATP-binding protein,335.5897,304,282.6452,377,0.8422344309137021,-0.07456700840355028,+,1701,OP_00096,,sense_only
168,MMSYN1_0168,JCVISYN3A_0168,amiF,Oligopeptide ABC transporter ATP-binding protein,278.7619,332,283.6086,376,1.017386522333217,0.007485980086093926,+,1869,"OP_00096,OP_00097",,sense_only
169,MMSYN1_0169,JCVISYN3A_0169,amiA,Oligopeptide ABC transporter substrate-binding protein,688.8566,193,548.1969,267,0.795806993792322,-0.09919224846172608,+,3102,OP_00097,,sense_only
195,MMSYN1_0195,JCVISYN3A_0195,potC,Spermidine/putrescine ABC transporter permease,103.4128,507,243.1498,402,2.351254390172203,0.37129961945722634,-,3111,"OP_00112,OP_00112",,sense_only
196,MMSYN1_0196,JCVISYN3A_0196,potB,Spermidine/putrescine ABC transporter permease,96.6623,525,390.2578,323,4.037332031205548,0.606094467366899,-,993,OP_00112,,sense_only
197,MMSYN1_0197,JCVISYN3A_0197,potA,Spermidine/putrescine ABC transporter ATP-binding protein,134.6934,462,888.9851,185,6.600064294167346,0.8195481662185495,-,1056,OP_00112,,sense_only
198,MMSYN1_0198,JCVISYN3A_0198,rplT,50S ribosomal protein L20,2255.2553,100,1865.3311,95,0.8271041863863485,-0.08243978098826346,-,360,OP_00113,,sense_only
199,MMSYN1_0199,JCVISYN3A_0199,rpmI,50S ribosomal protein L35,3155.796,76,1370.9421,128,0.4344203807850698,-0.3620898080627145,-,192,OP_00113,,sense_only
200,MMSYN1_0200,JCVISYN3A_0200,infC,Translation initiation factor IF-3,2060.2032,106,348.4024,341,0.16911069743023407,-0.7718289193805115,-,546,OP_00113,,sense_only
201,MMSYN1_0201,JCVISYN3A_0201,def,Peptide deformylase,301.1697,321,813.7723,194,2.702039082948916,0.43169162647220555,-,603,OP_00113,,sense_only
202,MMSYN1_0202,JCVISYN3A_0202,rsmD,16S rRNA (guanine(966)-N(2))-methyltransferase,8.9781,769,135.4922,456,15.091411323108453,1.1787298561557895,+,558,OP_00114,,sense_only
203,MMSYN1_0203,JCVISYN3A_0203,gmk,Guanylate kinase,109.5532,500,428.9829,305,3.91574960840943,0.5928149131712385,+,894,OP_00114,,sense_only
213,MMSYN1_0213,JCVISYN3A_0213,eno,Phosphopyruvate hydratase,3053.0556,78,1950.459,93,0.6388547263927981,-0.19459788784917442,+,1356,OP_00119,,sense_only
214,MMSYN1_0214,JCVISYN3A_0214,pgpA,Phosphatidylglycerophosphatase,11.5002,749,61.2346,485,5.32465522338742,0.7262914920304075,+,822,OP_00120,,sense_only
215,MMSYN1_0215,JCVISYN3A_0215,yrrK%3B yqgF,Putative pre-16S rRNA nuclease,239.6432,358,912.5291,184,3.8078656102071746,0.580681612565546,+,432,OP_00120,,sense_only
216,MMSYN1_0216,JCVISYN3A_0216,hptA,Hypoxanthine phosphoribosyltransferase,275.371,334,3419.3245,54,12.417155401258666,1.0940221163694197,+,573,OP_00120,OP_00121,both
218,MMSYN1_0218,JCVISYN3A_0218,glpK,Glycerol kinase,2239.2617,101,2617.1657,69,1.1687627667637062,0.06772636784185496,-,1518,OP_00121,,sense_only
220,MMSYN1_0220,JCVISYN3A_0220,pfkA,6-Phosphofructokinase,1063.7438,161,249.5454,399,0.23459163757288176,-0.629687473127063,+,981,OP_00122,,sense_only
221,MMSYN1_0221,JCVISYN3A_0221,pyk,Pyruvate kinase,1317.9245,143,1491.8341,123,1.1319571796411707,0.05382999840941623,+,1437,OP_00123,,sense_only
222,MMSYN1_0222,JCVISYN3A_0222,thrRS,Threonine--tRNA ligase,203.6931,388,528.6992,275,2.5955675474525157,0.4142323355089059,+,1920,OP_00124,,sense_only
227,MMSYN1_0227,JCVISYN3A_0227,pdhC,Branched-chain alpha-keto acid dehydrogenase subunit E2,5708.2993,33,367.3511,332,0.06435386105280079,-1.191425391516051,+,1326,OP_00126,,sense_only
228,MMSYN1_0228,JCVISYN3A_0228,lpdA,Dihydrolipoyl dehydrogenase,6618.2572,24,428.1716,306,0.06469552135266064,-1.1891257829966617,+,1890,OP_00126,,sense_only
229,MMSYN1_0229,JCVISYN3A_0229,pta,Phosphate acetyltransferase,6091.4606,31,687.0265,230,0.11278518324488547,-0.9477479505090977,+,969,OP_00126,,sense_only
230,MMSYN1_0230,JCVISYN3A_0230,ackA,Acetate kinase,5630.5772,35,2034.9308,87,0.3614071395735414,-0.44200327223229463,+,1182,OP_00126,,sense_only
233,MMSYN1_0233,JCVISYN3A_0233,ptsI,Phosphoenolpyruvate--protein phosphotransferase,567.936,224,1087.1092,152,1.914140325670498,0.28197377274618424,+,1722,OP_00127,,sense_only
234,MMSYN1_0234,JCVISYN3A_0234,crr,PTS glucose transporter subunit IIA,2549.4024,90,5726.5886,28,2.2462474343006815,0.35145759405929283,+,465,OP_00127,,sense_only
235,MMSYN1_0235,JCVISYN3A_0235,,Uncharacterized protein,243.264,356,5559.2034,30,22.85255278216259,1.3589347206983025,+,291,OP_00127,,sense_only
238,MMSYN1_0238,JCVISYN3A_0238,rpsD,30S ribosomal protein S4,1993.9215,110,7515.7603,20,3.769336104756381,0.5762648644151066,-,627,OP_00129,,sense_only
239,MMSYN1_0239,JCVISYN3A_0239,,Uncharacterized protein,0.6857,887,77.3258,478,112.76914102377134,2.0521902723723153,+,1788,OP_00130,,sense_only
240,MMSYN1_0240,JCVISYN3A_0240,thiI,tRNA 4-thiouridine(8) synthase,132.9578,466,180.0231,431,1.353986753691773,0.13161441558493875,+,1188,OP_00131,,sense_only
247,MMSYN1_0247,JCVISYN3A_0247,ysxC%3B yihA,Ribosome biogenesis GTP-binding protein,102.5664,511,1641.3496,111,16.002800137276925,1.2041959812664105,-,591,OP_00137,,sense_only
248,MMSYN1_0248,JCVISYN3A_0248,,Uncharacterized protein,6.9356,783,737.1754,214,106.28862679508622,2.026486796184752,-,561,OP_00138,,sense_only
249,MMSYN1_0249,JCVISYN3A_0249,,Uncharacterized protein,1.0875,882,1046.0681,160,961.9017011494253,2.98313069279703,-,579,OP_00139,,sense_only
250,MMSYN1_0250,JCVISYN3A_0250,,Uncharacterized protein,0.578,891,1621.3097,112,2805.034083044983,3.447938142593405,-,690,OP_00140,,sense_only
253,MMSYN1_0253,JCVISYN3A_0253,greA,Transcription elongation factor,1201.2475,149,2018.7746,89,1.680565079219728,0.2254553350136248,-,474,OP_00141,,sense_only
254,MMSYN1_0254,JCVISYN3A_0254,uvrC,Excinuclease ABC subunit C,6.8106,787,697.6614,224,102.43758259184212,2.0104593210711754,-,1755,OP_00142,,sense_only
257,MMSYN1_0257,JCVISYN3A_0257,rnjB,RNase J family beta-CASP ribonuclease,424.8888,271,969.1087,174,2.2808525430653854,0.3580972090806562,-,1752,OP_00144,,sense_only
259,MMSYN1_0259,JCVISYN3A_0259,nadK,NAD(+) kinase,105.5407,505,471.708,293,4.4694416466822755,0.6502532714740054,-,798,OP_00145,,sense_only
260,MMSYN1_0260,JCVISYN3A_0260,valRS,Valine--tRNA ligase,130.1301,470,1672.4346,107,12.85201963265993,1.1089713803053567,-,2619,OP_00146,,sense_only
262,MMSYN1_0262,JCVISYN3A_0262,rpe,Ribulose-phosphate 3-epimerase,405.5117,281,1773.3362,101,4.373082700203224,0.640787690448516,-,763,OP_00146,,sense_only
263,MMSYN1_0263,JCVISYN3A_0263,,Ribosome small subunit-dependent GTPase A,106.7879,504,317.1364,363,2.9697784112244925,0.47272404582474625,-,903,OP_00146,,sense_only
264,MMSYN1_0264,JCVISYN3A_0264,,Uncharacterized serine/threonine protein kinase,130.5669,468,74.2041,480,0.5683224461942498,-0.24540519092730279,-,1116,"OP_00146,OP_00147",,sense_only
270,MMSYN1_0270,JCVISYN3A_0270,tsaE%3B yjeE,tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase,0.5532,893,564.3021,264,1020.0688720173536,3.0086294950240053,+,417,OP_00149,,sense_only
280,MMSYN1_0280,JCVISYN3A_0280,tRNA-Ser,,197.9383,390,8.8661,492,0.044792240814435606,-1.3487972106296244,+,90,OP_00157,,sense_only
281,MMSYN1_0281,JCVISYN3A_0281,,Uncharacterized protein,8.5689,772,179.4943,432,20.94718108508677,1.3211255871322638,+,681,OP_00157,,sense_only
282,MMSYN1_0282,JCVISYN3A_0282,proRS,Proline--tRNA ligase,163.3408,432,269.277,382,1.648559331165269,0.21710458189106066,+,1425,OP_00157,,sense_only
283,MMSYN1_0283,JCVISYN3A_0283,rnhA,Double-stranded RNA binding RNase HI,65.3111,577,240.7878,404,3.686782185570294,0.5666474803239926,+,618,OP_00158,,sense_only
285,MMSYN1_0285,JCVISYN3A_0285,lepA%3B EF4,Elongation factor 4,264.914,340,167.9153,438,0.6338483432359181,-0.19801464050082954,+,1803,OP_00159,,sense_only
286,MMSYN1_0286,JCVISYN3A_0286,,Uncharacterized protein,41.0231,635,683.0282,232,16.649843624689503,1.2214101589682622,+,807,,OP_00160,antisense_only
287,MMSYN1_0287,JCVISYN3A_0287,aspRS,Aspartate--tRNA ligase,306.9219,317,689.6613,227,2.2470253833304175,0.3516079784173788,-,1725,OP_00160,,sense_only
288,MMSYN1_0288,JCVISYN3A_0288,hisRS,Histidine--tRNA ligase,145.1524,449,802.1616,197,5.52634059099264,0.7424376471802944,-,1245,OP_00160,,sense_only
289,MMSYN1_0289,JCVISYN3A_0289,rbfA,Ribosome-binding factor A,286.3723,327,2714.1103,67,9.477558758301694,0.976696485615179,+,354,OP_00161,,sense_only
290,MMSYN1_0290,JCVISYN3A_0290,truB,tRNA pseudouridine(55) synthase,1.4116,870,515.5871,278,365.2501416831964,2.5625903930723672,+,879,OP_00161,,sense_only
291,MMSYN1_0291,JCVISYN3A_0291,ribF,FAD synthetase,3.3647,834,589.9451,255,175.33364044342736,2.2438652501342804,+,555,OP_00161,,sense_only
294,MMSYN1_0294,JCVISYN3A_0294,rpsO,30S ribosomal protein S15,2273.8195,96,757.3719,210,0.3330835627014369,-0.47744679872341966,+,267,OP_00164,,sense_only
295,MMSYN1_0295,JCVISYN3A_0295,tRNA-Gly,,140.5099,456,308.0391,367,2.1922946354669675,0.34089892114378106,+,74,OP_00164,,sense_only
296,MMSYN1_0296,JCVISYN3A_0296,,Uncharacterized protein,13.8882,734,279.2277,380,20.105391627424723,1.3033125370247554,+,645,OP_00165,,sense_only
297,MMSYN1_0297,JCVISYN3A_0297,infB,Translation initiation factor IF-2,1353.0483,141,924.8105,182,0.6835014684989442,-0.1652605480159789,-,1863,OP_00166,,sense_only
298,MMSYN1_0298,JCVISYN3A_0298,,Uncharacterized L7Ae family protein,241.8065,357,451.8299,298,1.868559778169735,0.2715069961722648,-,300,OP_00166,,sense_only
299,MMSYN1_0299,JCVISYN3A_0299,,Uncharacterized protein,52.1991,603,533.8426,272,10.227046060181113,1.0097502119119297,-,282,OP_00166,,sense_only
300,MMSYN1_0300,JCVISYN3A_0300,nusA,Transcription termination/antitermination protein NusA,452.9908,258,408.6893,313,0.9022022080801642,-0.04469611433002035,-,1755,OP_00166,,sense_only
301,MMSYN1_0301,JCVISYN3A_0301,rimP,Ribosome assembly cofactor,193.1051,396,183.3133,429,0.9492928980125331,-0.022599768221166584,-,495,OP_00166,,sense_only
302,MMSYN1_0302,JCVISYN3A_0302,fre,Flavin reductase,185.6229,402,616.6398,246,3.3220028347795454,0.5213999987139876,-,651,OP_00166,,sense_only
303,MMSYN1_0303,JCVISYN3A_0303,polC,PolC-type DNA polymerase III,169.762,422,249.2724,400,1.4683639448168613,0.16683371200783786,-,4449,OP_00166,,sense_only
