locus_tag,gene_name,gene_product,protein_localization,TPM_illumina,iPM_mean,protein_copy_number,CAI,TIR,protein_halflife_h
JCVISYN3A_0027,rpsF,30S ribosomal protein S6,cytoplasmic,1455.747,5196.497,521.5252542225086,0.703,74414.464,
JCVISYN3A_0029,acpD; azoR,FMN reductase/NADH-azoreductase,cytoplasmic,590.153,9088.996,912.1800108235884,0.844,72362.239,17.285
JCVISYN3A_0030,,Uncharacterized ABC transporter ATP-binding protein,cytoplasmic,1112.508,2624.631,263.41038656534124,0.73,20117.784,5.838
JCVISYN3A_0033,,Uncharacterized protein,cytoplasmic,38.054,185.854,18.65250195086778,0.64,4218.77,
JCVISYN3A_0034,,Uncharacterized efflux ABC transporter permease,membrane,35.034,40.517,4.066326030923897,0.729,339.53,
JCVISYN3A_0039,ftsH,Membrane anchored AAA+ protease,membrane,3690.279,2592.677,260.2034253002154,0.703,31189.812,93.279
JCVISYN3A_0040,tilS,tRNA lysidine(34) synthetase,cytoplasmic,72.35,236.041,23.68925525602108,0.716,1084.827,
JCVISYN3A_0042,,Uncharacterized transcriptional regulator,cytoplasmic,96.509,2333.216,234.1637056116967,0.703,4758.695,
JCVISYN3A_0043,yabD,Uncharacterized methyltransferase,cytoplasmic,79.641,240.908,24.177732173780846,0.737,853.342,
JCVISYN3A_0044,holA,DNA polymerase III subunit delta,cytoplasmic,47.122,211.699,21.246259331289245,0.726,2833.41,
JCVISYN3A_0045,tmk,dTMP kinase,cytoplasmic,352.508,1287.096,129.17414745162154,0.789,11960.046,5.658
JCVISYN3A_0046,recR,Recombination protein,cytoplasmic,167.754,155.901,15.646363385464486,0.745,1549.881,
JCVISYN3A_0047,dnaX,DNA polymerase III subunit gamma and tau,cytoplasmic,123.55,190.578,19.126632761168857,0.715,174199.21,
JCVISYN3A_0054,ahpC,Uncharacterized peroxiredoxin,cytoplasmic,138.37,3105.916,311.7126174197653,0.723,59153.26,
JCVISYN3A_0060,,Uncharacterized protein,membrane,451.292,176.838,17.747580651212793,0.633,103721.27,
JCVISYN3A_0061,serRS,Serine--tRNA ligase,cytoplasmic,470.655,3098.79,310.9973916392017,0.771,12407.592,14.099
JCVISYN3A_0063,dusB,Uncharacterized tRNA dihydrouridine synthase,cytoplasmic,957.459,197.51,19.82228596728168,0.633,7389.064,
JCVISYN3A_0064,lysRS,Lysine--tRNA ligase,cytoplasmic,589.913,879.549,88.27234434242497,0.727,1233.738,11.324
JCVISYN3A_0065,trxA,Thioredoxin,cytoplasmic,2792.728,1519.0,152.4482123666766,0.666,39711.742,7.138
JCVISYN3A_0066,dumP,dUMP phosphatase ,cytoplasmic,1240.912,5484.614,550.440894341809,0.675,19328.906,
JCVISYN3A_0076,asnRS,Asparagine--tRNA ligase,cytoplasmic,242.62,2579.588,258.8898812017362,0.808,11491.057,9.45
JCVISYN3A_0077,,Low specificity hydrolase ,cytoplasmic,225.231,223.499,22.43054028426633,0.764,19299.156,
JCVISYN3A_0079,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit D,cytoplasmic,284.568,285.887,28.69190307132901,0.717,710.14,4.655
JCVISYN3A_0080,,Uncharacterized protein,cytoplasmic,563.275,504.42,50.62408926865687,0.601,515.657,
JCVISYN3A_0081,mnmE; trmE,tRNA uridine(34) 5-carboxymethylaminomethyl synthesis GTPase,cytoplasmic,70.166,430.733,43.22875225342503,0.755,4882.077,2.756
JCVISYN3A_0082,rpsT,30S ribosomal protein S20,cytoplasmic,144.193,1090.411,109.43465135108752,0.783,124682.968,
JCVISYN3A_0094,,Uncharacterized protein,membrane,43.632,3.639,0.3651722275414039,0.639,17784.568,
JCVISYN3A_0095,secA,Preprotein translocase subunit A,cytoplasmic,656.318,3582.667,359.55981425921453,0.763,24534.406,5.271
JCVISYN3A_0097,yycJ,Flap endonuclease and 5' exonuclease ,cytoplasmic,130.131,198.943,19.96609716088706,0.752,7677.38,
JCVISYN3A_0105,xseB,Exodeoxyribonuclease VII small subunit,cytoplasmic,33.471,297.204,29.827667320839502,0.694,11936.595,
JCVISYN3A_0106,xseA,Exodeoxyribonuclease VII large subunit,cytoplasmic,50.856,40.66,4.080629558496971,0.663,4579.14,
JCVISYN3A_0107,nusB,Transcription antitermination factor,cytoplasmic,36.168,181.166,18.181989312079622,0.614,11941.637,
JCVISYN3A_0108,,Uncharacterized lipoprotein,lipoprotein,41.176,316.895,31.803896133221524,0.672,2414.449,
JCVISYN3A_0109,nfo,Deoxyribonuclease IV,cytoplasmic,35.984,77.189,7.746799119867422,0.756,14035.384,4.741
JCVISYN3A_0113,bcsA,Glycolipid synthase A,membrane,203.631,95.791,9.613704362710616,0.681,6723.379,
JCVISYN3A_0114,bcsB; cps,Glycolipid synthase B,cytoplasmic,20.562,101.918,10.22853559540563,0.683,3453.993,2.511
JCVISYN3A_0115,galU; gtaB,UTP--glucose-1-phosphate uridylyltransferase,cytoplasmic,927.087,3744.997,375.8513642137386,0.716,4128.098,12.184
JCVISYN3A_0116,,Uncharacterized protein,membrane,13.03,248.205,24.910101623754965,0.673,7702.492,
JCVISYN3A_0117,plsY,Acyl-phosphate glycerol 3-phosphate acyltransferase,membrane,245.452,70.067,7.031975376952031,0.679,2679.24,
JCVISYN3A_0126,gluRS,Glutamate--tRNA ligase,cytoplasmic,85.716,516.567,51.84315472710963,0.788,5917.058,30.194
JCVISYN3A_0127,,Uncharacterized phosphohydrolase,cytoplasmic,101.847,228.8,22.962625522749924,0.732,999.876,16.034
JCVISYN3A_0128,rpoE,DNA-directed RNA polymerase subunit delta,cytoplasmic,905.994,989.545,99.31161340454337,0.637,2788.589,
JCVISYN3A_0129,pyrG,CTP synthase,cytoplasmic,404.367,3306.002,331.79342056427765,0.772,35106.062,
JCVISYN3A_0131,fbaA,"Fructose-1,6-bisphosphate aldolase",cytoplasmic,1942.097,2123.581,213.1245076372273,0.759,30864.142,12.33
JCVISYN3A_0132,ietA,Toxin-antitoxin AAA ATPase,cytoplasmic,72.678,835.373,83.83877726715488,0.618,1592.811,
JCVISYN3A_0133,ietS,Toxin-antitoxin serine protease,cytoplasmic,94.699,311.868,31.29934277491111,0.63,8327.692,
JCVISYN3A_0137,rpmE,50S ribosomal protein L31,cytoplasmic,354.601,1631.847,163.77367294204535,0.79,59244.446,1.15
JCVISYN3A_0138,,Uncharacterized protein,cytoplasmic,53.957,515.14,51.69992933975523,0.728,3449.496,
JCVISYN3A_0139,ytqI; orn,NanoRNAse,cytoplasmic,300.137,608.446,61.06423326642759,0.815,1712.17,7.927
JCVISYN3A_0140,tdk,Thymidine kinase,cytoplasmic,351.353,657.228,65.95999652304319,0.73,154233.36,
JCVISYN3A_0141,prfA,Peptide chain release factor 1,cytoplasmic,1121.103,1730.966,173.72133213864063,0.793,3545.044,4.94
JCVISYN3A_0142,prmC,"Protein-(glutamine-N5) methyltransferase, release factor-specific",cytoplasmic,86.322,107.742,10.813056196100757,0.695,853.342,
JCVISYN3A_0143,,Uncharacterized protein,membrane,98.908,39.781,3.992487482522896,0.712,6306.188,
JCVISYN3A_0144,tsaC,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit,cytoplasmic,76.5,245.255,24.61404910574233,0.665,4882.077,
JCVISYN3A_0145,,Uncharacterized acetyltransferase,cytoplasmic,226.242,1362.957,136.7875991576065,0.72,4048.062,
JCVISYN3A_0146,ywnG-like,Uncharacterized protein,cytoplasmic,6.162,83.112,8.341197021398271,0.656,4160.19,
JCVISYN3A_0147,clsA,Cardiolipin synthase,membrane,17.236,96.502,9.685076405636254,0.785,4385.235,
JCVISYN3A_0148,rpsL,30S ribosomal protein S12,cytoplasmic,10399.053,3751.407,376.49470334671247,0.626,246119.445,3.613
JCVISYN3A_0149,rpsG,30S ribosomal protein S7,cytoplasmic,4261.396,15666.069,1572.2612295433464,0.796,77149.424,3.745
JCVISYN3A_0150,fusA,Translation elongation factor G,cytoplasmic,8014.986,5118.501,513.6974543280338,0.749,19023.141,3.413
JCVISYN3A_0151,tuf,Translation elongation factor Tu,cytoplasmic,25395.857,50711.589,5089.462037727943,0.735,10030.355,20.158
JCVISYN3A_0163,alaRS,Alanine--tRNA ligase,cytoplasmic,326.486,2792.674,280.2753337253914,0.785,9562.695,
JCVISYN3A_0164,,Uncharacterized protein,membrane,74.076,622.879,62.51271839487466,0.78,3059.406,
JCVISYN3A_0165,amiC,Oligopeptide ABC transporter permease,membrane,872.003,320.494,32.16502954850721,0.695,39711.742,
JCVISYN3A_0166,oppC,Oligopeptide ABC transporter permease,membrane,721.678,258.055,25.898651207092257,0.75,140580.714,
JCVISYN3A_0167,amiE,Oligopeptide ABC transporter ATP-binding protein,cytoplasmic,588.621,1064.526,106.83677252860176,0.764,24534.406,5.729
JCVISYN3A_0168,amiF,Oligopeptide ABC transporter ATP-binding protein,cytoplasmic,552.775,1666.016,167.20290941595132,0.784,7385.944,
JCVISYN3A_0169,amiA,Oligopeptide ABC transporter substrate-binding protein,lipoprotein,1258.92,1272.17,127.67617811753944,0.675,158505.506,
JCVISYN3A_0195,potC,Spermidine/putrescine ABC transporter permease,membrane,239.514,735.286,73.79402182777874,0.724,18534.55,
JCVISYN3A_0196,potB,Spermidine/putrescine ABC transporter permease,membrane,301.3,446.532,44.81437069403406,0.718,16273.774,
JCVISYN3A_0197,potA,Spermidine/putrescine ABC transporter ATP-binding protein,cytoplasmic,500.548,2246.177,225.4284279707368,0.749,11040.458,3.028
JCVISYN3A_0198,rplT,50S ribosomal protein L20,cytoplasmic,990.636,6326.51,634.9344195881132,0.821,29024.531,3.758
JCVISYN3A_0199,rpmI,50S ribosomal protein L35,cytoplasmic,2726.381,,,0.647,19291.008,
JCVISYN3A_0200,infC,Translation initiation factor IF-3,cytoplasmic,1158.337,2443.719,245.2539338769241,0.68,36601.952,3.069
JCVISYN3A_0201,def,Peptide deformylase,cytoplasmic,268.49,814.702,81.76429327481716,0.688,8684.601,3.75
JCVISYN3A_0202,rsmD,16S rRNA (guanine(966)-N(2))-methyltransferase,cytoplasmic,25.29,449.632,45.12544906331213,0.732,5365.454,
JCVISYN3A_0203,gmk,Guanylate kinase,cytoplasmic,155.122,610.031,61.22328529999651,0.768,15574.635,5.983
JCVISYN3A_0213,eno,Phosphopyruvate hydratase,cytoplasmic,2087.077,7896.194,792.4693260533717,0.796,2376.255,31.337
JCVISYN3A_0214,pgpA,Phosphatidylglycerophosphatase,membrane,10.468,22.019,2.209894974390621,0.683,103.391,
JCVISYN3A_0215,yrrK; yqgF,Pre-16S rRNA nuclease ,cytoplasmic,160.891,280.673,28.16861855318457,0.681,276.717,
JCVISYN3A_0216,hptA,Hypoxanthine phosphoribosyltransferase,cytoplasmic,225.384,3407.725,342.0024773692281,0.788,5408.846,1.211
JCVISYN3A_0218,glpK,Glycerol kinase,cytoplasmic,1587.397,5506.531,552.6405011703979,0.755,50484.28,14.86
JCVISYN3A_0220,pfkA,6-Phosphofructokinase,cytoplasmic,947.947,2057.387,206.48129923787383,0.788,2689.733,43.074
JCVISYN3A_0221,pyk,Pyruvate kinase,cytoplasmic,1245.738,2119.617,212.72677249187817,0.748,12652.909,28.541
JCVISYN3A_0222,thrRS,Threonine--tRNA ligase,cytoplasmic,134.276,1563.8,156.94437700930845,0.8,14.721,9.998
JCVISYN3A_0227,pdhC,Branched-chain alpha-keto acid dehydrogenase subunit E2,cytoplasmic,4740.136,6736.594,676.0907953990447,0.741,10175.89,13.833
JCVISYN3A_0228,lpdA,Dihydrolipoyl dehydrogenase,cytoplasmic,4695.831,4343.858,435.9536176032104,0.74,5155.058,9.979
JCVISYN3A_0229,pta,Phosphate acetyltransferase,cytoplasmic,3314.566,1467.469,147.27651738163897,0.759,1896.321,13.827
JCVISYN3A_0230,ackA,Acetate kinase,cytoplasmic,2128.174,3711.259,372.4653783748613,0.761,16210.289,47.314
JCVISYN3A_0233,ptsI,ptsI: Phosphoenolpyruvate--protein phosphotransferase,cytoplasmic,520.84,2311.78,232.0123783045092,0.727,11473.37,18.17
JCVISYN3A_0234,crr,PTS glucose transporter subunit IIA,cytoplasmic,1971.069,1511.144,151.6597762001129,0.781,59244.446,
JCVISYN3A_0235,,Uncharacterized protein,membrane,503.326,155.907,15.647001286241627,0.496,942.907,
JCVISYN3A_0238,rpsD,30S ribosomal protein S4,cytoplasmic,1708.713,11973.269,1201.6483599447847,0.776,81463.234,4.591
JCVISYN3A_0239,-/ezrA,Uncharacterized protein/FtsZ filament regulator,membrane,9.376,83.124,8.342444672497972,0.753,4882.077,
JCVISYN3A_0240,thiI,tRNA 4-thiouridine(8) synthase,cytoplasmic,67.894,553.129,55.51256926496747,0.726,3194.686,5.364
JCVISYN3A_0247,ysxC; yihA,Ribosome biogenesis GTP-binding protein,cytoplasmic,246.168,793.37,79.62334468849994,0.665,1869.2,4.814
JCVISYN3A_0248,,Uncharacterized protein,membrane,84.667,124.864,12.531497039105084,0.615,5593.045,
JCVISYN3A_0249,,Uncharacterized protein,membrane,62.625,377.479,37.88410312042666,0.698,383.412,
JCVISYN3A_0250,,Uncharacterized protein,cytoplasmic,56.754,1461.435,146.67093880010697,0.723,9776.863,
JCVISYN3A_0253,greA,Transcription elongation factor,cytoplasmic,408.812,9293.215,932.6756609452184,0.815,27662.673,1.66
JCVISYN3A_0254,uvrC,Excinuclease ABC subunit C,cytoplasmic,45.475,280.878,28.18913859701868,0.758,27614.991,
JCVISYN3A_0257,rnjB,RNase J family beta-CASP ribonuclease,cytoplasmic,456.385,1662.948,166.89496754588157,0.748,8004.518,4.797
JCVISYN3A_0259,nadK,NAD(+) kinase,cytoplasmic,94.368,639.675,64.1984206629627,0.739,4160.19,16.073
JCVISYN3A_0260,valRS,Valine--tRNA ligase,cytoplasmic,163.074,764.125,76.68827217813752,0.783,57.359,5.246
JCVISYN3A_0262,rpe,Ribulose-phosphate 3-epimerase,cytoplasmic,311.262,1173.3,117.75351488148652,0.767,1821.191,
JCVISYN3A_0263,rsgA; engC,Ribosome small subunit-dependent GTPase A,cytoplasmic,142.634,98.294,9.864860859168058,0.721,8896.06,
JCVISYN3A_0264,prkC; stkP,Uncharacterized serine/threonine protein kinase,membrane,110.622,2.044,0.2051824398644917,0.71,14377.128,53.716
JCVISYN3A_0270,tsaE; yjeE,tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase,cytoplasmic,21.12,598.696,60.08564422353931,0.716,32512.816,
JCVISYN3A_0271,tsaB; yeaZ,tRNA N6-adenosine(37)-N6-threonylcarbamoyltransferase complex dimerization subunit,cytoplasmic,26.951,362.008,36.33147321724633,0.777,16445.491,3.759
JCVISYN3A_0281,,Uncharacterized protein,cytoplasmic,10.595,220.667,22.14637778467419,0.776,29966.767,
JCVISYN3A_0282,proRS,Proline--tRNA ligase,cytoplasmic,79.009,1162.411,116.66065387365616,0.763,7283.386,7.014
JCVISYN3A_0283,rnhA,Double-stranded RNA binding RNase HI,cytoplasmic,134.924,332.392,33.35914027346285,0.756,1376.984,
JCVISYN3A_0285,lepA; EF4,Elongation factor 4,cytoplasmic,209.337,973.952,97.7467657564801,0.75,2512.991,
JCVISYN3A_0286,,Uncharacterized protein,cytoplasmic,135.178,37.308,3.744266354691193,0.708,26197.822,
JCVISYN3A_0287,aspRS,Aspartate--tRNA ligase,cytoplasmic,192.457,671.876,67.43010473622323,0.808,2718.114,7.402
JCVISYN3A_0288,hisRS,Histidine--tRNA ligase,cytoplasmic,152.518,1303.265,130.79688477652266,0.74,7400.454,47.314
JCVISYN3A_0289,rbfA,Ribosome-binding factor A,cytoplasmic,363.041,3803.362,381.708918325579,0.744,39650.62,
JCVISYN3A_0290,truB,tRNA pseudouridine(55) synthase,cytoplasmic,11.793,11.488,1.152896280557577,0.779,756.841,
JCVISYN3A_0291,ribF,FAD synthetase,cytoplasmic,13.911,160.651,16.12312715565385,0.656,12913.988,
JCVISYN3A_0294,rpsO,30S ribosomal protein S15,cytoplasmic,485.525,394.742,39.61666854684373,0.801,14848.476,3.21
JCVISYN3A_0296,,Uncharacterized protein,membrane,66.178,306.272,30.737770704796613,0.632,1552.557,
JCVISYN3A_0297,infB,Translation initiation factor IF-2,cytoplasmic,1817.018,2989.022,299.9809829154429,0.774,24524.047,6.251
JCVISYN3A_0298,-/ylxR,Uncharacterized L7Ae family protein/Transcription Termination Nucleic Acid Binding,cytoplasmic,244.972,276.091,27.708732502355087,0.721,1083.158,
JCVISYN3A_0299,ylxR/ylxQ,Uncharacterized protein,cytoplasmic,259.12,982.247,98.57926377947672,0.749,367.81,
JCVISYN3A_0300,nusA,Transcription termination/antitermination protein NusA,cytoplasmic,404.593,1789.004,179.5461092905677,0.811,3590.282,
JCVISYN3A_0301,rimP,Ribosome assembly cofactor,cytoplasmic,88.848,910.481,91.37668302448668,0.682,3602.025,
JCVISYN3A_0302,fre,Flavin reductase,cytoplasmic,102.418,464.249,46.592505785625896,0.718,853.342,
JCVISYN3A_0303,polC,PolC-type DNA polymerase III,cytoplasmic,155.147,156.906,15.747271660320209,0.75,10439.728,7.484
JCVISYN3A_0304,cdsA,Phosphatidate cytidylyltransferase,membrane,68.552,85.852,8.616185933389335,0.666,4506.703,
JCVISYN3A_0305,pepP,Prolidase ,cytoplasmic,821.002,7109.952,713.5614091620848,0.744,39711.742,19.206
JCVISYN3A_0308,trpRS,Tryptophan--tRNA ligase,cytoplasmic,7.44,315.308,31.644596835773434,0.789,18542.379,47.314
JCVISYN3A_0314,ecfS,Uncharacterized ECF transporter S component,membrane,618.487,714.376,71.69540641972537,0.647,1549.881,
JCVISYN3A_0315,-/ynzC-like,Uncharacterized protein/DNA Damage Control,cytoplasmic,72.978,53.886,5.408098452236449,0.822,1725.48,
JCVISYN3A_0316,tkt,Transketolase,cytoplasmic,378.354,1471.029,147.63384191962166,0.798,15574.635,47.314
JCVISYN3A_0317,,Uncharacterized protein,membrane,376.272,2691.776,270.149137742948,0.823,6997.783,70.248
JCVISYN3A_0325,,Uncharacterized protein,membrane,30.29,72.178,7.243865056015057,0.697,90.138,
JCVISYN3A_0326,,Uncharacterized protein,cytoplasmic,30.753,230.972,23.18054720904064,0.649,5812.356,
JCVISYN3A_0327,scpA,Chromosome segregation protein A,cytoplasmic,47.458,74.768,7.503778422930618,0.68,3630.959,
JCVISYN3A_0328,scpB,Chromosome segregation protein B,cytoplasmic,96.317,499.796,50.15995125892543,0.743,6818.052,3.157
JCVISYN3A_0329,rluB,Uncharacterized pseudouridine synthase,cytoplasmic,132.017,427.11,42.8651142550435,0.75,1945.488,
JCVISYN3A_0330,dgk,Deoxyguanosine kinase,cytoplasmic,149.075,756.611,75.93416809523224,0.745,8344.052,
JCVISYN3A_0332,,Uncharacterized protein,membrane,48.633,275.952,27.69476473311894,0.717,3272.472,
JCVISYN3A_0338,,Uncharacterized lipoprotein,lipoprotein,2852.394,3760.121,377.3692517630971,0.59,1084.827,
JCVISYN3A_0344,ppa,Inorganic diphosphatase,cytoplasmic,1038.293,8966.933,899.9296970663064,0.776,126274.009,7.447
JCVISYN3A_0345,ecfS,Uncharacterized ECF transporter S component,membrane,123.657,489.496,49.12622180141748,0.704,3189.768,
JCVISYN3A_0346,,Uncharacterized protein,membrane,15.356,205.617,20.635887069371243,0.765,2615.554,
JCVISYN3A_0347,cmk,Cytidylate kinase,cytoplasmic,38.054,363.554,36.48664222159687,0.725,2902.4,6.343
JCVISYN3A_0348,engA,Ribosome biogenesis GTPase,cytoplasmic,45.57,689.682,69.21711941787208,0.819,4399.579,4.078
JCVISYN3A_0350,hupA,DNA-binding protein,cytoplasmic,171.289,206.29,20.703416871453136,0.766,7376.327,
JCVISYN3A_0352,-/dnaD-like,Uncharacterized protein/DNA Replication Machinery,cytoplasmic,9.847,39.262,3.940406701308623,0.74,278.409,
JCVISYN3A_0353,gpsB,Cell division DivIVA/GpsB protein ,cytoplasmic,36.354,2258.715,226.6866935145712,0.668,14608.216,
JCVISYN3A_0359,rny,Ribonuclease Y,membrane,1375.407,897.873,90.1113840148692,0.704,785.162,
JCVISYN3A_0360,ffh,Signal recognition particle protein,cytoplasmic,2147.98,2462.23,247.1116662502148,0.758,2316.201,7.055
JCVISYN3A_0361,rlmH,23S rRNA (pseudouridine(1915)-N3)-methyltransferase,cytoplasmic,397.422,709.994,71.25570103504143,0.764,42.845,
JCVISYN3A_0362,rpsP,30S ribosomal protein S16,cytoplasmic,2436.257,749.22,75.19245137269175,0.691,204426.72,4.017
JCVISYN3A_0363,rimM,16S rRNA processing protein,cytoplasmic,671.749,168.182,16.87888418579946,0.728,285.188,
JCVISYN3A_0364,trmD,tRNA (guanosine(37)-N1)-methyltransferase,cytoplasmic,1599.006,50.405,5.058688593335988,0.738,3736.813,1.142
JCVISYN3A_0365,rplS,50S ribosomal protein L19,cytoplasmic,2278.696,12955.875,1300.263559447729,0.641,75070.042,4.151
JCVISYN3A_0366,ylqF; rbgA,L16-binding dependent 50S subunit-maturation GTPase,cytoplasmic,123.5,1405.843,141.0917192962065,0.777,1223.149,2.226
JCVISYN3A_0371,ywjA,Flippase A,membrane,102.255,596.554,59.87076017723266,0.723,10607.529,254.763
JCVISYN3A_0372,ywjA,Flippase B,membrane,103.045,740.645,74.33178881355853,0.765,413993.23,
JCVISYN3A_0373,,Uncharacterized protein,cytoplasmic,35.587,142.379,14.289330648355197,0.767,12251.257,
JCVISYN3A_0375,,Uncharacterized protein,cytoplasmic,270.669,148.041,14.857509989632849,0.707,11491.057,
JCVISYN3A_0376,,Uncharacterized protein,cytoplasmic,139.536,65.708,6.594485524289415,0.647,1444.774,
JCVISYN3A_0377,obgE,Ribosome GTPase,cytoplasmic,879.063,826.117,82.90985502582029,0.748,9791.934,4.035
JCVISYN3A_0378,nadE,NAD(+) synthase,cytoplasmic,443.018,488.513,49.02759245162881,0.753,2447.727,6.664
JCVISYN3A_0379,,Uncharacterized protein,membrane,154.368,1.772,0.1778342146048393,0.662,922.997,
JCVISYN3A_0380,nadD,Nicotinate (nicotinamide) nucleotide adenylyltransferase,cytoplasmic,160.641,153.507,15.406102165177847,0.777,3144.149,5.404
JCVISYN3A_0381,mtnN,5'-Methylthioadenosine nucleosidase,cytoplasmic,239.384,38.983,3.912419719858412,0.723,3896.041,
JCVISYN3A_0382,dnk,Deoxynucleoside kinase,cytoplasmic,61.802,128.189,12.86519382816546,0.755,3902.047,
JCVISYN3A_0387,mnmA,tRNA 2-thiouridine(34) synthase,cytoplasmic,34.137,145.297,14.582132254421763,0.79,12429.016,6.505
JCVISYN3A_0388,,Uncharacterized protein,membrane,217.925,1764.247,177.06142404906998,0.683,698.649,
JCVISYN3A_0389,,Uncharacterized protein,cytoplasmic,42.672,235.486,23.633629599453396,0.825,1552.557,
JCVISYN3A_0390,fmt,Methionyl-tRNA formyltransferase,cytoplasmic,168.194,281.276,28.2290955209888,0.795,15824.971,2.253
JCVISYN3A_0391,efp,Elongation factor P,cytoplasmic,897.342,1312.661,131.73986677739774,0.755,39650.62,4.666
JCVISYN3A_0392,,Uncharacterized protein,cytoplasmic,325.311,1762.865,176.92279891973774,0.788,13813.358,
JCVISYN3A_0394,lon,Endopeptidase La,cytoplasmic,471.87,5165.77,518.4414952295289,0.736,4329.981,2.131
JCVISYN3A_0398,,Uncharacterized lipoprotein,lipoprotein,10.891,247.226,24.81181821663932,0.738,9562.695,
JCVISYN3A_0399,,Uncharacterized efflux ABC transporter permease,membrane,89.581,174.342,17.497151872782084,0.759,6563.565,
JCVISYN3A_0400,thiJ/thiJ-like,Uncharacterized protease/Protein deglycase,cytoplasmic,180.734,138.888,13.938975351465906,0.783,4227.058,
JCVISYN3A_0401,,Uncharacterized peptidase,membrane,5.073,1.576,0.1582100342524708,0.722,0.009,
JCVISYN3A_0402,ybeY,rRNA maturation RNase,cytoplasmic,23.6,209.239,20.99937418046294,0.759,11960.046,
JCVISYN3A_0403,era,Ribosome GTPase,cytoplasmic,49.832,375.596,37.69515519468166,0.72,1273.07,
JCVISYN3A_0404,recO,DNA repair protein,cytoplasmic,32.198,44.178,4.433743362949662,0.699,19799.54,
JCVISYN3A_0405,glyRS,Glycine--tRNA ligase,cytoplasmic,286.463,604.589,60.67712252521445,0.724,54605.067,12.657
JCVISYN3A_0406,dnaG,DNA primase,cytoplasmic,92.426,145.845,14.637184675196847,0.703,8896.06,4.664
JCVISYN3A_0407,rpoD,RNA polymerase subunit sigma,cytoplasmic,741.672,1918.818,192.5743759438842,0.81,38095.801,1.498
JCVISYN3A_0408,trmK; yqfN,tRNA (m1A22) methyltransferase ,cytoplasmic,100.784,70.074,7.032699001421781,0.773,1554.95,
JCVISYN3A_0409,folE/yqfO-like,Uncharacterized protein/GTP cyclohydrolase,cytoplasmic,57.84,279.921,28.093101846968345,0.764,1223.149,
JCVISYN3A_0410,cshB,Degradosome RNA helicase ,cytoplasmic,154.919,692.151,69.46494721242024,0.777,6723.379,1.014
JCVISYN3A_0411,,Uncharacterized protein,membrane,420.041,157.903,15.847317709424033,0.716,36601.952,
JCVISYN3A_0412,secDF,Preprotein translocase subunit DF,membrane,245.865,1094.035,109.79832321168324,0.731,35106.062,
JCVISYN3A_0413,apt,Adenine phosphoribosyltransferase,cytoplasmic,724.398,4223.175,423.84176178682935,0.79,2615.554,9.742
JCVISYN3A_0414,relA,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",cytoplasmic,203.252,730.349,73.29846737706931,0.758,4329.981,12.63
