locus_tag	gene_name	gene_product	RNA Type	Illumina_sense_TPM	ONT_sense_TPM	MW_g_per_mol	copies_per_cell	mRNA_pool_share_pct
JCVISYN3A_0079	tsaD	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit D	mRNA	284.5677	340.3239	307209.88050000125	0.08009457058421135	0.041866184375937344
JCVISYN3A_0080		Uncharacterized protein	mRNA	563.2749	804.7379	71654.76359999992	0.15853964183694985	0.08287015995749929
JCVISYN3A_0081	mnmE%3B trmE	tRNA uridine(34) 5-carboxymethylaminomethyl synthesis GTPase	mRNA	70.166	356.9356	436690.3728000066	0.019748958295729886	0.010322966003949215
JCVISYN3A_0082	rpsT	30S ribosomal protein S20	mRNA	144.1932	3989.16	79459.3125999999	0.04058469192098507	0.02121399968076633
JCVISYN3A_0094		Uncharacterized protein	mRNA	43.6325	430.0421	228815.88549999899	0.01228082579651732	0.006419302998137477
JCVISYN3A_0095	secA	Preprotein translocase subunit A	mRNA	656.3181	635.8368	913805.2783000411	0.18472762856130714	0.09655886660314886
JCVISYN3A_0097	yycJ	Uncharacterized 5'-3' exonuclease	mRNA	130.1306	1327.8604	292898.38130000106	0.0366266253227818	0.019145081091604396
JCVISYN3A_0105	xseB	Exodeoxyribonuclease VII small subunit	mRNA	33.4713	208.2533	69891.7667999999	0.009420849240427897	0.004924366388393032
JCVISYN3A_0106	xseA	Exodeoxyribonuclease VII large subunit	mRNA	50.856	75.3317	453178.640400009	0.014313955806054771	0.007482039151395853
JCVISYN3A_0107	nusB	Transcription antitermination factor	mRNA	36.1683	123.2444	127949.61219999977	0.010179948241704635	0.005321154566608279
JCVISYN3A_0108		Uncharacterized lipoprotein	mRNA	41.1755	111.4619	357063.9365000044	0.011589277318157313	0.006057824112755622
JCVISYN3A_0109		Deoxyribonuclease IV	mRNA	35.9837	92.2584	279275.63960000064	0.010127990631161182	0.005293995835537261
JCVISYN3A_0113	bcsA	Glycolipid synthase A	mRNA	203.6313	1245.5989	431553.46140000597	0.05731416998838841	0.029958655007268253
JCVISYN3A_0114	bcsB%3B cps	Glycolipid synthase B	mRNA	20.5616	160.6955	294795.8864000008	0.005787278466685854	0.0030250648146795058
JCVISYN3A_0115	galU%3B gtaB	UTP--glucose-1-phosphate uridylyltransferase	mRNA	927.0871	6798.5229	280622.73200000037	0.2609384099764724	0.13639495789983563
JCVISYN3A_0116		Uncharacterized protein	mRNA	13.0299	281.4139	141188.50279999967	0.003667402327302837	0.0019169856445409158
JCVISYN3A_0117	plsY	Acyl-phosphate glycerol 3-phosphate acyltransferase	mRNA	245.4525	1013.2684	243837.49099999887	0.06908518635924295	0.03611147582995105
JCVISYN3A_0126	gluRS	Glutamate--tRNA ligase	mRNA	85.7158	476.3382	465954.89790000784	0.02412561296760716	0.012610684511035405
JCVISYN3A_0127		Uncharacterized phosphohydrolase	mRNA	101.8469	391.4426	389706.80820000486	0.028665880635198992	0.014983925067805142
JCVISYN3A_0128	rpoE	DNA-directed RNA polymerase subunit delta	mRNA	905.9941	16426.3317	138105.75309999968	0.25500156339362845	0.13329171242594087
JCVISYN3A_0129	pyrG	CTP synthase	mRNA	404.3672	3193.7706	514304.55320001015	0.11381339920988895	0.05949133282091232
JCVISYN3A_0131	fbaA	Fructose-1%2C6-bisphosphate aldolase	mRNA	1942.0966	5062.3071	288097.60730000073	0.5466235036866689	0.2857252398338991
JCVISYN3A_0132	ietA	Toxin-antitoxin AAA ATPase	mRNA	72.6785	1286.125	341657.1120000029	0.02045612783251439	0.010692610163298795
JCVISYN3A_0133	ietS	Toxin-antitoxin serine protease	mRNA	94.6987	963.4372	730150.2816000273	0.026653944602226663	0.013932267205173243
JCVISYN3A_0137	rpmE	50S ribosomal protein L31	mRNA	354.6007	882.6256	89829.3189999999	0.0998060946318249	0.05216958314677472
JCVISYN3A_0138		Uncharacterized protein	mRNA	53.9574	623.3662	609667.3780000211	0.015186877438446197	0.007938323488035366
JCVISYN3A_0139	ytqI%3B orn	NanoRNAse	mRNA	300.1366	614.8747	305611.02170000115	0.08447660115187075	0.044156712914244854
JCVISYN3A_0140	tdk	Thymidine kinase	mRNA	351.3526	531.1934	203038.99909999932	0.09889188274230061	0.0516917160048908
JCVISYN3A_0141	prfA	Peptide chain release factor 1	mRNA	1121.1028	586.8064	353533.8498000037	0.3155461682642021	0.164938946089734
JCVISYN3A_0142	prmC	Protein-(glutamine-N5) methyltransferase%2C release factor-specific	mRNA	86.3221	214.5282	271951.262	0.024296262476125544	0.012699884612055765
JCVISYN3A_0143		Uncharacterized protein	mRNA	98.9085	247.7243	470109.7134000074	0.02783883706628851	0.01455162162588164
JCVISYN3A_0144	tsaC	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit	mRNA	76.5001	386.1146	160453.85969999954	0.021531757325758433	0.01125485180284918
JCVISYN3A_0145		Uncharacterized acetyltransferase	mRNA	226.2418	2819.9874	293490.8165000007	0.06367813289842462	0.0332851581973075
JCVISYN3A_0146		Uncharacterized protein	mRNA	6.162	59.8084	226488.71789999912	0.0017343596758870048	0.0009065660934973503
JCVISYN3A_0147	clsA	Cardiolipin synthase	mRNA	17.2364	85.5858	489128.1188000084	0.004851365971674581	0.002535854562472854
JCVISYN3A_0148	rpsL	30S ribosomal protein S12	mRNA	10399.0526	440.1664	135393.47349999988	2.9269226707023557	1.5299299726802116
JCVISYN3A_0149	rpsG	30S ribosomal protein S7	mRNA	4261.3956	770.4598	150719.30149999968	1.1994145880626919	0.6269452713305416
JCVISYN3A_0150		Translation elongation factor G	mRNA	8014.9864	276.4537	666330.6006000205	2.255902177043614	1.179181257721907
JCVISYN3A_0151		Translation elongation factor Tu	mRNA	25395.8572	1969.0402	382935.64150000433	7.147930974077354	3.736290660957571
JCVISYN3A_0158	ssrA		ncRNA	65980.8781	236400.4618	131900.70939999964	67.70482617543638	
JCVISYN3A_0163	alaRS	Alanine--tRNA ligase	mRNA	326.486	1074.3802	865071.3981000419	0.09189291677079595	0.048033290750012315
JCVISYN3A_0164		Uncharacterized protein	mRNA	74.0764	314.4779	158834.41009999946	0.020849581482453118	0.010898272081847958
JCVISYN3A_0165	amiC	Oligopeptide ABC transporter permease	mRNA	872.0026	784.9239	398364.6000000038	0.24543429839477857	0.12829081314533147
JCVISYN3A_0166		Oligopeptide ABC transporter permease	mRNA	721.6782	449.9226	323128.4465000016	0.20312391578168074	0.10617477873031472
JCVISYN3A_0167	amiE	Oligopeptide ABC transporter ATP-binding protein	mRNA	588.6209	275.2738	546278.1599000121	0.16567353997798068	0.08659911552481248
JCVISYN3A_0168	amiF	Oligopeptide ABC transporter ATP-binding protein	mRNA	552.7748	277.2653	600221.0037000178	0.15558427831329177	0.08132536368383303
JCVISYN3A_0169	amiA	Oligopeptide ABC transporter substrate-binding protein	mRNA	1258.9203	540.9154	996658.6452000467	0.35433635239785305	0.18521493969417593
JCVISYN3A_0195	potC	Spermidine/putrescine ABC transporter permease	mRNA	239.5137	238.4758	997344.7314000513	0.0674136486696685	0.03523774737878875
JCVISYN3A_0196	potB	Spermidine/putrescine ABC transporter permease	mRNA	301.2997	384.7977	317824.2745000009	0.08480396787355593	0.04432783057463868
JCVISYN3A_0197	potA	Spermidine/putrescine ABC transporter ATP-binding protein	mRNA	500.5485	872.3767	339896.8069000028	0.14088463716743369	0.07364172318256385
JCVISYN3A_0198	rplT	50S ribosomal protein L20	mRNA	990.6362	1838.9145	115971.76799999982	0.2788249722093369	0.1457444319881629
JCVISYN3A_0199	rpmI	50S ribosomal protein L35	mRNA	2726.3809	1375.0833	61993.13979999992	0.767368564438254	0.40111075655611655
JCVISYN3A_0200	infC	Translation initiation factor IF-3	mRNA	1158.3367	344.6432	176542.18749999956	0.326026040827657	0.1704168739165226
JCVISYN3A_0201	def	Peptide deformylase	mRNA	268.4897	805.1721	193451.2810999993	0.07556924846981486	0.039500756000207
JCVISYN3A_0202	rsmD	16S rRNA (guanine(966)-N(2))-methyltransferase	mRNA	25.2895	129.7347	178780.3904999994	0.007117995622094191	0.003720643171291989
JCVISYN3A_0203	gmk	Guanylate kinase	mRNA	155.1221	423.9011	287761.18590000056	0.04366074571225438	0.022821881890961588
JCVISYN3A_0213	eno	Phosphopyruvate hydratase	mRNA	2087.0767	1908.9319	436666.3180000071	0.5874296768846672	0.3070550098585429
JCVISYN3A_0214	pgpA	Phosphatidylglycerophosphatase	mRNA	10.4684	59.1503	261850.11189999926	0.002946441225422837	0.0015401325045711883
JCVISYN3A_0215	yrrK%3B yqgF	Putative pre-16S rRNA nuclease	mRNA	160.8909	900.9556	139058.27069999967	0.045284435114762815	0.02367059959303356
JCVISYN3A_0216	hptA	Hypoxanthine phosphoribosyltransferase	mRNA	225.3837	3379.284	184132.34019999937	0.0634366116329461	0.033158912763222775
JCVISYN3A_0218	glpK	Glycerol kinase	mRNA	1587.3973	2574.9243	488739.17550000816	0.4467896570483457	0.23354115045265197
JCVISYN3A_0220	pfkA	6-Phosphofructokinase	mRNA	947.9471	244.5974	316678.00240000157	0.26680967625998475	0.13946392393527132
JCVISYN3A_0221	pyk	Pyruvate kinase	mRNA	1245.7384	1470.9427	462284.57240000775	0.35062616807270297	0.18327559149750722
JCVISYN3A_0222	thrRS	Threonine--tRNA ligase	mRNA	134.2765	521.205	616784.1860000183	0.03779353246011707	0.019755034413095902
JCVISYN3A_0227	pdhC	Branched-chain alpha-keto acid dehydrogenase subunit E2	mRNA	4740.1358	363.1795	426291.1339000057	1.3341610499429386	0.6973785126343618
JCVISYN3A_0228	lpdA	Dihydrolipoyl dehydrogenase	mRNA	4695.8311	421.2082	608659.7755000158	1.321691026390152	0.6908603141918801
JCVISYN3A_0229	pta	Phosphate acetyltransferase	mRNA	3314.5664	675.2812	311402.90620000125	0.9329195565092431	0.4876458151388471
JCVISYN3A_0230	ackA	Acetate kinase	mRNA	2128.1738	2008.4419	379581.94600000436	0.5989968876986718	0.31310129960230626
JCVISYN3A_0233	ptsI	Phosphoenolpyruvate--protein phosphotransferase	mRNA	520.8395	1073.8339	553843.0281000129	0.14659575241953093	0.07662697676957371
JCVISYN3A_0234	crr	PTS glucose transporter subunit IIA	mRNA	1971.0687	5622.3228	149690.2274999997	0.5547780057908178	0.28998767467930875
JCVISYN3A_0235		Uncharacterized protein	mRNA	503.3265	5476.5001	58702.61269999987	0.1416665344701948	0.07405042824711036
JCVISYN3A_0238	rpsD	30S ribosomal protein S4	mRNA	1708.713	7425.3708	202306.00319999942	0.4809352361025497	0.25138936535510187
JCVISYN3A_0239		Uncharacterized protein	mRNA	9.3762	75.753	572376.5579000167	0.0026390300540492916	0.0013794457977685582
JCVISYN3A_0240	thiI	tRNA 4-thiouridine(8) synthase	mRNA	67.8944	176.6501	381507.62320000475	0.01910959259632305	0.009988763547281159
JCVISYN3A_0247	ysxC%3B yihA	Ribosome biogenesis GTP-binding protein	mRNA	246.1682	1624.1918	190109.35069999943	0.06928662764779088	0.03621677108362129
JCVISYN3A_0248		Uncharacterized protein	mRNA	84.6667	723.1905	179271.1764999993	0.023830332744307414	0.012456338764737439
JCVISYN3A_0249		Uncharacterized protein	mRNA	62.6254	1032.6199	185460.2652999994	0.017626577157788707	0.009213577447534722
JCVISYN3A_0250		Uncharacterized protein	mRNA	56.7537	1594.5819	221367.03569999922	0.01597392546857973	0.00834972088616043
JCVISYN3A_0253	greA	Transcription elongation factor	mRNA	408.8122	1994.4817	152657.46719999966	0.11506449118640918	0.06014529034859745
JCVISYN3A_0254	uvrC	Excinuclease ABC subunit C	mRNA	45.4747	686.2162	563259.8818000153	0.012799332352005642	0.0066903312450444586
JCVISYN3A_0257	rnjB	RNase J family beta-CASP ribonuclease	mRNA	456.3851	959.8226	563245.1252000137	0.12845438398501433	0.06714431308623783
JCVISYN3A_0259	nadK	NAD(+) kinase	mRNA	94.3682	464.3434	256044.16419999945	0.026560921902960083	0.013883643366500591
JCVISYN3A_0260	valRS	Valine--tRNA ligase	mRNA	163.0741	1645.6002	840601.2931000399	0.04589891970489532	0.023991796460174655
JCVISYN3A_0262	rpe	Ribulose-phosphate 3-epimerase	mRNA	311.2623	1749.7191	217623.16939999917	0.08760804637193177	0.0457935487445635
JCVISYN3A_0263		Ribosome small subunit-dependent GTPase A	mRNA	142.634	310.5709	290112.806900001	0.04014583869043606	0.020984606974992052
JCVISYN3A_0264		Uncharacterized serine/threonine protein kinase	mRNA	110.6218	73.5748	357531.87500000355	0.03113566848329066	0.0162749063748207
JCVISYN3A_0270	tsaE%3B yjeE	tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase	mRNA	21.1199	555.1128	134053.2880999996	0.005944417870620894	0.0031072030571331856
JCVISYN3A_0271	tsaB%3B yeaZ	tRNA N6-adenosine(37)-N6-threonylcarbamoyltransferase complex dimerization subunit	mRNA	26.9514	411.5668	180423.02789999932	0.00758575484724132	0.003965145311957885
JCVISYN3A_0280	tRNA-Ser		tRNA	31.4977	10.6003	29058.1235	1.103124265715792	
JCVISYN3A_0281		Uncharacterized protein	mRNA	10.5948	178.146	218575.3543999992	0.00298201783415898	0.0015587287321301082
JCVISYN3A_0282	proRS	Proline--tRNA ligase	mRNA	79.0093	263.2761	458079.6913000077	0.022237998042852824	0.011624010459422296
JCVISYN3A_0283	rnhA	Double-stranded RNA binding RNase HI	mRNA	134.9244	237.6047	198755.2971999993	0.03797589072594102	0.019850354791540712
JCVISYN3A_0285	lepA%3B EF4	Elongation factor 4	mRNA	209.337	164.9535	580083.5900000146	0.05892009923257999	0.030798089307766112
JCVISYN3A_0286		Uncharacterized protein	mRNA	135.1785	675.9393	258513.97119999927	0.03804740984207911	0.019887738505328073
JCVISYN3A_0287	aspRS	Aspartate--tRNA ligase	mRNA	192.457	672.3402	554282.0370000133	0.05416904578743675	0.02831466904515085
JCVISYN3A_0288	hisRS	Histidine--tRNA ligase	mRNA	152.518	792.0205	399991.6410000056	0.042927794392556666	0.022438761351513934
JCVISYN3A_0289	rbfA	Ribosome-binding factor A	mRNA	363.0413	2673.9639	113873.51259999977	0.1021817902307038	0.05341138155131443
JCVISYN3A_0290	truB	tRNA pseudouridine(55) synthase	mRNA	11.7931	510.9132	281972.26480000047	0.003319291965871963	0.0017350250888061671
JCVISYN3A_0291	ribF	FAD synthetase	mRNA	13.9112	579.352	178201.5821999995	0.003915453476663307	0.0020466443102662023
JCVISYN3A_0294	rpsO	30S ribosomal protein S15	mRNA	485.5252	750.3571	86220.31609999984	0.13665617145520498	0.0714314644366309
JCVISYN3A_0295	tRNA-Gly		tRNA	379.8626	304.793	23703.894	31.71839988682522	
JCVISYN3A_0296		Uncharacterized protein	mRNA	66.1782	274.2242	206353.2894999991	0.018626550065366013	0.009736272679111709
JCVISYN3A_0297	infB	Translation initiation factor IF-2	mRNA	1817.0175	913.9237	600074.2080000171	0.5114186761410282	0.26732334579541084
JCVISYN3A_0298		Uncharacterized L7Ae family protein	mRNA	244.9721	443.2138	96512.19939999982	0.06894997272920463	0.03604079839546288
JCVISYN3A_0299		Uncharacterized protein	mRNA	259.1202	524.6152	90872.08449999984	0.07293210420119699	0.038122295920196704
JCVISYN3A_0300	nusA	Transcription termination/antitermination protein NusA	mRNA	404.5929	404.5113	565931.3972000165	0.11387692484748187	0.059524538268381055
JCVISYN3A_0301	rimP	Ribosome assembly cofactor	mRNA	88.8479	182.9167	159237.50879999963	0.02500717543772168	0.013071485494716522
JCVISYN3A_0302	fre	Flavin reductase	mRNA	102.4177	609.4828	208920.21459999916	0.02882653829553594	0.015067902335927226
JCVISYN3A_0303	polC	PolC-type DNA polymerase III	mRNA	155.1467	246.7987	1428459.9532000802	0.043667669640853356	0.022825501093477016
JCVISYN3A_0304	cdsA	Phosphatidate cytidylyltransferase	mRNA	68.5517	395.8143	328085.46100000106	0.019294596590961242	0.01008546687302861
JCVISYN3A_0305		Uncharacterized metallopeptidase	mRNA	821.0022	3997.1966	346207.4035000027	0.23107969969076886	0.12078752956941419
JCVISYN3A_0308	trpRS	Tryptophan--tRNA ligase	mRNA	7.4402	120.5862	324630.1840000027	0.0020941225025210147	0.0010946175022458593
JCVISYN3A_0314	ecfS	Uncharacterized ECF transporter S component	mRNA	618.487	1054.1605	234871.2492999989	0.17407966777999445	0.09099307748602656
JCVISYN3A_0315		Uncharacterized protein	mRNA	72.9783	435.351	49236.185399999944	0.02054050969405787	0.01073671735492984
JCVISYN3A_0316	tkt	Transketolase	mRNA	378.3545	759.5434	633688.75150002	0.10649185134540566	0.055664290980549036
JCVISYN3A_0317		Uncharacterized protein	mRNA	376.2723	1133.879	79257.95799999993	0.1059057942670006	0.05535795344080866
JCVISYN3A_0325		Uncharacterized protein	mRNA	30.2899	162.2688	478596.14640000655	0.00852541076706423	0.00445631228747572
JCVISYN3A_0326		Uncharacterized protein	mRNA	30.7534	123.1837	243459.91949999885	0.00865586771444716	0.004524503359260209
JCVISYN3A_0327	scpA	Chromosome segregation protein A	mRNA	47.4583	364.1407	268394.62379999994	0.013357637423912404	0.006982162550312447
JCVISYN3A_0328	scpB	Chromosome segregation protein B	mRNA	96.3172	243.0627	202429.93469999946	0.027109488441146346	0.01417038424871843
JCVISYN3A_0329	rluB	Uncharacterized pseudouridine synthase	mRNA	132.0172	1000.2267	243873.239999999	0.03715762872500972	0.019422641557685555
JCVISYN3A_0330	dgk	Deoxyguanosine kinase	mRNA	149.0752	1030.5426	198619.4235999993	0.041958782141316195	0.02193224954581892
JCVISYN3A_0332		Uncharacterized protein	mRNA	48.6331	591.9171	264009.5195999994	0.01368829723358979	0.007155001538731901
JCVISYN3A_0338		Uncharacterized lipoprotein	mRNA	2852.3939	8878.5107	232334.61819999915	0.8028362479561942	0.41965004788034266
JCVISYN3A_0344	ppa	Inorganic diphosphatase	mRNA	1038.293	7834.5801	181134.37699999954	0.29223847954491167	0.1527557982660896
JCVISYN3A_0345	ecfS	Uncharacterized ECF transporter S component	mRNA	123.6573	370.6119	285175.3992999999	0.034804646989461556	0.01819271590286107
JCVISYN3A_0346		Uncharacterized protein	mRNA	15.3562	260.4259	222899.54449999912	0.004322163916724443	0.002259235677533919
JCVISYN3A_0347	cmk	Cytidylate kinase	mRNA	38.0537	301.5815	213125.6976999992	0.010710613891317966	0.00559853848622527
JCVISYN3A_0348	engA	Ribosome biogenesis GTPase	mRNA	45.5704	318.4409	419795.6352000061	0.012826268123018687	0.0067044108255617735
JCVISYN3A_0350	hupA	DNA-binding protein	mRNA	171.2893	651.0004	87966.23299999989	0.048211174104334946	0.02520043355386168
JCVISYN3A_0352		Uncharacterized protein	mRNA	9.8466	86.5339	175872.6784999994	0.0027714290789660795	0.0014486520117220074
JCVISYN3A_0353		Uncharacterized protein	mRNA	36.3535	1313.9794	122007.60949999977	0.010232074728555375	0.005348401570911379
JCVISYN3A_0356	rnpB		ncRNA	80245.8665	17625.2601	109885.16599999988	5.0478546542642775	
JCVISYN3A_0359		Ribonuclease Y	mRNA	1375.4067	498.8065	492603.51130000874	0.38712267420071644	0.2023526580637913
JCVISYN3A_0360	ffh	Signal recognition particle protein	mRNA	2147.98	653.452	433766.1428000065	0.6045715508944772	0.31601522841779267
JCVISYN3A_0361	rlmH	23S rRNA (pseudouridine(1915)-N3)-methyltransferase	mRNA	397.4217	476.5798	150122.69449999963	0.11185851522273	0.058469496598519285
JCVISYN3A_0362	rpsP	30S ribosomal protein S16	mRNA	2436.2568	2282.0566	89805.39669999987	0.6857100866643154	0.3584271032022648
JCVISYN3A_0363	rimM	16S rRNA processing protein	mRNA	671.7491	2516.0534	158865.67339999948	0.18907084572434063	0.09882910701028252
JCVISYN3A_0364	trmD	tRNA (guanosine(37)-N1)-methyltransferase	mRNA	1599.0057	1650.8462	232608.9516999992	0.450056963257623	0.23524900209818175
JCVISYN3A_0365	rplS	50S ribosomal protein L19	mRNA	2278.6965	1762.6781	123491.07069999985	0.6413630839313295	0.33524650832052655
JCVISYN3A_0366	ylqF%3B rbgA	L16-binding dependent 50S subunit-maturation GTPase	mRNA	123.4999	1384.0662	305731.58590000134	0.03476034510484867	0.0181695588916445
JCVISYN3A_0371	ywjA	Flippase A	mRNA	102.2548	164.5109	599904.9903000165	0.02878068837810621	0.01504393615341656
JCVISYN3A_0372	ywjA	Flippase B	mRNA	103.0448	232.1607	593627.7323000159	0.029003042182707113	0.01516016257565981
JCVISYN3A_0373		Uncharacterized protein	mRNA	35.5867	205.8906	513938.50240001036	0.010016250807836429	0.005235588380308691
JCVISYN3A_0374	tRNA-Arg		tRNA	1701.3567	144.8965	24877.6981	15.078709580605102	
JCVISYN3A_0375		Uncharacterized protein	mRNA	270.669	305.2419	237451.309799999	0.07618263536394995	0.039821379091339544
JCVISYN3A_0376		Uncharacterized protein	mRNA	139.5361	565.2451	110625.27299999978	0.03927390216983718	0.020528837565539696
JCVISYN3A_0377	obgE	Ribosome GTPase	mRNA	879.063	438.0544	419649.82430000644	0.24742152219478383	0.1293295536916685
JCVISYN3A_0378	nadE	NAD(+) synthase	mRNA	443.0175	327.2691	237154.02539999914	0.12469193244275739	0.06517764432423927
JCVISYN3A_0379		Uncharacterized protein	mRNA	154.3675	365.6235	89589.03419999986	0.04344835560978371	0.022710863589411264
JCVISYN3A_0380	nadD	Nicotinate (nicotinamide) nucleotide adenylyltransferase	mRNA	160.6412	396.1189	352132.69140000263	0.0452141544248782	0.023633863216281487
