bsub_id	syn1_id	is_rbh	pident	align_len	bsub_len	syn1_len	bsub_cov_pct	syn1_cov_pct	evalue	bitscore	bsub_primary_id	bsub_locus_tag	bsub_gene	bsub_product	bsub_seqid	bsub_start_1b	bsub_end_1b	bsub_strand	syn1_primary_id	syn1_locus_tag	syn1_gene	syn1_product	syn1_seqid	syn1_start_1b	syn1_end_1b	syn1_strand	source
BSU_01110|rpsG|NC_000964.3	MMSYN1_0149|rpsG|CP002027.1	True	68.182	154	156	155	98.71794871794872	99.35483870967742	1.49e-78	225.0	BSU_01110	BSU_01110	rpsG	ribosomal protein S7 (BS7)	NC_000964.3	130160	130630	+	MMSYN1_0149	MMSYN1_0149	rpsG	ribosomal protein S7	CP002027.1	189458	189925	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_40890|rpsR|NC_000964.3	MMSYN1_0025|rpsR|CP002027.1	True	67.742	62	79	75	78.48101265822785	82.66666666666667	2.65e-28	92.4	BSU_40890	BSU_40890	rpsR	ribosomal protein S18	NC_000964.3	4198603	4198842	-	MMSYN1_0025	MMSYN1_0025	rpsR	ribosomal protein S18	CP002027.1	43284	43511	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01230|rplP|NC_000964.3	MMSYN1_0664|rplP|CP002027.1	True	66.912	136	144	137	94.44444444444444	99.27007299270073	2.29e-65	191.0	BSU_01230	BSU_01230	rplP	ribosomal protein L16	NC_000964.3	139500	139934	+	MMSYN1_0664	MMSYN1_0664	rplP	ribosomal protein L16	CP002027.1	801436	801849	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01280|rplE|NC_000964.3	MMSYN1_0659|rplE|CP002027.1	True	66.854	178	179	180	99.44134078212291	98.88888888888889	1.4799999999999999e-89	255.0	BSU_01280	BSU_01280	rplE	ribosomal protein L5 (BL6)	NC_000964.3	141195	141734	+	MMSYN1_0659	MMSYN1_0659	rplE	50S ribosomal protein L5 (BL6)	CP002027.1	799478	800020	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01190|rplB|NC_000964.3	MMSYN1_0668|rplB|CP002027.1	True	66.548	281	277	282	101.44404332129965	99.64539007092199	1.66e-139	389.0	BSU_01190	BSU_01190	rplB	ribosomal protein L2 (BL2)	NC_000964.3	137311	138144	+	MMSYN1_0668	MMSYN1_0668	rplB	ribosomal protein L2	CP002027.1	803218	804066	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_32130|guaC|NC_000964.3	MMSYN1_0050|guaC|CP002027.1	True	65.605	314	326	320	96.31901840490798	98.125	4.5000000000000004e-156	435.0	BSU_32130	BSU_32130	guaC	GMP reductase (NADP-dependent)	NC_000964.3	3303042	3304022	+	MMSYN1_0050	MMSYN1_0050	guaC	GMP reductase	CP002027.1	75529	76491	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01260|rplNA|NC_000964.3	MMSYN1_0661|rplN|CP002027.1	True	65.574	122	122	122	100.0	100.0	7.81e-56	165.0	BSU_01260	BSU_01260	rplNA	ribosomal protein L14	NC_000964.3	140451	140819	+	MMSYN1_0661	MMSYN1_0661	rplN	ribosomal protein L14	CP002027.1	800379	800747	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_25510|lepA|NC_000964.3	MMSYN1_0285|lepA|CP002027.1	True	64.716	598	612	600	97.7124183006536	99.66666666666667	0.0	805.0	BSU_25510	BSU_25510	lepA	ribosomal elongation factor, GTPase	NC_000964.3	2630910	2632748	-	MMSYN1_0285	MMSYN1_0285	lepA	GTP-binding protein LepA	CP002027.1	364056	365858	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_36810|atpD|NC_000964.3	MMSYN1_0790|atpD_2|CP002027.1	True	64.286	462	473	475	97.67441860465117	97.26315789473684	0.0	615.0	BSU_36810	BSU_36810	atpD	ATP synthase (subunit beta, component F1)	NC_000964.3	3781491	3782912	-	MMSYN1_0790	MMSYN1_0790	atpD_2	ATP synthase F1, beta subunit	CP002027.1	929889	931316	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01290|rpsNA|NC_000964.3	MMSYN1_0658|rpsN|CP002027.1	True	63.934	61	61	61	100.0	100.0	2.3999999999999998e-28	91.3	BSU_01290	BSU_01290	rpsNA	ribosomal protein S14	NC_000964.3	141757	141942	+	MMSYN1_0658	MMSYN1_0658	rpsN	ribosomal protein S14p/S29e	CP002027.1	799274	799459	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01320|rplR|NC_000964.3	MMSYN1_0655|rplR|CP002027.1	True	62.393	117	120	116	97.5	100.86206896551724	4.34e-47	143.0	BSU_01320	BSU_01320	rplR	ribosomal protein L18	NC_000964.3	142974	143336	+	MMSYN1_0655	MMSYN1_0655	rplR	ribosomal protein L18	CP002027.1	797933	798283	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01030|rplA|NC_000964.3	MMSYN1_0809|rplA|CP002027.1	True	61.947	226	232	226	97.41379310344827	100.0	7.92e-99	282.0	BSU_01030	BSU_01030	rplA	ribosomal protein L1 (BL1)	NC_000964.3	119111	119809	+	MMSYN1_0809	MMSYN1_0809	rplA	ribosomal protein L1	CP002027.1	951822	952502	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_15990|rpsP|NC_000964.3	MMSYN1_0362|rpsP|CP002027.1	True	61.364	88	90	92	97.77777777777777	95.65217391304348	1.65e-36	114.0	BSU_15990	BSU_15990	rpsP	ribosomal protein S16 (BS17)	NC_000964.3	1673620	1673892	+	MMSYN1_0362	MMSYN1_0362	rpsP	ribosomal protein S16	CP002027.1	451493	451771	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01300|rpsH|NC_000964.3	MMSYN1_0657|rpsH|CP002027.1	True	61.24	129	132	129	97.72727272727273	100.0	8.97e-51	153.0	BSU_01300	BSU_01300	rpsH	ribosomal protein S8 (BS8)	NC_000964.3	141974	142372	+	MMSYN1_0657	MMSYN1_0657	rpsH	ribosomal protein S8	CP002027.1	798865	799254	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01500|rpsI|NC_000964.3	MMSYN1_0637|rpsI|CP002027.1	True	60.938	128	130	132	98.46153846153847	96.96969696969697	1.55e-52	157.0	BSU_01500	BSU_01500	rpsI	ribosomal protein S9	NC_000964.3	154300	154692	+	MMSYN1_0637	MMSYN1_0637	rpsI	ribosomal protein S9	CP002027.1	781913	782311	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_16940|recA|NC_000964.3	MMSYN1_0358|recA|CP002027.1	True	60.383	313	348	345	89.94252873563218	90.72463768115942	1.84e-137	390.0	BSU_16940	BSU_16940	recA	multifunctional SOS repair factor	NC_000964.3	1764645	1765691	+	MMSYN1_0358	MMSYN1_0358	recA	protein RecA	CP002027.1	446852	447889	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_36900|glyA|NC_000964.3	MMSYN1_0799|glyA|CP002027.1	True	60.298	403	415	413	97.10843373493977	97.57869249394673	0.0	507.0	BSU_36900	BSU_36900	glyA	serine hydroxymethyltransferase	NC_000964.3	3789190	3790437	-	MMSYN1_0799	MMSYN1_0799	glyA	glycine hydroxymethyltransferase	CP002027.1	937338	938579	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_36830|atpA|NC_000964.3	MMSYN1_0792|atpA|CP002027.1	True	60.254	473	502	525	94.22310756972112	90.0952380952381	0.0	589.0	BSU_36830	BSU_36830	atpA	ATP synthase (subunit alpha, component F1)	NC_000964.3	3783878	3785386	-	MMSYN1_0792	MMSYN1_0792	atpA	ATP synthase F1, alpha subunit	CP002027.1	932169	933746	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01330|rpsE|NC_000964.3	MMSYN1_0654|rpsE|CP002027.1	True	60.119	168	166	254	101.20481927710843	66.14173228346456	1.33e-59	181.0	BSU_01330	BSU_01330	rpsE	ribosomal protein S5	NC_000964.3	143361	143861	+	MMSYN1_0654	MMSYN1_0654	rpsE	30S ribosomal protein S5	CP002027.1	797150	797914	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_28850|rplT|NC_000964.3	MMSYN1_0198|rplT|CP002027.1	True	59.664	119	119	119	100.0	100.0	1.08e-47	144.0	BSU_28850	BSU_28850	rplT	ribosomal protein L20	NC_000964.3	2952224	2952583	-	MMSYN1_0198	MMSYN1_0198	rplT	ribosomal protein L20	CP002027.1	262729	263088	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_33900|eno|NC_000964.3	MMSYN1_0213|eno|CP002027.1	True	59.513	452	430	451	105.11627906976744	100.22172949002217	0.0	526.0	BSU_33900	BSU_33900	eno	enolase	NC_000964.3	3476555	3477847	-	MMSYN1_0213	MMSYN1_0213	eno	phosphopyruvate hydratase	CP002027.1	276076	277431	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01200|rpsS|NC_000964.3	MMSYN1_0667|rpsS|CP002027.1	True	59.341	91	92	88	98.91304347826087	103.4090909090909	3.75e-37	115.0	BSU_01200	BSU_01200	rpsS	ribosomal protein S19 (BS19)	NC_000964.3	138202	138480	+	MMSYN1_0667	MMSYN1_0667	rpsS	ribosomal protein S19	CP002027.1	802930	803196	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_41060|rpmH|NC_000964.3	MMSYN1_0910|rpmH|CP002027.1	True	59.091	44	44	44	100.0	100.0	1.66e-13	52.8	BSU_41060	BSU_41060	rpmH	ribosomal protein L34	NC_000964.3	4215255	4215389	-	MMSYN1_0910	MMSYN1_0910	rpmH	ribosomal protein L34	CP002027.1	1078382	1078516	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_16040|rplS|NC_000964.3	MMSYN1_0365|rplS|CP002027.1	True	58.879	107	115	127	93.04347826086956	84.25196850393701	7.41e-42	130.0	BSU_16040	BSU_16040	rplS	ribosomal protein L19	NC_000964.3	1676042	1676389	+	MMSYN1_0365	MMSYN1_0365	rplS	ribosomal protein L19	CP002027.1	453023	453406	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_36890|upp|NC_000964.3	MMSYN1_0798|upp|CP002027.1	True	58.706	201	209	207	96.17224880382776	97.10144927536231	2.17e-81	236.0	BSU_36890	BSU_36890	upp	uracil phosphoribosyltransferase	NC_000964.3	3788426	3789055	-	MMSYN1_0798	MMSYN1_0798	upp	uracil phosphoribosyltransferase	CP002027.1	936615	937238	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_25470|dnaK|NC_000964.3	MMSYN1_0542|dnaK|CP002027.1	True	58.685	593	611	591	97.05400981996726	100.33840947546531	0.0	694.0	BSU_25470	BSU_25470	dnaK	molecular chaperone, ATP-dependent	NC_000964.3	2626112	2627947	-	MMSYN1_0542	MMSYN1_0542	dnaK	chaperone protein DnaK	CP002027.1	649183	650958	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01160|rplC|NC_000964.3	MMSYN1_0671|rplC|CP002027.1	True	58.252	206	209	223	98.56459330143541	92.37668161434978	6.95e-83	241.0	BSU_01160	BSU_01160	rplC	ribosomal protein L3 (BL3)	NC_000964.3	135712	136341	+	MMSYN1_0671	MMSYN1_0671	rplC	50S ribosomal protein L3	CP002027.1	805044	805715	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01210|rplV|NC_000964.3	MMSYN1_0666|rplV|CP002027.1	True	58.036	112	113	111	99.11504424778761	100.90090090090091	3.7200000000000004e-37	117.0	BSU_01210	BSU_01210	rplV	ribosomal protein L22 (BL17)	NC_000964.3	138497	138838	+	MMSYN1_0666	MMSYN1_0666	rplV	ribosomal protein L22	CP002027.1	802571	802906	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_27960|rplU|NC_000964.3	MMSYN1_0501|rplU|CP002027.1	True	57.843	102	102	100	100.0	102.0	2.29e-37	117.0	BSU_27960	BSU_27960	rplU	ribosomal protein L21 (BL20)	NC_000964.3	2855518	2855826	-	MMSYN1_0501	MMSYN1_0501	rplU	ribosomal protein L21	CP002027.1	608785	609087	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01440|rplQ|NC_000964.3	MMSYN1_0644|rplQ|CP002027.1	True	57.025	121	120	119	100.83333333333333	101.68067226890756	4.19e-45	138.0	BSU_01440	BSU_01440	rplQ	ribosomal protein L17 (BL15)	NC_000964.3	149953	150315	+	MMSYN1_0644	MMSYN1_0644	rplQ	ribosomal protein L17	CP002027.1	791151	791510	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_40920|engD|NC_000964.3	MMSYN1_0872|ychF|CP002027.1	True	56.831	366	366	364	100.0	100.54945054945055	1.06e-149	422.0	BSU_40920	BSU_40920	engD	potassium-dependent informational ATPase interacting with 70S ribosome; ROS stress regulator	NC_000964.3	4199843	4200943	-	MMSYN1_0872	MMSYN1_0872	ychF	GTP-binding protein YchF	CP002027.1	1028410	1029504	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_16680|rpsO|NC_000964.3	MMSYN1_0294|rpsO|CP002027.1	True	56.322	87	89	88	97.75280898876404	98.86363636363636	1.48e-29	96.7	BSU_16680	BSU_16680	rpsO	ribosomal protein S15 (BS18)	NC_000964.3	1738941	1739210	+	MMSYN1_0294	MMSYN1_0294	rpsO	ribosomal protein S15	CP002027.1	375967	376233	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_00820|lysS|NC_000964.3	MMSYN1_0064|lysS|CP002027.1	True	56.275	494	499	500	98.99799599198397	98.8	0.0	572.0	BSU_00820	BSU_00820	lysS	lysyl-tRNA synthetase	NC_000964.3	88727	90226	+	MMSYN1_0064	MMSYN1_0064	lysS	lysine--tRNA ligase	CP002027.1	89274	90776	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_18090|parE|NC_000964.3	MMSYN1_0452|parE|CP002027.1	True	56.25	640	655	643	97.70992366412214	99.53343701399689	0.0	714.0	BSU_18090	BSU_18090	parE	subunit B of DNA topoisomerase IV (ATP-dependent)	NC_000964.3	1933477	1935444	+	MMSYN1_0452	MMSYN1_0452	parE	DNA topoisomerase IV, B subunit	CP002027.1	556820	558751	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_31930|ald|NC_000964.3	MMSYN1_0059|ald|CP002027.1	True	55.89	365	378	372	96.56084656084656	98.11827956989248	5.950000000000001e-144	409.0	BSU_31930	BSU_31930	ald	L-alanine dehydrogenase (NAD-dependent)	NC_000964.3	3278325	3279461	+	MMSYN1_0059	MMSYN1_0059	ald	alanine dehydrogenase	CP002027.1	84292	85410	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_00060|gyrB|NC_000964.3	MMSYN1_0006|gyrB|CP002027.1	True	55.678	634	638	634	99.3730407523511	100.0	0.0	721.0	BSU_00060	BSU_00060	gyrB	DNA gyrase (subunit B)	NC_000964.3	4867	6783	+	MMSYN1_0006	MMSYN1_0006	gyrB	DNA gyrase, B subunit	CP002027.1	5515	7419	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_24960|pstBA|NC_000964.3	MMSYN1_0427|pstB|CP002027.1	True	55.242	248	269	269	92.19330855018588	92.19330855018588	7.429999999999999e-104	298.0	BSU_24960	BSU_24960	pstBA	phosphate ABC transporter (ATP-binding protein)	NC_000964.3	2578003	2578812	-	MMSYN1_0427	MMSYN1_0427	pstB	phosphate ABC transporter, ATP-binding protein	CP002027.1	530513	531322	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01350|rplO|NC_000964.3	MMSYN1_0653|rplO|CP002027.1	True	55.102	147	146	145	100.68493150684931	101.37931034482759	9.25e-50	152.0	BSU_01350	BSU_01350	rplO	ribosomal protein L15	NC_000964.3	144085	144525	+	MMSYN1_0653	MMSYN1_0653	rplO	ribosomal protein L15	CP002027.1	796694	797131	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
