operon_id	category	strand	gene_a_locusNum	gene_b_locusNum	syn3A_chrom	syn3A_intergenic_bp	n_spanning_reads	n_bridging_reads	ont_depth_a	ont_depth_b	ill_depth_a	ill_depth_b	ill_gap_depth	bridge_threshold	gap_depth_threshold	bridge_pass	gap_depth_pass	pair_preserved_strict	pair_preserved_loose
OP_00113	pristine	-	0200	0199	CP016816.2	25	0	114	81.643	325.745	2116.625	4981.906	4427.2	10.0	423.325	True	True	False	True
OP_00113	pristine	-	0199	0198	CP016816.2	18	6	47	325.745	435.622	4981.906	1810.186	5943.222	10.0	362.037	True	True	True	True
OP_00146	intra_operon	-	0264	0263	CP016816.2	9	0	11	17.429	73.571	202.139	260.635	423.778	3.486	40.428	True	True	False	True
OP_00146	intra_operon	-	0263	0262	CP016816.2	1	0	39	73.571	414.493	260.635	568.768	422.0	10.0	52.127	True	True	False	True
OP_00146	intra_operon	-	0262	0260	CP016816.2	171	0	4	414.493	389.828	568.768	297.985	221.088	10.0	59.597	False	True	False	False
OP_00160	pristine	-	0288	0287	CP016816.2	8	0	61	187.622	159.271	278.696	351.676	162.375	10.0	55.739	True	True	False	True
OP_00166	pristine	-	0303	0302	CP016816.2	12	0	85	58.464	144.381	283.499	187.147	178.583	10.0	37.429	True	True	False	True
OP_00166	pristine	-	0302	0301	CP016816.2	112	0	0	144.381	43.331	187.147	162.352	67.973	8.666	32.47	False	True	False	False
OP_00166	pristine	-	0301	0300	CP016816.2	8	0	40	43.331	95.825	162.352	739.311	581.0	8.666	32.47	True	True	False	True
OP_00166	pristine	-	0300	0299	CP016816.2	0	0	82	95.825	124.277	739.311	473.489		10.0	94.698	True	True	False	True
OP_00166	pristine	-	0299	0298	CP016816.2	0	8	87	124.277	104.993	473.489	447.637		10.0	89.527	True	True	True	True
OP_00166	pristine	-	0298	0297	CP016816.2	21	0	60	104.993	216.5	447.637	3320.23	400.286	10.0	89.527	True	True	False	True
OP_00194	pristine	+	0345	0346	CP016816.2	65	0	29	87.795	61.693	225.958	28.06	31.477	10.0	5.612	True	True	False	True
OP_00196	intra_operon	+	0350	0352	CP016816.2	54	1	13	154.216	20.499	312.996	17.993	94.407	4.1	3.599	True	True	True	True
OP_00196	intra_operon	+	0352	0353	CP016816.2	63	0	10	20.499	311.27	17.993	66.429	11.286	4.1	3.599	True	True	False	True
OP_00199	intra_operon	+	0356	0359	CP016816.2	174	0	8	4175.265	118.163	146632.984	2513.276	13501.178	10.0	502.655	False	True	False	False
OP_00199	intra_operon	+	0359	0360	CP016816.2	33	0	41	118.163	154.797	2513.276	3924.996	2067.818	10.0	502.655	True	True	False	True
OP_00199	intra_operon	+	0360	0361	CP016816.2	3	0	18	154.797	112.897	3924.996	726.207	1084.333	10.0	145.241	True	True	False	True
OP_00209	pristine	+	0377	0378	CP016816.2	1	0	37	103.771	77.527	1606.309	809.524	448.0	10.0	161.905	True	True	False	True
OP_00209	pristine	+	0378	0379	CP016816.2	16	0	73	77.527	86.613	809.524	282.075	270.438	10.0	56.415	True	True	False	True
OP_00225	pristine	+	0399	0400	CP016816.2	47	0	20	203.787	362.422	163.692	330.255	94.638	10.0	32.738	True	True	False	True
OP_00225	pristine	+	0400	0401	CP016816.2	34	0	1	362.422	17.049	330.255	9.269	30.353	3.41	1.854	False	True	False	False
OP_00226	pristine	+	0401	0402	CP016816.2	4	0	12	17.049	33.673	9.269	43.123	15.5	3.41	1.854	True	True	False	True
OP_00226	pristine	+	0402	0403	CP016816.2	3	0	6	33.673	62.744	43.123	91.057	64.0	6.735	8.625	False	True	False	False
OP_00226	pristine	+	0403	0404	CP016816.2	0	0	57	62.744	40.685	91.057	58.835		8.137	11.767	True	True	False	True
OP_00226	pristine	+	0404	0405	CP016816.2	63	0	20	40.685	114.618	58.835	523.453	88.667	8.137	11.767	True	True	False	True
OP_00227	pristine	+	0405	0406	CP016816.2	34	0	19	114.618	64.909	523.453	168.889	516.206	10.0	33.778	True	True	False	True
OP_00227	pristine	+	0406	0407	CP016816.2	2	0	80	64.909	186.135	168.889	1355.255	397.0	10.0	33.778	True	True	False	True
OP_00227	pristine	+	0407	0408	CP016816.2	0	0	326	186.135	133.299	1355.255	184.162		10.0	36.832	True	True	False	True
OP_00230	pristine	+	0411	0412	CP016816.2	115	0	29	60.813	112.629	767.539	449.269	202.757	10.0	89.854	True	True	False	True
OP_00230	pristine	+	0412	0413	CP016816.2	11	0	179	112.629	408.579	449.269	1323.69	893.545	10.0	89.854	True	True	False	True
OP_00238	pristine	+	0425	0426	CP016816.2	51	0	18	66.226	33.958	83.029	126.507	96.922	6.792	16.606	True	True	False	True
OP_00239	pristine	+	0427	0428	CP016816.2	8	0	3	40.058	46.302	214.027	187.498	319.75	8.012	37.5	False	True	False	False
OP_00239	pristine	+	0428	0429	CP016816.2	66	0	16	46.302	83.641	187.498	609.35	336.879	9.26	37.5	True	True	False	True
OP_00239	pristine	+	0429	0430	CP016816.2	0	0	26	83.641	79.433	609.35	636.705		10.0	121.87	True	True	False	True
OP_00239	pristine	+	0430	0431	CP016816.2	0	0	12	79.433	166.687	636.705	817.26		10.0	127.341	True	True	False	True
OP_00240	pristine	+	0432	0433	CP016816.2	0	0	18	16.537	86.292	150.813	117.137		3.307	23.427	True	True	False	True
OP_00240	pristine	+	0433	0434	CP016816.2	0	0	57	86.292	36.263	117.137	206.611		7.253	23.427	True	True	False	True
OP_00243	pristine	-	0440	0439	CP016816.2	0	0	0	227.441	162.904	2288.925	3375.69		10.0	457.785	False	True	False	False
OP_00243	pristine	-	0439	0438	CP016816.2	2	0	339	162.904	571.642	3375.69	431.05	487.5	10.0	86.21	True	True	False	True
OP_00248	intra_operon	+	0445	0447	CP016816.2	32	0	67	315.464	2040.804	1432.187	1448.714	3098.25	10.0	286.437	True	True	False	True
OP_00248	intra_operon	+	0447	0448	CP016816.2	16	34	1548	2040.804	3099.742	1448.714	1472.994	1274.438	10.0	289.743	True	True	True	True
OP_00277	pristine	-	0511	0510	CP016816.2	126	0	0	530.284	206.434	155.984	5538.947	615.794	10.0	31.197	False	True	False	False
OP_00277	pristine	-	0510	0509	CP016816.2	6	43	209	206.434	588.607	5538.947	8196.727	5442.167	10.0	1107.789	True	True	True	True
OP_00277	pristine	-	0509	0508	CP016816.2	6	168	682	588.607	824.08	8196.727	6231.2	7782.333	10.0	1246.24	True	True	True	True
OP_00277	pristine	-	0508	0507	CP016816.2	4	478	620	824.08	699.224	6231.2	4068.263	5797.0	10.0	813.653	True	True	True	True
OP_00277	pristine	-	0507	0506	CP016816.2	10	381	479	699.224	541.202	4068.263	5450.955	6261.2	10.0	813.653	True	True	True	True
OP_00281	pristine	-	0522	0521	CP016816.2	11	0	96	413.646	472.199	10011.241	3345.247	6686.455	10.0	669.049	True	True	False	True
OP_00281	pristine	-	0521	0520	CP016816.2	12	0	278	472.199	542.454	3345.247	909.353	1994.0	10.0	181.871	True	True	False	True
OP_00282	pristine	-	0527	0526	CP016816.2	14	12	696	774.703	1737.406	1913.04	9892.955	8711.357	10.0	382.608	True	True	True	True
OP_00282	pristine	-	0526	0525	CP016816.2	106	0	0	1737.406	348.298	9892.955	127.587	151.67	10.0	25.517	False	True	False	False
OP_00282	pristine	-	0525	0524	CP016816.2	8	0	268	348.298	167.893	127.587	124.306	73.5	10.0	24.861	True	True	False	True
OP_00282	pristine	-	0524	0523	CP016816.2	8	0	84	167.893	61.439	124.306	52.432	77.75	10.0	10.486	True	True	False	True
OP_00283	pristine	-	0529	0528	CP016816.2	8	0	563	764.964	268.914	1576.724	628.977	1124.375	10.0	125.795	True	True	False	True
OP_00287	pristine	-	0540	0539	CP016816.2	11	0	148	240.745	430.36	4421.281	2882.987	8695.818	10.0	576.597	True	True	False	True
OP_00287	pristine	-	0539	0538	CP016816.2	0	0	20	430.36	614.167	2882.987	770.051		10.0	154.01	True	True	False	True
OP_00287	pristine	-	0538	0537	CP016816.2	133	0	2	614.167	62.457	770.051	1021.957	33.075	10.0	154.01	False	False	False	False
OP_00287	pristine	-	0537	0536	CP016816.2	10	0	9	62.457	80.419	1021.957	745.563	508.9	10.0	149.113	False	True	False	False
OP_00287	pristine	-	0536	0535	CP016816.2	1	0	90	80.419	128.175	745.563	331.623	611.0	10.0	66.325	True	True	False	True
OP_00289	pristine	-	0542	0541	CP016816.2	63	0	59	231.954	250.055	1930.302	772.044	1402.921	10.0	154.409	True	True	False	True
OP_00290	pristine	-	0545	0544	CP016816.2	4	0	476	791.963	388.349	659.571	116.618	187.75	10.0	23.324	True	True	False	True
OP_00290	pristine	-	0544	0543	CP016816.2	1	0	143	388.349	306.443	116.618	173.478	96.0	10.0	23.324	True	True	False	True
OP_00331	pristine	+	0600	0601	CP016816.2	74	0	59	97.393	667.558	2453.695	752.111	1303.865	10.0	150.422	True	True	False	True
OP_00331	pristine	+	0601	0602	CP016816.2	131	0	1	667.558	130.254	752.111	514.385	35.794	10.0	102.877	False	False	False	False
OP_00331	pristine	+	0602	0604	CP016816.2	2	0	16	130.254	158.602	514.385	627.842	3381.0	10.0	102.877	True	True	False	True
OP_00333	pristine	-	0607	0606	CP016816.2	111	0	216	2933.74	826.691	9402.969	2062.821	545.342	10.0	412.564	True	True	False	True
OP_00339	pristine	-	0615	0614	CP016816.2	0	0	129	145.783	137.932	176.658	661.059		10.0	35.332	True	True	False	True
OP_00339	pristine	-	0614	0613	CP016816.2	8	0	5	137.932	138.696	661.059	475.988	861.125	10.0	95.198	False	True	False	False
OP_00340	pristine	+	0616	0617	CP016816.2	10	0	1	289.775	294.331	1449.652	1744.46	4983.4	10.0	289.93	False	True	False	False
OP_00341	pristine	-	0621	0620	CP016816.2	0	5	138	159.937	176.082	182.901	123.488		10.0	24.698	True	True	True	True
OP_00341	pristine	-	0620	0619	CP016816.2	75	18	121	176.082	140.526	123.488	435.868	230.387	10.0	24.698	True	True	True	True
OP_00341	pristine	-	0619	0618	CP016816.2	37	15	18	140.526	18.333	435.868	60.987	62.568	3.667	12.197	True	True	True	True
OP_00353	pristine	-	0639	0638	CP016816.2	129	0	8	72.811	1579.07	102.387	30371.318	13320.697	10.0	20.477	False	True	False	False
OP_00353	pristine	-	0638	0637	CP016816.2	0	38	2976	1579.07	3534.742	30371.318	27301.566		10.0	5460.313	True	True	True	True
OP_00355	pristine	-	0642	0641	CP016816.2	13	0	166	110.646	166.254	746.386	739.406	202.692	10.0	147.881	True	True	False	True
OP_00355	pristine	-	0641	0640	CP016816.2	2	0	124	166.254	133.179	739.406	295.042	1777.5	10.0	59.008	True	True	False	True
OP_00356	pristine	-	0643	0642	CP016816.2	0	0	81	221.409	110.646	317.082	746.386		10.0	63.416	True	True	False	True
OP_00357	pristine	-	0651	0650	CP016816.2	0	0	99	160.083	799.671	643.991	5768.32		10.0	128.798	True	True	False	True
OP_00357	pristine	-	0650	0649	CP016816.2	11	0	319	799.671	373.693	5768.32	19609.76	21225.0	10.0	1153.664	True	True	False	True
OP_00357	pristine	-	0649	0648	CP016816.2	68	1	42	373.693	152.456	19609.76	22866.535	20133.926	10.0	3921.952	True	True	True	True
OP_00357	pristine	-	0648	0647	CP016816.2	36	0	116	152.456	113.699	22866.535	15777.017	16341.306	10.0	3155.403	True	True	False	True
OP_00357	pristine	-	0647	0646	CP016816.2	25	0	21	113.699	54.321	15777.017	24184.295	29079.08	10.0	3155.403	True	True	False	True
OP_00357	pristine	-	0646	0645	CP016816.2	3	0	1	54.321	385.809	24184.295	14300.748	48143.0	10.0	2860.15	False	True	False	False
OP_00357	pristine	-	0645	0644	CP016816.2	19	0	57	385.809	823.356	14300.748	8446.739	11105.526	10.0	1689.348	True	True	False	True
OP_00368	pristine	-	0690	0689	CP016816.2	1	0	21	66.745	54.976	640.345	702.293	445.0	10.0	128.069	True	True	False	True
OP_00368	pristine	-	0689	0688	CP016816.2	0	0	39	54.976	61.345	702.293	1405.216		10.0	140.459	True	True	False	True
OP_00368	pristine	-	0688	0687	CP016816.2	1	0	47	61.345	195.569	1405.216	463.93	992.0	10.0	92.786	True	True	False	True
OP_00369	pristine	-	0694	0693	CP016816.2	55	0	278	911.674	252.711	11247.192	173.76	343.909	10.0	34.752	True	True	False	True
OP_00369	pristine	-	0693	0692	CP016816.2	2	0	60	252.711	91.62	173.76	80.084	76.0	10.0	16.017	True	True	False	True
OP_00369	pristine	-	0692	0691	CP016816.2	2	0	68	91.62	59.436	80.084	261.612	236.0	10.0	16.017	True	True	False	True
OP_00404	pristine	+	0774	0775	CP016816.2	35	0	36	149.632	133.299	269.86	93.317	251.4	10.0	18.663	True	True	False	True
OP_00404	pristine	+	0775	0776	CP016816.2	9	0	164	133.299	286.756	93.317	201.629	74.889	10.0	18.663	True	True	False	True
OP_00405	pristine	+	0775	0776	CP016816.2	9	0	164	133.299	286.756	93.317	201.629	74.889	10.0	18.663	True	True	False	True
OP_00405	pristine	+	0776	0777	CP016816.2	0	9	222	286.756	373.588	201.629	125.63		10.0	25.126	True	True	True	True
OP_00411	pristine	-	0797	0796	CP016816.2	0	1	407	461.992	581.153	288.802	1228.358		10.0	57.76	True	True	True	True
OP_00411	pristine	-	0796	0795	CP016816.2	29	0	213	581.153	327.078	1228.358	4498.556	1877.759	10.0	245.672	True	True	False	True
OP_00411	pristine	-	0795	0794	CP016816.2	28	0	239	327.078	287.214	4498.556	1307.255	3500.75	10.0	261.451	True	True	False	True
OP_00411	pristine	-	0794	0793	CP016816.2	1	2	227	287.214	198.813	1307.255	631.998	228.0	10.0	126.4	True	True	True	True
OP_00411	pristine	-	0793	0792	CP016816.2	11	0	77	198.813	110.575	631.998	3798.616	2861.727	10.0	126.4	True	True	False	True
OP_00424	pristine	-	0821	0820	CP016816.2	10	0	84	119.401	44.382	96.523	93.296	133.1	8.876	18.659	True	True	False	True
OP_00425	pristine	-	0824	0823	CP016816.2	0	0	25	42.865	82.387	577.269	199.4		8.573	39.88	True	True	False	True
OP_00425	pristine	-	0823	0822	CP016816.2	16	0	337	82.387	905.396	199.4	1129.514	275.5	10.0	39.88	True	True	False	True
OP_00426	pristine	-	0825	0824	CP016816.2	8	0	1	25.041	42.865	129.401	577.269	264.0	5.008	25.88	False	True	False	False
OP_00427	pristine	+	0826	0827	CP016816.2	2	0	22	15.787	230.56	10.289	189.701	69.0	3.157	2.058	True	True	False	True
OP_00432	pristine	+	0833	0834	CP016816.2	2	0	407	369.847	180.73	168.872	607.767	356.5	10.0	33.774	True	True	False	True
OP_00432	pristine	+	0834	0835	CP016816.2	66	0	10	180.73	225.072	607.767	752.948	1231.333	10.0	121.553	True	True	False	True
OP_00432	pristine	+	0835	0836	CP016816.2	141	0	25	225.072	136.629	752.948	622.024	471.121	10.0	124.405	True	True	False	True
OP_00432	pristine	+	0836	0837	CP016816.2	8	0	83	136.629	81.495	622.024	312.572	171.0	10.0	62.514	True	True	False	True
OP_00432	pristine	+	0837	0838	CP016816.2	1	0	44	81.495	48.635	312.572	145.188	146.0	9.727	29.038	True	True	False	True
OP_00432	pristine	+	0838	0839	CP016816.2	221	0	6	48.635	231.071	145.188	824.046	366.869	9.727	29.038	False	True	False	False
OP_00451	intra_operon	-	0875	0874	CP016816.2	0	0	84	122.911	79.553	157.774	176.504		10.0	31.555	True	True	False	True
OP_00451	intra_operon	-	0874	0873	CP016816.2	1	1	42	79.553	73.91	176.504	127.224	147.0	10.0	25.445	True	True	True	True
OP_00451	intra_operon	-	0873	0872	CP016816.2	35	0	11	73.91	68.83	127.224	458.57	218.343	10.0	25.445	True	True	False	True
OP_00451	intra_operon	-	0872	0870	CP016816.2	68	0	5	68.83	104.694	458.57	318.044	496.574	10.0	63.609	False	True	False	False
OP_00453	pristine	-	0878	0877	CP016816.2	0	0	111	574.593	853.777	883.335	650.142		10.0	130.028	True	True	False	True
OP_00480	pristine	-	0910	0909	CP016816.2	6	0	94	77.807	127.13	2953.459	2003.597	3143.167	10.0	400.719	True	True	False	True
OP_00480	pristine	-	0909	0908	CP016816.2	17	0	126	127.13	226.127	2003.597	1592.869	865.0	10.0	318.574	True	True	False	True
