locus_tag	gene_name	gene_product	chrom	start0	end0	strand	gene_len	ONT_sense_avg_depth	ONT_antisense_avg_depth	ONT_sense_TPM	ONT_antisense_TPM
JCVISYN3A_0131	fbaA	Fructose-1%2C6-bisphosphate aldolase	CP016816.2	83503	84397	+	894	1205.0380	4.2271	5142.0285	18.0374
JCVISYN3A_0132	ietA	Toxin-antitoxin AAA ATPase	CP016816.2	84545	85607	+	1062	304.9049	1.0141	1301.0624	4.3274
JCVISYN3A_0133	ietS	Toxin-antitoxin serine protease	CP016816.2	85599	87873	+	2274	229.7999	2.1851	980.5812	9.3242
JCVISYN3A_0137	rpmE	50S ribosomal protein L31	CP016816.2	88732	89011	+	279	207.6022	1.4516	885.8610	6.1942
JCVISYN3A_0138		Uncharacterized protein	CP016816.2	89083	90982	+	1899	148.5566	0.8273	633.9072	3.5301
JCVISYN3A_0139	ytqI%3B orn	NanoRNAse	CP016816.2	90991	91942	+	951	145.6562	0.0000	621.5307	0.0000
JCVISYN3A_0140	tdk	Thymidine kinase	CP016816.2	91943	92573	+	630	124.9794	1.1413	533.3006	4.8699
JCVISYN3A_0141	prfA	Peptide chain release factor 1	CP016816.2	92575	93670	+	1095	140.0639	1.3342	597.6680	5.6934
JCVISYN3A_0142	prmC	Protein-(glutamine-N5) methyltransferase%2C release factor-specific	CP016816.2	93662	94511	+	849	51.2627	0.6973	218.7434	2.9754
JCVISYN3A_0143		Uncharacterized protein	CP016816.2	94519	95992	+	1473	59.1276	5.2709	252.3040	22.4914
JCVISYN3A_0144	tsaC	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit	CP016816.2	96000	96501	+	501	93.1457	5.6128	397.4629	23.9503
JCVISYN3A_0145		Uncharacterized acetyltransferase	CP016816.2	96615	97530	+	915	671.5913	2.7902	2865.7530	11.9059
JCVISYN3A_0146		Uncharacterized protein	CP016816.2	97758	98466	+	708	14.6977	0.3757	62.7169	1.6032
JCVISYN3A_0147	clsA	Cardiolipin synthase	CP016816.2	98465	99995	+	1530	20.9444	2.3314	89.3722	9.9482
JCVISYN3A_0148	rpsL	30S ribosomal protein S12	CP016816.2	100118	100538	+	420	104.0095	0.0000	443.8200	0.0000
JCVISYN3A_0149	rpsG	30S ribosomal protein S7	CP016816.2	100624	101092	+	468	182.0598	0.0000	776.8691	0.0000
JCVISYN3A_0150		Translation elongation factor G	CP016816.2	101116	103186	+	2070	65.2821	0.3169	278.5659	1.3523
JCVISYN3A_0151		Translation elongation factor Tu	CP016816.2	103317	104505	+	1188	465.6877	13.6111	1987.1402	58.0801
JCVISYN3A_0158	ssrA		CP016816.2	104781	105192	+	411	54505.9465	3.7616	232582.8081	16.0510
JCVISYN3A_0163	alaRS	Alanine--tRNA ligase	CP016816.2	105430	108121	-	2691	255.7592	3.1401	1091.3523	13.3991
JCVISYN3A_0164		Uncharacterized protein	CP016816.2	108194	108689	-	495	75.9293	0.2202	323.9986	0.9396
JCVISYN3A_0165	amiC	Oligopeptide ABC transporter permease	CP016816.2	108906	110151	+	1245	187.1518	4.1759	798.5971	17.8190
JCVISYN3A_0166		Oligopeptide ABC transporter permease	CP016816.2	110166	111177	+	1011	107.6973	5.1701	459.5562	22.0615
JCVISYN3A_0167	amiE	Oligopeptide ABC transporter ATP-binding protein	CP016816.2	111190	112891	+	1701	66.2381	21.6008	282.6452	92.1731
JCVISYN3A_0168	amiF	Oligopeptide ABC transporter ATP-binding protein	CP016816.2	112892	114761	+	1869	66.4639	77.5645	283.6086	330.9761
JCVISYN3A_0169	amiA	Oligopeptide ABC transporter substrate-binding protein	CP016816.2	114777	117879	+	3102	128.4703	10.9446	548.1969	46.7016
JCVISYN3A_0195	potC	Spermidine/putrescine ABC transporter permease	CP016816.2	118737	121848	-	3111	56.9823	1.9473	243.1498	8.3093
JCVISYN3A_0196	potB	Spermidine/putrescine ABC transporter permease	CP016816.2	121832	122825	-	993	91.4572	0.3072	390.2578	1.3106
JCVISYN3A_0197	potA	Spermidine/putrescine ABC transporter ATP-binding protein	CP016816.2	122824	123880	-	1056	208.3343	1.6903	888.9851	7.2129
JCVISYN3A_0198	rplT	50S ribosomal protein L20	CP016816.2	124253	124613	-	360	437.1417	0.0000	1865.3311	0.0000
JCVISYN3A_0199	rpmI	50S ribosomal protein L35	CP016816.2	124631	124823	-	192	321.2812	0.0000	1370.9421	0.0000
JCVISYN3A_0200	infC	Translation initiation factor IF-3	CP016816.2	124848	125394	-	546	81.6484	0.3187	348.4024	1.3598
JCVISYN3A_0201	def	Peptide deformylase	CP016816.2	125582	126185	-	603	190.7081	0.2819	813.7723	1.2030
JCVISYN3A_0202	rsmD	16S rRNA (guanine(966)-N(2))-methyltransferase	CP016816.2	126258	126816	+	558	31.7527	6.7652	135.4922	28.8680
JCVISYN3A_0203	gmk	Guanylate kinase	CP016816.2	126818	127712	+	894	100.5324	0.8210	428.9829	3.5034
JCVISYN3A_0213	eno	Phosphopyruvate hydratase	CP016816.2	127919	129275	+	1356	457.0914	1.7529	1950.4590	7.4800
JCVISYN3A_0214	pgpA	Phosphatidylglycerophosphatase	CP016816.2	129341	130163	+	822	14.3504	6.5511	61.2346	27.9542
JCVISYN3A_0215	yrrK%3B yqgF	Putative pre-16S rRNA nuclease	CP016816.2	130164	130596	+	432	213.8519	1.2778	912.5291	5.4524
JCVISYN3A_0216	hptA	Hypoxanthine phosphoribosyltransferase	CP016816.2	130601	131174	+	573	801.3211	0.2251	3419.3245	0.9607
JCVISYN3A_0218	glpK	Glycerol kinase	CP016816.2	131273	132791	-	1518	613.3347	39.4499	2617.1657	168.3372
JCVISYN3A_0220	pfkA	6-Phosphofructokinase	CP016816.2	133141	134122	+	981	58.4811	0.4597	249.5454	1.9617
JCVISYN3A_0221	pyk	Pyruvate kinase	CP016816.2	134192	135629	+	1437	349.6124	1.3180	1491.8341	5.6242
JCVISYN3A_0222	thrRS	Threonine--tRNA ligase	CP016816.2	135893	137813	+	1920	123.9010	1.1411	528.6992	4.8694
JCVISYN3A_0227	pdhC	Branched-chain alpha-keto acid dehydrogenase subunit E2	CP016816.2	138323	139649	+	1326	86.0890	0.5490	367.3511	2.3427
JCVISYN3A_0228	lpdA	Dihydrolipoyl dehydrogenase	CP016816.2	139667	141557	+	1890	100.3423	2.4090	428.1716	10.2794
JCVISYN3A_0229	pta	Phosphate acetyltransferase	CP016816.2	141578	142547	+	969	161.0052	0.7286	687.0265	3.1090
JCVISYN3A_0230	ackA	Acetate kinase	CP016816.2	142559	143741	+	1182	476.8875	0.4374	2034.9308	1.8664
JCVISYN3A_0233	ptsI	Phosphoenolpyruvate--protein phosphotransferase	CP016816.2	143902	145624	+	1722	254.7648	2.3153	1087.1092	9.8798
JCVISYN3A_0234	crr	PTS glucose transporter subunit IIA	CP016816.2	145705	146170	+	465	1342.0301	6.5290	5726.5886	27.8601
JCVISYN3A_0235		Uncharacterized protein	CP016816.2	146278	146461	+	183	1302.8033	8.5956	5559.2034	36.6785
JCVISYN3A_0238	rpsD	30S ribosomal protein S4	CP016816.2	146577	147204	-	627	1761.3238	2.2169	7515.7603	9.4598
JCVISYN3A_0239		Uncharacterized protein	CP016816.2	147458	149246	+	1788	18.1214	2.1504	77.3258	9.1762
JCVISYN3A_0240	thiI	tRNA 4-thiouridine(8) synthase	CP016816.2	149253	150441	+	1188	42.1886	5.8089	180.0231	24.7873
JCVISYN3A_0247	ysxC%3B yihA	Ribosome biogenesis GTP-binding protein	CP016816.2	150613	151204	-	591	384.6514	1.6887	1641.3496	7.2057
JCVISYN3A_0248		Uncharacterized protein	CP016816.2	151197	151758	-	561	172.7576	1.1533	737.1754	4.9212
JCVISYN3A_0249		Uncharacterized protein	CP016816.2	151759	152338	-	579	245.1468	0.3092	1046.0681	1.3192
JCVISYN3A_0250		Uncharacterized protein	CP016816.2	152340	153030	-	690	379.9551	0.0681	1621.3097	0.2907
JCVISYN3A_0253	greA	Transcription elongation factor	CP016816.2	153155	153629	-	474	473.1013	14.1097	2018.7746	60.2076
JCVISYN3A_0254	uvrC	Excinuclease ABC subunit C	CP016816.2	153751	155506	-	1755	163.4974	2.1829	697.6614	9.3147
JCVISYN3A_0257	rnjB	RNase J family beta-CASP ribonuclease	CP016816.2	155627	157379	-	1752	227.1113	1.5217	969.1087	6.4932
JCVISYN3A_0259	nadK	NAD(+) kinase	CP016816.2	157515	158313	-	798	110.5451	0.3434	471.7080	1.4651
JCVISYN3A_0260	valRS	Valine--tRNA ligase	CP016816.2	158423	161042	-	2619	391.9362	0.7117	1672.4346	3.0370
JCVISYN3A_0262	rpe	Ribulose-phosphate 3-epimerase	CP016816.2	161213	161891	-	678	415.5826	0.6711	1773.3362	2.8636
JCVISYN3A_0263		Ribosome small subunit-dependent GTPase A	CP016816.2	161892	162795	-	903	74.3212	0.3034	317.1364	1.2948
JCVISYN3A_0264		Uncharacterized serine/threonine protein kinase	CP016816.2	162804	163920	-	1116	17.3898	0.9659	74.2041	4.1218
JCVISYN3A_0270	tsaE%3B yjeE	tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase	CP016816.2	164054	164471	+	417	132.2446	5.0695	564.3021	21.6323
JCVISYN3A_0271	tsaB%3B yeaZ	tRNA N6-adenosine(37)-N6-threonylcarbamoyltransferase complex dimerization subunit	CP016816.2	164472	165036	+	564	98.8706	8.7908	421.8915	37.5112
JCVISYN3A_0280	tRNA-Ser		CP016816.2	165577	165667	+	90	2.0778	1.8667	8.8661	7.9653
JCVISYN3A_0281		Uncharacterized protein	CP016816.2	165786	166467	+	681	42.0646	1.4802	179.4943	6.3161
JCVISYN3A_0282	proRS	Proline--tRNA ligase	CP016816.2	166447	167872	+	1425	63.1053	1.6049	269.2770	6.8483
JCVISYN3A_0283	rnhA	Double-stranded RNA binding RNase HI	CP016816.2	167884	168502	+	618	56.4288	0.6117	240.7878	2.6100
JCVISYN3A_0285	lepA%3B EF4	Elongation factor 4	CP016816.2	168526	170329	+	1803	39.3511	2.0116	167.9153	8.5839
JCVISYN3A_0286		Uncharacterized protein	CP016816.2	170354	171161	+	807	160.0682	9.3705	683.0282	39.9850
JCVISYN3A_0287	aspRS	Aspartate--tRNA ligase	CP016816.2	171177	172902	-	1725	161.6226	1.5328	689.6613	6.5404
JCVISYN3A_0288	hisRS	Histidine--tRNA ligase	CP016816.2	172910	174155	-	1245	187.9871	2.7454	802.1616	11.7148
JCVISYN3A_0289	rbfA	Ribosome-binding factor A	CP016816.2	174339	174693	+	354	636.0537	0.6921	2714.1103	2.9532
JCVISYN3A_0290	truB	tRNA pseudouridine(55) synthase	CP016816.2	174742	175621	+	879	120.8282	3.5108	515.5871	14.9810
JCVISYN3A_0291	ribF	FAD synthetase	CP016816.2	175607	176162	+	555	138.2541	1.2577	589.9451	5.3666
JCVISYN3A_0294	rpsO	30S ribosomal protein S15	CP016816.2	176396	176663	+	267	177.4906	10.7491	757.3719	45.8674
JCVISYN3A_0295	tRNA-Gly		CP016816.2	176722	176796	+	74	72.1892	13.2027	308.0391	56.3374
JCVISYN3A_0296		Uncharacterized protein	CP016816.2	176893	177538	+	645	65.4372	13.7814	279.2277	58.8067
JCVISYN3A_0297	infB	Translation initiation factor IF-2	CP016816.2	177556	179419	-	1863	216.7300	5.8701	924.8105	25.0484
JCVISYN3A_0298		Uncharacterized L7Ae family protein	CP016816.2	179440	179740	-	300	105.8867	0.0233	451.8299	0.0996
JCVISYN3A_0299		Uncharacterized protein	CP016816.2	179726	180008	-	282	125.1064	0.0567	533.8426	0.2421
JCVISYN3A_0300	nusA	Transcription termination/antitermination protein NusA	CP016816.2	179988	181743	-	1755	95.7766	0.3527	408.6893	1.5050
JCVISYN3A_0301	rimP	Ribosome assembly cofactor	CP016816.2	181751	182246	-	495	42.9596	1.1091	183.3133	4.7326
JCVISYN3A_0302	fre	Flavin reductase	CP016816.2	182358	183009	-	651	144.5100	0.2642	616.6398	1.1274
JCVISYN3A_0303	polC	PolC-type DNA polymerase III	CP016816.2	183021	187470	-	4449	58.4172	1.1358	249.2724	4.8464
JCVISYN3A_0304	cdsA	Phosphatidate cytidylyltransferase	CP016816.2	187478	188507	-	1029	94.1001	2.5870	401.5354	11.0389
JCVISYN3A_0305		Uncharacterized metallopeptidase	CP016816.2	188705	189782	-	1077	951.0715	9.7688	4058.3256	41.6845
JCVISYN3A_0308	trpRS	Tryptophan--tRNA ligase	CP016816.2	190226	191237	+	1011	28.4184	0.4471	121.2644	1.9077
JCVISYN3A_0314	ecfS	Uncharacterized ECF transporter S component	CP016816.2	191372	192107	+	735	250.4177	0.2544	1068.5595	1.0856
JCVISYN3A_0315		Uncharacterized protein	CP016816.2	192228	192381	+	153	103.7712	0.0000	442.8032	0.0000
JCVISYN3A_0316	tkt	Transketolase	CP016816.2	192439	194410	+	1971	180.5875	3.1963	770.5866	13.6392
JCVISYN3A_0317		Uncharacterized protein	CP016816.2	194425	194671	+	246	267.8008	6.6179	1142.7352	28.2392
JCVISYN3A_0325		Uncharacterized protein	CP016816.2	196093	197593	+	1500	38.4700	2.3120	164.1557	9.8656
JCVISYN3A_0326		Uncharacterized protein	CP016816.2	197610	198372	+	762	29.1102	0.2808	124.2165	1.1984
JCVISYN3A_0327	scpA	Chromosome segregation protein A	CP016816.2	198381	199218	+	837	87.6153	0.0000	373.8640	0.0000
JCVISYN3A_0328	scpB	Chromosome segregation protein B	CP016816.2	199201	199831	+	630	58.1032	0.0667	247.9326	0.2845
JCVISYN3A_0329	rluB	Uncharacterized pseudouridine synthase	CP016816.2	199898	200657	+	759	237.9473	0.4690	1015.3470	2.0014
JCVISYN3A_0330	dgk	Deoxyguanosine kinase	CP016816.2	200666	201284	+	618	244.4644	2.8091	1043.1562	11.9866
JCVISYN3A_0332		Uncharacterized protein	CP016816.2	201394	202222	+	828	140.9855	2.9915	601.6005	12.7653
JCVISYN3A_0338		Uncharacterized lipoprotein	CP016816.2	202896	203616	+	720	2105.7944	5.0458	8985.6542	21.5311
JCVISYN3A_0344	ppa	Inorganic diphosphatase	CP016816.2	204073	204634	-	561	1862.5080	0.1176	7947.5245	0.5020
JCVISYN3A_0345	ecfS	Uncharacterized ECF transporter S component	CP016816.2	204772	205663	+	891	88.2402	4.5073	376.5305	19.2331
JCVISYN3A_0346		Uncharacterized protein	CP016816.2	205728	206424	+	696	62.5445	0.2399	266.8844	1.0239
JCVISYN3A_0347	cmk	Cytidylate kinase	CP016816.2	206432	207095	+	663	71.6380	1.5626	305.6872	6.6678
JCVISYN3A_0348	engA	Ribosome biogenesis GTPase	CP016816.2	207101	208409	+	1308	75.7041	0.8349	323.0378	3.5624
JCVISYN3A_0350	hupA	DNA-binding protein	CP016816.2	208463	208736	+	273	154.3004	1.5018	658.4165	6.4085
JCVISYN3A_0352		Uncharacterized protein	CP016816.2	208790	209339	+	549	20.6594	1.2805	88.1558	5.4641
JCVISYN3A_0353		Uncharacterized protein	CP016816.2	209402	209780	+	378	310.0820	0.2169	1323.1537	0.9257
JCVISYN3A_0356	rnpB		CP016816.2	210197	210537	+	340	4173.7147	0.0000	17809.6951	0.0000
JCVISYN3A_0359		Ribonuclease Y	CP016816.2	210711	212241	+	1530	117.9196	0.6922	503.1758	2.9535
JCVISYN3A_0360	ffh	Signal recognition particle protein	CP016816.2	212274	213618	+	1344	155.0015	0.6481	661.4082	2.7654
JCVISYN3A_0361	rlmH	23S rRNA (pseudouridine(1915)-N3)-methyltransferase	CP016816.2	213621	214089	+	468	114.0085	2.7799	486.4869	11.8622
JCVISYN3A_0362	rpsP	30S ribosomal protein S16	CP016816.2	214179	214458	+	279	542.5341	0.0000	2315.0519	0.0000
JCVISYN3A_0363	rimM	16S rRNA processing protein	CP016816.2	214489	214984	+	495	597.3111	1.5192	2548.7915	6.4826
JCVISYN3A_0364	trmD	tRNA (guanosine(37)-N1)-methyltransferase	CP016816.2	214985	215708	+	723	391.0526	0.9682	1668.6638	4.1314
JCVISYN3A_0365	rplS	50S ribosomal protein L19	CP016816.2	215709	216093	+	384	418.6094	1.8568	1786.2518	7.9230
JCVISYN3A_0366	ylqF%3B rbgA	L16-binding dependent 50S subunit-maturation GTPase	CP016816.2	216191	217142	+	951	328.9863	1.6004	1403.8205	6.8292
JCVISYN3A_0371	ywjA	Flippase A	CP016816.2	217522	219394	+	1872	39.6090	2.2853	169.0158	9.7514
JCVISYN3A_0372	ywjA	Flippase B	CP016816.2	219409	221263	+	1854	55.4849	2.4455	236.7601	10.4353
JCVISYN3A_0373		Uncharacterized protein	CP016816.2	221296	222904	+	1608	48.7805	2.0690	208.1516	8.8288
JCVISYN3A_0374	tRNA-Arg		CP016816.2	222959	223036	+	77	35.0779	0.1688	149.6813	0.7204
JCVISYN3A_0375		Uncharacterized protein	CP016816.2	223089	223830	+	741	72.5236	0.8462	309.4662	3.6106
JCVISYN3A_0376		Uncharacterized protein	CP016816.2	223801	224146	+	345	134.0870	0.4261	572.1636	1.8182
JCVISYN3A_0377	obgE	Ribosome GTPase	CP016816.2	224216	225518	+	1302	103.0730	0.8702	439.8236	3.7132
JCVISYN3A_0378	nadE	NAD(+) synthase	CP016816.2	225519	226257	+	738	77.8388	0.1843	332.1464	0.7864
JCVISYN3A_0379		Uncharacterized protein	CP016816.2	226273	226552	+	279	86.1577	0.8495	367.6443	3.6247
JCVISYN3A_0380	nadD	Nicotinate (nicotinamide) nucleotide adenylyltransferase	CP016816.2	226569	227667	+	1098	93.9135	2.9199	400.7390	12.4593
JCVISYN3A_0381	mtnN	5'-Methylthioadenosine nucleosidase	CP016816.2	227671	228331	+	660	85.5167	0.3500	364.9089	1.4935
JCVISYN3A_0382	dnk	Deoxynucleoside kinase	CP016816.2	228340	228979	+	639	115.1221	2.2254	491.2384	9.4958
JCVISYN3A_0387	mnmA	tRNA 2-thiouridine(34) synthase	CP016816.2	229207	230335	+	1128	58.6906	0.4424	250.4392	1.8877
JCVISYN3A_0388		Uncharacterized protein	CP016816.2	230381	230999	+	618	356.3722	0.0000	1520.6788	0.0000
JCVISYN3A_0389		Uncharacterized protein	CP016816.2	231074	233219	+	2145	83.2760	0.6303	355.3477	2.6896
JCVISYN3A_0390	fmt	Methionyl-tRNA formyltransferase	CP016816.2	233208	234162	+	954	63.0325	1.6824	268.9665	7.1789
JCVISYN3A_0391	efp	Elongation factor P	CP016816.2	234248	234803	+	555	196.7550	1.8288	839.5748	7.8038
JCVISYN3A_0392		Uncharacterized protein	CP016816.2	234820	235123	+	303	420.4290	2.3432	1794.0165	9.9988
JCVISYN3A_0394	lon	Endopeptidase La	CP016816.2	235261	237622	+	2361	1045.6112	2.6963	4461.7368	11.5055
JCVISYN3A_0398		Uncharacterized lipoprotein	CP016816.2	237759	240222	-	2463	32.6297	16.4543	139.2346	70.2124
