chrom,feature,start0,end0,strand,locus_tag,gene_name,rna_type,gene_product,gene_len,SRR35996296_sense_avg_depth,SRR35996296_antisense_avg_depth,SRR35996296_sense_TPM,SRR35996296_antisense_TPM,SRR35996297_sense_avg_depth,SRR35996297_antisense_avg_depth,SRR35996297_sense_TPM,SRR35996297_antisense_TPM,SRR35996298_sense_avg_depth,SRR35996298_antisense_avg_depth,SRR35996298_sense_TPM,SRR35996298_antisense_TPM,sample_95_sense_TPM,sample_95_antisense_TPM,sample_enr_sense_TPM,sample_enr_antisense_TPM,avg_sense_TPM,avg_antisense_TPM,PacBio_sense_TPM,PacBio_antisense_TPM
CP002027.1,gene,29269,31258,+,MMSYN1_0913,tetM,mRNA,Tn916_ tetracycline resistance protein,1989,2133.0639,6.8105,7067.7789,22.5660,1975.0754,6.9402,6509.3901,22.8732,4306.5918,20.6747,7659.8764,36.7729,6788.5845,22.7196,7659.8764,36.7729,7224.2305,29.7462,13027.6493,9.9519
CP002027.1,gene,31534,34618,+,MMSYN1_0915,lacZ,mRNA,beta-galactosidase_ chain D,3084,4904.1067,2.3343,16249.4628,7.7346,3967.1226,2.7575,13074.7152,9.0879,5998.3447,2.9990,10668.8958,5.3342,14662.0890,8.4113,10668.8958,5.3342,12665.4924,6.8727,7921.0271,15.2548
CP002027.1,gene,35233,35776,+,MMSYN1_0921,tnpA_1,mRNA,IS1296 transposase protein A,543,12.3002,0.0000,40.7559,0.0000,11.8029,0.3462,38.8998,1.1411,82.0645,0.2578,145.9631,0.4586,39.8278,0.5705,145.9631,0.4586,92.8955,0.5146,95.8813,1.4857
CP002027.1,gene,35913,36645,+,MMSYN1_0922,tnpB_1,mRNA,IS1296 transposase protein B,732,21.0533,0.0137,69.7588,0.0453,26.0943,1.2514,86.0006,4.1242,121.3115,1.1790,215.7694,2.0969,77.8797,2.0847,215.7694,2.0969,146.8246,2.0908,116.6909,8.0897
CP002027.1,gene,36686,37673,-,MMSYN1_0019,,mRNA,mannitol-1-phosphate 5-dehydrogenase,987,2.6829,5.1641,8.8896,17.1110,3.0932,9.6474,10.1945,31.7956,21.8409,27.1094,38.8472,48.2179,9.5420,24.4533,38.8472,48.2179,24.1946,36.3356,136.5445,78.8309
CP002027.1,gene,37673,38471,-,MMSYN1_0020,,mRNA,transcriptional regulator_ RpiR family,798,0.0000,5.3609,0.0000,17.7630,0.0952,7.3709,0.3139,24.2929,5.1153,18.1629,9.0983,32.3053,0.1569,21.0279,9.0983,32.3053,4.6276,26.6666,177.8624,41.5683
CP002027.1,gene,38504,38921,-,MMSYN1_0021,,mRNA,PTS system_ mannitol-permease iia component,417,2.6523,2.2158,8.7882,7.3420,2.7194,0.9017,8.9626,2.9717,8.3141,59.5803,14.7879,105.9720,8.8754,5.1569,14.7879,105.9720,11.8316,55.5644,68.2907,38.8816
CP002027.1,gene,38920,39679,-,MMSYN1_0022,,mRNA,sorbitol-6-phosphate 2-dehydrogenase (Glucitol-6-phosphate dehydrogenase) (Ketosephosphate reductase),759,0.3030,3.8590,1.0041,12.7866,2.4216,11.4097,7.9811,37.6039,6.9671,33.0119,12.3919,58.7162,4.4926,25.1953,12.3919,58.7162,8.4422,41.9557,25.2569,31.3168
CP002027.1,gene,39678,41238,-,MMSYN1_0023,,mRNA,PTS system_ mannitol-permease iibc component,1560,4.4526,44.5808,14.7533,147.7157,4.3481,48.6423,14.3303,160.3138,10.6404,70.8077,18.9254,125.9414,14.5418,154.0147,18.9254,125.9414,16.7336,139.9781,64.4058,15.1470
CP002027.1,gene,41508,42891,-,MMSYN1_0024,,pseudo,PSEUDOGENE - divergent AAA domain family,1383,24.4591,5.6305,81.0439,18.6564,24.4158,7.7939,80.4687,25.6870,67.9776,22.6103,120.9077,40.2155,80.7563,22.1717,120.9077,40.2155,100.8320,31.1936,60.0721,0.5775
CP002027.1,gene,43283,43511,-,MMSYN1_0025,rpsR,mRNA,ribosomal protein S18,228,382.4342,0.0000,1267.1728,0.0000,395.5702,1.8421,1303.7075,6.0712,897.9825,10.1579,1597.1875,18.0672,1285.4401,3.0356,1597.1875,18.0672,1441.3138,10.5514,930.4772,8.8320
CP002027.1,gene,43530,43971,-,MMSYN1_0026,,mRNA,single-strand binding protein,441,389.0748,0.0000,1289.1761,0.0000,363.8594,0.4399,1199.1962,1.4498,1007.6145,7.7415,1792.1835,13.7693,1244.1861,0.7249,1792.1835,13.7693,1518.1848,7.2471,8448.7975,9.0126
CP002027.1,gene,43982,44396,-,MMSYN1_0027,,mRNA,30S ribosomal protein S6,414,413.2536,1.2077,1369.2911,4.0017,417.9058,0.0000,1377.3205,0.0000,1341.3961,1.5700,2385.8608,2.7926,1373.3058,2.0009,2385.8608,2.7926,1879.5833,2.3967,8444.1323,6.2688
CP002027.1,gene,44600,44810,-,MMSYN1_0028,,mRNA,cold-shock DNA-binding domain_ putative,210,78.4000,0.0000,259.7737,0.0000,91.1810,0.3810,300.5113,1.2555,1367.3190,5.8667,2431.9684,10.4347,280.1425,0.6278,2431.9684,10.4347,1356.0554,5.5312,171.2910,1.1085
CP002027.1,gene,44997,45597,+,MMSYN1_0029,,mRNA,fmn-dependent NADH-azoreductase (fmn-dependent nadh-azocompound oxidoreductase) (azo-dye reductase),600,140.0400,2.6533,464.0141,8.7917,159.6683,3.3883,526.2298,11.1672,474.1600,9.0350,843.3599,16.0700,495.1219,9.9794,843.3599,16.0700,669.2409,13.0247,94.6595,19.2722
CP002027.1,gene,45633,46668,-,MMSYN1_0030,,mRNA,abc transporter_ ATP-binding protein,1035,190.8812,0.0000,632.4733,0.0000,191.6618,1.1324,631.6729,3.7320,359.2667,2.2638,639.0061,4.0264,632.0731,1.8660,639.0061,4.0264,635.5396,2.9462,1045.8526,13.8102
CP002027.1,gene,46715,47582,-,MMSYN1_0031,hslO,mRNA,chaperonin HslO,867,0.7566,0.0000,2.5071,0.0000,1.9458,0.3760,6.4129,1.2392,9.9250,0.3483,17.6531,0.6195,4.4600,0.6196,17.6531,0.6195,11.0565,0.6196,1304.5801,13.0298
CP002027.1,gene,47673,50835,-,MMSYN1_0032,,mRNA,GnsA/GnsB family,3162,8.0512,0.0000,26.6773,0.0000,13.3346,0.0000,43.9477,0.0000,43.2015,0.4586,76.8398,0.8156,35.3125,0.0000,76.8398,0.8156,56.0762,0.4078,276.0357,3.5441
CP002027.1,gene,50957,54116,-,MMSYN1_0033,,mRNA,hypothetical protein,3159,2.2881,0.1013,7.5814,0.3356,3.5695,0.0000,11.7642,0.0000,33.7819,0.3799,60.0858,0.6756,9.6728,0.1678,60.0858,0.6756,34.8793,0.4217,67.0744,4.3208
CP002027.1,gene,54280,59650,+,MMSYN1_0034,,mRNA,efflux ABC transporter_ permease protein,5370,18.7905,0.0931,62.2612,0.3085,21.9182,0.4123,72.2375,1.3588,67.5806,2.0369,120.2016,3.6229,67.2493,0.8337,120.2016,3.6229,93.7255,2.2283,290.8792,6.7926
CP002027.1,gene,59774,60968,+,MMSYN1_0035,,mRNA,conserved hypothetical protein,1194,10.7027,0.0000,35.4627,0.0000,16.9472,1.1608,55.8542,3.8257,25.1231,0.7136,44.6850,1.2692,45.6584,1.9129,44.6850,1.2692,45.1717,1.5910,33.7343,2.4485
CP002027.1,gene,61276,62263,+,MMSYN1_0036,,mRNA,D-lactate dehydrogenase,987,163.6292,2.2047,542.1755,7.3050,167.9189,1.4529,553.4219,4.7884,642.9747,3.8612,1143.6205,6.8677,547.7987,6.0467,1143.6205,6.8677,845.7096,6.4572,2823.2339,5.1715
CP002027.1,gene,62281,63406,+,MMSYN1_0037,,mRNA,malate permease,1125,121.7867,0.9716,403.5328,3.2192,134.2809,0.8284,442.5586,2.7304,451.2782,5.4053,802.6615,9.6141,423.0457,2.9748,802.6615,9.6141,612.8536,6.2945,2029.5824,4.8378
CP002027.1,gene,63761,65045,+,MMSYN1_0038,,mRNA,conserved hypothetical protein,1284,10.4167,1.1581,34.5150,3.8373,7.3606,1.7111,24.2588,5.6393,23.0405,4.4813,40.9808,7.9706,29.3869,4.7383,40.9808,7.9706,35.1838,6.3545,36.9741,9.0559
CP002027.1,gene,65086,67033,-,MMSYN1_0039,,mRNA,peptidase_ M41 family,1947,180.0894,2.3554,596.7153,7.8045,173.3508,1.1454,571.3240,3.7748,425.0087,2.0031,755.9375,3.5628,584.0196,5.7897,755.9375,3.5628,669.9786,4.6762,1643.8748,1.7384
CP002027.1,gene,67264,68110,+,MMSYN1_0041,,mRNA,conserved hypothetical protein,846,16.6158,1.4704,55.0556,4.8722,24.7057,2.9232,81.4242,9.6341,34.1277,8.9811,60.7008,15.9741,68.2399,7.2532,60.7008,15.9741,64.4703,11.6136,293.1000,99.0535
CP002027.1,gene,68093,69299,-,MMSYN1_0040,,mRNA,tRNA(Ile)-lysidine synthase (tRNA(Ile)-lysidinesynthetase) (tRNA(Ile)-2-lysyl-cytidine synthase),1206,0.5531,0.3267,1.8326,1.0825,0.5821,0.1161,1.9184,0.3826,4.0473,1.4303,7.1986,2.5441,1.8755,0.7325,7.1986,2.5441,4.5371,1.6383,102.9082,142.0070
CP002027.1,gene,69301,70129,-,MMSYN1_0042,,mRNA,transcriptional regulator_ RpiR family protein,828,4.9022,1.4505,16.2431,4.8061,7.0157,2.4022,23.1221,7.9170,175.8575,11.7971,312.7872,20.9828,19.6826,6.3615,312.7872,20.9828,166.2349,13.6722,203.3646,31.6951
CP002027.1,gene,70180,70903,-,MMSYN1_0043,,mRNA,methyltransferase,723,0.3098,0.7082,1.0266,2.3464,1.7427,0.0000,5.7437,0.0000,36.2794,0.0000,64.5280,0.0000,3.3851,1.1732,64.5280,0.0000,33.9565,0.5866,138.2529,9.3243
CP002027.1,gene,70902,71643,-,MMSYN1_0044,,mRNA,DNA polymerase III delta subunit,741,0.7152,0.1538,2.3699,0.5098,0.9501,0.6370,3.1312,2.0993,2.6694,0.1471,4.7478,0.2616,2.7506,1.3045,4.7478,0.2616,3.7492,0.7831,110.5334,2.9431
CP002027.1,gene,71620,72262,-,MMSYN1_0045,tmk,mRNA,dTMP kinase,642,22.6371,0.0000,75.0066,0.0000,49.3910,2.1620,162.7812,7.1254,177.5607,5.2819,315.8166,9.3947,118.8939,3.5627,315.8166,9.3947,217.3553,6.4787,173.4333,3.2752
CP002027.1,gene,72264,72855,-,MMSYN1_0046,,mRNA,DNA repair protein RecM,591,7.2589,0.0000,24.0519,0.0000,13.4535,0.2301,44.3395,0.7584,52.2504,0.9543,92.9347,1.6974,34.1957,0.3792,92.9347,1.6974,63.5652,1.0383,239.3578,3.6173
CP002027.1,gene,72856,74863,-,MMSYN1_0047,dnaX,mRNA,DNA polymerase III_ gamma/tau subunit,2007,10.2596,0.0827,33.9945,0.2741,15.4853,0.0000,51.0360,0.0000,71.4429,0.0254,127.0713,0.0452,42.5152,0.1370,127.0713,0.0452,84.7933,0.0911,331.8112,7.0918
CP002027.1,gene,74944,75412,-,MMSYN1_0048,,mRNA,cytosine deaminase,468,35.4701,0.1282,117.5280,0.4248,53.7543,0.3675,177.1616,1.2113,55.9786,1.0000,99.5658,1.7786,147.3448,0.8180,99.5658,1.7786,123.4553,1.2983,239.8036,4.0370
CP002027.1,gene,75392,75491,-,MMSYN1_0049,srpB,ncRNA,Bacterial signal recognition particle RNA,99,98.9394,2.0000,327.8297,6.6269,147.7374,3.3535,486.9081,11.0525,132.1313,4.6465,235.0140,8.2644,407.3689,8.8397,235.0140,8.2644,321.1915,8.5520,223.0769,2.4060
CP002027.1,gene,75528,76491,-,MMSYN1_0050,guaC,mRNA,GMP reductase,963,41.2876,2.2222,136.8041,7.3632,41.7259,0.7456,137.5187,2.4573,106.0228,2.1256,188.5765,3.7808,137.1614,4.9102,188.5765,3.7808,162.8690,4.3455,33.4230,2.2072
CP002027.1,gene,76905,77202,-,MMSYN1_0051,,mRNA,conserved hypothetical protein,297,0.0000,0.0000,0.0000,0.0000,0.0539,0.0000,0.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0888,0.0000,0.0000,0.0000,0.0444,0.0000,42.0217,1.8208
CP002027.1,gene,77326,77647,-,MMSYN1_0052,,mRNA,hypothetical protein,321,190.9938,0.0000,632.8464,0.0000,223.3520,0.0000,736.1164,0.0000,638.1308,0.9408,1135.0050,1.6734,684.4814,0.0000,1135.0050,1.6734,909.7432,0.8367,159.7512,3.3066
CP002027.1,gene,77754,79851,-,MMSYN1_0053,,pseudo,PSEUDOGENE - putative liporotein,2097,27.1326,0.6896,89.9021,2.2848,28.2866,0.5675,93.2261,1.8703,112.1235,1.5885,199.4274,2.8253,91.5641,2.0775,199.4274,2.8253,145.4957,2.4514,952.0343,2.3094
CP002027.1,gene,79999,80449,-,MMSYN1_0054,,mRNA,AhpC/TSA family protein,450,4.3644,0.0000,14.4613,0.0000,14.3800,0.0000,47.3931,0.0000,164.2244,0.5956,292.0962,1.0593,30.9272,0.0000,292.0962,1.0593,161.5117,0.5296,392.5417,0.6282
CP002027.1,gene,80687,81977,-,MMSYN1_0055,mmyCVR,mRNA,GATC--recognizing Type II restriction modification system (MmyCV) endonuclease subunit,1290,7.8992,0.0000,26.1736,0.0000,12.1829,0.3860,40.1522,1.2723,64.8388,0.0000,115.3248,0.0000,33.1629,0.6362,115.3248,0.0000,74.2438,0.3181,294.3111,5.2534
CP002027.1,gene,81978,82818,-,MMSYN1_0056,mmyC5VM,mRNA,GATC--recognizing Type II restriction modification system (MmyCV) adenine DNA methyltransferase subunit,840,27.8952,1.0667,92.4292,3.5343,24.3786,1.0952,80.3461,3.6097,109.4274,5.1202,194.6319,9.1071,86.3877,3.5720,194.6319,9.1071,140.5098,6.3395,285.9788,9.3193
CP002027.1,gene,83286,83577,+,MMSYN1_0057,,mRNA,conserved hypothetical protein,291,51.8213,0.0000,171.7068,0.0000,152.4536,0.0000,502.4517,0.0000,484.6942,4.5189,862.0964,8.0375,337.0792,0.0000,862.0964,8.0375,599.5878,4.0187,36.0112,46.6125
CP002027.1,gene,83595,84177,+,MMSYN1_0058,,mRNA,conserved hypothetical protein,582,14.1993,2.2302,47.0486,7.3898,20.6357,5.3265,68.0106,17.5548,27.6890,6.8076,49.2488,12.1082,57.5296,12.4723,49.2488,12.1082,53.3892,12.2902,43.9592,46.0047
CP002027.1,gene,84291,85410,+,MMSYN1_0059,ald,mRNA,alanine dehydrogenase,1119,1172.0045,1.3029,3883.3664,4.3172,1081.6247,2.3584,3564.7838,7.7726,4407.9160,8.7426,7840.0957,15.5500,3724.0751,6.0449,7840.0957,15.5500,5782.0854,10.7975,10110.5962,0.1384
CP002027.1,gene,85703,86528,+,MMSYN1_0060,,mRNA,putative membrane protein,825,137.0533,0.0000,454.1180,0.0000,159.7794,2.1806,526.5958,7.1868,478.5588,3.0509,851.1838,5.4265,490.3569,3.5934,851.1838,5.4265,670.7703,4.5099,676.4440,7.0458
CP002027.1,gene,86610,87879,+,MMSYN1_0061,serS,mRNA,serine--tRNA ligase,1269,47.6548,0.3625,157.9015,1.2011,49.7179,0.5957,163.8586,1.9634,171.3987,3.2797,304.8567,5.8335,160.8800,1.5823,304.8567,5.8335,232.8683,3.7079,516.5989,10.2905
CP002027.1,gene,87980,88295,+,MMSYN1_0062,,mRNA,conserved hypothetical protein,315,56.7111,1.7048,187.9089,5.6486,70.2000,2.6635,231.3629,8.7783,169.7397,2.2317,301.9058,3.9695,209.6359,7.2134,301.9058,3.9695,255.7708,5.5915,790.5485,16.7770
CP002027.1,gene,88296,89271,+,MMSYN1_0063,,mRNA,tRNA-dihydrouridine synthase B,975,135.9908,10.8113,450.5972,35.8225,133.1497,11.4154,438.8306,37.6225,218.1087,9.7528,387.9369,17.3468,444.7139,36.7225,387.9369,17.3468,416.3254,27.0346,875.1067,22.6779
CP002027.1,gene,89273,90776,+,MMSYN1_0064,lysS,mRNA,lysine--tRNA ligase,1503,200.4391,6.4245,664.1430,21.2871,175.9195,3.6680,579.7898,12.0889,379.2927,16.6667,674.6253,29.6440,621.9664,16.6880,674.6253,29.6440,648.2958,23.1660,580.9018,30.5528
CP002027.1,gene,90865,91174,-,MMSYN1_0065,trxA,mRNA,thioredoxin,309,2063.8544,1.4595,6838.4574,4.8361,2069.1230,1.3592,6819.3491,4.4797,3242.9094,2.8479,5767.9684,5.0654,6828.9033,4.6579,5767.9684,5.0654,6298.4358,4.8616,154.7193,12.5874
CP002027.1,gene,91184,92027,-,MMSYN1_0066,,mRNA,putative hydrolase of the HAD family,843,85.7568,0.6026,284.1501,1.9967,79.7912,1.9620,262.9733,6.4664,197.5931,7.4674,351.4470,13.2818,273.5617,4.2316,351.4470,13.2818,312.5044,8.7567,231.2944,7.6631
CP002027.1,gene,92147,92256,-,MMSYN1_0067,rrf,rRNA,5S ribosomal RNA,109,5191.5413,8.3670,17201.8601,27.7235,6981.3761,10.8073,23008.9953,35.6185,21187.1651,50.8899,37684.3396,90.5148,20105.4277,31.6710,37684.3396,90.5148,28894.8836,61.0929,0.8344,0.0135
CP002027.1,gene,92330,95225,-,MMSYN1_0068,rrl,rRNA,23S ribosomal RNA,2895,711.2995,0.7824,2356.8481,2.5924,1182.7437,4.7295,3898.0487,15.5874,1925.4280,5.9834,3424.6432,10.6423,3127.4484,9.0899,3424.6432,10.6423,3276.0458,9.8661,0.3152,0.0000
CP002027.1,gene,95456,96980,-,MMSYN1_0069,rrs,rRNA,16S ribosomal RNA,1524,84.7270,0.0000,280.7379,0.0000,762.8799,0.8629,2514.2751,2.8438,869.6640,1.2585,1546.8193,2.2385,1397.5065,1.4219,1546.8193,2.2385,1472.1629,1.8302,2.3386,0.0000
CP002027.1,gene,97262,97346,-,MMSYN1_0070,,tRNA,tRNA-Leu,84,234.8095,2.0000,778.0272,6.6269,325.3452,1.4048,1072.2624,4.6298,122.7738,0.0000,218.3704,0.0000,925.1448,5.6283,218.3704,0.0000,571.7576,2.8142,0.0000,0.0000
CP002027.1,gene,97348,97424,-,MMSYN1_0071,,tRNA,tRNA-Lys,76,194.1447,3.3421,643.2869,11.0739,219.6974,0.1316,724.0715,0.4337,114.8947,0.0000,204.3564,0.0000,683.6792,5.7538,204.3564,0.0000,444.0178,2.8769,0.0000,0.0000
CP002027.1,gene,97602,99669,+,MMSYN1_0072,,mRNA,putative membrane protein,2067,0.0000,1.3585,0.0000,4.5013,0.0619,0.4480,0.2041,1.4765,0.4833,2.4596,0.8596,4.3747,0.1020,2.9889,0.8596,4.3747,0.4808,3.6818,0.3866,9.5678
CP002027.1,gene,99701,102434,-,MMSYN1_0073,,mRNA,phosphonate ABC transporter_ permease protein PhnE_ putative,2733,34.5697,0.3256,114.5446,1.0790,49.3758,0.8449,162.7311,2.7845,279.5953,1.3074,497.2994,2.3253,138.6379,1.9317,497.2994,2.3253,317.9686,2.1285,909.2502,2.7004
CP002027.1,gene,102437,103190,-,MMSYN1_0074,phnC,mRNA,phosphonate ABC transporter_ ATP-binding protein,753,136.2882,1.7039,451.5827,5.6456,166.6149,1.9057,549.1240,6.2808,694.1315,1.7251,1234.6100,3.0683,500.3533,5.9632,1234.6100,3.0683,867.4817,4.5158,1013.1046,2.0817
CP002027.1,gene,103203,104574,-,MMSYN1_0075,,mRNA,phosphonate ABC transporter_ phosphonate-binding protein_ putative,1371,301.8724,1.0948,1000.2359,3.6276,300.7360,0.6331,991.1559,2.0866,938.0649,1.9416,1668.4798,3.4535,995.6959,2.8571,1668.4798,3.4535,1332.0879,3.1553,5604.6834,1.2508
CP002027.1,gene,104865,106230,-,MMSYN1_0076,asnS,mRNA,asparagine--tRNA ligase,1365,134.8542,1.1297,446.8313,3.7431,133.7392,2.8974,440.7733,9.5493,381.2110,3.8747,678.0371,6.8917,443.8023,6.6462,678.0371,6.8917,560.9197,6.7690,718.5986,11.5273
CP002027.1,gene,106238,107078,-,MMSYN1_0077,,mRNA,putative hydrolase of the HAD family,840,98.6143,0.0000,326.7525,0.0000,98.1143,0.8798,323.3619,2.8995,227.8131,0.9190,405.1975,1.6347,325.0572,1.4497,405.1975,1.6347,365.1273,1.5422,776.4752,11.8625
CP002027.1,gene,107088,108219,-,MMSYN1_0078,,mRNA,putative hydrolase from alpha/beta family,1131,7.1114,0.0141,23.5632,0.0469,18.7224,0.0539,61.7046,0.1778,68.2874,0.9797,121.4586,1.7425,42.6339,0.1123,121.4586,1.7425,82.0463,0.9274,407.6119,12.3874
CP002027.1,gene,108242,109199,-,MMSYN1_0079,,mRNA,probable O-sialoglycoprotein endopeptidase (Glycoprotease),957,36.2978,0.4242,120.2706,1.4057,37.7482,4.0481,124.4092,13.3415,123.0303,6.4127,218.8266,11.4060,122.3399,7.3736,218.8266,11.4060,170.5833,9.3898,189.6496,20.1426
CP002027.1,gene,109293,109515,-,MMSYN1_0080,,mRNA,conserved hypothetical protein,222,491.1802,0.0000,1627.4960,0.0000,383.6757,0.5135,1264.5060,1.6924,506.7387,0.0000,901.3058,0.0000,1446.0010,0.8462,901.3058,0.0000,1173.6534,0.4231,77.7590,1.3619
