scar_id	syn1_del_s	syn1_del_e	syn1_del_len	syn3A_junction	n_deleted_genes	left_gene	right_gene	operon_L_id	operon_R_id	operon_L_strand	operon_L_gene_deletion_pattern	operon_L_overlap_class	operon_L_facing_reg	operon_L_reg_lost	operon_R_strand	operon_R_gene_deletion_pattern	operon_R_overlap_class	operon_R_facing_reg	operon_R_reg_lost	same_operon	strand_relationship	junction_type
DEL_034	325824	327238	1414	153113	1	MMSYN1_0250	MMSYN1_0253	OP_00133	OP_00134	-	intact	intact	promoter	False	-	lagging_deleted	3'_truncation_gene	terminator	True	False	tandem	readthrough_extension
DEL_035	329649	332391	2742	155522	0	MMSYN1_0254	MMSYN1_0257	OP_00135	OP_00137	-	leading_deleted	5'_truncation_gene	promoter	True	-	intact	intact	terminator	False	False	tandem	decapitation
DEL_036	334374	335091	717	157504	0	MMSYN1_0257	MMSYN1_0259	OP_00137	OP_00138	-	intact	intact	promoter	False	-	lagging_deleted	3'_truncation_gene	terminator	True	False	tandem	readthrough_extension
DEL_037	338719	339334	615	161129	0	MMSYN1_0260	MMSYN1_0262	OP_00139	OP_00139	-	intra_deleted	intra_truncated	promoter	False	-	intra_deleted	intra_truncated	terminator	False	True	intra_operon	intra_operon
DEL_038	342141	344319	2178	163935	0	MMSYN1_0264	MMSYN1_0270	OP_00139	OP_00142	-	intra_deleted	intra_truncated	promoter	False	+	intact	intact	promoter	False	False	divergent	divergent
DEL_039	345422	359429	14007	165036	7	MMSYN1_0271	MMSYN1_0280	OP_00142	OP_00150	+	intact	intact	terminator	False	+	intact	intact	promoter	False	False	tandem	clean_excision
DEL_040	359689	359975	286	165336	0	MMSYN1_0271	MMSYN1_0280	OP_00142	OP_00150	+	intact	intact	terminator	False	+	intact	intact	promoter	False	False	tandem	clean_excision
DEL_041	363144	364030	886	168503	0	MMSYN1_0283	MMSYN1_0285	OP_00151	OP_00152	+	intact	intact	terminator	False	+	leading_deleted	5'_truncation_gene	promoter	True	False	tandem	decapitation
DEL_042	371713	375754	4041	176184	2	MMSYN1_0291	MMSYN1_0294	OP_00155	OP_00158	+	intact	3'_truncation_UTR	terminator	True	+	intact	5'_truncation_UTR	promoter	True	False	tandem	fusion
DEL_043	389505	389779	274	189935	0	MMSYN1_0305	MMSYN1_0308	OP_00162	OP_00163	-	leading_deleted	multi:5'_truncation_gene+intra_truncated	promoter	False	+	leading_deleted	multi:5'_truncation_UTR+intra_truncated	promoter	True	False	divergent	divergent
DEL_044	389979	390909	930	190135	0	MMSYN1_0305	MMSYN1_0308	OP_00162	OP_00163	-	leading_deleted	multi:5'_truncation_gene+intra_truncated	promoter	True	+	leading_deleted	multi:5'_truncation_UTR+intra_truncated	promoter	False	False	divergent	divergent
DEL_045	392044	399521	7477	191268	3	MMSYN1_0308	MMSYN1_0314	OP_00163	OP_00169	+	leading_deleted	multi:5'_truncation_UTR+intra_truncated	terminator	False	+	intact	intact	promoter	False	False	tandem	clean_excision
DEL_046	402992	412894	9902	194738	6	MMSYN1_0317	MMSYN1_0325	OP_00169	OP_00174	+	intact	intact	terminator	False	+	intact	intact	promoter	False	False	tandem	clean_excision
DEL_047	419454	420167	713	201296	0	MMSYN1_0330	MMSYN1_0332	OP_00175	OP_00176	+	lagging_deleted	3'_truncation_gene	terminator	True	+	intact	intact	promoter	False	False	tandem	readthrough_extension
DEL_048	421585	426208	4623	202715	5	MMSYN1_0332	MMSYN1_0338	OP_00176	OP_00180	+	intact	intact	terminator	False	+	leading_deleted	5'_truncation_gene	promoter	True	False	tandem	decapitation
DEL_049	427508	435700	8192	204027	4	MMSYN1_0338	MMSYN1_0344	OP_00180	OP_00185	+	leading_deleted	5'_truncation_gene	terminator	False	-	intact	intact	terminator	False	False	convergent	convergent
DEL_050	440092	441059	967	208410	0	MMSYN1_0348	MMSYN1_0350	OP_00186	OP_00187	+	intact	intact	terminator	False	+	leading_deleted	multi:5'_truncation_gene+intra_truncated	promoter	True	False	tandem	decapitation
DEL_051	441989	442461	472	209339	0	MMSYN1_0352	MMSYN1_0353	OP_00187	OP_00187	+	leading_deleted	multi:5'_truncation_gene+intra_truncated	terminator	False	+	leading_deleted	multi:5'_truncation_gene+intra_truncated	promoter	False	True	intra_operon	intra_operon
DEL_052	443061	444476	1415	209939	0	MMSYN1_0353	MMSYN1_0356	OP_00187	OP_00190	+	leading_deleted	multi:5'_truncation_gene+intra_truncated	terminator	False	+	intra_deleted	intra_truncated	promoter	False	False	tandem	clean_excision
DEL_053	444649	445872	1223	210111	0	MMSYN1_0353	MMSYN1_0356	OP_00187	OP_00190	+	leading_deleted	multi:5'_truncation_gene+intra_truncated	terminator	False	+	intra_deleted	intra_truncated	promoter	False	False	tandem	clean_excision
DEL_054	446339	447889	1550	210577	1	MMSYN1_0356	MMSYN1_0359	OP_00190	OP_00190	+	intra_deleted	intra_truncated	terminator	False	+	intra_deleted	intra_truncated	promoter	False	True	intra_operon	intra_operon
DEL_055	454458	458129	3671	217145	1	MMSYN1_0366	MMSYN1_0371	OP_00191	OP_00194	+	lagging_deleted	3'_truncation_gene	terminator	True	+	intact	intact	promoter	False	False	tandem	readthrough_extension
DEL_056	458291	458590	299	217304	0	MMSYN1_0366	MMSYN1_0371	OP_00191	OP_00194	+	lagging_deleted	3'_truncation_gene	terminator	False	+	intact	intact	promoter	False	False	tandem	clean_excision
DEL_057	470395	473494	3099	229102	2	MMSYN1_0382	MMSYN1_0387	OP_00201	OP_00206	+	intact	intact	terminator	False	+	intact	intact	promoter	False	False	tandem	clean_excision
DEL_058	479540	480825	1285	235139	0	MMSYN1_0392	MMSYN1_0394	OP_00208	OP_00209	+	lagging_deleted	intra_truncated	terminator	False	+	intact	intact	promoter	False	False	tandem	clean_excision
DEL_059	483409	489238	5829	237721	1	MMSYN1_0394	MMSYN1_0398	OP_00209	OP_00212	+	intact	intact	terminator	False	-	intact	intact	terminator	False	False	convergent	convergent
DEL_060	521837	522282	445	270317	0	MMSYN1_0416	MMSYN1_0418	OP_00221	OP_00222	-	leading_deleted	5'_truncation_gene	promoter	True	-	intact	intact	terminator	False	False	tandem	decapitation
DEL_061	538698	539341	643	286732	0	MMSYN1_0435	MMSYN1_0437	OP_00226	OP_00227	+	lagging_deleted	intra_truncated	terminator	False	+	intact	intact	promoter	False	False	tandem	clean_excision
DEL_062	551789	552252	463	299177	0	MMSYN1_0445	MMSYN1_0447	OP_00233	OP_00233	+	intra_deleted	multi:3'_truncation_UTR+intra_truncated	terminator	False	+	intra_deleted	multi:3'_truncation_UTR+intra_truncated	promoter	False	True	intra_operon	intra_operon
DEL_063	553594	555079	1485	300517	2	MMSYN1_0448	MMSYN1_0451	OP_00233	OP_00235	+	intra_deleted	multi:3'_truncation_UTR+intra_truncated	terminator	True	+	intact	intact	promoter	False	False	tandem	readthrough_extension
DEL_064	561556	581943	20387	306994	18	MMSYN1_0453	MMSYN1_0475	OP_00236	OP_00246	+	intact	intact	terminator	False	-	leading_deleted	multi:3'_truncation_UTR+5'_truncation_gene	terminator	True	False	convergent	convergent
DEL_065	583080	585099	2019	308131	0	MMSYN1_0475	MMSYN1_0478	OP_00246	OP_00247	-	leading_deleted	multi:3'_truncation_UTR+5'_truncation_gene	promoter	True	+	all_deleted	5'_truncation_gene	promoter	True	False	divergent	divergent
DEL_066	587539	589539	2000	310569	0	MMSYN1_0479	MMSYN1_0481	OP_00248	OP_00250	-	intact	intact	promoter	False	-	intact	intact	terminator	False	False	tandem	clean_excision
DEL_067	590637	601785	11148	311664	9	MMSYN1_0482	MMSYN1_0493	OP_00251	OP_00258	+	intact	intact	terminator	False	-	lagging_deleted	3'_truncation_gene	terminator	True	False	convergent	convergent
DEL_068	604988	608019	3031	316465	1	MMSYN1_0495	MMSYN1_0499	OP_00260	OP_00261	-	leading_deleted	intra_truncated	promoter	False	-	intact	intact	terminator	False	False	tandem	clean_excision
DEL_069	614765	615840	1075	323209	0	MMSYN1_0513	MMSYN1_0515	OP_00264	OP_00265	-	intact	intact	promoter	False	-	lagging_deleted	3'_truncation_gene	terminator	True	False	tandem	readthrough_extension
DEL_070	632731	637180	4449	340098	1	MMSYN1_0530	MMSYN1_0532	OP_00269	OP_00271	-	intact	intact	promoter	False	-	intact	intact	terminator	False	False	tandem	clean_excision
DEL_071	657178	728756	71578	360097	45	MMSYN1_0549	MMSYN1_0592	OP_00276	OP_00311	-	intact	intact	promoter	False	-	lagging_deleted	3'_truncation_gene	terminator	True	False	tandem	readthrough_extension
DEL_072	731219	740661	9442	363679	4	MMSYN1_0593	MMSYN1_0599	OP_00312	OP_00314	-	leading_deleted	5'_truncation_gene	promoter	True	+	all_deleted	5'_truncation_gene	promoter	True	False	divergent	divergent
DEL_073	766800	776197	9397	389817	8	MMSYN1_0624	MMSYN1_0634	OP_00328	OP_00334	-	intact	intact	promoter	False	-	intact	intact	terminator	False	False	tandem	clean_excision
DEL_074	806355	811864	5509	419973	3	MMSYN1_0672	MMSYN1_0678	OP_00341	OP_00346	-	intact	intact	promoter	False	-	intact	intra_truncated	terminator	False	False	tandem	clean_excision
DEL_075	812216	813128	912	420318	1	MMSYN1_0672	MMSYN1_0678	OP_00341	OP_00346	-	intact	intact	promoter	False	-	intact	intra_truncated	terminator	False	False	tandem	clean_excision
DEL_076	813808	815809	2001	420998	0	MMSYN1_0681	MMSYN1_0684	OP_00346	OP_00349	-	intact	intra_truncated	promoter	False	-	lagging_deleted	3'_truncation_gene	terminator	True	False	tandem	readthrough_extension
DEL_077	832677	844099	11422	437846	8	MMSYN1_0697	MMSYN1_0706	OP_00353	OP_00358	-	intact	intact	promoter	False	-	intact	intact	terminator	False	False	tandem	clean_excision
DEL_078	849524	856517	6993	443273	5	MMSYN1_0710	MMSYN1_0717	OP_00358	OP_00363	-	intact	intact	promoter	False	+	intact	intact	promoter	False	False	divergent	divergent
DEL_079	862388	863402	1014	449143	1	MMSYN1_0730	MMSYN1_0732	OP_00364	OP_00365	+	lagging_deleted	intra_truncated	terminator	False	-	intact	3'_truncation_UTR	terminator	True	False	convergent	convergent
DEL_080	865971	878161	12190	451712	12	MMSYN1_0733	MMSYN1_0747	OP_00365	OP_00370	-	intact	3'_truncation_UTR	promoter	False	+	leading_deleted	multi:3'_truncation_UTR+5'_truncation_gene	promoter	True	False	divergent	divergent
DEL_081	879068	907483	28415	452615	22	MMSYN1_0747	MMSYN1_0771	OP_00370	OP_00386	+	leading_deleted	multi:3'_truncation_UTR+5'_truncation_gene	terminator	True	-	lagging_deleted	3'_truncation_gene	terminator	True	False	convergent	convergent
DEL_082	917652	924893	7241	462783	5	MMSYN1_0779	MMSYN1_0787	OP_00390	OP_00393	+	lagging_deleted	3'_truncation_gene	terminator	True	-	intact	5'_truncation_UTR	terminator	False	False	convergent	convergent
DEL_083	928330	929517	1187	466216	0	MMSYN1_0787	MMSYN1_0789	OP_00393	OP_00394	-	intact	5'_truncation_UTR	promoter	True	-	intact	intact	terminator	False	False	tandem	decapitation
DEL_084	939085	941581	2496	475783	1	MMSYN1_0800	MMSYN1_0803	OP_00397	OP_00398	-	leading_deleted	intra_truncated	promoter	False	-	intact	intact	terminator	False	False	tandem	clean_excision
DEL_085	953141	955926	2785	487342	2	MMSYN1_0810	MMSYN1_0813	OP_00399	OP_00402	-	intact	intact	promoter	False	+	intact	intact	promoter	False	False	divergent	divergent
DEL_086	958918	960048	1130	490334	3	MMSYN1_0814	MMSYN1_0817	OP_00402	OP_00406	+	intact	intact	terminator	False	-	intact	3'_truncation_UTR	terminator	True	False	convergent	convergent
DEL_087	975827	976616	789	506113	0	MMSYN1_0828	MMSYN1_0830	OP_00409	OP_00410	+	intact	intact	terminator	False	+	leading_deleted	intra_truncated	promoter	False	False	tandem	clean_excision
DEL_088	987121	1003970	16849	516608	10	MMSYN1_0840	MMSYN1_0851	OP_00413	OP_00418	+	intact	intact	terminator	False	-	lagging_deleted	3'_truncation_gene	terminator	True	False	convergent	convergent
DEL_089	1005339	1011820	6481	517977	4	MMSYN1_0853	MMSYN1_0859	OP_00419	OP_00422	-	leading_deleted	5'_truncation_gene	promoter	True	+	intact	5'_truncation_UTR	promoter	True	False	divergent	divergent
DEL_090	1014115	1025786	11671	520272	10	MMSYN1_0859	MMSYN1_0870	OP_00422	OP_00431	+	intact	5'_truncation_UTR	terminator	False	-	intra_deleted	intra_truncated	terminator	False	False	convergent	convergent
DEL_091	1027733	1028408	675	522219	0	MMSYN1_0870	MMSYN1_0872	OP_00431	OP_00431	-	intra_deleted	intra_truncated	promoter	False	-	intra_deleted	intra_truncated	terminator	False	True	intra_operon	intra_operon
DEL_092	1037852	1038822	970	531659	0	MMSYN1_0879	MMSYN1_0881	OP_00434	OP_00436	-	intact	intact	promoter	False	-	intact	intact	terminator	False	False	tandem	clean_excision
DEL_093	1040770	1043410	2640	533605	1	MMSYN1_0881	MMSYN1_0885	OP_00436	OP_00439	-	intact	intact	promoter	False	-	intact	intact	terminator	False	False	tandem	clean_excision
DEL_094	1048869	1074325	25456	539060	16	MMSYN1_0887	MMSYN1_0906	OP_00440	OP_00458	-	intact	intact	promoter	False	-	intact	intact	terminator	False	False	tandem	clean_excision
DEL_095	1074591	1074749	158	539320	0	MMSYN1_0887	MMSYN1_0906	OP_00440	OP_00458	-	intact	intact	promoter	False	-	intact	intact	terminator	False	False	tandem	clean_excision
