orfs	isoform_id	n_reads	strand	n_orfs	n_with_stop	n_without_stop
MMSYN1_0009✗	ISO_035741	23	-	1	0	1
MMSYN1_0009✗	ISO_035743	18	-	1	0	1
MMSYN1_0009✗	ISO_035744	29	-	1	0	1
MMSYN1_0009✗	ISO_035745	17	-	1	0	1
MMSYN1_0009✗	ISO_035746	30	-	1	0	1
MMSYN1_0009✗	ISO_035747	17	-	1	0	1
MMSYN1_0009✗	ISO_035751	11	-	1	0	1
MMSYN1_0009✗	ISO_035752	16	-	1	0	1
MMSYN1_0009✗	ISO_035754	19	-	1	0	1
MMSYN1_0009✗	ISO_035759	20	-	1	0	1
MMSYN1_0009✗	ISO_035760	10	-	1	0	1
MMSYN1_0009✗	ISO_035762	17	-	1	0	1
MMSYN1_0009✗	ISO_035766	10	-	1	0	1
MMSYN1_0009✗	ISO_035769	13	-	1	0	1
MMSYN1_0009✗	ISO_035770	22	-	1	0	1
MMSYN1_0009✗	ISO_035775	19	-	1	0	1
MMSYN1_0009✗	ISO_035780	12	-	1	0	1
MMSYN1_0009✗	ISO_035785	27	-	1	0	1
MMSYN1_0009✗	ISO_035788	12	-	1	0	1
MMSYN1_0010✓ MMSYN1_0009✗	ISO_035800	10	-	2	1	1
MMSYN1_0010✓ MMSYN1_0009✗	ISO_035801	14	-	2	1	1
MMSYN1_0010✓ MMSYN1_0009✗	ISO_035804	12	-	2	1	1
MMSYN1_0010✓ MMSYN1_0009✗	ISO_035810	24	-	2	1	1
MMSYN1_0010✓ MMSYN1_0009✗	ISO_035827	19	-	2	1	1
MMSYN1_0010✓ MMSYN1_0009✗	ISO_035835	22	-	2	1	1
MMSYN1_0010✓ MMSYN1_0009✗	ISO_035847	11	-	2	1	1
MMSYN1_0011✓ MMSYN1_0010✓ MMSYN1_0009✗	ISO_035906	129	-	3	2	1
MMSYN1_0011✓ MMSYN1_0010✗	ISO_035924	39	-	2	1	1
MMSYN1_0011✓ MMSYN1_0010✗	ISO_035925	15	-	2	1	1
MMSYN1_0011✓ MMSYN1_0010✗	ISO_035926	20	-	2	1	1
MMSYN1_0011✓ MMSYN1_0010✗	ISO_035928	25	-	2	1	1
MMSYN1_0011✓ MMSYN1_0010✗	ISO_035934	35	-	2	1	1
MMSYN1_0011✗	ISO_035913	20	-	1	0	1
MMSYN1_0011✗	ISO_035935	179	-	1	0	1
MMSYN1_0011✗	ISO_035937	227	-	1	0	1
MMSYN1_0012✓ MMSYN1_0011✗	ISO_036005	27	-	2	1	1
MMSYN1_0012✓ MMSYN1_0011✗	ISO_036009	11	-	2	1	1
MMSYN1_0012✓	ISO_036014	21	-	1	1	0
MMSYN1_0012✓	ISO_036015	10	-	1	1	0
MMSYN1_0012✓	ISO_036017	332	-	1	1	0
MMSYN1_0012✗	ISO_036018	25	-	1	0	1
MMSYN1_0012✗	ISO_036019	361	-	1	0	1
MMSYN1_0012✗	ISO_036022	10	-	1	0	1
MMSYN1_0012✗	ISO_036002	11	-	1	0	1
MMSYN1_0012✗	ISO_036023	2013	-	1	0	1
MMSYN1_0012✗	ISO_036041	19	-	1	0	1
MMSYN1_0012✗	ISO_036053	25	-	1	0	1
MMSYN1_0012✗	ISO_036024	13	-	1	0	1
MMSYN1_0012✗	ISO_036026	16	-	1	0	1
MMSYN1_0012✗	ISO_036027	10	-	1	0	1
MMSYN1_0013✗	ISO_000768	16	+	1	0	1
MMSYN1_0013✓ MMSYN1_0014✗	ISO_000773	31	+	2	1	1
MMSYN1_0013✓ MMSYN1_0014✗	ISO_000783	38	+	2	1	1
MMSYN1_0013✓ MMSYN1_0014✗	ISO_000790	13	+	2	1	1
MMSYN1_0013✓ MMSYN1_0014✗	ISO_000793	86	+	2	1	1
MMSYN1_0014✗	ISO_000805	14	+	1	0	1
MMSYN1_0014✗	ISO_000814	12	+	1	0	1
MMSYN1_0014✗	ISO_000817	14	+	1	0	1
MMSYN1_0014✗	ISO_000819	15	+	1	0	1
MMSYN1_0014✗	ISO_000827	18	+	1	0	1
MMSYN1_0014✗	ISO_000828	12	+	1	0	1
MMSYN1_0015✗	ISO_000844	10	+	1	0	1
MMSYN1_0015✗	ISO_000871	13	+	1	0	1
MMSYN1_0015✗	ISO_000878	13	+	1	0	1
MMSYN1_0015✗	ISO_000890	20	+	1	0	1
MMSYN1_0015✗	ISO_000897	12	+	1	0	1
MMSYN1_0015✗	ISO_000903	36	+	1	0	1
MMSYN1_0015✗	ISO_000905	27	+	1	0	1
MMSYN1_0015✗	ISO_000908	39	+	1	0	1
MMSYN1_0015✗	ISO_000909	10	+	1	0	1
MMSYN1_0015✗	ISO_000918	11	+	1	0	1
MMSYN1_0015✗	ISO_000919	10	+	1	0	1
MMSYN1_0015✗	ISO_000923	725	+	1	0	1
MMSYN1_0015✓	ISO_000924	74	+	1	1	0
MMSYN1_0015✓ MMSYN1_0016✗	ISO_000936	521	+	2	1	1
MMSYN1_0015✓ MMSYN1_0016✗	ISO_000940	12	+	2	1	1
MMSYN1_0015✓ MMSYN1_0016✗	ISO_000949	10	+	2	1	1
MMSYN1_0016✗	ISO_000964	21	+	1	0	1
MMSYN1_0016✗	ISO_000972	11	+	1	0	1
MMSYN1_0016✗	ISO_000988	12	+	1	0	1
MMSYN1_0016✗	ISO_000994	22	+	1	0	1
MMSYN1_0016✗	ISO_001000	35	+	1	0	1
MMSYN1_0016✗	ISO_001003	16	+	1	0	1
MMSYN1_0016✗	ISO_001005	18	+	1	0	1
MMSYN1_0016✗	ISO_001007	12	+	1	0	1
MMSYN1_0016✗	ISO_001013	19	+	1	0	1
MMSYN1_0016✗	ISO_001014	12	+	1	0	1
MMSYN1_0016✗	ISO_001019	43	+	1	0	1
MMSYN1_0016✗	ISO_001021	16	+	1	0	1
MMSYN1_0016✗	ISO_001024	19	+	1	0	1
MMSYN1_0016✗	ISO_001026	10	+	1	0	1
MMSYN1_0016✗	ISO_001029	23	+	1	0	1
MMSYN1_0016✗	ISO_001031	10	+	1	0	1
MMSYN1_0016✗	ISO_001034	13	+	1	0	1
MMSYN1_0016✗	ISO_001045	11	+	1	0	1
MMSYN1_0914✓	ISO_036077	10	-	1	1	0
MMSYN1_0914✓	ISO_036079	21	-	1	1	0
MMSYN1_0914✓	ISO_036092	100	-	1	1	0
MMSYN1_0917✓ MMSYN1_0914✓	ISO_036156	11	-	2	2	0
MMSYN1_0914✓	ISO_036111	10	-	1	1	0
MMSYN1_0917✓ MMSYN1_0914✓	ISO_036145	204	-	2	2	0
MMSYN1_0917✓ MMSYN1_0914✓	ISO_036129	38	-	2	2	0
MMSYN1_0918✓ MMSYN1_0917✓ MMSYN1_0914✓	ISO_036164	14	-	3	3	0
MMSYN1_0914✓	ISO_036095	14	-	1	1	0
MMSYN1_0917✓ MMSYN1_0914✓	ISO_036142	52	-	2	2	0
MMSYN1_0918✓ MMSYN1_0917✓ MMSYN1_0914✓	ISO_036163	14	-	3	3	0
MMSYN1_0917✓ MMSYN1_0914✓	ISO_036130	17	-	2	2	0
MMSYN1_0917✓ MMSYN1_0914✗	ISO_036146	11	-	2	1	1
MMSYN1_0913✗	ISO_001227	309	+	1	0	1
MMSYN1_0913✗	ISO_001229	3744	+	1	0	1
MMSYN1_0913✗	ISO_001234	104	+	1	0	1
MMSYN1_0913✗	ISO_001239	12	+	1	0	1
MMSYN1_0913✗	ISO_001241	18	+	1	0	1
MMSYN1_0913✗	ISO_001244	17	+	1	0	1
MMSYN1_0913✗	ISO_001247	14	+	1	0	1
MMSYN1_0913✗	ISO_001248	20	+	1	0	1
MMSYN1_0913✗	ISO_001250	15	+	1	0	1
MMSYN1_0913✗	ISO_001252	12	+	1	0	1
MMSYN1_0913✗	ISO_001253	10	+	1	0	1
MMSYN1_0913✗	ISO_001257	11	+	1	0	1
MMSYN1_0913✗	ISO_001261	12	+	1	0	1
MMSYN1_0913✗	ISO_001262	10	+	1	0	1
MMSYN1_0913✓	ISO_001263	10	+	1	1	0
MMSYN1_0913✓	ISO_001264	18	+	1	1	0
MMSYN1_0913✓	ISO_001265	15	+	1	1	0
MMSYN1_0913✓	ISO_001266	7561	+	1	1	0
MMSYN1_0913✓	ISO_001267	10	+	1	1	0
MMSYN1_0913✓	ISO_001270	18	+	1	1	0
MMSYN1_0913✓	ISO_001271	12	+	1	1	0
MMSYN1_0913✓ MMSYN1_0915✗	ISO_001272	11	+	2	1	1
MMSYN1_0913✓ MMSYN1_0915✗	ISO_001279	13	+	2	1	1
MMSYN1_0913✓ MMSYN1_0915✗	ISO_001286	16	+	2	1	1
MMSYN1_0913✓ MMSYN1_0915✗	ISO_001289	10	+	2	1	1
MMSYN1_0913✓ MMSYN1_0915✓	ISO_001310	30	+	2	2	0
MMSYN1_0913✗	ISO_001313	19	+	1	0	1
MMSYN1_0913✓	ISO_001314	50	+	1	1	0
MMSYN1_0913✓	ISO_001316	38	+	1	1	0
MMSYN1_0913✗	ISO_001317	32	+	1	0	1
MMSYN1_0913✓	ISO_001318	46	+	1	1	0
MMSYN1_0913✗	ISO_001320	30	+	1	0	1
MMSYN1_0913✓	ISO_001321	86	+	1	1	0
MMSYN1_0913✓	ISO_001325	11	+	1	1	0
MMSYN1_0913✓	ISO_001327	20	+	1	1	0
MMSYN1_0913✓	ISO_001329	11	+	1	1	0
MMSYN1_0913✗	ISO_001331	334	+	1	0	1
MMSYN1_0913✗	ISO_001333	4837	+	1	0	1
MMSYN1_0913✗	ISO_001336	183	+	1	0	1
MMSYN1_0913✗	ISO_001343	14	+	1	0	1
MMSYN1_0913✗	ISO_001344	10	+	1	0	1
MMSYN1_0913✗	ISO_001347	10	+	1	0	1
MMSYN1_0913✓	ISO_001348	18	+	1	1	0
MMSYN1_0913✓	ISO_001349	19781	+	1	1	0
MMSYN1_0913✓	ISO_001350	21	+	1	1	0
MMSYN1_0913✓	ISO_001351	32	+	1	1	0
MMSYN1_0913✓ MMSYN1_0915✗	ISO_001355	18	+	2	1	1
MMSYN1_0913✓ MMSYN1_0915✗	ISO_001356	22	+	2	1	1
MMSYN1_0913✓ MMSYN1_0915✗	ISO_001361	30	+	2	1	1
MMSYN1_0913✓ MMSYN1_0915✓	ISO_001380	32	+	2	2	0
MMSYN1_0913✓ MMSYN1_0915✓	ISO_001383	119	+	2	2	0
MMSYN1_0913✗	ISO_001386	13	+	1	0	1
MMSYN1_0913✗	ISO_001388	17	+	1	0	1
MMSYN1_0913✗	ISO_001389	23	+	1	0	1
MMSYN1_0913✗	ISO_001391	13	+	1	0	1
MMSYN1_0913✗	ISO_001397	11	+	1	0	1
MMSYN1_0913✓	ISO_001403	24	+	1	1	0
MMSYN1_0913✓	ISO_001404	12	+	1	1	0
MMSYN1_0913✓ MMSYN1_0915✗	ISO_001413	11	+	2	1	1
MMSYN1_0913✓ MMSYN1_0915✗	ISO_001415	33	+	2	1	1
MMSYN1_0913✓ MMSYN1_0915✗	ISO_001416	15	+	2	1	1
MMSYN1_0913✗	ISO_001431	46	+	1	0	1
MMSYN1_0913✓	ISO_001432	222	+	1	1	0
MMSYN1_0913✗	ISO_001435	89	+	1	0	1
MMSYN1_0913✓	ISO_001438	356	+	1	1	0
MMSYN1_0913✓	ISO_001442	48	+	1	1	0
MMSYN1_0913✓	ISO_001443	24	+	1	1	0
MMSYN1_0913✗	ISO_001444	10	+	1	0	1
MMSYN1_0913✓	ISO_001445	14	+	1	1	0
MMSYN1_0913✗	ISO_001446	11	+	1	0	1
MMSYN1_0913✓	ISO_001447	46	+	1	1	0
MMSYN1_0913✓	ISO_001449	16	+	1	1	0
MMSYN1_0915✓	ISO_001486	11	+	1	1	0
MMSYN1_0915✓	ISO_001547	17	+	1	1	0
MMSYN1_0915✓	ISO_001678	13	+	1	1	0
MMSYN1_0915✓	ISO_001679	94	+	1	1	0
MMSYN1_0915✓	ISO_001686	11	+	1	1	0
MMSYN1_0915✓	ISO_001690	11	+	1	1	0
MMSYN1_0915✓	ISO_001703	18	+	1	1	0
MMSYN1_0915✓	ISO_001707	17	+	1	1	0
MMSYN1_0915✓	ISO_001712	14	+	1	1	0
MMSYN1_0915✓	ISO_001721	13	+	1	1	0
MMSYN1_0915✓	ISO_001730	13	+	1	1	0
MMSYN1_0915✓	ISO_001731	135	+	1	1	0
MMSYN1_0915✓	ISO_001745	17	+	1	1	0
MMSYN1_0915✓	ISO_001756	18	+	1	1	0
MMSYN1_0915✓	ISO_001768	15	+	1	1	0
MMSYN1_0915✓	ISO_001773	17	+	1	1	0
MMSYN1_0915✓	ISO_001777	22	+	1	1	0
MMSYN1_0915✓	ISO_001781	13	+	1	1	0
MMSYN1_0915✓	ISO_001784	10	+	1	1	0
MMSYN1_0915✓	ISO_001786	16	+	1	1	0
MMSYN1_0915✓	ISO_001790	15	+	1	1	0
MMSYN1_0915✓	ISO_001792	35	+	1	1	0
MMSYN1_0915✓	ISO_001793	15	+	1	1	0
MMSYN1_0915✓	ISO_001795	16	+	1	1	0
MMSYN1_0915✓	ISO_001802	13	+	1	1	0
MMSYN1_0915✗	ISO_001810	11	+	1	0	1
MMSYN1_0915✗	ISO_001815	33	+	1	0	1
MMSYN1_0915✗	ISO_001816	14	+	1	0	1
MMSYN1_0915✗	ISO_001817	14	+	1	0	1
MMSYN1_0915✗	ISO_001818	17	+	1	0	1
MMSYN1_0915✗	ISO_001819	22	+	1	0	1
MMSYN1_0915✗	ISO_001820	28	+	1	0	1
MMSYN1_0915✗	ISO_001821	22	+	1	0	1
MMSYN1_0915✗	ISO_001822	22	+	1	0	1
MMSYN1_0915✗	ISO_001823	13	+	1	0	1
MMSYN1_0915✗	ISO_001825	24	+	1	0	1
MMSYN1_0915✗	ISO_001826	16	+	1	0	1
MMSYN1_0915✗	ISO_001827	13	+	1	0	1
MMSYN1_0915✗	ISO_001828	19	+	1	0	1
MMSYN1_0915✗	ISO_001829	14	+	1	0	1
MMSYN1_0915✗	ISO_001830	16	+	1	0	1
MMSYN1_0915✗	ISO_001831	23	+	1	0	1
MMSYN1_0915✗	ISO_001832	20	+	1	0	1
MMSYN1_0915✓	ISO_001834	12	+	1	1	0
MMSYN1_0915✓	ISO_001840	30	+	1	1	0
MMSYN1_0915✗	ISO_001846	16	+	1	0	1
MMSYN1_0915✗	ISO_001847	11	+	1	0	1
MMSYN1_0915✗	ISO_001848	36	+	1	0	1
MMSYN1_0915✗	ISO_001851	14	+	1	0	1
MMSYN1_0915✗	ISO_001852	11	+	1	0	1
MMSYN1_0915✗	ISO_001853	39	+	1	0	1
MMSYN1_0915✗	ISO_001854	24	+	1	0	1
MMSYN1_0915✗	ISO_001855	11	+	1	0	1
MMSYN1_0915✗	ISO_001856	21	+	1	0	1
MMSYN1_0915✗	ISO_001857	28	+	1	0	1
MMSYN1_0915✗	ISO_001858	28	+	1	0	1
MMSYN1_0915✗	ISO_001859	22	+	1	0	1
MMSYN1_0915✗	ISO_001860	99	+	1	0	1
MMSYN1_0915✗	ISO_001861	17	+	1	0	1
MMSYN1_0915✗	ISO_001862	16	+	1	0	1
MMSYN1_0915✗	ISO_001863	28	+	1	0	1
MMSYN1_0915✗	ISO_001864	23	+	1	0	1
MMSYN1_0915✗	ISO_001865	26	+	1	0	1
MMSYN1_0915✗	ISO_001866	22	+	1	0	1
MMSYN1_0915✗	ISO_001867	45	+	1	0	1
MMSYN1_0915✗	ISO_001868	28	+	1	0	1
MMSYN1_0915✗	ISO_001869	32	+	1	0	1
MMSYN1_0915✗	ISO_001870	31	+	1	0	1
MMSYN1_0915✗	ISO_001871	19	+	1	0	1
MMSYN1_0915✗	ISO_001872	19	+	1	0	1
MMSYN1_0915✗	ISO_001873	26	+	1	0	1
MMSYN1_0915✗	ISO_001874	13	+	1	0	1
MMSYN1_0915✗	ISO_001875	24	+	1	0	1
MMSYN1_0915✗	ISO_001876	34	+	1	0	1
MMSYN1_0915✗	ISO_001877	24	+	1	0	1
MMSYN1_0915✗	ISO_001878	10	+	1	0	1
MMSYN1_0915✗	ISO_001879	21	+	1	0	1
MMSYN1_0915✗	ISO_001880	11	+	1	0	1
MMSYN1_0915✗	ISO_001881	21	+	1	0	1
MMSYN1_0915✗	ISO_001882	18	+	1	0	1
MMSYN1_0915✗	ISO_001883	19	+	1	0	1
MMSYN1_0915✗	ISO_001884	26	+	1	0	1
MMSYN1_0915✗	ISO_001885	14	+	1	0	1
MMSYN1_0915✗	ISO_001887	10	+	1	0	1
MMSYN1_0915✗	ISO_001888	18	+	1	0	1
MMSYN1_0915✗	ISO_001889	10	+	1	0	1
MMSYN1_0915✗	ISO_001890	20	+	1	0	1
MMSYN1_0915✗	ISO_001891	17	+	1	0	1
MMSYN1_0915✗	ISO_001892	12	+	1	0	1
MMSYN1_0915✗	ISO_001893	11	+	1	0	1
MMSYN1_0915✗	ISO_001894	62	+	1	0	1
MMSYN1_0915✗	ISO_001896	10	+	1	0	1
MMSYN1_0915✗	ISO_001897	17	+	1	0	1
MMSYN1_0915✗	ISO_001902	13	+	1	0	1
MMSYN1_0915✗	ISO_001903	10	+	1	0	1
MMSYN1_0915✗	ISO_001904	19	+	1	0	1
MMSYN1_0915✓	ISO_001906	11	+	1	1	0
MMSYN1_0915✓	ISO_001908	25	+	1	1	0
MMSYN1_0915✓	ISO_001909	598	+	1	1	0
MMSYN1_0915✓	ISO_001915	4141	+	1	1	0
MMSYN1_0915✓ MMSYN1_0921✓ MMSYN1_0922✓	ISO_001917	57	+	3	3	0
MMSYN1_0915✓	ISO_001919	31	+	1	1	0
MMSYN1_0915✓	ISO_001923	12	+	1	1	0
MMSYN1_0915✓	ISO_001925	100	+	1	1	0
MMSYN1_0915✓	ISO_001929	10	+	1	1	0
MMSYN1_0915✓	ISO_001931	26	+	1	1	0
MMSYN1_0915✓	ISO_001933	11	+	1	1	0
MMSYN1_0915✓	ISO_001936	56	+	1	1	0
MMSYN1_0921✓ MMSYN1_0922✓	ISO_002102	11	+	2	2	0
MMSYN1_0921✓ MMSYN1_0922✓	ISO_002181	17	+	2	2	0
MMSYN1_0921✓ MMSYN1_0922✓	ISO_002202	20	+	2	2	0
MMSYN1_0921✓ MMSYN1_0922✓	ISO_002334	10	+	2	2	0
MMSYN1_0921✓ MMSYN1_0922✓	ISO_002573	14	+	2	2	0
MMSYN1_0921✓ MMSYN1_0922✓	ISO_002598	11	+	2	2	0
MMSYN1_0921✓ MMSYN1_0922✓	ISO_002623	16	+	2	2	0
MMSYN1_0921✓ MMSYN1_0922✓	ISO_002650	15	+	2	2	0
