"Locus Tag"	"Gene Name"	"Gene Product"	"Protein Length"	"Exp. Ptn Cnt"	"Essentiality"	"Primary Function"	"Secondary Function"	"Tertiary Function"	"Localization"	"Sim. Initial Ptn Cnt"	"Review Flag"	"Mismatch Solved"
"JCVISYN3A_0076"	"asnRS"	"Asparagine--tRNA ligase"	454	736	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	739	"PRIMARY_MISMATCH"	
"JCVISYN3A_0077"		"Low specificity hydrolase "	279	"-"	"Quasiessential"	"Unclear"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	10	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0079"	"tsaD"	"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit D"	318	38	"Essential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	38	"AI"	
"JCVISYN3A_0080"		"Uncharacterized protein"	73	26	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	26	"AI"	
"JCVISYN3A_0081"	"mnmE; trmE"	"tRNA uridine(34) 5-carboxymethylaminomethyl synthesis GTPase"	452	152	"Quasiessential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	152	"AI"	
"JCVISYN3A_0082"	"rpsT"	"30S ribosomal protein S20"	81	190	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	190		
"JCVISYN3A_0094"		"Uncharacterized protein"	238	"-"	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0095"	"secA"	"Preprotein translocase subunit A"	944	573	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Protein export"	"peripheral membrane"	573	"AI"	
"JCVISYN3A_0097"	"yycJ"	"Flap endonuclease and 5' exonuclease "	303	71	"Quasiessential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication"	"cytoplasm"	71	"AI"	
"JCVISYN3A_0105"	"xseB"	"Exodeoxyribonuclease VII small subunit"	71	7	"Nonessential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA repair and recombination proteins"	"cytoplasm"	10		
"JCVISYN3A_0106"	"xseA"	"Exodeoxyribonuclease VII large subunit"	469	15	"Nonessential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA repair and recombination proteins"	"cytoplasm"	15		
"JCVISYN3A_0107"	"nusB"	"Transcription antitermination factor"	132	18	"Quasiessential"	"Genetic Information Processing"	"Transcription"	"Transcription factors"	"cytoplasm"	18	"AI"	
"JCVISYN3A_0108"		"Uncharacterized lipoprotein"	370	69	"Quasiessential"	"Unclear"	"Kegg ortholog defined"	"General function prediction only"	"lipoprotein"	69	"AI"	
"JCVISYN3A_0109"	"nfo"	"Deoxyribonuclease IV"	289	22	"Quasiessential"	"Genetic Information Processing"	"DNA Maintenance"	"Base excision repair"	"cytoplasm"	22	"AI"	
"JCVISYN3A_0113"	"bcsA"	"Glycolipid synthase A"	449	79	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"trans-membrane"	79	"AI"	
"JCVISYN3A_0114"	"bcsB; cps"	"Glycolipid synthase B"	306	43	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"peripheral membrane"	43		
"JCVISYN3A_0115"	"galU; gtaB"	"UTP--glucose-1-phosphate uridylyltransferase"	290	336	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"cytoplasm"	336		
"JCVISYN3A_0116"		"Uncharacterized protein"	146	62	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	62	"AI"	
"JCVISYN3A_0117"	"plsY"	"Acyl-phosphate glycerol 3-phosphate acyltransferase"	253	1	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"trans-membrane"	100		
"JCVISYN3A_0126"	"gluRS"	"Glutamate--tRNA ligase"	483	138	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	142	"PRIMARY_MISMATCH"	
"JCVISYN3A_0127"		"Uncharacterized phosphohydrolase"	404	52	"Nonessential"	"Unclear"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	52	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0128"	"rpoE"	"DNA-directed RNA polymerase subunit delta"	142	22	"Quasiessential"	"Genetic Information Processing"	"Transcription"	"Transcription machinery"	"cytoplasm"	22	"AI"	
"JCVISYN3A_0129"	"pyrG"	"CTP synthase"	532	306	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	306		
"JCVISYN3A_0131"	"fbaA"	"Fructose-1,6-bisphosphate aldolase"	297	227	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Glycolysis"	"cytoplasm"	775		
"JCVISYN3A_0132"	"ietA"	"Toxin-antitoxin AAA ATPase"	353	93	"Essential"	"Cellular Processes"	"Defense"	"Prokaryotic defense system"	"peripheral membrane"	93	"AI"	
"JCVISYN3A_0133"	"ietS"	"Toxin-antitoxin serine protease"	757	88	"Nonessential"	"Cellular Processes"	"Folding, Sorting and Degradation"	"Peptidases"	"peripheral membrane"	88	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0137"	"rpmE"	"50S ribosomal protein L31"	92	44	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	44		
"JCVISYN3A_0138"		"Uncharacterized protein"	632	108	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	108	"AI"	
"JCVISYN3A_0139"	"ytqI; orn"	"NanoRNAse"	316	187	"Quasiessential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"cytoplasm"	187		
"JCVISYN3A_0140"	"tdk"	"Thymidine kinase"	209	202	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	202		
"JCVISYN3A_0141"	"prfA"	"Peptide chain release factor 1"	364	330	"Essential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	330	"AI"	
"JCVISYN3A_0142"	"prmC"	"Protein-(glutamine-N5) methyltransferase, release factor-specific"	282	17	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	17	"AI"	
"JCVISYN3A_0143"		"Uncharacterized protein"	490	40	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	40	"AI"	
"JCVISYN3A_0144"	"tsaC"	"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit"	166	55	"Essential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	55	"AI"	
"JCVISYN3A_0145"		"Uncharacterized acetyltransferase"	304	165	"Essential"	"Unclear"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	165	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0146"	"ywnG-like"	"Uncharacterized protein"	235	28	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	28	"AI"	
"JCVISYN3A_0147"	"clsA"	"Cardiolipin synthase"	509	15	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"trans-membrane"	15		
"JCVISYN3A_0148"	"rpsL"	"30S ribosomal protein S12"	139	122	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	122		
"JCVISYN3A_0149"	"rpsG"	"30S ribosomal protein S7"	155	498	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	498		
"JCVISYN3A_0150"	"fusA"	"Translation elongation factor G"	689	672	"Essential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	672	"AI"	
"JCVISYN3A_0151"	"tuf"	"Translation elongation factor Tu"	395	542	"Essential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	542	"AI"	
"JCVISYN3A_0163"	"alaRS"	"Alanine--tRNA ligase"	896	431	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	434	"PRIMARY_MISMATCH"	
"JCVISYN3A_0164"		"Uncharacterized protein"	164	9	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0165"	"amiC"	"Oligopeptide ABC transporter permease"	414	59	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Amino acid and peptides"	"trans-membrane"	59		
"JCVISYN3A_0166"	"oppC"	"Oligopeptide ABC transporter permease"	336	64	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Amino acid and peptides"	"trans-membrane"	64		
"JCVISYN3A_0167"	"amiE"	"Oligopeptide ABC transporter ATP-binding protein"	566	242	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Amino acid and peptides"	"peripheral membrane"	242		
"JCVISYN3A_0168"	"amiF"	"Oligopeptide ABC transporter ATP-binding protein"	622	241	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Amino acid and peptides"	"peripheral membrane"	241		
"JCVISYN3A_0169"	"amiA"	"Oligopeptide ABC transporter substrate-binding protein"	1033	314	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Amino acid and peptides"	"lipoprotein"	314		
"JCVISYN3A_0195"	"potC"	"Spermidine/putrescine ABC transporter permease"	1036	182	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Polyamines"	"trans-membrane"	182		
"JCVISYN3A_0196"	"potB"	"Spermidine/putrescine ABC transporter permease"	330	19	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Polyamines"	"trans-membrane"	19		
"JCVISYN3A_0197"	"potA"	"Spermidine/putrescine ABC transporter ATP-binding protein"	351	208	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Polyamines"	"peripheral membrane"	208		
"JCVISYN3A_0198"	"rplT"	"50S ribosomal protein L20"	119	325	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	325		
"JCVISYN3A_0199"	"rpmI"	"50S ribosomal protein L35"	63	"-"	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	10		
"JCVISYN3A_0200"	"infC"	"Translation initiation factor IF-3"	181	154	"Essential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	154	"AI"	
"JCVISYN3A_0201"	"def"	"Peptide deformylase"	200	156	"Essential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	156	"AI"	
"JCVISYN3A_0202"	"rsmD"	"16S rRNA (guanine(966)-N(2))-methyltransferase"	185	125	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	125	"AI"	
"JCVISYN3A_0203"	"gmk"	"Guanylate kinase"	297	186	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	186		
"JCVISYN3A_0213"	"eno"	"Phosphopyruvate hydratase"	451	998	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Glycolysis"	"cytoplasm"	998		
"JCVISYN3A_0214"	"pgpA"	"Phosphatidylglycerophosphatase"	273	"-"	"Quasiessential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"trans-membrane"	10		
"JCVISYN3A_0215"	"yrrK; yqgF"	"Pre-16S rRNA nuclease "	143	49	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	49	"AI"	
"JCVISYN3A_0216"	"hptA"	"Hypoxanthine phosphoribosyltransferase"	190	439	"Quasiessential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	439		
"JCVISYN3A_0218"	"glpK"	"Glycerol kinase"	505	396	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"cytoplasm"	396		
"JCVISYN3A_0220"	"pfkA"	"6-Phosphofructokinase"	326	458	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Glycolysis"	"cytoplasm"	458		
"JCVISYN3A_0221"	"pyk"	"Pyruvate kinase"	478	551	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Glycolysis"	"cytoplasm"	551	"CONFLICT(also:Nucleotide)"	
"JCVISYN3A_0222"	"thrRS"	"Threonine--tRNA ligase"	639	303	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	306	"PRIMARY_MISMATCH"	
"JCVISYN3A_0227"	"pdhC"	"Branched-chain alpha-keto acid dehydrogenase subunit E2"	441	182	"Nonessential"	"Metabolism"	"Central Carbon Metabolism"	"Pyruvate metabolism"	"cytoplasm"	182		
"JCVISYN3A_0228"	"lpdA"	"Dihydrolipoyl dehydrogenase"	629	182	"Nonessential"	"Metabolism"	"Central Carbon Metabolism"	"Pyruvate metabolism"	"cytoplasm"	182		
"JCVISYN3A_0229"	"pta"	"Phosphate acetyltransferase"	322	301	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Pyruvate metabolism"	"cytoplasm"	301		
"JCVISYN3A_0230"	"ackA"	"Acetate kinase"	393	"-"	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Pyruvate metabolism"	"cytoplasm"	10		
"JCVISYN3A_0233"	"ptsI"	"ptsI: Phosphoenolpyruvate--protein phosphotransferase"	573	353	"Essential"	"Metabolism"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	352	"AI"	
"JCVISYN3A_0234"	"crr"	"PTS glucose transporter subunit IIA"	154	314	"Essential"	"Metabolism"	"Membrane Transport"	"Carbohydrates"	"cytoplasm"	313	"AI"	
"JCVISYN3A_0235"		"Uncharacterized protein"	60	"-"	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0238"	"rpsD"	"30S ribosomal protein S4"	208	172	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	172		
"JCVISYN3A_0239"	"-/ezrA"	"Uncharacterized protein/FtsZ filament regulator"	595	55	"Nonessential"	"Unclear"	"Cell Growth"	"Cell division"	"trans-membrane"	55	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0240"	"thiI"	"tRNA 4-thiouridine(8) synthase"	395	96	"Quasiessential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	96	"AI"	
"JCVISYN3A_0247"	"ysxC; yihA"	"Ribosome biogenesis GTP-binding protein"	196	63	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	63	"AI"	
"JCVISYN3A_0248"		"Uncharacterized protein"	186	14	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	14	"AI"	
"JCVISYN3A_0249"		"Uncharacterized protein"	192	53	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	53	"AI"	
"JCVISYN3A_0250"		"Uncharacterized protein"	229	262	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	262	"AI"	
"JCVISYN3A_0253"	"greA"	"Transcription elongation factor"	157	396	"Essential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	396	"AI"	
"JCVISYN3A_0254"	"uvrC"	"Excinuclease ABC subunit C"	584	58	"Quasiessential"	"Genetic Information Processing"	"DNA Maintenance"	"Nucleotide excision repair"	"cytoplasm"	58	"AI"	
"JCVISYN3A_0257"	"rnjB"	"RNase J family beta-CASP ribonuclease"	583	335	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"RNA degradation"	"peripheral membrane"	335		
"JCVISYN3A_0259"	"nadK"	"NAD(+) kinase"	265	"-"	"Essential"	"Metabolism"	"Biosynthesis"	"Cofactor biosynthesis"	"cytoplasm"	10		
"JCVISYN3A_0260"	"valRS"	"Valine--tRNA ligase"	872	225	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	228	"PRIMARY_MISMATCH"	
"JCVISYN3A_0262"	"rpe"	"Ribulose-phosphate 3-epimerase"	225	209	"Quasiessential"	"Metabolism"	"Central Carbon Metabolism"	"Pentose phosphate metabolism"	"cytoplasm"	209		
"JCVISYN3A_0263"	"rsgA; engC"	"Ribosome small subunit-dependent GTPase A"	300	"-"	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0264"	"prkC; stkP"	"Uncharacterized serine/threonine protein kinase"	371	1	"Quasiessential"	"Metabolism"	"Other Enzymes"	"Protein kinases"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0270"	"tsaE; yjeE"	"tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase"	138	10	"Essential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0271"	"tsaB; yeaZ"	"tRNA N6-adenosine(37)-N6-threonylcarbamoyltransferase complex dimerization subunit"	187	67	"Essential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	67	"AI"	
"JCVISYN3A_0281"		"Uncharacterized protein"	226	20	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	20	"AI"	
"JCVISYN3A_0282"	"proRS"	"Proline--tRNA ligase"	474	218	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	221	"PRIMARY_MISMATCH"	
"JCVISYN3A_0283"	"rnhA"	"Double-stranded RNA binding RNase HI"	205	38	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication"	"cytoplasm"	38	"AI"	
"JCVISYN3A_0285"	"lepA; EF4"	"Elongation factor 4"	600	147	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	147	"AI"	
"JCVISYN3A_0286"		"Uncharacterized protein"	268	13	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	13	"AI"	
"JCVISYN3A_0287"	"aspRS"	"Aspartate--tRNA ligase"	574	188	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	191	"PRIMARY_MISMATCH"	
"JCVISYN3A_0288"	"hisRS"	"Histidine--tRNA ligase"	414	252	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	255	"PRIMARY_MISMATCH"	
"JCVISYN3A_0289"	"rbfA"	"Ribosome-binding factor A"	117	194	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	194	"AI"	
"JCVISYN3A_0290"	"truB"	"tRNA pseudouridine(55) synthase"	292	5	"Quasiessential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0291"	"ribF"	"FAD synthetase"	184	68	"Essential"	"Metabolism"	"Biosynthesis"	"Cofactor biosynthesis"	"cytoplasm"	68		
"JCVISYN3A_0294"	"rpsO"	"30S ribosomal protein S15"	88	96	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	96		
"JCVISYN3A_0296"		"Uncharacterized protein"	214	10	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0297"	"infB"	"Translation initiation factor IF-2"	620	460	"Essential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	460	"AI"	
"JCVISYN3A_0298"	"-/ylxR"	"Uncharacterized L7Ae family protein/Transcription Termination Nucleic Acid Binding"	99	12	"Quasiessential"	"Unclear"	"Transcription"	"Transcription factors"	"cytoplasm"	12	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0299"	"ylxR/ylxQ"	"Uncharacterized protein"	93	53	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	53	"AI"	
"JCVISYN3A_0300"	"nusA"	"Transcription termination/antitermination protein NusA"	584	464	"Essential"	"Genetic Information Processing"	"Transcription"	"Transcription factors"	"cytoplasm"	464	"AI"	
"JCVISYN3A_0301"	"rimP"	"Ribosome assembly cofactor"	164	140	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	140	"AI"	
"JCVISYN3A_0302"	"fre"	"Flavin reductase"	216	160	"Essential"	"Metabolism"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	160	"AI"	
"JCVISYN3A_0303"	"polC"	"PolC-type DNA polymerase III"	1482	104	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication complex"	"cytoplasm"	104	"AI"	
