chrom,feature,start0,end0,strand,locus_tag,gene_name,rna_type,gene_product,protein_mw_Da,iPM_rep1,iPM_rep2,iPM_rep3,iPM_mean,iPM_CV,ptn_copy_number,TMRs,topo_regions,protein_length,signalP,ptn_localization
CP002027.1,gene,21863,23393,+,MMSYN1_0015,,mRNA,mycoides cluster lipoprotein_ LppA/P72 family,58161.94300000003,145.50482436481633,179.59948986078956,173.4141604060681,166.17282487722466,0.10930927015357746,21.244706566377495,0.0,"[('signal', 1, 24), ('outside', 25, 509)]",509.0,lipoprotein,lipoprotein
CP002027.1,gene,23410,25009,+,MMSYN1_0016,,mRNA,mycoides cluster lipoprotein_ LppA/P72 family,61145.277800000025,523.440243825975,579.0902187727617,558.8261310240232,553.7855312075866,0.05085963017823498,70.79985021560017,0.0,"[('signal', 1, 24), ('outside', 25, 532)]",532.0,lipoprotein,lipoprotein
CP002027.1,gene,25110,25215,+,MMSYN1_0916,,ncRNA,RNAI,,,,,,,,,,,,Non_proteins
CP002027.1,gene,25425,26286,-,MMSYN1_0914,bla,mRNA,beta-lactamase TEM (precursor),31556.923800000022,,,,,,,0.0,"[('signal', 1, 23), ('outside', 24, 286)]",286.0,extracellular,extracellular
CP002027.1,gene,26356,27529,-,MMSYN1_0917,,mRNA,transposase_ Mutator family,45673.352000000064,,,,,,,0.0,"[('inside', 1, 390)]",390.0,,cytoplasmic
CP002027.1,gene,27638,28301,-,MMSYN1_0918,his3,mRNA,imidazoleglycerol-phosphate dehydratase,23832.894100000012,,,,,,,0.0,"[('inside', 1, 220)]",220.0,,cytoplasmic
CP002027.1,gene,29269,31258,+,MMSYN1_0913,tetM,mRNA,Tn916_ tetracycline resistance protein,75498.97890000026,228.05117966806802,249.40561978330885,201.58922418550094,226.34867454562595,0.1058261906637318,28.93801183173709,0.0,"[('inside', 1, 662)]",662.0,,cytoplasmic
CP002027.1,gene,31534,34618,+,MMSYN1_0915,lacZ,mRNA,beta-galactosidase_ chain D,116881.89110000059,351.2803196972761,375.5779526854115,390.1476076422652,372.3352933416509,0.05273605521792907,47.6019713644142,0.0,"[('outside', 1, 1027)]",1027.0,,cytoplasmic
CP002027.1,gene,35233,35776,+,MMSYN1_0921,tnpA_1,mRNA,IS1296 transposase protein A,21203.775500000018,,,,,,,0.0,"[('inside', 1, 180)]",180.0,,cytoplasmic
CP002027.1,gene,35913,36645,+,MMSYN1_0922,tnpB_1,mRNA,IS1296 transposase protein B,28689.88480000004,,,,,,,0.0,"[('inside', 1, 243)]",243.0,,cytoplasmic
CP002027.1,gene,36686,37673,-,MMSYN1_0019,,mRNA,mannitol-1-phosphate 5-dehydrogenase,38515.15219999996,,,,,,,0.0,"[('inside', 1, 328)]",328.0,,cytoplasmic
CP002027.1,gene,37673,38471,-,MMSYN1_0020,,mRNA,transcriptional regulator_ RpiR family,30979.60560000003,65.0669915754523,64.9955039118795,63.65311034994604,64.57186861242594,0.012334635324165517,8.255323348611427,0.0,"[('inside', 1, 265)]",265.0,,cytoplasmic
CP002027.1,gene,38504,38921,-,MMSYN1_0021,,mRNA,PTS system_ mannitol-permease iia component,15761.99799999999,,,,,,,0.0,"[('inside', 1, 138)]",138.0,,cytoplasmic
CP002027.1,gene,38920,39679,-,MMSYN1_0022,,mRNA,sorbitol-6-phosphate 2-dehydrogenase (Glucitol-6-phosphate dehydrogenase) (Ketosephosphate reductase),28053.977000000014,,,,,,,0.0,"[('inside', 1, 252)]",252.0,,cytoplasmic
CP002027.1,gene,39678,41238,-,MMSYN1_0023,,mRNA,PTS system_ mannitol-permease iibc component,57622.10499999999,,,,,,,8.0,"[('inside', 1, 26), ('TMhelix', 27, 47), ('outside', 48, 68), ('TMhelix', 69, 86), ('inside', 87, 94), ('TMhelix', 95, 107), ('outside', 108, 135), ('TMhelix', 136, 149), ('inside', 150, 170), ('TMhelix', 171, 192), ('outside', 193, 259), ('TMhelix', 260, 280), ('inside', 281, 315), ('TMhelix', 316, 330), ('outside', 331, 359), ('TMhelix', 360, 380), ('inside', 381, 519)]",519.0,,membrane
CP002027.1,gene,41508,42891,-,MMSYN1_0024,,pseudo,PSEUDOGENE - divergent AAA domain family,,,,,,,,,,,,Non_proteins
CP002027.1,gene,43283,43511,-,MMSYN1_0025,rpsR,mRNA,ribosomal protein S18,8914.630199999996,2899.793639346444,2476.6358900264554,2855.6764193146196,2744.0353162291726,0.08477402493345682,350.8168386987301,0.0,"[('inside', 1, 75)]",75.0,,cytoplasmic
CP002027.1,gene,43530,43971,-,MMSYN1_0026,,mRNA,single-strand binding protein,16621.248199999984,882.3196803306303,842.6291502936892,724.4248232939142,816.4578846394112,0.10060097419808954,104.3817374819564,0.0,"[('inside', 1, 146)]",146.0,,cytoplasmic
CP002027.1,gene,43982,44396,-,MMSYN1_0027,,mRNA,30S ribosomal protein S6,16117.36649999999,3228.241193044837,2492.7101202332856,3123.148150666537,2948.03315464822,0.13493981001288977,376.89736191659074,0.0,"[('inside', 1, 137)]",137.0,,cytoplasmic
CP002027.1,gene,44600,44810,-,MMSYN1_0028,,mRNA,cold-shock DNA-binding domain_ putative,7844.6871999999985,697.9856808202289,644.7334407822458,780.6290332304508,707.7827182776418,0.09674645115550413,90.48793732471731,0.0,"[('inside', 1, 69)]",69.0,,cytoplasmic
CP002027.1,gene,44997,45597,+,MMSYN1_0029,,mRNA,fmn-dependent NADH-azoreductase (fmn-dependent nadh-azocompound oxidoreductase) (azo-dye reductase),22306.409999999993,6300.8323242753595,6284.425704474645,6661.591284274653,6415.616437674886,0.03322804005655855,820.2176785616634,0.0,"[('inside', 1, 199)]",199.0,,cytoplasmic
CP002027.1,gene,45633,46668,-,MMSYN1_0030,,mRNA,abc transporter_ ATP-binding protein,38760.15700000001,1063.3472163568272,1121.593308325271,1149.063263687364,1111.3345961231541,0.039384339925643726,142.08085713860905,0.0,"[('inside', 1, 344)]",344.0,,cytoplasmic
CP002027.1,gene,46715,47582,-,MMSYN1_0031,hslO,mRNA,chaperonin HslO,33167.5071,265.5456449438719,241.20383627157966,238.3336638164775,248.36104834397634,0.060199975914553956,31.75222903314103,0.0,"[('inside', 1, 288)]",288.0,,cytoplasmic
CP002027.1,gene,47673,50835,-,MMSYN1_0032,,mRNA,GnsA/GnsB family,121812.41930000097,20.76515406806996,31.933800331091813,17.59784089121906,23.432265096793614,0.3213918543473154,2.9957461247635,0.0,"[('signal', 1, 29), ('outside', 30, 1053)]",1053.0,,cytoplasmic
CP002027.1,gene,50957,54116,-,MMSYN1_0033,,mRNA,hypothetical protein,121610.73620000106,221.7449352844726,215.21720777695842,230.67830217106717,222.54681507749942,0.034876600042423114,28.45195528869747,0.0,"[('signal', 1, 29), ('outside', 30, 1052)]",1052.0,,cytoplasmic
CP002027.1,gene,54280,59650,+,MMSYN1_0034,,mRNA,efflux ABC transporter_ permease protein,205628.36060000042,171.72120505086386,144.36911429804147,173.94767353740878,163.34599762877136,0.10084191931055822,20.88330502282426,8.0,"[('inside', 1, 15), ('TMhelix', 16, 32), ('outside', 33, 656), ('TMhelix', 657, 679), ('inside', 680, 706), ('TMhelix', 707, 735), ('outside', 736, 751), ('TMhelix', 752, 772), ('inside', 773, 825), ('TMhelix', 826, 846), ('outside', 847, 1658), ('TMhelix', 1659, 1676), ('inside', 1677, 1707), ('TMhelix', 1708, 1728), ('outside', 1729, 1749), ('TMhelix', 1750, 1770), ('inside', 1771, 1789)]",1789.0,,membrane
CP002027.1,gene,59774,60968,+,MMSYN1_0035,,mRNA,conserved hypothetical protein,44990.81720000002,,,,,,,1.0,"[('signal', 1, 23), ('outside', 24, 364), ('TMhelix', 365, 374), ('inside', 375, 397)]",397.0,extracellular,extracellular
CP002027.1,gene,61276,62263,+,MMSYN1_0036,,mRNA,D-lactate dehydrogenase,36909.81899999998,2931.5245981273506,2922.389135058931,3189.3684755216223,3014.4274029026346,0.050282270645209765,385.3856711386457,0.0,"[('inside', 1, 328)]",328.0,,cytoplasmic
CP002027.1,gene,62281,63406,+,MMSYN1_0037,,mRNA,malate permease,41445.44800000005,268.08840180519184,308.5286491601962,312.38312016253224,296.3333903759734,0.08280093621701304,37.88535176560148,10.0,"[('outside', 1, 16), ('TMhelix', 17, 34), ('inside', 35, 47), ('TMhelix', 48, 66), ('outside', 67, 77), ('TMhelix', 78, 98), ('inside', 99, 140), ('TMhelix', 141, 150), ('outside', 151, 163), ('TMhelix', 164, 181), ('inside', 182, 198), ('TMhelix', 199, 219), ('outside', 220, 250), ('TMhelix', 251, 271), ('inside', 272, 286), ('TMhelix', 287, 307), ('outside', 308, 317), ('TMhelix', 318, 338), ('inside', 339, 351), ('TMhelix', 352, 368), ('outside', 369, 374)]",374.0,,membrane
CP002027.1,gene,63761,65045,+,MMSYN1_0038,,mRNA,conserved hypothetical protein,48540.2219,113.90187565205159,118.39352518245691,110.57196876165243,114.2891231987203,0.034343875564734755,14.611528015361808,0.0,"[('inside', 1, 427)]",427.0,,cytoplasmic
CP002027.1,gene,65086,67033,-,MMSYN1_0039,,mRNA,peptidase_ M41 family,71685.2864000003,2190.3250402594417,2442.504477659859,2359.3565746488903,2330.7286975227303,0.05513469763742206,297.97680397676226,2.0,"[('inside', 1, 9), ('TMhelix', 10, 27), ('outside', 28, 117), ('TMhelix', 118, 138), ('inside', 139, 648)]",648.0,,membrane
CP002027.1,gene,67264,68110,+,MMSYN1_0041,,mRNA,conserved hypothetical protein,32971.32190000001,31.993801541653,28.73451495125113,24.01651010605937,28.248275532987833,0.14198432792464294,3.6114588841340662,0.0,"[('inside', 1, 281)]",281.0,,cytoplasmic
CP002027.1,gene,68093,69299,-,MMSYN1_0040,,mRNA,tRNA(Ile)-lysidine synthase (tRNA(Ile)-lysidinesynthetase) (tRNA(Ile)-2-lysyl-cytidine synthase),47537.470099999926,96.25198708720747,86.96922030938914,92.98699758283925,92.06940165981196,0.05114532948873374,11.770802015611267,0.0,"[('inside', 1, 401)]",401.0,,cytoplasmic
CP002027.1,gene,69301,70129,-,MMSYN1_0042,,mRNA,transcriptional regulator_ RpiR family protein,31400.830400000024,770.9158479762739,681.1515417381593,680.1147388749537,710.7273761964622,0.07334362670288226,90.8644031726676,0.0,"[('inside', 1, 275)]",275.0,,cytoplasmic
CP002027.1,gene,70180,70903,-,MMSYN1_0043,,mRNA,methyltransferase,27853.097400000053,74.05490296424213,76.30604631803092,85.19496572033536,78.5186383342028,0.07501924968657749,10.038376808206296,0.0,"[('inside', 1, 240)]",240.0,,cytoplasmic
CP002027.1,gene,70902,71643,-,MMSYN1_0044,,mRNA,DNA polymerase III delta subunit,28732.881400000057,188.58284935707485,185.04573257378618,184.0868023251081,185.90512808532307,0.01273780046240291,23.767423453717935,0.0,"[('inside', 1, 246)]",246.0,,cytoplasmic
CP002027.1,gene,71620,72262,-,MMSYN1_0045,tmk,mRNA,dTMP kinase,24436.776400000017,704.9234059069506,658.5029281241699,725.7138498767615,696.3800613026273,0.04941309941714664,89.03014119174416,0.0,"[('inside', 1, 213)]",213.0,,cytoplasmic
CP002027.1,gene,72264,72855,-,MMSYN1_0046,,mRNA,DNA repair protein RecM,22366.60670000001,115.40056453510715,118.2782407515424,116.68726875833572,116.78869134832843,0.012342946467151736,14.931090446344866,0.0,"[('inside', 1, 196)]",196.0,,cytoplasmic
CP002027.1,gene,72856,74863,-,MMSYN1_0047,dnaX,mRNA,DNA polymerase III_ gamma/tau subunit,77055.12660000031,135.67711831647617,146.8910394781221,134.86948619564927,139.14588133008252,0.04829211076747819,17.78939138190427,0.0,"[('inside', 1, 668)]",668.0,,cytoplasmic
CP002027.1,gene,74944,75412,-,MMSYN1_0048,,mRNA,cytosine deaminase,18391.231600000006,27.639363880867503,15.137666505201057,26.40668653788641,23.06123897465166,0.2987540645758957,2.948311527083701,0.0,"[('inside', 1, 155)]",155.0,,cytoplasmic
CP002027.1,gene,75392,75491,-,MMSYN1_0049,srpB,ncRNA,Bacterial signal recognition particle RNA,,,,,,,,,,,,Non_proteins
CP002027.1,gene,75528,76491,-,MMSYN1_0050,guaC,mRNA,GMP reductase,35719.07780000001,819.035481394888,838.7096397275664,707.2317101236845,788.3256104153796,0.08995645159812257,100.78510902374735,0.0,"[('inside', 1, 320)]",320.0,,cytoplasmic
CP002027.1,gene,76905,77202,-,MMSYN1_0051,,mRNA,conserved hypothetical protein,11517.316299999988,,,,,,,0.0,"[('signal', 1, 24), ('outside', 25, 98)]",98.0,lipoprotein,lipoprotein
CP002027.1,gene,77326,77647,-,MMSYN1_0052,,mRNA,hypothetical protein,12468.09819999998,155.67344890981374,175.87304266273077,166.71593428095284,166.0874752844991,0.06089833628876912,21.23379487215581,2.0,"[('inside', 1, 17), ('TMhelix', 18, 33), ('outside', 34, 63), ('TMhelix', 64, 80), ('inside', 81, 106)]",106.0,,membrane
CP002027.1,gene,77754,79851,-,MMSYN1_0053,,pseudo,PSEUDOGENE - putative liporotein,,,,,,,,,,,,Non_proteins
CP002027.1,gene,79999,80449,-,MMSYN1_0054,,mRNA,AhpC/TSA family protein,17462.538900000003,2713.240224860439,1740.8533959543017,2709.019107333867,2387.7042427162028,0.23461584210072695,305.2609597344141,0.0,"[('inside', 1, 149)]",149.0,,cytoplasmic
CP002027.1,gene,80687,81977,-,MMSYN1_0055,mmyCVR,mRNA,GATC--recognizing Type II restriction modification system (MmyCV) endonuclease subunit,51416.90739999998,312.78294703229454,389.8800132094186,317.3090515170425,339.99067058625184,0.12725250809075772,43.46680654461693,0.0,"[('inside', 1, 429)]",429.0,,cytoplasmic
CP002027.1,gene,81978,82818,-,MMSYN1_0056,mmyC5VM,mRNA,GATC--recognizing Type II restriction modification system (MmyCV) adenine DNA methyltransferase subunit,32461.993899999987,369.6767604650183,375.13757927913105,380.1196686666846,374.97800280361133,0.013929570772979256,47.93983399087565,0.0,"[('inside', 1, 279)]",279.0,,cytoplasmic
CP002027.1,gene,83286,83577,+,MMSYN1_0057,,mRNA,conserved hypothetical protein,10959.32569999999,179.50303524562145,198.28678300729183,146.60613279068778,174.798650347867,0.14965519759043008,22.347492964526392,2.0,"[('inside', 1, 7), ('TMhelix', 8, 28), ('outside', 29, 66), ('TMhelix', 67, 87), ('inside', 88, 96)]",96.0,,membrane
CP002027.1,gene,83595,84177,+,MMSYN1_0058,,mRNA,conserved hypothetical protein,21866.090900000017,4.356768564928686,7.87962413602939,11.352519943212672,7.8629708813902495,0.4448579899188008,1.0052576842123695,6.0,"[('inside', 1, 24), ('TMhelix', 25, 40), ('outside', 41, 49), ('TMhelix', 50, 60), ('inside', 61, 65), ('TMhelix', 66, 82), ('outside', 83, 86), ('TMhelix', 87, 102), ('inside', 103, 114), ('TMhelix', 115, 130), ('outside', 131, 151), ('TMhelix', 152, 169), ('inside', 170, 193)]",193.0,,membrane
CP002027.1,gene,84291,85410,+,MMSYN1_0059,ald,mRNA,alanine dehydrogenase,40575.49550000004,15602.537372893357,14738.697645465672,15190.76650971954,15177.333842692859,0.02846853721454151,1940.3774605516328,0.0,"[('inside', 1, 372)]",372.0,,cytoplasmic
CP002027.1,gene,85703,86528,+,MMSYN1_0060,,mRNA,putative membrane protein,31128.11110000001,4.8767715173339905,3.90555902684413,4.2640410785307665,4.348790540902962,0.11293288230053718,0.5559800709194306,6.0,"[('inside', 1, 22), ('TMhelix', 23, 39), ('outside', 40, 84), ('TMhelix', 85, 105), ('inside', 106, 117), ('TMhelix', 118, 138), ('outside', 139, 162), ('TMhelix', 163, 183), ('inside', 184, 211), ('TMhelix', 212, 229), ('outside', 230, 242), ('TMhelix', 243, 263), ('inside', 264, 274)]",274.0,,membrane
CP002027.1,gene,86610,87879,+,MMSYN1_0061,serS,mRNA,serine--tRNA ligase,48760.477300000064,2444.179933420374,2582.245017884083,2279.4049285703622,2435.2766266249396,0.06225831989279583,311.34294899800693,0.0,"[('inside', 1, 422)]",422.0,,cytoplasmic
CP002027.1,gene,87980,88295,+,MMSYN1_0062,,mRNA,conserved hypothetical protein,12195.865499999987,603.8550387826659,809.8480076961499,686.1689480270885,699.957331501968,0.148132429770623,89.48748465780002,0.0,"[('inside', 1, 104)]",104.0,,cytoplasmic
CP002027.1,gene,88296,89271,+,MMSYN1_0063,,mRNA,tRNA-dihydrouridine synthase B,36429.74319999998,205.02496773107202,204.84075043839061,196.3004548537387,202.05539100773376,0.02467032404514378,25.832187033502798,0.0,"[('inside', 1, 324)]",324.0,,cytoplasmic
CP002027.1,gene,89273,90776,+,MMSYN1_0064,lysS,mRNA,lysine--tRNA ligase,58091.662900000105,1317.306375771666,1317.3719723632269,1423.347286820747,1352.67521165188,0.045246501669637014,172.93554449946305,0.0,"[('inside', 1, 500)]",500.0,,cytoplasmic
CP002027.1,gene,90865,91174,-,MMSYN1_0065,trxA,mRNA,thioredoxin,11519.32849999999,1107.788056740976,2284.321299286821,2466.009218730262,1952.7061915860195,0.37759812491923206,249.6477392211638,0.0,"[('inside', 1, 102)]",102.0,,cytoplasmic
CP002027.1,gene,91184,92027,-,MMSYN1_0066,,mRNA,putative hydrolase of the HAD family,32163.470600000008,922.6382174807371,833.8859620966477,805.0268800947806,853.8503532240552,0.07178622399737446,109.16225453376786,0.0,"[('inside', 1, 280)]",280.0,,cytoplasmic
CP002027.1,gene,92147,92256,-,MMSYN1_0067,rrf,rRNA,5S ribosomal RNA,,,,,,,,,,,,Non_proteins
CP002027.1,gene,92330,95225,-,MMSYN1_0068,rrl,rRNA,23S ribosomal RNA,,,,,,,,,,,,Non_proteins
CP002027.1,gene,95456,96980,-,MMSYN1_0069,rrs,rRNA,16S ribosomal RNA,,,,,,,,,,,,Non_proteins
CP002027.1,gene,97262,97346,-,MMSYN1_0070,,tRNA,tRNA-Leu,,,,,,,,,,,,Non_proteins
CP002027.1,gene,97348,97424,-,MMSYN1_0071,,tRNA,tRNA-Lys,,,,,,,,,,,,Non_proteins
CP002027.1,gene,97602,99669,+,MMSYN1_0072,,mRNA,putative membrane protein,82478.38120000031,,,,,,,11.0,"[('inside', 1, 20), ('TMhelix', 21, 37), ('outside', 38, 42), ('TMhelix', 43, 56), ('inside', 57, 65), ('TMhelix', 66, 81), ('outside', 82, 218), ('TMhelix', 219, 231), ('inside', 232, 245), ('TMhelix', 246, 261), ('outside', 262, 268), ('TMhelix', 269, 281), ('inside', 282, 294), ('TMhelix', 295, 304), ('outside', 305, 313), ('TMhelix', 314, 323), ('inside', 324, 376), ('TMhelix', 377, 386), ('outside', 387, 415), ('TMhelix', 416, 430), ('inside', 431, 440), ('TMhelix', 441, 450), ('outside', 451, 688)]",688.0,,membrane
CP002027.1,gene,99701,102434,-,MMSYN1_0073,,mRNA,phosphonate ABC transporter_ permease protein PhnE_ putative,105636.9277000008,127.87889070968531,173.58536203848138,92.94162076410963,131.4686245040921,0.30761359894199286,16.80787669306516,13.0,"[('inside', 1, 25), ('TMhelix', 26, 46), ('outside', 47, 96), ('TMhelix', 97, 118), ('inside', 119, 129), ('TMhelix', 130, 151), ('outside', 152, 159), ('TMhelix', 160, 175), ('inside', 176, 216), ('TMhelix', 217, 228), ('outside', 229, 258), ('TMhelix', 259, 280), ('inside', 281, 442), ('TMhelix', 443, 460), ('outside', 461, 516), ('TMhelix', 517, 538), ('inside', 539, 545), ('TMhelix', 546, 561), ('outside', 562, 565), ('TMhelix', 566, 591), ('inside', 592, 633), ('TMhelix', 634, 647), ('outside', 648, 676), ('TMhelix', 677, 687), ('inside', 688, 688), ('TMhelix', 689, 698), ('outside', 699, 910)]",910.0,,membrane
CP002027.1,gene,102437,103190,-,MMSYN1_0074,phnC,mRNA,phosphonate ABC transporter_ ATP-binding protein,27939.198100000016,675.5916194533536,690.1784559503405,682.2619876318674,682.6773543451873,0.010696537140149197,87.27829043822321,0.0,"[('inside', 1, 250)]",250.0,,cytoplasmic
CP002027.1,gene,103203,104574,-,MMSYN1_0075,,mRNA,phosphonate ABC transporter_ phosphonate-binding protein_ putative,51174.19690000007,10192.691526371076,12382.330060745739,10115.041811351695,10896.687799489504,0.11812668431959936,1393.10946309434,0.0,"[('signal', 1, 23), ('outside', 24, 456)]",456.0,lipoprotein,lipoprotein
CP002027.1,gene,104865,106230,-,MMSYN1_0076,asnS,mRNA,asparagine--tRNA ligase,52480.05419999995,2200.875387171446,2950.5982978675884,2501.2438576567324,2550.905847565256,0.14791632321952752,326.1258045653406,0.0,"[('inside', 1, 454)]",454.0,,cytoplasmic
CP002027.1,gene,106238,107078,-,MMSYN1_0077,,mRNA,putative hydrolase of the HAD family,31605.25,180.4921957990887,75.168277720272,182.94172280519865,146.20073210818646,0.420846737473256,18.691333289440202,0.0,"[('inside', 1, 279)]",279.0,,cytoplasmic
CP002027.1,gene,107088,108219,-,MMSYN1_0078,,mRNA,putative hydrolase from alpha/beta family,44652.80589999997,34.713556135659715,41.94981853448139,38.984915910032626,38.549430193391245,0.09436544356833582,4.928431188220696,0.0,"[('inside', 1, 376)]",376.0,,cytoplasmic
CP002027.1,gene,108242,109199,-,MMSYN1_0079,,mRNA,probable O-sialoglycoprotein endopeptidase (Glycoprotease),35060.07979999999,149.41863866152508,125.05066223428076,141.73754081397942,138.73561390326176,0.08979857202742961,17.736939898919676,0.0,"[('inside', 1, 318)]",318.0,,cytoplasmic
CP002027.1,gene,109293,109515,-,MMSYN1_0080,,mRNA,conserved hypothetical protein,8317.373099999997,1983.1450812828332,1723.4383423331344,1945.8257994068101,1884.1364076742593,0.07452431298952561,240.88129416854127,0.0,"[('inside', 1, 73)]",73.0,,cytoplasmic
CP002027.1,gene,109714,111073,+,MMSYN1_0081,trmE,mRNA,tRNA modification GTPase TrmE,50427.43399999994,319.8866243857081,447.8918941515215,332.9568334212663,366.9117839861653,0.19196619643549492,46.90859165625538,0.0,"[('inside', 1, 452)]",452.0,,cytoplasmic
CP002027.1,gene,111123,111369,-,MMSYN1_0082,rpsT,mRNA,ribosomal protein S20,8954.307299999997,317.0860269808599,314.784902816534,434.45275807199533,355.4412292897964,0.1925372128180905,45.44211499944951,0.0,"[('inside', 1, 81)]",81.0,,cytoplasmic
CP002027.1,gene,111502,112138,-,MMSYN1_0083,,mRNA,conserved hypothetical protein,25071.07960000003,6.616282128310845,10.835092057702926,7.718440566471393,8.389938250828388,0.2608002045667084,1.0726289113792702,0.0,"[('inside', 1, 211)]",211.0,,cytoplasmic
