Locus Tag	Gene Name	Gene Product	Protein Length	Exp. Ptn Cnt	Essentiality	Primary Function	Secondary Function	Tertiary Function	Localization	Sim. Initial Ptn Cnt	Review Flag
JCVISYN3A_0080		Uncharacterized protein	73.0	26	Nonessential	Unclear			cytoplasm	26	
JCVISYN3A_0081	mnmE; trmE	tRNA uridine(34) 5-carboxymethylaminomethyl synthesis GTPase	452.0	152	Quasiessential	Genetic Information Processing			cytoplasm	152	
JCVISYN3A_0082	rpsT	30S ribosomal protein S20	81.0	190	Quasiessential	Genetic Information Processing	Translation	Ribosome	cytoplasm	190	
JCVISYN3A_0094		Uncharacterized protein	238.0	-	Nonessential	Unclear			trans-membrane	10	
JCVISYN3A_0095	secA	Preprotein translocase subunit A	944.0	573	Essential	Genetic Information Processing			peripheral membrane	573	
JCVISYN3A_0097	yycJ	Flap endonuclease and 5' exonuclease 	303.0	71	Quasiessential	Genetic Information Processing			cytoplasm	71	
JCVISYN3A_0105	xseB	Exodeoxyribonuclease VII small subunit	71.0	7	Nonessential	Genetic Information Processing	DNA Maintenance	DNA repair and recombination proteins	cytoplasm	10	
JCVISYN3A_0106	xseA	Exodeoxyribonuclease VII large subunit	469.0	15	Nonessential	Genetic Information Processing	DNA Maintenance	DNA repair and recombination proteins	cytoplasm	15	
JCVISYN3A_0107	nusB	Transcription antitermination factor	132.0	18	Quasiessential	Genetic Information Processing			cytoplasm	18	
JCVISYN3A_0108		Uncharacterized lipoprotein	370.0	69	Quasiessential	Unclear			lipoprotein	69	
JCVISYN3A_0109	nfo	Deoxyribonuclease IV	289.0	22	Quasiessential	Genetic Information Processing			cytoplasm	22	
JCVISYN3A_0113	bcsA	Glycolipid synthase A	449.0	79	Essential	Metabolism			trans-membrane	79	
JCVISYN3A_0114	bcsB; cps	Glycolipid synthase B	306.0	43	Essential	Metabolism	Biosynthesis	Lipid metabolism	peripheral membrane	43	
JCVISYN3A_0115	galU; gtaB	UTP--glucose-1-phosphate uridylyltransferase	290.0	336	Essential	Metabolism	Biosynthesis	Lipid metabolism	cytoplasm	336	
JCVISYN3A_0116		Uncharacterized protein	146.0	62	Quasiessential	Unclear			trans-membrane	62	
JCVISYN3A_0117	plsY	Acyl-phosphate glycerol 3-phosphate acyltransferase	253.0	1	Essential	Metabolism	Biosynthesis	Lipid metabolism	trans-membrane	100	
JCVISYN3A_0126	gluRS	Glutamate--tRNA ligase	483.0	138	Essential	Metabolism	Translation	tRNA loading	cytoplasm	142	PRIMARY_MISMATCH
JCVISYN3A_0127		Uncharacterized phosphohydrolase	404.0	52	Nonessential	Unclear			cytoplasm	52	
JCVISYN3A_0128	rpoE	DNA-directed RNA polymerase subunit delta	142.0	22	Quasiessential	Genetic Information Processing			cytoplasm	22	
JCVISYN3A_0129	pyrG	CTP synthase	532.0	306	Essential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	306	
JCVISYN3A_0131	fbaA	Fructose-1,6-bisphosphate aldolase	297.0	227	Essential	Metabolism	Central Carbon Metabolism	Glycolysis	cytoplasm	775	
JCVISYN3A_0132	ietA	Toxin-antitoxin AAA ATPase	353.0	93	Essential	Cellular Processes			peripheral membrane	93	
JCVISYN3A_0133	ietS	Toxin-antitoxin serine protease	757.0	88	Nonessential	Cellular Processes			peripheral membrane	88	
JCVISYN3A_0137	rpmE	50S ribosomal protein L31	92.0	44	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	44	
JCVISYN3A_0138		Uncharacterized protein	632.0	108	Quasiessential	Unclear			cytoplasm	108	
JCVISYN3A_0139	ytqI; orn	NanoRNAse	316.0	187	Quasiessential	Metabolism	Biosynthesis	Lipid metabolism	cytoplasm	187	
JCVISYN3A_0140	tdk	Thymidine kinase	209.0	202	Essential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	202	
JCVISYN3A_0141	prfA	Peptide chain release factor 1	364.0	330	Essential	Genetic Information Processing			cytoplasm	330	
JCVISYN3A_0142	prmC	Protein-(glutamine-N5) methyltransferase, release factor-specific	282.0	17	Quasiessential	Genetic Information Processing			cytoplasm	17	
JCVISYN3A_0143		Uncharacterized protein	490.0	40	Essential	Unclear			trans-membrane	40	
JCVISYN3A_0144	tsaC	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit	166.0	55	Essential	Genetic Information Processing			cytoplasm	55	
JCVISYN3A_0145		Uncharacterized acetyltransferase	304.0	165	Essential	Unclear			cytoplasm	165	
JCVISYN3A_0146	ywnG-like	Uncharacterized protein	235.0	28	Essential	Unclear			cytoplasm	28	
JCVISYN3A_0147	clsA	Cardiolipin synthase	509.0	15	Essential	Metabolism	Biosynthesis	Lipid metabolism	trans-membrane	15	
JCVISYN3A_0148	rpsL	30S ribosomal protein S12	139.0	122	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	122	
JCVISYN3A_0149	rpsG	30S ribosomal protein S7	155.0	498	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	498	
JCVISYN3A_0150	fusA	Translation elongation factor G	689.0	672	Essential	Genetic Information Processing			cytoplasm	672	
JCVISYN3A_0151	tuf	Translation elongation factor Tu	395.0	542	Essential	Genetic Information Processing			cytoplasm	542	
JCVISYN3A_0163	alaRS	Alanine--tRNA ligase	896.0	431	Essential	Metabolism	Translation	tRNA loading	cytoplasm	434	PRIMARY_MISMATCH
JCVISYN3A_0164		Uncharacterized protein	164.0	9	Quasiessential	Unclear			trans-membrane	10	
JCVISYN3A_0165	amiC	Oligopeptide ABC transporter permease	414.0	59	Quasiessential	Metabolism	Membrane Transport	Amino acid and peptides	trans-membrane	59	
JCVISYN3A_0166	oppC	Oligopeptide ABC transporter permease	336.0	64	Quasiessential	Metabolism	Membrane Transport	Amino acid and peptides	trans-membrane	64	
JCVISYN3A_0167	amiE	Oligopeptide ABC transporter ATP-binding protein	566.0	242	Quasiessential	Metabolism	Membrane Transport	Amino acid and peptides	peripheral membrane	242	
JCVISYN3A_0168	amiF	Oligopeptide ABC transporter ATP-binding protein	622.0	241	Quasiessential	Metabolism	Membrane Transport	Amino acid and peptides	peripheral membrane	241	
JCVISYN3A_0169	amiA	Oligopeptide ABC transporter substrate-binding protein	1033.0	314	Quasiessential	Metabolism	Membrane Transport	Amino acid and peptides	lipoprotein	314	
JCVISYN3A_0195	potC	Spermidine/putrescine ABC transporter permease	1036.0	182	Quasiessential	Metabolism	Membrane Transport	Polyamines	trans-membrane	182	
JCVISYN3A_0196	potB	Spermidine/putrescine ABC transporter permease	330.0	19	Quasiessential	Metabolism	Membrane Transport	Polyamines	trans-membrane	19	
JCVISYN3A_0197	potA	Spermidine/putrescine ABC transporter ATP-binding protein	351.0	208	Quasiessential	Metabolism	Membrane Transport	Polyamines	peripheral membrane	208	
JCVISYN3A_0198	rplT	50S ribosomal protein L20	119.0	325	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	325	
JCVISYN3A_0199	rpmI	50S ribosomal protein L35	63.0	-	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	10	
JCVISYN3A_0200	infC	Translation initiation factor IF-3	181.0	154	Essential	Genetic Information Processing			cytoplasm	154	
JCVISYN3A_0201	def	Peptide deformylase	200.0	156	Essential	Genetic Information Processing			cytoplasm	156	
JCVISYN3A_0202	rsmD	16S rRNA (guanine(966)-N(2))-methyltransferase	185.0	125	Quasiessential	Genetic Information Processing			cytoplasm	125	
JCVISYN3A_0203	gmk	Guanylate kinase	297.0	186	Essential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	186	
JCVISYN3A_0213	eno	Phosphopyruvate hydratase	451.0	998	Essential	Metabolism	Central Carbon Metabolism	Glycolysis	cytoplasm	998	
JCVISYN3A_0214	pgpA	Phosphatidylglycerophosphatase	273.0	-	Quasiessential	Metabolism	Biosynthesis	Lipid metabolism	trans-membrane	10	
JCVISYN3A_0215	yrrK; yqgF	Pre-16S rRNA nuclease 	143.0	49	Essential	Genetic Information Processing			cytoplasm	49	
JCVISYN3A_0216	hptA	Hypoxanthine phosphoribosyltransferase	190.0	439	Quasiessential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	439	
JCVISYN3A_0218	glpK	Glycerol kinase	505.0	396	Essential	Metabolism	Biosynthesis	Lipid metabolism	cytoplasm	396	
JCVISYN3A_0220	pfkA	6-Phosphofructokinase	326.0	458	Essential	Metabolism	Central Carbon Metabolism	Glycolysis	cytoplasm	458	
JCVISYN3A_0221	pyk	Pyruvate kinase	478.0	551	Essential	Metabolism	Central Carbon Metabolism	Glycolysis	cytoplasm	551	CONFLICT(also:Nucleotide)
JCVISYN3A_0222	thrRS	Threonine--tRNA ligase	639.0	303	Essential	Metabolism	Translation	tRNA loading	cytoplasm	306	PRIMARY_MISMATCH
JCVISYN3A_0227	pdhC	Branched-chain alpha-keto acid dehydrogenase subunit E2	441.0	182	Nonessential	Metabolism	Central Carbon Metabolism	Pyruvate metabolism	cytoplasm	182	
JCVISYN3A_0228	lpdA	Dihydrolipoyl dehydrogenase	629.0	182	Nonessential	Metabolism	Central Carbon Metabolism	Pyruvate metabolism	cytoplasm	182	
JCVISYN3A_0229	pta	Phosphate acetyltransferase	322.0	301	Essential	Metabolism	Central Carbon Metabolism	Pyruvate metabolism	cytoplasm	301	
JCVISYN3A_0230	ackA	Acetate kinase	393.0	-	Essential	Metabolism	Central Carbon Metabolism	Pyruvate metabolism	cytoplasm	10	
JCVISYN3A_0233	ptsI	ptsI: Phosphoenolpyruvate--protein phosphotransferase	573.0	353	Essential	Metabolism			cytoplasm	352	
JCVISYN3A_0234	crr	PTS glucose transporter subunit IIA	154.0	314	Essential	Metabolism			cytoplasm	313	
JCVISYN3A_0235		Uncharacterized protein	60.0	-	Quasiessential	Unclear			trans-membrane	10	
JCVISYN3A_0238	rpsD	30S ribosomal protein S4	208.0	172	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	172	
JCVISYN3A_0239	-/ezrA	Uncharacterized protein/FtsZ filament regulator	595.0	55	Nonessential	Unclear			trans-membrane	55	
JCVISYN3A_0240	thiI	tRNA 4-thiouridine(8) synthase	395.0	96	Quasiessential	Genetic Information Processing			cytoplasm	96	
JCVISYN3A_0247	ysxC; yihA	Ribosome biogenesis GTP-binding protein	196.0	63	Essential	Genetic Information Processing			cytoplasm	63	
JCVISYN3A_0248		Uncharacterized protein	186.0	14	Nonessential	Unclear			trans-membrane	14	
JCVISYN3A_0249		Uncharacterized protein	192.0	53	Essential	Unclear			trans-membrane	53	
JCVISYN3A_0250		Uncharacterized protein	229.0	262	Nonessential	Unclear			cytoplasm	262	
JCVISYN3A_0253	greA	Transcription elongation factor	157.0	396	Essential	Genetic Information Processing			cytoplasm	396	
JCVISYN3A_0254	uvrC	Excinuclease ABC subunit C	584.0	58	Quasiessential	Genetic Information Processing			cytoplasm	58	
JCVISYN3A_0257	rnjB	RNase J family beta-CASP ribonuclease	583.0	335	Essential	Genetic Information Processing	Folding, Sorting and Degradation	RNA degradation	peripheral membrane	335	
JCVISYN3A_0259	nadK	NAD(+) kinase	265.0	-	Essential	Metabolism	Biosynthesis	Cofactor biosynthesis	cytoplasm	10	
JCVISYN3A_0260	valRS	Valine--tRNA ligase	872.0	225	Essential	Metabolism	Translation	tRNA loading	cytoplasm	228	PRIMARY_MISMATCH
JCVISYN3A_0262	rpe	Ribulose-phosphate 3-epimerase	225.0	209	Quasiessential	Metabolism	Central Carbon Metabolism	Pentose phosphate metabolism	cytoplasm	209	
JCVISYN3A_0263	rsgA; engC	Ribosome small subunit-dependent GTPase A	300.0	-	Quasiessential	Genetic Information Processing			cytoplasm	10	
JCVISYN3A_0264	prkC; stkP	Uncharacterized serine/threonine protein kinase	371.0	1	Quasiessential	Metabolism			trans-membrane	10	
JCVISYN3A_0270	tsaE; yjeE	tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase	138.0	10	Essential	Genetic Information Processing			cytoplasm	10	
JCVISYN3A_0271	tsaB; yeaZ	tRNA N6-adenosine(37)-N6-threonylcarbamoyltransferase complex dimerization subunit	187.0	67	Essential	Genetic Information Processing			cytoplasm	67	
JCVISYN3A_0281		Uncharacterized protein	226.0	20	Essential	Unclear			cytoplasm	20	
JCVISYN3A_0282	proRS	Proline--tRNA ligase	474.0	218	Essential	Metabolism	Translation	tRNA loading	cytoplasm	221	PRIMARY_MISMATCH
JCVISYN3A_0283	rnhA	Double-stranded RNA binding RNase HI	205.0	38	Essential	Genetic Information Processing			cytoplasm	38	
JCVISYN3A_0285	lepA; EF4	Elongation factor 4	600.0	147	Quasiessential	Genetic Information Processing			cytoplasm	147	
JCVISYN3A_0286		Uncharacterized protein	268.0	13	Essential	Unclear			cytoplasm	13	
JCVISYN3A_0287	aspRS	Aspartate--tRNA ligase	574.0	188	Essential	Metabolism	Translation	tRNA loading	cytoplasm	191	PRIMARY_MISMATCH
JCVISYN3A_0288	hisRS	Histidine--tRNA ligase	414.0	252	Essential	Metabolism	Translation	tRNA loading	cytoplasm	255	PRIMARY_MISMATCH
JCVISYN3A_0289	rbfA	Ribosome-binding factor A	117.0	194	Quasiessential	Genetic Information Processing			cytoplasm	194	
JCVISYN3A_0290	truB	tRNA pseudouridine(55) synthase	292.0	5	Quasiessential	Genetic Information Processing			cytoplasm	10	
JCVISYN3A_0291	ribF	FAD synthetase	184.0	68	Essential	Metabolism	Biosynthesis	Cofactor biosynthesis	cytoplasm	68	
JCVISYN3A_0294	rpsO	30S ribosomal protein S15	88.0	96	Quasiessential	Genetic Information Processing	Translation	Ribosome	cytoplasm	96	
JCVISYN3A_0296		Uncharacterized protein	214.0	10	Essential	Unclear			trans-membrane	10	
JCVISYN3A_0297	infB	Translation initiation factor IF-2	620.0	460	Essential	Genetic Information Processing			cytoplasm	460	
JCVISYN3A_0298	-/ylxR	Uncharacterized L7Ae family protein/Transcription Termination Nucleic Acid Binding	99.0	12	Quasiessential	Unclear			cytoplasm	12	
JCVISYN3A_0299	ylxR/ylxQ	Uncharacterized protein	93.0	53	Quasiessential	Unclear			cytoplasm	53	
JCVISYN3A_0300	nusA	Transcription termination/antitermination protein NusA	584.0	464	Essential	Genetic Information Processing			cytoplasm	464	
JCVISYN3A_0301	rimP	Ribosome assembly cofactor	164.0	140	Quasiessential	Genetic Information Processing			cytoplasm	140	
JCVISYN3A_0302	fre	Flavin reductase	216.0	160	Essential	Metabolism			cytoplasm	160	
JCVISYN3A_0303	polC	PolC-type DNA polymerase III	1482.0	104	Essential	Genetic Information Processing			cytoplasm	104	
JCVISYN3A_0304	cdsA	Phosphatidate cytidylyltransferase	342.0	1	Essential	Metabolism	Biosynthesis	Lipid metabolism	trans-membrane	40	
JCVISYN3A_0305	pepP	Prolidase 	358.0	413	Quasiessential	Genetic Information Processing			cytoplasm	413	
JCVISYN3A_0308	trpRS	Tryptophan--tRNA ligase	336.0	27	Essential	Metabolism	Translation	tRNA loading	cytoplasm	30	PRIMARY_MISMATCH
JCVISYN3A_0314	ecfS	Uncharacterized ECF transporter S component	244.0	150	Essential	Metabolism	Membrane Transport	Cofactor	trans-membrane	150	
JCVISYN3A_0315	-/ynzC-like	Uncharacterized protein/DNA Damage Control	50.0	6	Quasiessential	Unclear			cytoplasm	10	
JCVISYN3A_0316	tkt	Transketolase	656.0	148	Quasiessential	Metabolism	Central Carbon Metabolism	Pentose phosphate metabolism	cytoplasm	148	
JCVISYN3A_0317		Uncharacterized protein	81.0	19	Essential	Unclear			trans-membrane	19	
JCVISYN3A_0325		Uncharacterized protein	499.0	10	Essential	Unclear			trans-membrane	10	
JCVISYN3A_0326		Uncharacterized protein	253.0	35	Nonessential	Unclear			cytoplasm	35	
JCVISYN3A_0327	scpA	Chromosome segregation protein A	278.0	1	Essential	Genetic Information Processing	DNA Maintenance	Chromosome-related	cytoplasm	10	
JCVISYN3A_0328	scpB	Chromosome segregation protein B	209.0	31	Essential	Genetic Information Processing	DNA Maintenance	Chromosome-related	cytoplasm	31	
JCVISYN3A_0329	rluB	Uncharacterized pseudouridine synthase	252.0	109	Quasiessential	Genetic Information Processing			cytoplasm	109	
JCVISYN3A_0330	dgk	Deoxyguanosine kinase	205.0	63	Nonessential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	63	
JCVISYN3A_0332		Uncharacterized protein	275.0	31	Quasiessential	Unclear			trans-membrane	31	
JCVISYN3A_0338		Uncharacterized lipoprotein	239.0	109	Essential	Unclear			lipoprotein	109	
JCVISYN3A_0344	ppa	Inorganic diphosphatase	186.0	190	Essential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	190	
JCVISYN3A_0345	ecfS	Uncharacterized ECF transporter S component	296.0	10	Essential	Metabolism	Membrane Transport	Cofactor	trans-membrane	10	
JCVISYN3A_0346		Uncharacterized protein	231.0	34	Nonessential	Unclear			trans-membrane	34	
JCVISYN3A_0347	cmk	Cytidylate kinase	220.0	66	Quasiessential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	66	
JCVISYN3A_0348	engA	Ribosome biogenesis GTPase	435.0	34	Essential	Genetic Information Processing			cytoplasm	34	
JCVISYN3A_0350	hupA	DNA-binding protein	90.0	28	Essential	Genetic Information Processing			cytoplasm	28	
JCVISYN3A_0352	-/dnaD-like	Uncharacterized protein/DNA Replication Machinery	182.0	11	Essential	Unclear			cytoplasm	11	
JCVISYN3A_0353	gpsB	Cell division DivIVA/GpsB protein 	125.0	69	Quasiessential	Cellular Processes			cytoplasm	69	
JCVISYN3A_0359	rny	Ribonuclease Y	509.0	206	Essential	Genetic Information Processing	Folding, Sorting and Degradation	RNA degradation	trans-membrane	206	
JCVISYN3A_0360	ffh	Signal recognition particle protein	447.0	365	Essential	Genetic Information Processing			peripheral membrane	365	
JCVISYN3A_0361	rlmH	23S rRNA (pseudouridine(1915)-N3)-methyltransferase	155.0	123	Nonessential	Genetic Information Processing			cytoplasm	123	
JCVISYN3A_0362	rpsP	30S ribosomal protein S16	92.0	225	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	225	
JCVISYN3A_0363	rimM	16S rRNA processing protein	164.0	5	Essential	Genetic Information Processing			cytoplasm	10	
JCVISYN3A_0364	trmD	tRNA (guanosine(37)-N1)-methyltransferase	240.0	25	Essential	Genetic Information Processing			cytoplasm	25	
JCVISYN3A_0365	rplS	50S ribosomal protein L19	127.0	204	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	204	
JCVISYN3A_0366	ylqF; rbgA	L16-binding dependent 50S subunit-maturation GTPase	316.0	146	Essential	Genetic Information Processing			cytoplasm	146	
JCVISYN3A_0371	ywjA	Flippase A	623.0	175	Essential	Metabolism			trans-membrane	175	
JCVISYN3A_0372	ywjA	Flippase B	617.0	65	Essential	Metabolism			trans-membrane	65	
JCVISYN3A_0373		Uncharacterized protein	535.0	48	Essential	Unclear			cytoplasm	48	
JCVISYN3A_0375		Uncharacterized protein	246.0	53	Nonessential	Unclear			cytoplasm	53	
JCVISYN3A_0376		Uncharacterized protein	114.0	8	Quasiessential	Unclear			cytoplasm	10	
JCVISYN3A_0377	obgE	Ribosome GTPase	433.0	150	Essential	Genetic Information Processing			cytoplasm	150	
JCVISYN3A_0378	nadE	NAD(+) synthase	245.0	251	Essential	Metabolism	Biosynthesis	Cofactor biosynthesis	cytoplasm	251	
JCVISYN3A_0379		Uncharacterized protein	92.0	-	Essential	Unclear			trans-membrane	10	
JCVISYN3A_0380	nadD	Nicotinate (nicotinamide) nucleotide adenylyltransferase	365.0	65	Essential	Metabolism	Biosynthesis	Cofactor biosynthesis	cytoplasm	65	
JCVISYN3A_0381	mtnN	5'-Methylthioadenosine nucleosidase	219.0	15	Nonessential	Metabolism			cytoplasm	15	
JCVISYN3A_0382	dnk	Deoxynucleoside kinase	212.0	23	Nonessential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	23	
JCVISYN3A_0387	mnmA	tRNA 2-thiouridine(34) synthase	375.0	72	Essential	Genetic Information Processing			cytoplasm	72	
JCVISYN3A_0388		Uncharacterized protein	205.0	86	Essential	Unclear			trans-membrane	86	
JCVISYN3A_0389		Uncharacterized protein	714.0	74	Quasiessential	Unclear			cytoplasm	74	
JCVISYN3A_0390	fmt	Methionyl-tRNA formyltransferase	317.0	128	Quasiessential	Genetic Information Processing	Biosynthesis	Cofactor biosynthesis	cytoplasm	128	PRIMARY_MISMATCH
JCVISYN3A_0391	efp	Elongation factor P	184.0	115	Quasiessential	Genetic Information Processing			cytoplasm	115	
JCVISYN3A_0392		Uncharacterized protein	100.0	98	Quasiessential	Unclear			unidentified	98	
JCVISYN3A_0394	lon	Endopeptidase La	786.0	757	Quasiessential	Genetic Information Processing			cytoplasm	757	
JCVISYN3A_0398		Uncharacterized lipoprotein	820.0	-	Quasiessential	Unclear			lipoprotein	10	
JCVISYN3A_0399		Uncharacterized efflux ABC transporter permease	1753.0	59	Quasiessential	Metabolism			trans-membrane	59	
JCVISYN3A_0400	thiJ/thiJ-like	Uncharacterized protease/Protein deglycase	183.0	40	Quasiessential	Genetic Information Processing			cytoplasm	40	
JCVISYN3A_0401		Uncharacterized peptidase	615.0	-	Nonessential	Metabolism			trans-membrane	10	
JCVISYN3A_0402	ybeY	rRNA maturation RNase	164.0	64	Essential	Genetic Information Processing			cytoplasm	64	
JCVISYN3A_0403	era	Ribosome GTPase	301.0	46	Essential	Genetic Information Processing			cytoplasm	46	
JCVISYN3A_0404	recO	DNA repair protein	249.0	9	Nonessential	Genetic Information Processing			cytoplasm	10	
JCVISYN3A_0405	glyRS	Glycine--tRNA ligase	456.0	104	Essential	Metabolism	Translation	tRNA loading	cytoplasm	107	PRIMARY_MISMATCH
JCVISYN3A_0406	dnaG	DNA primase	612.0	60	Essential	Genetic Information Processing			cytoplasm	60	
JCVISYN3A_0407	rpoD	RNA polymerase subunit sigma	506.0	227	Essential	Genetic Information Processing	Transcription	Transcription machinery	cytoplasm	227	
JCVISYN3A_0408	trmK; yqfN	tRNA (m1A22) methyltransferase 	225.0	19	Quasiessential	Genetic Information Processing			cytoplasm	19	
JCVISYN3A_0409	folE/yqfO-like	Uncharacterized protein/GTP cyclohydrolase	258.0	88	Quasiessential	Unclear			cytoplasm	88	
JCVISYN3A_0410	cshB	Degradosome RNA helicase 	453.0	120	Quasiessential	Genetic Information Processing			peripheral membrane	120	
