operon_id	chrom	strand	start0	end0	n_isoforms	n_reads_total	member_ids	length	tss	tts	sense_gene_count	sense_gene_loci	sense_gene_names	antisense_gene_count	antisense_gene_loci	antisense_gene_names	gene_count	gene_loci	gene_names	segmentation_type
OP_00019	CP002027.1	-	43233	44871	11	33584	ISO_118929,ISO_118931,ISO_118932,ISO_118928,ISO_118966,ISO_118997,ISO_118918,ISO_118923,ISO_118933,ISO_118998,ISO_118936	1638	44871	43233	4	MMSYN1_0025,MMSYN1_0026,MMSYN1_0027,MMSYN1_0028	rpsR,,,	0			4	MMSYN1_0025,MMSYN1_0026,MMSYN1_0027,MMSYN1_0028	rpsR,,,	isoform_operon
OP_00020	CP002027.1	+	44922	45635	2	339	ISO_009618,ISO_009625	713	44922	45635	1	MMSYN1_0029		1	MMSYN1_0030		2	MMSYN1_0029		isoform_operon
OP_00021	CP002027.1	-	45604	47598	6	4989	ISO_119046,ISO_119202,ISO_119218,ISO_119203,ISO_119204,ISO_119227	1994	47598	45604	2	MMSYN1_0030,MMSYN1_0031	,hslO	0			2	MMSYN1_0030,MMSYN1_0031	,hslO	isoform_operon
OP_00022	CP002027.1	-	47661	50904	3	1086	ISO_119660,ISO_119658,ISO_119664	3243	50904	47661	1	MMSYN1_0032		0			1	MMSYN1_0032		isoform_operon
OP_00023	CP002027.1	-	50957	54116	0	9		3159	54116	50957	1	MMSYN1_0033		0			1	MMSYN1_0033		rescue_single
OP_00024	CP002027.1	+	54194	59688	2	367	ISO_009723,ISO_010496	5494	54194	59688	1	MMSYN1_0034		0			1	MMSYN1_0034		isoform_gene_combined
OP_00025	CP002027.1	+	59774	60968	0	61		1194	59774	60968	1	MMSYN1_0035		0			1	MMSYN1_0035		rescue_single
OP_00026	CP002027.1	+	61124	63454	23	9095	ISO_011077,ISO_011102,ISO_011103,ISO_011053,ISO_011118,ISO_011131,ISO_011134,ISO_011135,ISO_011138,ISO_011140,ISO_011145,ISO_011161,ISO_011164,ISO_011167,ISO_011175,ISO_011056,ISO_011183,ISO_011057,ISO_011186,ISO_011058,ISO_011189,ISO_011499,ISO_011500	2330	61124	63454	2	MMSYN1_0036,MMSYN1_0037	,	0			2	MMSYN1_0036,MMSYN1_0037	,	isoform_operon
OP_00027	CP002027.1	-	65043	67177	31	4796	ISO_120522,ISO_120465,ISO_120520,ISO_120535,ISO_120564,ISO_120588,ISO_120862,ISO_120948,ISO_120953,ISO_120969,ISO_120581,ISO_120529,ISO_120872,ISO_120464,ISO_120482,ISO_120514,ISO_120527,ISO_120546,ISO_120559,ISO_120567,ISO_120579,ISO_120591,ISO_120623,ISO_120682,ISO_120691,ISO_120858,ISO_120947,ISO_120958,ISO_120971,ISO_120866,ISO_120954	2134	67177	65043	1	MMSYN1_0039		1	MMSYN1_0038		2	MMSYN1_0039		isoform_operon
OP_00028	CP002027.1	+	67151	68661	2	309	ISO_011709,ISO_011727	1510	67151	68661	1	MMSYN1_0041		1	MMSYN1_0040		2	MMSYN1_0041		isoform_operon
OP_00029	CP002027.1	-	69220	71427	2	199	ISO_121325,ISO_121579	2207	71427	69220	4	MMSYN1_0040,MMSYN1_0042,MMSYN1_0043,MMSYN1_0044	,,,	0			4	MMSYN1_0040,MMSYN1_0042,MMSYN1_0043,MMSYN1_0044	,,,	isoform_operon
OP_00030	CP002027.1	-	71658	74877	2	172	ISO_122322,ISO_122336	3219	74877	71658	3	MMSYN1_0045,MMSYN1_0046,MMSYN1_0047	tmk,,dnaX	0			3	MMSYN1_0045,MMSYN1_0046,MMSYN1_0047	tmk,,dnaX	isoform_operon
OP_00031	CP002027.1	-	74944	77202	1	1	ISO_122804	2258	77202	74944	4	MMSYN1_0048,MMSYN1_0049,MMSYN1_0050,MMSYN1_0051	,,,	0			4	MMSYN1_0048,MMSYN1_0049,MMSYN1_0050,MMSYN1_0051	,,,	rescue_multiple
OP_00032	CP002027.1	-	77304	82773	12	4689	ISO_123085,ISO_123097,ISO_123080,ISO_123247,ISO_123219,ISO_123083,ISO_123104,ISO_123109,ISO_123595,ISO_123600,ISO_123611,ISO_123615	5469	82773	77304	5	MMSYN1_0052,MMSYN1_0053,MMSYN1_0054,MMSYN1_0055,MMSYN1_0056	,,,mmyCVR,mmyC5VM	0			5	MMSYN1_0052,MMSYN1_0053,MMSYN1_0054,MMSYN1_0055,MMSYN1_0056	,,,mmyCVR,mmyC5VM	isoform_operon_merged
OP_00033	CP002027.1	-	82875	84239	2	119	ISO_123822,ISO_123823	1364	84239	82875	0			2	MMSYN1_0057,MMSYN1_0058	,	2			isoform_operon
OP_00034	CP002027.1	+	84226	90807	30	43066	ISO_012202,ISO_012209,ISO_012210,ISO_012211,ISO_012214,ISO_012222,ISO_012263,ISO_012266,ISO_012269,ISO_012280,ISO_012294,ISO_012301,ISO_012305,ISO_012325,ISO_012345,ISO_012579,ISO_012581,ISO_012714,ISO_012717,ISO_012719,ISO_012725,ISO_012737,ISO_012752,ISO_013376,ISO_013378,ISO_013379,ISO_013380,ISO_013382,ISO_013386,ISO_013652	6581	84226	90807	6	MMSYN1_0059,MMSYN1_0060,MMSYN1_0061,MMSYN1_0062,MMSYN1_0063,MMSYN1_0064	ald,,serS,,,lysS	0			6	MMSYN1_0059,MMSYN1_0060,MMSYN1_0061,MMSYN1_0062,MMSYN1_0063,MMSYN1_0064	ald,,serS,,,lysS	isoform_operon_merged
OP_00035	CP002027.1	-	90830	92073	3	369	ISO_124139,ISO_124128,ISO_124129	1243	92073	90830	2	MMSYN1_0065,MMSYN1_0066	trxA,	0			2	MMSYN1_0065,MMSYN1_0066	trxA,	isoform_operon
OP_00036	CP002027.1	-	92147	96980	0	0		4833	96980	92147	3	MMSYN1_0067,MMSYN1_0068,MMSYN1_0069	rrf,rrl,rrs	0			3	MMSYN1_0067,MMSYN1_0068,MMSYN1_0069	rrf,rrl,rrs	rescue_multiple
OP_00037	CP002027.1	-	97262	97346	0	0		84	97346	97262	1	MMSYN1_0070		0			1	MMSYN1_0070		rescue_single
OP_00038	CP002027.1	-	97348	97424	0	0		76	97424	97348	1	MMSYN1_0071		0			1	MMSYN1_0071		rescue_single
OP_00039	CP002027.1	+	97602	99669	0	0		2067	97602	99669	1	MMSYN1_0072		0			1	MMSYN1_0072		rescue_single
OP_00040	CP002027.1	-	99777	108402	35	26201	ISO_125251,ISO_125261,ISO_125252,ISO_126660,ISO_125253,ISO_125532,ISO_126635,ISO_125257,ISO_126662,ISO_125258,ISO_126663,ISO_126633,ISO_126637,ISO_126747,ISO_126630,ISO_126780,ISO_126781,ISO_126561,ISO_126588,ISO_126600,ISO_126629,ISO_126640,ISO_126887,ISO_126899,ISO_127415,ISO_126634,ISO_127417,ISO_127779,ISO_127817,ISO_127853,ISO_127975,ISO_128104,ISO_128112,ISO_128162,ISO_128228	8625	108402	99777	7	MMSYN1_0073,MMSYN1_0074,MMSYN1_0075,MMSYN1_0076,MMSYN1_0077,MMSYN1_0078,MMSYN1_0079	,phnC,,asnS,,,	0			7	MMSYN1_0073,MMSYN1_0074,MMSYN1_0075,MMSYN1_0076,MMSYN1_0077,MMSYN1_0078,MMSYN1_0079	,phnC,,asnS,,,	isoform_operon_merged
OP_00041	CP002027.1	-	108206	109544	1	59	ISO_128510	1338	109544	108206	3	MMSYN1_0078,MMSYN1_0079,MMSYN1_0080	,,	0			3	MMSYN1_0078,MMSYN1_0079,MMSYN1_0080	,,	isoform_operon
OP_00042	CP002027.1	+	109623	111273	4	406	ISO_014233,ISO_014243,ISO_014251,ISO_014267	1650	109623	111273	1	MMSYN1_0081	trmE	1	MMSYN1_0082	rpsT	2	MMSYN1_0081	trmE	isoform_operon
OP_00043	CP002027.1	-	111072	112299	2	424	ISO_128570,ISO_128588	1227	112299	111072	2	MMSYN1_0082,MMSYN1_0083	rpsT,	1	MMSYN1_0081	trmE	3	MMSYN1_0082,MMSYN1_0083	rpsT,	isoform_operon
OP_00044	CP002027.1	-	112955	114005	1	81	ISO_128664	1050	114005	112955	1	MMSYN1_0084		0			1	MMSYN1_0084		isoform_operon
OP_00045	CP002027.1	-	114081	116424	7	1762	ISO_129281,ISO_129260,ISO_129309,ISO_129264,ISO_129318,ISO_129267,ISO_129259	2343	116424	114081	2	MMSYN1_0085,MMSYN1_0086	,	0			2	MMSYN1_0085,MMSYN1_0086	,	isoform_operon
OP_00046	CP002027.1	-	117049	118566	3	222	ISO_129686,ISO_129507,ISO_129704	1517	118566	117049	2	MMSYN1_0086,MMSYN1_0087	,	0			2	MMSYN1_0086,MMSYN1_0087	,	isoform_operon
OP_00047	CP002027.1	-	118921	122611	6	743	ISO_129862,ISO_129861,ISO_130099,ISO_130098,ISO_130102,ISO_130100	3690	122611	118921	2	MMSYN1_0088,MMSYN1_0089	,	0			2	MMSYN1_0088,MMSYN1_0089	,	isoform_operon_merged
OP_00048	CP002027.1	-	122663	123385	6	4368	ISO_130196,ISO_130198,ISO_130197,ISO_130213,ISO_130199,ISO_130200	722	123385	122663	1	MMSYN1_0923		0			1	MMSYN1_0923		isoform_operon
OP_00049	CP002027.1	-	123439	126102	13	1362	ISO_130744,ISO_130580,ISO_130742,ISO_130761,ISO_130858,ISO_131220,ISO_130745,ISO_131213,ISO_130747,ISO_130750,ISO_130743,ISO_131216,ISO_131212	2663	126102	123439	1	MMSYN1_0092		0			1	MMSYN1_0092		isoform_operon
OP_00050	CP002027.1	-	126219	127690	1	3	ISO_131268	1471	127690	126219	2	MMSYN1_0093,MMSYN1_0094	,	0			2	MMSYN1_0093,MMSYN1_0094	,	rescue_multiple
OP_00051	CP002027.1	-	127878	130671	2	140	ISO_131439,ISO_131846	2793	130671	127878	1	MMSYN1_0095	secA	0			1	MMSYN1_0095	secA	isoform_operon
OP_00052	CP002027.1	+	130682	133351	8	1849	ISO_014487,ISO_014534,ISO_014568,ISO_014585,ISO_014586,ISO_014567,ISO_014627,ISO_014726	2669	130682	133351	3	MMSYN1_0096,MMSYN1_0097,MMSYN1_0098	,,mmyCVIM1	0			3	MMSYN1_0096,MMSYN1_0097,MMSYN1_0098	,,mmyCVIM1	isoform_operon_merged
OP_00053	CP002027.1	+	133500	134418	0	6		918	133500	134418	1	MMSYN1_0099	mmyCVIM2	0			1	MMSYN1_0099	mmyCVIM2	rescue_single
OP_00054	CP002027.1	+	135785	137737	1	54	ISO_015550	1952	135785	137737	2	MMSYN1_0100,MMSYN1_0101	mmyCVIR,	0			2	MMSYN1_0100,MMSYN1_0101	mmyCVIR,	isoform_operon
OP_00055	CP002027.1	+	138336	139219	4	1869	ISO_015857,ISO_015858,ISO_015859,ISO_015875	883	138336	139219	2	MMSYN1_0102,MMSYN1_0103	,coaE	1	MMSYN1_0104	rrmJ	3	MMSYN1_0102,MMSYN1_0103	,coaE	isoform_operon
OP_00056	CP002027.1	-	139293	141017	3	214	ISO_132050,ISO_132140,ISO_132211	1724	141017	139293	3	MMSYN1_0104,MMSYN1_0105,MMSYN1_0106	rrmJ,,xseA	0			3	MMSYN1_0104,MMSYN1_0105,MMSYN1_0106	rrmJ,,xseA	isoform_operon
OP_00057	CP002027.1	-	141631	142030	0	744		399	142030	141631	1	MMSYN1_0107	nusB	0			1	MMSYN1_0107	nusB	rescue_single
OP_00058	CP002027.1	-	142151	144944	9	658	ISO_133223,ISO_133224,ISO_133313,ISO_133452,ISO_133563,ISO_133211,ISO_133453,ISO_133443,ISO_133231	2793	144944	142151	4	MMSYN1_0108,MMSYN1_0109,MMSYN1_0110,MMSYN1_0111	,,,	0			4	MMSYN1_0108,MMSYN1_0109,MMSYN1_0110,MMSYN1_0111	,,,	isoform_operon
OP_00059	CP002027.1	-	145007	147287	0	0		2280	147287	145007	1	MMSYN1_0112		0			1	MMSYN1_0112		rescue_single
OP_00060	CP002027.1	+	147450	148902	2	248	ISO_016073,ISO_016050	1452	147450	148902	1	MMSYN1_0113		0			1	MMSYN1_0113		isoform_operon
OP_00061	CP002027.1	-	148930	150141	1	76	ISO_133810	1211	150141	148930	1	MMSYN1_0114		0			1	MMSYN1_0114		isoform_operon
OP_00062	CP002027.1	-	150228	151277	2	214	ISO_133843,ISO_133845	1049	151277	150228	1	MMSYN1_0115		0			1	MMSYN1_0115		isoform_operon
OP_00063	CP002027.1	+	151079	154274	3	191	ISO_016153,ISO_016191,ISO_016504	3195	151079	154274	2	MMSYN1_0117,MMSYN1_0118	plsY,	3	MMSYN1_0115,MMSYN1_0116,MMSYN1_0119	,,	5	MMSYN1_0117,MMSYN1_0118	plsY,	isoform_operon
OP_00064	CP002027.1	-	154238	155086	1	66	ISO_133911	848	155086	154238	1	MMSYN1_0119		1	MMSYN1_0118		2	MMSYN1_0119		isoform_operon
OP_00065	CP002027.1	+	155218	156712	5	3311	ISO_016545,ISO_016546,ISO_016568,ISO_016534,ISO_016579	1494	155218	156712	2	MMSYN1_0120,MMSYN1_0121	ilvA,	0			2	MMSYN1_0120,MMSYN1_0121	ilvA,	isoform_operon
OP_00066	CP002027.1	+	158296	159157	0	36		861	158296	159157	1	MMSYN1_0122		0			1	MMSYN1_0122		rescue_single
OP_00067	CP002027.1	+	159370	161939	80	27125	ISO_017030,ISO_017025,ISO_017143,ISO_017144,ISO_017148,ISO_017151,ISO_017201,ISO_017223,ISO_017264,ISO_017271,ISO_017281,ISO_017313,ISO_017320,ISO_017353,ISO_017399,ISO_017410,ISO_017422,ISO_017476,ISO_017488,ISO_017491,ISO_017497,ISO_017506,ISO_017512,ISO_017520,ISO_017527,ISO_017529,ISO_017537,ISO_017551,ISO_017550,ISO_017549,ISO_017572,ISO_017576,ISO_017581,ISO_017579,ISO_017593,ISO_017597,ISO_017599,ISO_017604,ISO_017609,ISO_017618,ISO_017640,ISO_017649,ISO_017657,ISO_017663,ISO_017661,ISO_017662,ISO_017677,ISO_017686,ISO_017689,ISO_017693,ISO_017695,ISO_017696,ISO_017701,ISO_017705,ISO_017707,ISO_017711,ISO_017719,ISO_017732,ISO_017736,ISO_017737,ISO_017740,ISO_017743,ISO_017744,ISO_017747,ISO_017756,ISO_017760,ISO_017758,ISO_017764,ISO_017767,ISO_017771,ISO_017783,ISO_017786,ISO_017804,ISO_017803,ISO_017817,ISO_017829,ISO_017827,ISO_017828,ISO_017833,ISO_017847	2569	159370	161939	2	MMSYN1_0123,MMSYN1_0124	vlcD,	0			2	MMSYN1_0123,MMSYN1_0124	vlcD,	isoform_operon
OP_00068	CP002027.1	-	159935	160903	1	71	ISO_133983	968	160903	159935	0			2	MMSYN1_0123,MMSYN1_0124	vlcD,	2			isoform_operon
OP_00069	CP002027.1	+	162011	169694	25	11022	ISO_017968,ISO_017996,ISO_017934,ISO_017998,ISO_017999,ISO_018002,ISO_018009,ISO_018012,ISO_017935,ISO_018020,ISO_018022,ISO_018036,ISO_018416,ISO_018557,ISO_018571,ISO_019109,ISO_019113,ISO_019118,ISO_019119,ISO_019107,ISO_019126,ISO_019127,ISO_019108,ISO_019681,ISO_019682	7683	162011	169694	6	MMSYN1_0125,MMSYN1_0126,MMSYN1_0127,MMSYN1_0128,MMSYN1_0129,MMSYN1_0130	,gltX,,,pyrG,	0			6	MMSYN1_0125,MMSYN1_0126,MMSYN1_0127,MMSYN1_0128,MMSYN1_0129,MMSYN1_0130	,gltX,,,pyrG,	isoform_operon_merged
OP_00070	CP002027.1	+	170115	174549	11	3548	ISO_019757,ISO_019761,ISO_019748,ISO_019792,ISO_019802,ISO_019830,ISO_020041,ISO_020092,ISO_020421,ISO_020426,ISO_020420	4434	170115	174549	3	MMSYN1_0131,MMSYN1_0132,MMSYN1_0133	fba,,	0			3	MMSYN1_0131,MMSYN1_0132,MMSYN1_0133	fba,,	isoform_operon
OP_00071	CP002027.1	-	174559	176145	1	290	ISO_134288	1586	176145	174559	1	MMSYN1_0134		0			1	MMSYN1_0134		isoform_operon
OP_00072	CP002027.1	+	176258	177123	1	71	ISO_020488	865	176258	177123	1	MMSYN1_0136		1	MMSYN1_0135		2	MMSYN1_0136		isoform_operon
OP_00073	CP002027.1	+	177522	182571	17	4121	ISO_020528,ISO_020529,ISO_020530,ISO_020531,ISO_020532,ISO_020684,ISO_020690,ISO_020701,ISO_020702,ISO_020858,ISO_020859,ISO_020901,ISO_020965,ISO_021398,ISO_021435,ISO_021616,ISO_021599	5049	177522	182571	6	MMSYN1_0137,MMSYN1_0138,MMSYN1_0139,MMSYN1_0140,MMSYN1_0141,MMSYN1_0142	rpmE,,,tdk,prfA,prmC	0			6	MMSYN1_0137,MMSYN1_0138,MMSYN1_0139,MMSYN1_0140,MMSYN1_0141,MMSYN1_0142	rpmE,,,tdk,prfA,prmC	isoform_operon_merged
OP_00074	CP002027.1	+	184648	186588	8	6234	ISO_022615,ISO_022632,ISO_022628,ISO_022774,ISO_022798,ISO_022773,ISO_022775,ISO_022813	1940	184648	186588	3	MMSYN1_0143,MMSYN1_0144,MMSYN1_0145	,,	0			3	MMSYN1_0143,MMSYN1_0144,MMSYN1_0145	,,	isoform_operon
OP_00075	CP002027.1	+	186591	188828	1	1	ISO_022947	2237	186591	188828	2	MMSYN1_0146,MMSYN1_0147	,	0			2	MMSYN1_0146,MMSYN1_0147	,	rescue_multiple
OP_00076	CP002027.1	+	188908	193382	58	23009	ISO_023031,ISO_023057,ISO_023058,ISO_023106,ISO_023111,ISO_023113,ISO_023135,ISO_023188,ISO_023189,ISO_023208,ISO_023263,ISO_023265,ISO_023266,ISO_023280,ISO_023314,ISO_023585,ISO_023615,ISO_023792,ISO_023809,ISO_023895,ISO_023998,ISO_024019,ISO_024148,ISO_024184,ISO_024192,ISO_024206,ISO_024216,ISO_024248,ISO_024373,ISO_024390,ISO_024478,ISO_024615,ISO_024638,ISO_024719,ISO_024808,ISO_024839,ISO_024862,ISO_024888,ISO_024950,ISO_024947,ISO_024951,ISO_024968,ISO_025321,ISO_025322,ISO_025323,ISO_025347,ISO_025517,ISO_025519,ISO_025525,ISO_025547,ISO_025541,ISO_025555,ISO_025576,ISO_025558,ISO_025565,ISO_025602,ISO_025605,ISO_025643	4474	188908	193382	4	MMSYN1_0148,MMSYN1_0149,MMSYN1_0150,MMSYN1_0151	rpsL,rpsG,fusA,tuf	0			4	MMSYN1_0148,MMSYN1_0149,MMSYN1_0150,MMSYN1_0151	rpsL,rpsG,fusA,tuf	isoform_operon
