isoform_id	chrom	strand	start0	end0	n_reads	pos5p_0	pos3p_0	intragenic_5p	intragenic_3p	category
ISO_000834	CP002027.1	+	5501	6670	16	5501	6669	False	True	3p_intragenic_only
ISO_000839	CP002027.1	+	5501	8210	26	5501	8209	False	True	3p_intragenic_only
ISO_000841	CP002027.1	+	5502	9976	14	5502	9975	False	False	unprocessed
ISO_000875	CP002027.1	+	5503	6670	10	5503	6669	False	True	3p_intragenic_only
ISO_001106	CP002027.1	+	5859	8210	15	5859	8209	True	True	both_intragenic
ISO_001107	CP002027.1	+	5859	8224	11	5859	8223	True	True	both_intragenic
ISO_116001	CP002027.1	-	6113	7099	33	7098	6113	False	False	unprocessed
ISO_001438	CP002027.1	+	6462	8210	10	6462	8209	True	True	both_intragenic
ISO_001548	CP002027.1	+	6573	8210	25	6573	8209	True	True	both_intragenic
ISO_001549	CP002027.1	+	6573	8224	25	6573	8223	True	True	both_intragenic
ISO_001560	CP002027.1	+	6573	9976	27	6573	9975	True	False	5p_intragenic_only
ISO_001706	CP002027.1	+	6785	8210	16	6785	8209	True	True	both_intragenic
ISO_001707	CP002027.1	+	6785	8224	12	6785	8223	True	True	both_intragenic
ISO_001971	CP002027.1	+	7207	9977	11	7207	9976	True	False	5p_intragenic_only
ISO_001991	CP002027.1	+	7225	8224	17	7225	8223	True	True	both_intragenic
ISO_001992	CP002027.1	+	7225	9977	36	7225	9976	True	False	5p_intragenic_only
ISO_001993	CP002027.1	+	7226	8210	10	7226	8209	True	True	both_intragenic
ISO_002017	CP002027.1	+	7238	8210	27	7238	8209	True	True	both_intragenic
ISO_002021	CP002027.1	+	7238	8224	24	7238	8223	True	True	both_intragenic
ISO_002004	CP002027.1	+	7238	8852	12	7238	8851	True	True	both_intragenic
ISO_002041	CP002027.1	+	7238	9928	19	7238	9927	True	True	both_intragenic
ISO_002013	CP002027.1	+	7238	9976	99	7238	9975	True	False	5p_intragenic_only
ISO_002104	CP002027.1	+	7321	9976	13	7321	9975	True	False	5p_intragenic_only
ISO_002112	CP002027.1	+	7347	9976	14	7347	9975	True	False	5p_intragenic_only
ISO_002145	CP002027.1	+	7422	9976	10	7422	9975	False	False	unprocessed
ISO_002167	CP002027.1	+	7423	9977	16	7423	9976	False	False	unprocessed
ISO_002188	CP002027.1	+	7478	9976	10	7478	9975	True	False	5p_intragenic_only
ISO_002191	CP002027.1	+	7488	9976	11	7488	9975	True	False	5p_intragenic_only
ISO_002217	CP002027.1	+	7570	9977	11	7570	9976	True	False	5p_intragenic_only
ISO_002266	CP002027.1	+	7686	9976	14	7686	9975	True	False	5p_intragenic_only
ISO_002272	CP002027.1	+	7697	9976	13	7697	9975	True	False	5p_intragenic_only
ISO_002276	CP002027.1	+	7711	9976	11	7711	9975	True	False	5p_intragenic_only
ISO_002316	CP002027.1	+	7803	9976	13	7803	9975	True	False	5p_intragenic_only
ISO_002326	CP002027.1	+	7820	9976	12	7820	9975	True	False	5p_intragenic_only
ISO_002341	CP002027.1	+	7895	9976	10	7895	9975	True	False	5p_intragenic_only
ISO_002370	CP002027.1	+	7991	9976	16	7991	9975	True	False	5p_intragenic_only
ISO_002376	CP002027.1	+	8002	9976	10	8002	9975	True	False	5p_intragenic_only
ISO_002381	CP002027.1	+	8015	9977	10	8015	9976	True	False	5p_intragenic_only
ISO_002383	CP002027.1	+	8023	9977	10	8023	9976	True	False	5p_intragenic_only
ISO_002415	CP002027.1	+	8118	9977	34	8118	9976	True	False	5p_intragenic_only
ISO_002424	CP002027.1	+	8136	9977	11	8136	9976	True	False	5p_intragenic_only
ISO_002446	CP002027.1	+	8188	9976	11	8188	9975	True	False	5p_intragenic_only
ISO_002489	CP002027.1	+	8330	9976	11	8330	9975	True	False	5p_intragenic_only
ISO_002522	CP002027.1	+	8388	9931	15	8388	9930	True	True	both_intragenic
ISO_002501	CP002027.1	+	8388	9976	68	8388	9975	True	False	5p_intragenic_only
ISO_002558	CP002027.1	+	8613	9976	10	8613	9975	True	False	5p_intragenic_only
ISO_002568	CP002027.1	+	8682	9977	11	8682	9976	True	False	5p_intragenic_only
ISO_002603	CP002027.1	+	8911	9976	69	8911	9975	True	False	5p_intragenic_only
ISO_002622	CP002027.1	+	9060	9977	15	9060	9976	True	False	5p_intragenic_only
ISO_116038	CP002027.1	-	9946	10981	11	10980	9946	True	False	5p_intragenic_only
ISO_116190	CP002027.1	-	11119	12235	12	12234	11119	True	True	both_intragenic
ISO_116489	CP002027.1	-	11119	13553	11	13552	11119	True	True	both_intragenic
ISO_116296	CP002027.1	-	11647	12638	10	12637	11647	True	True	both_intragenic
ISO_116299	CP002027.1	-	11647	12650	10	12649	11647	True	True	both_intragenic
ISO_116315	CP002027.1	-	11647	12733	10	12732	11647	True	True	both_intragenic
ISO_116320	CP002027.1	-	11647	12743	13	12742	11647	True	True	both_intragenic
ISO_116338	CP002027.1	-	11647	12818	22	12817	11647	True	True	both_intragenic
ISO_116373	CP002027.1	-	11647	12995	17	12994	11647	True	True	both_intragenic
ISO_116379	CP002027.1	-	11647	13026	22	13025	11647	True	True	both_intragenic
ISO_116393	CP002027.1	-	11647	13105	13	13104	11647	True	True	both_intragenic
ISO_116395	CP002027.1	-	11647	13110	12	13109	11647	True	True	both_intragenic
ISO_116408	CP002027.1	-	11647	13175	16	13174	11647	True	True	both_intragenic
ISO_116425	CP002027.1	-	11647	13237	22	13236	11647	True	True	both_intragenic
ISO_116430	CP002027.1	-	11647	13245	13	13244	11647	True	True	both_intragenic
ISO_116436	CP002027.1	-	11647	13269	10	13268	11647	True	True	both_intragenic
ISO_116445	CP002027.1	-	11647	13302	10	13301	11647	True	True	both_intragenic
ISO_116452	CP002027.1	-	11647	13349	15	13348	11647	True	True	both_intragenic
ISO_116465	CP002027.1	-	11647	13445	10	13444	11647	True	True	both_intragenic
ISO_116471	CP002027.1	-	11647	13472	12	13471	11647	True	True	both_intragenic
ISO_116475	CP002027.1	-	11647	13480	15	13479	11647	True	True	both_intragenic
ISO_116484	CP002027.1	-	11647	13547	57	13546	11647	True	True	both_intragenic
ISO_116490	CP002027.1	-	11647	13556	74	13555	11647	True	True	both_intragenic
ISO_116500	CP002027.1	-	11647	13566	22	13565	11647	True	True	both_intragenic
ISO_116503	CP002027.1	-	11647	13582	26	13581	11647	True	True	both_intragenic
ISO_116514	CP002027.1	-	11647	13605	10	13604	11647	True	True	both_intragenic
ISO_116516	CP002027.1	-	11647	13608	14	13607	11647	True	True	both_intragenic
ISO_116521	CP002027.1	-	11647	13623	19	13622	11647	True	True	both_intragenic
ISO_116528	CP002027.1	-	11647	13658	16	13657	11647	True	True	both_intragenic
ISO_116535	CP002027.1	-	11647	13677	17	13676	11647	True	True	both_intragenic
ISO_116537	CP002027.1	-	11647	13687	14	13686	11647	True	True	both_intragenic
ISO_116539	CP002027.1	-	11647	13702	17	13701	11647	True	True	both_intragenic
ISO_116541	CP002027.1	-	11647	13716	23	13715	11647	True	True	both_intragenic
ISO_116545	CP002027.1	-	11647	13725	12	13724	11647	True	True	both_intragenic
ISO_116548	CP002027.1	-	11647	13753	22	13752	11647	True	True	both_intragenic
ISO_116553	CP002027.1	-	11647	13776	12	13775	11647	True	True	both_intragenic
ISO_116559	CP002027.1	-	11647	13800	15	13799	11647	True	True	both_intragenic
ISO_116562	CP002027.1	-	11647	13812	47	13811	11647	True	True	both_intragenic
ISO_116568	CP002027.1	-	11647	13819	17	13818	11647	True	True	both_intragenic
ISO_116577	CP002027.1	-	11647	13889	11	13888	11647	True	True	both_intragenic
ISO_116578	CP002027.1	-	11647	13893	20	13892	11647	True	True	both_intragenic
ISO_116583	CP002027.1	-	11647	13903	14	13902	11647	True	True	both_intragenic
ISO_116586	CP002027.1	-	11647	13916	60	13915	11647	True	True	both_intragenic
ISO_116590	CP002027.1	-	11647	13932	19	13931	11647	True	True	both_intragenic
ISO_116596	CP002027.1	-	11647	13940	14	13939	11647	True	True	both_intragenic
ISO_116614	CP002027.1	-	11647	14031	12	14030	11647	True	True	both_intragenic
ISO_116615	CP002027.1	-	11647	14046	10	14045	11647	True	True	both_intragenic
ISO_116617	CP002027.1	-	11647	14054	13	14053	11647	True	True	both_intragenic
ISO_116620	CP002027.1	-	11647	14072	12	14071	11647	True	True	both_intragenic
ISO_116624	CP002027.1	-	11647	14100	13	14099	11647	True	True	both_intragenic
ISO_116628	CP002027.1	-	11647	14110	26	14109	11647	True	True	both_intragenic
ISO_116632	CP002027.1	-	11647	14122	23	14121	11647	True	True	both_intragenic
ISO_116641	CP002027.1	-	11647	14171	20	14170	11647	True	True	both_intragenic
ISO_116649	CP002027.1	-	11647	14201	11	14200	11647	True	True	both_intragenic
ISO_116652	CP002027.1	-	11647	14215	14	14214	11647	True	True	both_intragenic
ISO_116655	CP002027.1	-	11647	14228	14	14227	11647	True	True	both_intragenic
ISO_116661	CP002027.1	-	11647	14238	17	14237	11647	True	True	both_intragenic
ISO_116663	CP002027.1	-	11647	14249	10	14248	11647	True	True	both_intragenic
ISO_116664	CP002027.1	-	11647	14265	29	14264	11647	True	True	both_intragenic
ISO_116672	CP002027.1	-	11647	14292	13	14291	11647	True	True	both_intragenic
ISO_116690	CP002027.1	-	11647	14406	17	14405	11647	True	True	both_intragenic
ISO_116769	CP002027.1	-	11647	14810	21	14809	11647	True	True	both_intragenic
ISO_116785	CP002027.1	-	11647	14868	15	14867	11647	True	True	both_intragenic
ISO_116818	CP002027.1	-	11647	15006	18	15005	11647	True	True	both_intragenic
ISO_116826	CP002027.1	-	11647	15012	11	15011	11647	True	True	both_intragenic
ISO_116912	CP002027.1	-	11647	15288	12	15287	11647	True	True	both_intragenic
ISO_116980	CP002027.1	-	11647	15587	19	15586	11647	True	True	both_intragenic
ISO_117035	CP002027.1	-	11647	15721	19	15720	11647	True	True	both_intragenic
ISO_117363	CP002027.1	-	11647	16810	126	16809	11647	False	True	3p_intragenic_only
ISO_116492	CP002027.1	-	11650	13556	11	13555	11650	True	True	both_intragenic
ISO_117375	CP002027.1	-	13564	16812	39	16811	13564	False	True	3p_intragenic_only
ISO_117376	CP002027.1	-	13638	16812	15	16811	13638	False	True	3p_intragenic_only
ISO_117377	CP002027.1	-	13768	16812	20	16811	13768	False	True	3p_intragenic_only
ISO_117380	CP002027.1	-	13986	16812	25	16811	13986	False	True	3p_intragenic_only
ISO_117360	CP002027.1	-	15138	16810	14	16809	15138	False	True	3p_intragenic_only
ISO_117387	CP002027.1	-	15138	16812	19	16811	15138	False	True	3p_intragenic_only
ISO_117367	CP002027.1	-	15352	16812	11	16811	15352	False	True	3p_intragenic_only
ISO_117361	CP002027.1	-	15363	16810	71	16809	15363	False	True	3p_intragenic_only
ISO_117400	CP002027.1	-	15363	16812	83	16811	15363	False	True	3p_intragenic_only
ISO_117391	CP002027.1	-	15375	16811	34	16810	15375	False	True	3p_intragenic_only
ISO_117362	CP002027.1	-	15537	16812	217	16811	15537	False	True	3p_intragenic_only
ISO_117656	CP002027.1	-	15537	18528	27	18527	15537	False	True	3p_intragenic_only
ISO_117648	CP002027.1	-	16853	18528	21	18527	16853	False	False	unprocessed
ISO_117681	CP002027.1	-	16887	18528	10	18527	16887	False	False	unprocessed
ISO_117641	CP002027.1	-	16955	18528	313	18527	16955	False	False	unprocessed
ISO_117683	CP002027.1	-	16968	18528	12	18527	16968	False	False	unprocessed
ISO_117685	CP002027.1	-	16998	18528	20	18527	16998	False	True	3p_intragenic_only
ISO_117687	CP002027.1	-	17018	18528	36	18527	17018	False	True	3p_intragenic_only
ISO_117642	CP002027.1	-	17040	18528	305	18527	17040	False	True	3p_intragenic_only
ISO_117689	CP002027.1	-	17045	18528	14	18527	17045	False	True	3p_intragenic_only
ISO_117643	CP002027.1	-	17213	18528	12	18527	17213	False	True	3p_intragenic_only
ISO_117619	CP002027.1	-	17218	18439	11	18438	17218	True	True	both_intragenic
ISO_117640	CP002027.1	-	17218	18526	101	18525	17218	False	True	3p_intragenic_only
ISO_117700	CP002027.1	-	17218	18528	1886	18527	17218	False	True	3p_intragenic_only
ISO_117726	CP002027.1	-	17218	18584	19	18583	17218	False	True	3p_intragenic_only
ISO_117754	CP002027.1	-	17218	19452	24	19451	17218	False	True	3p_intragenic_only
ISO_117644	CP002027.1	-	17270	18527	10	18526	17270	False	True	3p_intragenic_only
ISO_117645	CP002027.1	-	17313	18528	16	18527	17313	False	True	3p_intragenic_only
ISO_117705	CP002027.1	-	17365	18528	10	18527	17365	False	True	3p_intragenic_only
ISO_002721	CP002027.1	+	18313	19538	16	18313	19537	False	True	3p_intragenic_only
ISO_002731	CP002027.1	+	18313	20919	27	18313	20918	False	True	3p_intragenic_only
ISO_002759	CP002027.1	+	18594	20919	31	18594	20918	False	True	3p_intragenic_only
ISO_002786	CP002027.1	+	18689	20767	13	18689	20766	False	True	3p_intragenic_only
ISO_002791	CP002027.1	+	18689	20918	68	18689	20917	False	True	3p_intragenic_only
ISO_002792	CP002027.1	+	18689	20937	18	18689	20936	False	True	3p_intragenic_only
ISO_002944	CP002027.1	+	20048	20918	11	20048	20917	True	True	both_intragenic
ISO_002947	CP002027.1	+	20048	21674	12	20048	21673	True	True	both_intragenic
ISO_002970	CP002027.1	+	20161	21674	11	20161	21673	True	True	both_intragenic
ISO_003002	CP002027.1	+	20382	23380	11	20382	23379	True	True	both_intragenic
ISO_003168	CP002027.1	+	21240	23380	10	21240	23379	True	True	both_intragenic
ISO_003200	CP002027.1	+	21419	23380	17	21419	23379	True	True	both_intragenic
ISO_003246	CP002027.1	+	21648	22472	26	21648	22471	True	True	both_intragenic
ISO_003260	CP002027.1	+	21648	22484	10	21648	22483	True	True	both_intragenic
ISO_003264	CP002027.1	+	21648	22636	26	21648	22635	True	True	both_intragenic
ISO_003247	CP002027.1	+	21648	22721	23	21648	22720	True	True	both_intragenic
ISO_003267	CP002027.1	+	21648	22732	17	21648	22731	True	True	both_intragenic
ISO_003268	CP002027.1	+	21648	22798	11	21648	22797	True	True	both_intragenic
ISO_003245	CP002027.1	+	21648	23380	626	21648	23379	True	True	both_intragenic
ISO_003252	CP002027.1	+	21648	23394	99	21648	23393	True	False	5p_intragenic_only
ISO_003253	CP002027.1	+	21648	23402	47	21648	23401	True	False	5p_intragenic_only
ISO_003259	CP002027.1	+	21648	23413	23	21648	23412	True	True	both_intragenic
ISO_003256	CP002027.1	+	21648	24084	449	21648	24083	True	True	both_intragenic
ISO_003257	CP002027.1	+	21648	24095	45	21648	24094	True	True	both_intragenic
ISO_003312	CP002027.1	+	21648	24108	25	21648	24107	True	True	both_intragenic
ISO_003387	CP002027.1	+	21922	23380	18	21922	23379	True	True	both_intragenic
ISO_003389	CP002027.1	+	21922	24091	11	21922	24090	True	True	both_intragenic
ISO_003479	CP002027.1	+	22328	24084	16	22328	24083	True	True	both_intragenic
ISO_003490	CP002027.1	+	22360	23380	25	22360	23379	True	True	both_intragenic
ISO_003489	CP002027.1	+	22361	24084	24	22361	24083	True	True	both_intragenic
ISO_003523	CP002027.1	+	22439	24088	19	22439	24087	True	True	both_intragenic
ISO_003559	CP002027.1	+	22568	24084	10	22568	24083	True	True	both_intragenic
ISO_003584	CP002027.1	+	22675	24084	23	22675	24083	True	True	both_intragenic
ISO_003605	CP002027.1	+	22757	24086	12	22757	24085	True	True	both_intragenic
ISO_003616	CP002027.1	+	22779	24084	17	22779	24083	True	True	both_intragenic
ISO_003627	CP002027.1	+	22788	24084	14	22788	24083	True	True	both_intragenic
ISO_003691	CP002027.1	+	23162	24084	10	23162	24083	True	True	both_intragenic
ISO_003881	CP002027.1	+	24179	25214	21	24179	25213	True	False	5p_intragenic_only
ISO_117949	CP002027.1	-	25237	26300	26	26299	25237	False	False	unprocessed
ISO_117959	CP002027.1	-	25237	26321	100	26320	25237	False	False	unprocessed
ISO_118157	CP002027.1	-	25237	27561	12	27560	25237	False	False	unprocessed
ISO_118119	CP002027.1	-	25238	27549	187	27548	25238	False	False	unprocessed
ISO_118105	CP002027.1	-	25239	27538	47	27537	25239	False	False	unprocessed
ISO_118198	CP002027.1	-	25239	28328	14	28327	25239	False	False	unprocessed
ISO_003972	CP002027.1	+	25279	28408	11	25279	28407	False	False	unprocessed
ISO_118116	CP002027.1	-	25323	27546	11	27545	25323	False	False	unprocessed
ISO_118114	CP002027.1	-	25335	27549	41	27548	25335	False	False	unprocessed
ISO_118200	CP002027.1	-	25335	28327	12	28326	25335	False	False	unprocessed
ISO_118103	CP002027.1	-	25336	27538	15	27537	25336	False	False	unprocessed
ISO_004087	CP002027.1	+	26309	28405	20	26309	28404	False	False	unprocessed
ISO_004107	CP002027.1	+	26541	28435	30	26541	28434	False	False	unprocessed
ISO_004136	CP002027.1	+	27121	28405	278	27121	28404	False	False	unprocessed
ISO_004138	CP002027.1	+	27121	28435	81	27121	28434	False	False	unprocessed
ISO_004140	CP002027.1	+	27121	28630	33	27121	28629	False	False	unprocessed
ISO_004164	CP002027.1	+	27522	28244	22	27522	28243	False	False	unprocessed
ISO_004161	CP002027.1	+	27522	28405	16643	27522	28404	False	False	unprocessed
ISO_004171	CP002027.1	+	27522	28417	289	27522	28416	False	False	unprocessed
ISO_004172	CP002027.1	+	27522	28426	19	27522	28425	False	False	unprocessed
ISO_004173	CP002027.1	+	27522	28435	6273	27522	28434	False	False	unprocessed
ISO_004174	CP002027.1	+	27522	28446	10	27522	28445	False	False	unprocessed
ISO_004184	CP002027.1	+	27522	28595	18	27522	28594	False	False	unprocessed
ISO_004185	CP002027.1	+	27522	28604	26	27522	28603	False	False	unprocessed
ISO_004186	CP002027.1	+	27522	28625	539	27522	28624	False	False	unprocessed
ISO_004187	CP002027.1	+	27522	28630	7005	27522	28629	False	False	unprocessed
ISO_004189	CP002027.1	+	27522	28655	34	27522	28654	False	False	unprocessed
ISO_004190	CP002027.1	+	27522	28668	176	27522	28667	False	False	unprocessed
ISO_004193	CP002027.1	+	27522	28701	56	27522	28700	False	False	unprocessed
ISO_004198	CP002027.1	+	27522	28771	20	27522	28770	False	False	unprocessed
ISO_004199	CP002027.1	+	27522	28791	12	27522	28790	False	False	unprocessed
ISO_004202	CP002027.1	+	27522	28833	10	27522	28832	False	False	unprocessed
ISO_004207	CP002027.1	+	27522	28888	13	27522	28887	False	False	unprocessed
ISO_004208	CP002027.1	+	27522	28893	46	27522	28892	False	False	unprocessed
ISO_004210	CP002027.1	+	27522	28920	39	27522	28919	False	False	unprocessed
ISO_004211	CP002027.1	+	27522	28935	35	27522	28934	False	False	unprocessed
ISO_004221	CP002027.1	+	27532	28408	13	27532	28407	False	False	unprocessed
ISO_004244	CP002027.1	+	27657	28408	16	27657	28407	False	False	unprocessed
ISO_004321	CP002027.1	+	28981	30100	58	28981	30099	False	True	3p_intragenic_only
ISO_004299	CP002027.1	+	28981	30114	246	28981	30113	False	True	3p_intragenic_only
ISO_004300	CP002027.1	+	28981	30189	3731	28981	30188	False	True	3p_intragenic_only
ISO_004334	CP002027.1	+	28981	30343	102	28981	30342	False	True	3p_intragenic_only
ISO_004346	CP002027.1	+	28981	30551	15	28981	30550	False	True	3p_intragenic_only
ISO_004353	CP002027.1	+	28981	30661	11	28981	30660	False	True	3p_intragenic_only
ISO_004362	CP002027.1	+	28981	30785	12	28981	30784	False	True	3p_intragenic_only
ISO_004397	CP002027.1	+	28981	31315	13	28981	31314	False	False	unprocessed
ISO_004302	CP002027.1	+	28981	31378	6061	28981	31377	False	False	unprocessed
ISO_004303	CP002027.1	+	28981	31382	1474	28981	31381	False	False	unprocessed
ISO_004401	CP002027.1	+	28981	31390	12	28981	31389	False	False	unprocessed
ISO_004408	CP002027.1	+	28981	31514	16	28981	31513	False	False	unprocessed
ISO_004437	CP002027.1	+	28981	32080	11	28981	32079	False	True	3p_intragenic_only
ISO_004492	CP002027.1	+	28981	35233	26	28981	35232	False	False	unprocessed
ISO_004495	CP002027.1	+	28996	31378	12	28996	31377	False	False	unprocessed
ISO_004500	CP002027.1	+	29007	30189	15	29007	30188	False	True	3p_intragenic_only
ISO_004501	CP002027.1	+	29007	31378	40	29007	31377	False	False	unprocessed
ISO_004508	CP002027.1	+	29022	31378	22	29022	31377	False	False	unprocessed
ISO_004512	CP002027.1	+	29034	31378	16	29034	31377	False	False	unprocessed
ISO_004513	CP002027.1	+	29037	30189	11	29037	30188	False	True	3p_intragenic_only
ISO_004514	CP002027.1	+	29045	31378	11	29045	31377	False	False	unprocessed
ISO_004516	CP002027.1	+	29046	30191	12	29046	30190	False	True	3p_intragenic_only
ISO_118272	CP002027.1	-	29050	30486	11	30485	29050	False	False	unprocessed
ISO_004517	CP002027.1	+	29052	31378	29	29052	31377	False	False	unprocessed
ISO_004519	CP002027.1	+	29065	30189	24	29065	30188	False	True	3p_intragenic_only
ISO_004520	CP002027.1	+	29066	31378	72	29066	31377	False	False	unprocessed
ISO_004535	CP002027.1	+	29098	31378	10	29098	31377	False	False	unprocessed
ISO_004537	CP002027.1	+	29109	31378	12	29109	31377	False	False	unprocessed
ISO_118274	CP002027.1	-	29130	30486	13	30485	29130	False	False	unprocessed
ISO_004543	CP002027.1	+	29141	31378	24	29141	31377	False	False	unprocessed
ISO_004544	CP002027.1	+	29144	30189	19	29144	30188	False	True	3p_intragenic_only
ISO_004545	CP002027.1	+	29148	31378	20	29148	31377	False	False	unprocessed
ISO_004548	CP002027.1	+	29154	30100	46	29154	30099	False	True	3p_intragenic_only
ISO_004549	CP002027.1	+	29154	30114	290	29154	30113	False	True	3p_intragenic_only
ISO_004557	CP002027.1	+	29154	30189	4719	29154	30188	False	True	3p_intragenic_only
ISO_004558	CP002027.1	+	29154	30197	122	29154	30196	False	True	3p_intragenic_only
ISO_004565	CP002027.1	+	29154	30345	185	29154	30344	False	True	3p_intragenic_only
ISO_004577	CP002027.1	+	29154	30670	12	29154	30669	False	True	3p_intragenic_only
ISO_004547	CP002027.1	+	29154	30710	19	29154	30709	False	True	3p_intragenic_only
ISO_004579	CP002027.1	+	29154	30736	10	29154	30735	False	True	3p_intragenic_only
ISO_004550	CP002027.1	+	29154	31378	15639	29154	31377	False	False	unprocessed
