orfs	isoform_id	n_reads	strand	n_orfs	n_with_stop	n_without_stop
MMSYN1_0012✗	ISO_117705	10	-	1	0	1
MMSYN1_0013✗	ISO_002721	16	+	1	0	1
MMSYN1_0013✓ MMSYN1_0014✗	ISO_002731	27	+	2	1	1
MMSYN1_0013✓ MMSYN1_0014✗	ISO_002759	31	+	2	1	1
MMSYN1_0013✓ MMSYN1_0014✗	ISO_002786	13	+	2	1	1
MMSYN1_0013✓ MMSYN1_0014✗	ISO_002791	68	+	2	1	1
MMSYN1_0013✓ MMSYN1_0014✗	ISO_002792	18	+	2	1	1
MMSYN1_0014✗	ISO_002944	11	+	1	0	1
MMSYN1_0014✗	ISO_002947	12	+	1	0	1
MMSYN1_0014✗	ISO_002970	11	+	1	0	1
MMSYN1_0015✗	ISO_003002	11	+	1	0	1
MMSYN1_0015✗	ISO_003168	10	+	1	0	1
MMSYN1_0015✗	ISO_003200	17	+	1	0	1
MMSYN1_0015✗	ISO_003246	26	+	1	0	1
MMSYN1_0015✗	ISO_003260	10	+	1	0	1
MMSYN1_0015✗	ISO_003264	26	+	1	0	1
MMSYN1_0015✗	ISO_003247	23	+	1	0	1
MMSYN1_0015✗	ISO_003267	17	+	1	0	1
MMSYN1_0015✗	ISO_003268	11	+	1	0	1
MMSYN1_0015✗	ISO_003245	626	+	1	0	1
MMSYN1_0015✓	ISO_003252	99	+	1	1	0
MMSYN1_0015✓	ISO_003253	47	+	1	1	0
MMSYN1_0015✓ MMSYN1_0016✗	ISO_003259	23	+	2	1	1
MMSYN1_0015✓ MMSYN1_0016✗	ISO_003256	449	+	2	1	1
MMSYN1_0015✓ MMSYN1_0016✗	ISO_003257	45	+	2	1	1
MMSYN1_0015✓ MMSYN1_0016✗	ISO_003312	25	+	2	1	1
MMSYN1_0016✗	ISO_003389	11	+	1	0	1
MMSYN1_0016✗	ISO_003479	16	+	1	0	1
MMSYN1_0016✗	ISO_003489	24	+	1	0	1
MMSYN1_0016✗	ISO_003523	19	+	1	0	1
MMSYN1_0016✗	ISO_003559	10	+	1	0	1
MMSYN1_0016✗	ISO_003584	23	+	1	0	1
MMSYN1_0016✗	ISO_003605	12	+	1	0	1
MMSYN1_0016✗	ISO_003616	17	+	1	0	1
MMSYN1_0016✗	ISO_003627	14	+	1	0	1
MMSYN1_0016✗	ISO_003691	10	+	1	0	1
MMSYN1_0914✓	ISO_117949	26	-	1	1	0
MMSYN1_0914✓	ISO_117959	100	-	1	1	0
MMSYN1_0917✓ MMSYN1_0914✓	ISO_118157	12	-	2	2	0
MMSYN1_0917✓ MMSYN1_0914✓	ISO_118119	187	-	2	2	0
MMSYN1_0917✓ MMSYN1_0914✓	ISO_118105	47	-	2	2	0
MMSYN1_0918✓ MMSYN1_0917✓ MMSYN1_0914✓	ISO_118198	14	-	3	3	0
MMSYN1_0917✓ MMSYN1_0914✓	ISO_118116	11	-	2	2	0
MMSYN1_0917✓ MMSYN1_0914✓	ISO_118114	41	-	2	2	0
MMSYN1_0918✓ MMSYN1_0917✓ MMSYN1_0914✓	ISO_118200	12	-	3	3	0
MMSYN1_0917✓ MMSYN1_0914✓	ISO_118103	15	-	2	2	0
MMSYN1_0913✗	ISO_004321	58	+	1	0	1
MMSYN1_0913✗	ISO_004299	246	+	1	0	1
MMSYN1_0913✗	ISO_004300	3731	+	1	0	1
MMSYN1_0913✗	ISO_004334	102	+	1	0	1
MMSYN1_0913✗	ISO_004346	15	+	1	0	1
MMSYN1_0913✗	ISO_004353	11	+	1	0	1
MMSYN1_0913✗	ISO_004362	12	+	1	0	1
MMSYN1_0913✓	ISO_004397	13	+	1	1	0
MMSYN1_0913✓	ISO_004302	6061	+	1	1	0
MMSYN1_0913✓	ISO_004303	1474	+	1	1	0
MMSYN1_0913✓	ISO_004401	12	+	1	1	0
MMSYN1_0913✓	ISO_004408	16	+	1	1	0
MMSYN1_0913✓ MMSYN1_0915✗	ISO_004437	11	+	2	1	1
MMSYN1_0913✓ MMSYN1_0915✓	ISO_004492	26	+	2	2	0
MMSYN1_0913✓	ISO_004495	12	+	1	1	0
MMSYN1_0913✗	ISO_004500	15	+	1	0	1
MMSYN1_0913✓	ISO_004501	40	+	1	1	0
MMSYN1_0913✓	ISO_004508	22	+	1	1	0
MMSYN1_0913✓	ISO_004512	16	+	1	1	0
MMSYN1_0913✗	ISO_004513	11	+	1	0	1
MMSYN1_0913✓	ISO_004514	11	+	1	1	0
MMSYN1_0913✗	ISO_004516	12	+	1	0	1
MMSYN1_0913✓	ISO_004517	29	+	1	1	0
MMSYN1_0913✗	ISO_004519	24	+	1	0	1
MMSYN1_0913✓	ISO_004520	72	+	1	1	0
MMSYN1_0913✓	ISO_004535	10	+	1	1	0
MMSYN1_0913✓	ISO_004537	12	+	1	1	0
MMSYN1_0913✓	ISO_004543	24	+	1	1	0
MMSYN1_0913✗	ISO_004544	19	+	1	0	1
MMSYN1_0913✓	ISO_004545	20	+	1	1	0
MMSYN1_0913✗	ISO_004548	46	+	1	0	1
MMSYN1_0913✗	ISO_004549	290	+	1	0	1
MMSYN1_0913✗	ISO_004557	4719	+	1	0	1
MMSYN1_0913✗	ISO_004558	122	+	1	0	1
MMSYN1_0913✗	ISO_004565	185	+	1	0	1
MMSYN1_0913✗	ISO_004577	12	+	1	0	1
MMSYN1_0913✗	ISO_004547	19	+	1	0	1
MMSYN1_0913✗	ISO_004579	10	+	1	0	1
MMSYN1_0913✓	ISO_004550	15639	+	1	1	0
MMSYN1_0913✓	ISO_004551	4144	+	1	1	0
MMSYN1_0913✓	ISO_004616	17	+	1	1	0
MMSYN1_0913✓	ISO_004617	30	+	1	1	0
MMSYN1_0913✓ MMSYN1_0915✗	ISO_004629	13	+	2	1	1
MMSYN1_0913✓ MMSYN1_0915✗	ISO_004630	19	+	2	1	1
MMSYN1_0913✓ MMSYN1_0915✗	ISO_004653	18	+	2	1	1
MMSYN1_0913✓ MMSYN1_0915✓	ISO_004693	27	+	2	2	0
MMSYN1_0913✓ MMSYN1_0915✓	ISO_004697	118	+	2	2	0
MMSYN1_0913✓	ISO_004607	15	+	1	1	0
MMSYN1_0913✓	ISO_004609	15	+	1	1	0
MMSYN1_0913✓	ISO_004612	37	+	1	1	0
MMSYN1_0913✓	ISO_004613	10	+	1	1	0
MMSYN1_0913✓ MMSYN1_0915✗	ISO_004646	30	+	2	1	1
MMSYN1_0913✓	ISO_004611	21	+	1	1	0
MMSYN1_0913✓	ISO_004770	68	+	1	1	0
MMSYN1_0913✗	ISO_004775	13	+	1	0	1
MMSYN1_0913✓	ISO_004772	24	+	1	1	0
MMSYN1_0913✓	ISO_004779	40	+	1	1	0
MMSYN1_0913✗	ISO_004780	60	+	1	0	1
MMSYN1_0913✓	ISO_004781	147	+	1	1	0
MMSYN1_0913✓	ISO_004794	53	+	1	1	0
MMSYN1_0913✗	ISO_004798	24	+	1	0	1
MMSYN1_0913✓	ISO_004800	127	+	1	1	0
MMSYN1_0913✗	ISO_004809	12	+	1	0	1
MMSYN1_0913✓	ISO_004806	39	+	1	1	0
MMSYN1_0913✓	ISO_004815	15	+	1	1	0
MMSYN1_0913✓	ISO_004819	21	+	1	1	0
MMSYN1_0913✓	ISO_004825	41	+	1	1	0
MMSYN1_0913✓	ISO_004829	24	+	1	1	0
MMSYN1_0913✓	ISO_004837	20	+	1	1	0
MMSYN1_0915✓	ISO_004959	11	+	1	1	0
MMSYN1_0915✓	ISO_005131	16	+	1	1	0
MMSYN1_0915✓	ISO_005814	11	+	1	1	0
MMSYN1_0915✓	ISO_005848	13	+	1	1	0
MMSYN1_0915✓	ISO_005849	77	+	1	1	0
MMSYN1_0915✓	ISO_005949	17	+	1	1	0
MMSYN1_0915✓	ISO_005965	15	+	1	1	0
MMSYN1_0915✓	ISO_006023	10	+	1	1	0
MMSYN1_0915✓	ISO_006029	21	+	1	1	0
MMSYN1_0915✓	ISO_006035	11	+	1	1	0
MMSYN1_0915✓	ISO_006043	113	+	1	1	0
MMSYN1_0915✓	ISO_006087	11	+	1	1	0
MMSYN1_0915✓	ISO_006096	10	+	1	1	0
MMSYN1_0915✓	ISO_006133	15	+	1	1	0
MMSYN1_0915✓	ISO_006174	16	+	1	1	0
MMSYN1_0915✓	ISO_006195	11	+	1	1	0
MMSYN1_0915✓	ISO_006230	15	+	1	1	0
MMSYN1_0915✓	ISO_006276	10	+	1	1	0
MMSYN1_0915✓	ISO_006289	30	+	1	1	0
MMSYN1_0915✓	ISO_006295	10	+	1	1	0
MMSYN1_0915✓	ISO_006312	11	+	1	1	0
MMSYN1_0915✗	ISO_006367	10	+	1	0	1
MMSYN1_0915✗	ISO_006383	10	+	1	0	1
MMSYN1_0915✗	ISO_006389	11	+	1	0	1
MMSYN1_0915✗	ISO_006394	17	+	1	0	1
MMSYN1_0915✗	ISO_006397	14	+	1	0	1
MMSYN1_0915✗	ISO_006407	11	+	1	0	1
MMSYN1_0915✗	ISO_006408	52	+	1	0	1
MMSYN1_0915✗	ISO_006414	10	+	1	0	1
MMSYN1_0915✗	ISO_006434	20	+	1	0	1
MMSYN1_0915✗	ISO_006436	11	+	1	0	1
MMSYN1_0915✗	ISO_006437	20	+	1	0	1
MMSYN1_0915✗	ISO_006444	10	+	1	0	1
MMSYN1_0915✗	ISO_006449	16	+	1	0	1
MMSYN1_0915✗	ISO_006451	18	+	1	0	1
MMSYN1_0915✗	ISO_006452	10	+	1	0	1
MMSYN1_0915✗	ISO_006459	15	+	1	0	1
MMSYN1_0915✗	ISO_006478	24	+	1	0	1
MMSYN1_0915✗	ISO_006491	10	+	1	0	1
MMSYN1_0915✓	ISO_006551	28	+	1	1	0
MMSYN1_0915✓	ISO_006552	12	+	1	1	0
MMSYN1_0915✗	ISO_006375	13	+	1	0	1
MMSYN1_0915✗	ISO_006376	25	+	1	0	1
MMSYN1_0915✗	ISO_006384	12	+	1	0	1
MMSYN1_0915✗	ISO_006393	25	+	1	0	1
MMSYN1_0915✗	ISO_006400	16	+	1	0	1
MMSYN1_0915✗	ISO_006402	17	+	1	0	1
MMSYN1_0915✗	ISO_006404	13	+	1	0	1
MMSYN1_0915✗	ISO_006410	15	+	1	0	1
MMSYN1_0915✗	ISO_006417	14	+	1	0	1
MMSYN1_0915✗	ISO_006418	11	+	1	0	1
MMSYN1_0915✗	ISO_006420	13	+	1	0	1
MMSYN1_0915✗	ISO_006423	11	+	1	0	1
MMSYN1_0915✗	ISO_006424	14	+	1	0	1
MMSYN1_0915✗	ISO_006428	12	+	1	0	1
MMSYN1_0915✗	ISO_006429	15	+	1	0	1
MMSYN1_0915✗	ISO_006430	25	+	1	0	1
MMSYN1_0915✗	ISO_006431	18	+	1	0	1
MMSYN1_0915✗	ISO_006433	16	+	1	0	1
MMSYN1_0915✗	ISO_006435	11	+	1	0	1
MMSYN1_0915✗	ISO_006441	13	+	1	0	1
MMSYN1_0915✗	ISO_006443	14	+	1	0	1
MMSYN1_0915✗	ISO_006447	11	+	1	0	1
MMSYN1_0915✗	ISO_006453	13	+	1	0	1
MMSYN1_0915✗	ISO_006455	16	+	1	0	1
MMSYN1_0915✗	ISO_006469	12	+	1	0	1
MMSYN1_0915✗	ISO_006475	16	+	1	0	1
MMSYN1_0915✗	ISO_006476	10	+	1	0	1
MMSYN1_0915✗	ISO_006493	17	+	1	0	1
MMSYN1_0915✗	ISO_006496	12	+	1	0	1
MMSYN1_0915✗	ISO_006506	10	+	1	0	1
MMSYN1_0915✗	ISO_006507	42	+	1	0	1
MMSYN1_0915✗	ISO_006511	10	+	1	0	1
MMSYN1_0915✗	ISO_006513	13	+	1	0	1
MMSYN1_0915✗	ISO_006518	12	+	1	0	1
MMSYN1_0915✓	ISO_006539	17	+	1	1	0
MMSYN1_0915✓	ISO_006540	34	+	1	1	0
MMSYN1_0915✓	ISO_006541	515	+	1	1	0
MMSYN1_0915✓	ISO_006366	3865	+	1	1	0
MMSYN1_0915✓	ISO_006630	19	+	1	1	0
MMSYN1_0915✓	ISO_006637	15	+	1	1	0
MMSYN1_0915✓	ISO_006663	10	+	1	1	0
MMSYN1_0915✓	ISO_006666	72	+	1	1	0
MMSYN1_0915✓	ISO_006674	22	+	1	1	0
MMSYN1_0915✓	ISO_006691	20	+	1	1	0
MMSYN1_0915✓	ISO_006705	13	+	1	1	0
MMSYN1_0915✓	ISO_006710	34	+	1	1	0
MMSYN1_0915✓	ISO_006723	37	+	1	1	0
MMSYN1_0922✓	ISO_009271	211	+	1	1	0
MMSYN1_0020✓ MMSYN1_0019✓	ISO_118477	106	-	2	2	0
MMSYN1_0020✓ MMSYN1_0019✓	ISO_118497	10	-	2	2	0
MMSYN1_0020✓ MMSYN1_0019✗	ISO_118476	106	-	2	1	1
MMSYN1_0020✓ MMSYN1_0019✗	ISO_118480	133	-	2	1	1
MMSYN1_0020✗	ISO_118481	60	-	1	0	1
MMSYN1_0023✗	ISO_118657	45	-	1	0	1
MMSYN1_0023✗	ISO_118680	16	-	1	0	1
MMSYN1_0023✗	ISO_118658	11	-	1	0	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✓	ISO_118912	12	-	3	3	0
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✓	ISO_118921	22	-	3	3	0
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✓	ISO_118929	2374	-	3	3	0
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✓	ISO_118941	30	-	3	3	0
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118945	15	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118930	18	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118934	40	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118931	135	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118932	948	-	3	2	1
MMSYN1_0028✓ MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118996	14	-	4	3	1
MMSYN1_0026✓ MMSYN1_0025✗	ISO_118884	12	-	2	1	1
MMSYN1_0026✓ MMSYN1_0025✗	ISO_118886	16	-	2	1	1
MMSYN1_0026✓ MMSYN1_0025✗	ISO_118888	11	-	2	1	1
MMSYN1_0026✓ MMSYN1_0025✗	ISO_118896	15	-	2	1	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118911	32	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118915	17	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118920	16	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118928	14348	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118964	12	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118966	56	-	3	2	1
MMSYN1_0028✓ MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118985	11	-	4	3	1
MMSYN1_0028✓ MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118997	286	-	4	3	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118918	61	-	3	2	1
MMSYN1_0026✓ MMSYN1_0025✗	ISO_118877	16	-	2	1	1
MMSYN1_0026✓ MMSYN1_0025✗	ISO_118882	13	-	2	1	1
MMSYN1_0026✓ MMSYN1_0025✗	ISO_118893	14	-	2	1	1
MMSYN1_0026✓ MMSYN1_0025✗	ISO_118899	43	-	2	1	1
MMSYN1_0026✓ MMSYN1_0025✗	ISO_118902	13	-	2	1	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118909	12	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118916	17	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118923	99	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118927	38	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118933	14920	-	3	2	1
MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118965	10	-	3	2	1
MMSYN1_0028✓ MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118986	12	-	4	3	1
MMSYN1_0028✓ MMSYN1_0027✓ MMSYN1_0026✓ MMSYN1_0025✗	ISO_118998	280	-	4	3	1
MMSYN1_0027✓ MMSYN1_0026✗	ISO_118958	12	-	2	1	1
MMSYN1_0027✓ MMSYN1_0026✗	ISO_118936	77	-	2	1	1
MMSYN1_0027✓ MMSYN1_0026✗	ISO_118937	14	-	2	1	1
MMSYN1_0029✓	ISO_009619	11	+	1	1	0
