S1	E1	S2	E2	LEN1	LEN2	%IDY	LENR	LENQ	COVR	COVQ	TAGR	TAGQ
197591	199189	311664	313262	1599	1599	100.00	1078809	543379	0.15	0.29	CP002027.1	CP016816.2
203735	204413	104638	105316	679	679	100.00	1078809	543379	0.06	0.12	CP002027.1	CP016816.2
209415	222394	105316	118296	12980	12981	99.98	1078809	543379	1.20	2.39	CP002027.1	CP016816.2
256771	266188	118296	127713	9418	9418	99.99	1078809	543379	0.87	1.73	CP002027.1	CP016816.2
275869	279393	127713	131238	3525	3526	99.94	1078809	543379	0.33	0.65	CP002027.1	CP016816.2
280163	281737	131233	132807	1575	1575	100.00	1078809	543379	0.15	0.29	CP002027.1	CP016816.2
282902	288391	132808	138297	5490	5490	100.00	1078809	543379	0.51	1.01	CP002027.1	CP016816.2
292906	298422	138295	143811	5517	5517	100.00	1078809	543379	0.51	1.02	CP002027.1	CP016816.2
300804	303533	143805	146534	2730	2730	99.96	1078809	543379	0.25	0.50	CP002027.1	CP016816.2
304561	308606	146532	150577	4046	4046	99.98	1078809	543379	0.38	0.74	CP002027.1	CP016816.2
323315	325824	150604	153113	2510	2510	100.00	1078809	543379	0.23	0.46	CP002027.1	CP016816.2
327239	329649	153112	155522	2411	2411	100.00	1078809	543379	0.22	0.44	CP002027.1	CP016816.2
332392	334374	155522	157504	1983	1983	100.00	1078809	543379	0.18	0.36	CP002027.1	CP016816.2
335092	338719	157502	161129	3628	3628	100.00	1078809	543379	0.34	0.67	CP002027.1	CP016816.2
339335	342141	161129	163935	2807	2807	100.00	1078809	543379	0.26	0.52	CP002027.1	CP016816.2
344320	345422	163934	165036	1103	1103	100.00	1078809	543379	0.10	0.20	CP002027.1	CP016816.2
359430	359689	165076	165336	260	261	98.85	1078809	543379	0.02	0.05	CP002027.1	CP016816.2
359976	363144	165335	168503	3169	3169	100.00	1078809	543379	0.29	0.58	CP002027.1	CP016816.2
364031	371713	168502	176184	7683	7683	100.00	1078809	543379	0.71	1.41	CP002027.1	CP016816.2
375755	389505	176185	189935	13751	13751	100.00	1078809	543379	1.27	2.53	CP002027.1	CP016816.2
389780	389979	189936	190135	200	200	100.00	1078809	543379	0.02	0.04	CP002027.1	CP016816.2
390910	392044	190134	191268	1135	1135	100.00	1078809	543379	0.11	0.21	CP002027.1	CP016816.2
399522	402992	191268	194738	3471	3471	100.00	1078809	543379	0.32	0.64	CP002027.1	CP016816.2
412895	419454	194737	201296	6560	6560	100.00	1078809	543379	0.61	1.21	CP002027.1	CP016816.2
420168	421585	201296	202715	1418	1420	99.65	1078809	543379	0.13	0.26	CP002027.1	CP016816.2
426209	427508	202727	204027	1300	1301	99.92	1078809	543379	0.12	0.24	CP002027.1	CP016816.2
435701	440092	204019	208410	4392	4392	100.00	1078809	543379	0.41	0.81	CP002027.1	CP016816.2
441060	441989	208410	209339	930	930	100.00	1078809	543379	0.09	0.17	CP002027.1	CP016816.2
442462	443061	209340	209939	600	600	100.00	1078809	543379	0.06	0.11	CP002027.1	CP016816.2
444477	444649	209939	210111	173	173	100.00	1078809	543379	0.02	0.03	CP002027.1	CP016816.2
445873	446339	210111	210577	467	467	100.00	1078809	543379	0.04	0.09	CP002027.1	CP016816.2
447890	454458	210577	217145	6569	6569	100.00	1078809	543379	0.61	1.21	CP002027.1	CP016816.2
458130	458291	217143	217304	162	162	100.00	1078809	543379	0.02	0.03	CP002027.1	CP016816.2
458591	470395	217299	229102	11805	11804	99.99	1078809	543379	1.09	2.17	CP002027.1	CP016816.2
473495	479540	229094	235139	6046	6046	99.97	1078809	543379	0.56	1.11	CP002027.1	CP016816.2
480826	483409	235138	237721	2584	2584	100.00	1078809	543379	0.24	0.48	CP002027.1	CP016816.2
489239	521837	237719	270317	32599	32599	99.99	1078809	543379	3.02	6.00	CP002027.1	CP016816.2
522283	538698	270317	286732	16416	16416	100.00	1078809	543379	1.52	3.02	CP002027.1	CP016816.2
539342	551789	286730	299177	12448	12448	100.00	1078809	543379	1.15	2.29	CP002027.1	CP016816.2
552253	553594	299176	300517	1342	1342	100.00	1078809	543379	0.12	0.25	CP002027.1	CP016816.2
555080	561556	300518	306994	6477	6477	100.00	1078809	543379	0.60	1.19	CP002027.1	CP016816.2
581944	583080	306995	308131	1137	1137	100.00	1078809	543379	0.11	0.21	CP002027.1	CP016816.2
585100	587539	308130	310569	2440	2440	100.00	1078809	543379	0.23	0.45	CP002027.1	CP016816.2
589540	590637	310569	311664	1098	1096	99.82	1078809	543379	0.10	0.20	CP002027.1	CP016816.2
601786	604988	313263	316465	3203	3203	100.00	1078809	543379	0.30	0.59	CP002027.1	CP016816.2
608020	614765	316464	323209	6746	6746	100.00	1078809	543379	0.63	1.24	CP002027.1	CP016816.2
615841	632731	323208	340098	16891	16891	100.00	1078809	543379	1.57	3.11	CP002027.1	CP016816.2
637181	657178	340099	360097	19998	19999	99.94	1078809	543379	1.85	3.68	CP002027.1	CP016816.2
728757	731219	361217	363679	2463	2463	100.00	1078809	543379	0.23	0.45	CP002027.1	CP016816.2
740662	766800	363679	389817	26139	26139	100.00	1078809	543379	2.42	4.81	CP002027.1	CP016816.2
776198	806355	389816	419973	30158	30158	99.99	1078809	543379	2.80	5.55	CP002027.1	CP016816.2
811865	812216	419967	420318	352	352	98.86	1078809	543379	0.03	0.06	CP002027.1	CP016816.2
813129	813808	420319	420998	680	680	99.71	1078809	543379	0.06	0.13	CP002027.1	CP016816.2
815810	832677	420978	437846	16868	16869	99.99	1078809	543379	1.56	3.10	CP002027.1	CP016816.2
844100	849524	437847	443273	5425	5427	99.96	1078809	543379	0.50	1.00	CP002027.1	CP016816.2
856518	862388	443273	449143	5871	5871	99.98	1078809	543379	0.54	1.08	CP002027.1	CP016816.2
863403	865971	449144	451712	2569	2569	100.00	1078809	543379	0.24	0.47	CP002027.1	CP016816.2
878162	879068	451709	452615	907	907	100.00	1078809	543379	0.08	0.17	CP002027.1	CP016816.2
907484	917652	452615	462783	10169	10169	100.00	1078809	543379	0.94	1.87	CP002027.1	CP016816.2
924894	928330	462780	466216	3437	3437	99.97	1078809	543379	0.32	0.63	CP002027.1	CP016816.2
929518	939085	466216	475783	9568	9568	100.00	1078809	543379	0.89	1.76	CP002027.1	CP016816.2
941582	953141	475783	487342	11560	11560	99.97	1078809	543379	1.07	2.13	CP002027.1	CP016816.2
955927	958918	487343	490334	2992	2992	100.00	1078809	543379	0.28	0.55	CP002027.1	CP016816.2
960049	975827	490335	506113	15779	15779	99.99	1078809	543379	1.46	2.90	CP002027.1	CP016816.2
976617	987121	506104	516608	10505	10505	99.96	1078809	543379	0.97	1.93	CP002027.1	CP016816.2
1003971	1005339	516609	517977	1369	1369	100.00	1078809	543379	0.13	0.25	CP002027.1	CP016816.2
1011821	1014115	517978	520272	2295	2295	100.00	1078809	543379	0.21	0.42	CP002027.1	CP016816.2
1025787	1027733	520273	522219	1947	1947	100.00	1078809	543379	0.18	0.36	CP002027.1	CP016816.2
1028409	1037852	522216	531659	9444	9444	99.99	1078809	543379	0.88	1.74	CP002027.1	CP016816.2
1038823	1040770	531658	533605	1948	1948	100.00	1078809	543379	0.18	0.36	CP002027.1	CP016816.2
1043411	1048869	533602	539060	5459	5459	100.00	1078809	543379	0.51	1.00	CP002027.1	CP016816.2
1074326	1074591	539055	539320	266	266	99.62	1078809	543379	0.02	0.05	CP002027.1	CP016816.2
1074750	1078809	539320	543379	4060	4060	100.00	1078809	543379	0.38	0.75	CP002027.1	CP016816.2
