del_chrom	del_start0	del_end	del_length_bp	gff_chrom	gff_source	gff_feature	gff_start1	gff_end	gff_score	gff_strand	gff_frame	gff_attributes
CP002027.1	80692	85410	4718	CP002027.1	syn1_summary	gene	81979	82818	.	-	.	ID=gene:MMSYN1_0056;Name=mmyC5VM;locus_tag=MMSYN1_0056;gene=mmyC5VM;product=GATC--recognizing Type II restriction modification system (MmyCV) adenine DNA methyltransferase subunit;rna_type=mRNA;gbkey=mRNA
CP002027.1	80692	85410	4718	CP002027.1	syn1_summary	gene	83287	83577	.	+	.	ID=gene:MMSYN1_0057;Name=;locus_tag=MMSYN1_0057;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	80692	85410	4718	CP002027.1	syn1_summary	gene	83596	84177	.	+	.	ID=gene:MMSYN1_0058;Name=;locus_tag=MMSYN1_0058;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	80692	85410	4718	CP002027.1	syn1_summary	gene	84292	85410	.	+	.	ID=gene:MMSYN1_0059;Name=ald;locus_tag=MMSYN1_0059;gene=ald;product=alanine dehydrogenase;rna_type=mRNA;gbkey=mRNA
CP002027.1	80692	85410	4718	CP002027.1	syn1_summary	gene	80688	81977	.	-	.	ID=gene:MMSYN1_0055;Name=mmyCVR;locus_tag=MMSYN1_0055;gene=mmyCVR;product=GATC--recognizing Type II restriction modification system (MmyCV) endonuclease subunit;rna_type=mRNA;gbkey=mRNA
CP002027.1	87981	88277	296	CP002027.1	syn1_summary	gene	87981	88295	.	+	.	ID=gene:MMSYN1_0062;Name=;locus_tag=MMSYN1_0062;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	97604	104574	6970	CP002027.1	syn1_summary	gene	99702	102434	.	-	.	ID=gene:MMSYN1_0073;Name=;locus_tag=MMSYN1_0073;product=phosphonate ABC transporter_ permease protein PhnE_ putative;rna_type=mRNA;gbkey=mRNA
CP002027.1	97604	104574	6970	CP002027.1	syn1_summary	gene	102438	103190	.	-	.	ID=gene:MMSYN1_0074;Name=phnC;locus_tag=MMSYN1_0074;gene=phnC;product=phosphonate ABC transporter_ ATP-binding protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	97604	104574	6970	CP002027.1	syn1_summary	gene	103204	104574	.	-	.	ID=gene:MMSYN1_0075;Name=;locus_tag=MMSYN1_0075;product=phosphonate ABC transporter_ phosphonate-binding protein_ putative;rna_type=mRNA;gbkey=mRNA
CP002027.1	97604	104574	6970	CP002027.1	syn1_summary	gene	97603	99669	.	+	.	ID=gene:MMSYN1_0072;Name=;locus_tag=MMSYN1_0072;product=putative membrane protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	107091	108218	1127	CP002027.1	syn1_summary	gene	107089	108219	.	-	.	ID=gene:MMSYN1_0078;Name=;locus_tag=MMSYN1_0078;product=putative hydrolase from alpha/beta family;rna_type=mRNA;gbkey=mRNA
CP002027.1	111508	126973	15465	CP002027.1	syn1_summary	gene	111503	112138	.	-	.	ID=gene:MMSYN1_0083;Name=;locus_tag=MMSYN1_0083;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	111508	126973	15465	CP002027.1	syn1_summary	gene	112555	113967	.	-	.	ID=gene:MMSYN1_0084;Name=;locus_tag=MMSYN1_0084;product=putative liporotein;rna_type=mRNA;gbkey=mRNA
CP002027.1	111508	126973	15465	CP002027.1	syn1_summary	gene	116412	117539	.	-	.	ID=gene:MMSYN1_0086;Name=;locus_tag=MMSYN1_0086;product=putative liporotein;rna_type=mRNA;gbkey=mRNA
CP002027.1	111508	126973	15465	CP002027.1	syn1_summary	gene	118095	118508	.	-	.	ID=gene:MMSYN1_0087;Name=;locus_tag=MMSYN1_0087;product=cell wall anchoring protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	111508	126973	15465	CP002027.1	syn1_summary	gene	118767	120617	.	-	.	ID=gene:MMSYN1_0088;Name=;locus_tag=MMSYN1_0088;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	111508	126973	15465	CP002027.1	syn1_summary	gene	120876	122567	.	-	.	ID=gene:MMSYN1_0089;Name=;locus_tag=MMSYN1_0089;product=putative liporotein;rna_type=mRNA;gbkey=mRNA
CP002027.1	111508	126973	15465	CP002027.1	syn1_summary	gene	122730	123332	.	-	.	ID=gene:MMSYN1_0923;Name=;locus_tag=MMSYN1_0923;product=lipofamily protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	111508	126973	15465	CP002027.1	syn1_summary	gene	123560	126049	.	-	.	ID=gene:MMSYN1_0092;Name=;locus_tag=MMSYN1_0092;product=putative liporotein;rna_type=mRNA;gbkey=mRNA
CP002027.1	111508	126973	15465	CP002027.1	syn1_summary	gene	126220	126990	.	-	.	ID=gene:MMSYN1_0093;Name=;locus_tag=MMSYN1_0093;product=putative liporotein;rna_type=mRNA;gbkey=mRNA
CP002027.1	111508	126973	15465	CP002027.1	syn1_summary	gene	114118	116367	.	-	.	ID=gene:MMSYN1_0085;Name=;locus_tag=MMSYN1_0085;product=putative liporotein;rna_type=mRNA;gbkey=mRNA
CP002027.1	130729	131305	576	CP002027.1	syn1_summary	gene	130730	131305	.	+	.	ID=gene:MMSYN1_0096;Name=;locus_tag=MMSYN1_0096;product=Xaa-Pro dipeptidase;rna_type=mRNA;gbkey=mRNA
CP002027.1	132496	136059	3563	CP002027.1	syn1_summary	gene	132495	133511	.	+	.	ID=gene:MMSYN1_0098;Name=mmyCVIM1;locus_tag=MMSYN1_0098;gene=mmyCVIM1;product=CCATC--recognizing Type II restriction modification system (MmyCVI) adenine DNA methyltransferase subunit 1;rna_type=mRNA;gbkey=mRNA
CP002027.1	132496	136059	3563	CP002027.1	syn1_summary	gene	133501	134418	.	+	.	ID=gene:MMSYN1_0099;Name=mmyCVIM2;locus_tag=MMSYN1_0099;gene=mmyCVIM2;product=CCATC--recognizing Type II restriction modification system (MmyCVI) adenine DNA methyltransferase subunit 2;rna_type=mRNA;gbkey=mRNA
CP002027.1	132496	136059	3563	CP002027.1	syn1_summary	gene	134396	135979	.	+	.	ID=gene:MMSYN1_0100;Name=mmyCVIR;locus_tag=MMSYN1_0100;gene=mmyCVIR;product=CCATC--recognizing Type II restriction modification system (MmyCVI) endonuclease subunit;rna_type=mRNA;gbkey=mRNA
CP002027.1	136259	140014	3755	CP002027.1	syn1_summary	gene	136419	137714	.	+	.	ID=gene:MMSYN1_0101;Name=;locus_tag=MMSYN1_0101;product=ATPase;rna_type=mRNA;gbkey=mRNA
CP002027.1	136259	140014	3755	CP002027.1	syn1_summary	gene	138374	138649	.	+	.	ID=gene:MMSYN1_0102;Name=;locus_tag=MMSYN1_0102;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	136259	140014	3755	CP002027.1	syn1_summary	gene	138651	139208	.	+	.	ID=gene:MMSYN1_0103;Name=coaE;locus_tag=MMSYN1_0103;gene=coaE;product=dephospho-CoA kinase;rna_type=mRNA;gbkey=mRNA
CP002027.1	136259	140014	3755	CP002027.1	syn1_summary	gene	139210	140016	.	-	.	ID=gene:MMSYN1_0104;Name=rrmJ;locus_tag=MMSYN1_0104;gene=rrmJ;product=ribosomal RNA large subunit methyltransferase J;rna_type=mRNA;gbkey=mRNA
CP002027.1	144073	147287	3214	CP002027.1	syn1_summary	gene	144042	144794	.	-	.	ID=gene:MMSYN1_0110;Name=;locus_tag=MMSYN1_0110;product=riboflavin kinase;rna_type=mRNA;gbkey=mRNA
CP002027.1	144073	147287	3214	CP002027.1	syn1_summary	gene	144869	144944	.	-	.	ID=gene:MMSYN1_0111;Name=;locus_tag=MMSYN1_0111;product=tRNA-Lys;rna_type=tRNA;gbkey=tRNA
CP002027.1	144073	147287	3214	CP002027.1	syn1_summary	gene	145008	147287	.	-	.	ID=gene:MMSYN1_0112;Name=;locus_tag=MMSYN1_0112;product=peptidase_ S41 family;rna_type=mRNA;gbkey=mRNA
CP002027.1	152702	163934	11232	CP002027.1	syn1_summary	gene	152703	154241	.	+	.	ID=gene:MMSYN1_0118;Name=;locus_tag=MMSYN1_0118;product=ABC transporter_ ATP-binding protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	152702	163934	11232	CP002027.1	syn1_summary	gene	154271	155068	.	-	.	ID=gene:MMSYN1_0119;Name=;locus_tag=MMSYN1_0119;product=hydrolase_ TatD family;rna_type=mRNA;gbkey=mRNA
CP002027.1	152702	163934	11232	CP002027.1	syn1_summary	gene	155264	156490	.	+	.	ID=gene:MMSYN1_0120;Name=ilvA;locus_tag=MMSYN1_0120;gene=ilvA;product=threonine ammonia-lyase;rna_type=mRNA;gbkey=mRNA
CP002027.1	152702	163934	11232	CP002027.1	syn1_summary	gene	156705	158285	.	+	.	ID=gene:MMSYN1_0121;Name=;locus_tag=MMSYN1_0121;product=putative membrane protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	152702	163934	11232	CP002027.1	syn1_summary	gene	158297	159157	.	+	.	ID=gene:MMSYN1_0122;Name=;locus_tag=MMSYN1_0122;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	152702	163934	11232	CP002027.1	syn1_summary	gene	159440	160150	.	+	.	ID=gene:MMSYN1_0123;Name=vlcD;locus_tag=MMSYN1_0123;gene=vlcD;product=lipoprotein_ putative (VlcD);rna_type=mRNA;gbkey=mRNA
CP002027.1	152702	163934	11232	CP002027.1	syn1_summary	gene	160552	161883	.	+	.	ID=gene:MMSYN1_0124;Name=;locus_tag=MMSYN1_0124;product=hexosephosphate transport protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	152702	163934	11232	CP002027.1	syn1_summary	gene	162231	163934	.	+	.	ID=gene:MMSYN1_0125;Name=;locus_tag=MMSYN1_0125;product=PTS system_ N-acetylglucosamine-specific iibc component;rna_type=mRNA;gbkey=mRNA
CP002027.1	169009	169984	975	CP002027.1	syn1_summary	gene	169010	169984	.	+	.	ID=gene:MMSYN1_0130;Name=;locus_tag=MMSYN1_0130;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	174618	176104	1486	CP002027.1	syn1_summary	gene	174619	176106	.	-	.	ID=gene:MMSYN1_0134;Name=;locus_tag=MMSYN1_0134;product=putative membrane protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	176703	177405	702	CP002027.1	syn1_summary	gene	176702	177406	.	+	.	ID=gene:MMSYN1_0136;Name=;locus_tag=MMSYN1_0136;product=glycerophosphodiester phosphodiesterase;rna_type=mRNA;gbkey=mRNA
CP002027.1	193470	197590	4120	CP002027.1	syn1_summary	gene	193471	195336	.	+	.	ID=gene:MMSYN1_0152;Name=;locus_tag=MMSYN1_0152;product=PTS system glucose-specific eiic ba component;rna_type=mRNA;gbkey=mRNA
CP002027.1	193470	197590	4120	CP002027.1	syn1_summary	gene	195320	197590	.	+	.	ID=gene:MMSYN1_0153;Name=;locus_tag=MMSYN1_0153;product=glycosyl hydrolase_ family 31;rna_type=mRNA;gbkey=mRNA
CP002027.1	199189	203734	4545	CP002027.1	syn1_summary	gene	200904	201506	.	+	.	ID=gene:MMSYN1_0155;Name=;locus_tag=MMSYN1_0155;product=PSEUDOGENE - conserved hypothetical protein;rna_type=pseudo;gbkey=pseudo
CP002027.1	199189	203734	4545	CP002027.1	syn1_summary	gene	201664	202329	.	-	.	ID=gene:MMSYN1_0156;Name=trmB;locus_tag=MMSYN1_0156;gene=trmB;product=tRNA (guanine-N(7)-)-methyltransferase;rna_type=mRNA;gbkey=mRNA
CP002027.1	199189	203734	4545	CP002027.1	syn1_summary	gene	202331	203734	.	-	.	ID=gene:MMSYN1_0157;Name=mgtE;locus_tag=MMSYN1_0157;gene=mgtE;product=magnesium transporter;rna_type=mRNA;gbkey=mRNA
CP002027.1	204413	209414	5001	CP002027.1	syn1_summary	gene	204414	206543	.	+	.	ID=gene:MMSYN1_0159;Name=;locus_tag=MMSYN1_0159;product=putative liporotein;rna_type=mRNA;gbkey=mRNA
CP002027.1	204413	209414	5001	CP002027.1	syn1_summary	gene	206563	207315	.	-	.	ID=gene:MMSYN1_0160;Name=abiGIA;locus_tag=MMSYN1_0160;gene=abiGIA;product=abortive infection protein AbiGII;rna_type=mRNA;gbkey=mRNA
CP002027.1	204413	209414	5001	CP002027.1	syn1_summary	gene	207402	207998	.	-	.	ID=gene:MMSYN1_0161;Name=abiGIB;locus_tag=MMSYN1_0161;gene=abiGIB;product=abortive infection protein AbiGI;rna_type=mRNA;gbkey=mRNA
CP002027.1	204413	209414	5001	CP002027.1	syn1_summary	gene	208209	209415	.	-	.	ID=gene:MMSYN1_0162;Name=;locus_tag=MMSYN1_0162;product=PSEUDOGENE - putative lipoprotein_ authentic frameshift;rna_type=pseudo;gbkey=pseudo
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	222395	223690	.	-	.	ID=gene:MMSYN1_0170;Name=;locus_tag=MMSYN1_0170;product=ATPase;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	223785	225089	.	-	.	ID=gene:MMSYN1_0171;Name=;locus_tag=MMSYN1_0171;product=ATPase;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	225321	226202	.	+	.	ID=gene:MMSYN1_0172;Name=;locus_tag=MMSYN1_0172;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	226236	227933	.	-	.	ID=gene:MMSYN1_0173;Name=;locus_tag=MMSYN1_0173;product=mycoides cluster lipoprotein_ LppA/P72 family;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	228150	228296	.	+	.	ID=gene:MMSYN1_0174;Name=;locus_tag=MMSYN1_0174;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	230125	230754	.	-	.	ID=gene:MMSYN1_0176;Name=pgmB;locus_tag=MMSYN1_0176;gene=pgmB;product=beta-phosphoglucomutase;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	230754	232553	.	-	.	ID=gene:MMSYN1_0177;Name=;locus_tag=MMSYN1_0177;product=neopullulanase;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	232672	234468	.	-	.	ID=gene:MMSYN1_0178;Name=;locus_tag=MMSYN1_0178;product=neopullulanase;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	234726	236525	.	+	.	ID=gene:MMSYN1_0179;Name=;locus_tag=MMSYN1_0179;product=putative liporotein;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	236820	238610	.	+	.	ID=gene:MMSYN1_0180;Name=;locus_tag=MMSYN1_0180;product=putative liporotein;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	238692	239183	.	+	.	ID=gene:MMSYN1_0181;Name=;locus_tag=MMSYN1_0181;product=hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	239198	241615	.	+	.	ID=gene:MMSYN1_0182;Name=;locus_tag=MMSYN1_0182;product=PSEUDOGENE - maltosaccharide ABC transporter_ permease;rna_type=pseudo;gbkey=pseudo
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	241630	244170	.	+	.	ID=gene:MMSYN1_0183;Name=;locus_tag=MMSYN1_0183;product=maltose ABC transporter permease protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	244172	245257	.	+	.	ID=gene:MMSYN1_0184;Name=;locus_tag=MMSYN1_0184;product=multiple sugar-binding transport ATP-binding protein MsmK;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	247664	249268	.	+	.	ID=gene:MMSYN1_0186;Name=;locus_tag=MMSYN1_0186;product=trehalose-6-phosphate hydrolase (Alpha_alpha-phosphotrehalase);rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	249291	250010	.	+	.	ID=gene:MMSYN1_0187;Name=;locus_tag=MMSYN1_0187;product=transcriptional regulator_ GntR family;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	250039	251832	.	-	.	ID=gene:MMSYN1_0188;Name=pepF;locus_tag=MMSYN1_0188;gene=pepF;product=oligoendopeptidase F;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	251832	252515	.	-	.	ID=gene:MMSYN1_0189;Name=;locus_tag=MMSYN1_0189;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	252531	253886	.	-	.	ID=gene:MMSYN1_0190;Name=;locus_tag=MMSYN1_0190;product=leucyl aminopeptidase;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	253998	254180	.	-	.	ID=gene:MMSYN1_0191;Name=;locus_tag=MMSYN1_0191;product=ATPase;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	254459	255079	.	+	.	ID=gene:MMSYN1_0192;Name=;locus_tag=MMSYN1_0192;product=chromate ion transporter;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	255079	255756	.	+	.	ID=gene:MMSYN1_0193;Name=;locus_tag=MMSYN1_0193;product=chromate ion transporter;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	255890	256849	.	+	.	ID=gene:MMSYN1_0194;Name=;locus_tag=MMSYN1_0194;product=PSEUDOGENE - conserved hypothetical protein;rna_type=pseudo;gbkey=pseudo
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	228333	230015	.	-	.	ID=gene:MMSYN1_0175;Name=;locus_tag=MMSYN1_0175;product=mycoides cluster lipoprotein_ LppA/P72 family;rna_type=mRNA;gbkey=mRNA
CP002027.1	222394	256770	34376	CP002027.1	syn1_summary	gene	245365	247662	.	+	.	ID=gene:MMSYN1_0185;Name=;locus_tag=MMSYN1_0185;product=glycosyl hydrolase_ family 65;rna_type=mRNA;gbkey=mRNA
CP002027.1	266188	275868	9680	CP002027.1	syn1_summary	gene	266177	267436	.	+	.	ID=gene:MMSYN1_0204;Name=sun;locus_tag=MMSYN1_0204;gene=sun;product=ribosomal RNA small subunit methyltransferase B;rna_type=mRNA;gbkey=mRNA
CP002027.1	266188	275868	9680	CP002027.1	syn1_summary	gene	267440	269269	.	-	.	ID=gene:MMSYN1_0205;Name=typA;locus_tag=MMSYN1_0205;gene=typA;product=GTP-binding protein TypA/BipA;rna_type=mRNA;gbkey=mRNA
CP002027.1	266188	275868	9680	CP002027.1	syn1_summary	gene	269514	270271	.	+	.	ID=gene:MMSYN1_0206;Name=;locus_tag=MMSYN1_0206;product=PSEUDOGENE - putative lipoprotein_ authentic frameshift;rna_type=pseudo;gbkey=pseudo
CP002027.1	266188	275868	9680	CP002027.1	syn1_summary	gene	270334	271125	.	+	.	ID=gene:MMSYN1_0207;Name=;locus_tag=MMSYN1_0207;product=putative liporotein;rna_type=mRNA;gbkey=mRNA
CP002027.1	266188	275868	9680	CP002027.1	syn1_summary	gene	271254	272045	.	+	.	ID=gene:MMSYN1_0208;Name=;locus_tag=MMSYN1_0208;product=putative liporotein;rna_type=mRNA;gbkey=mRNA
CP002027.1	266188	275868	9680	CP002027.1	syn1_summary	gene	272099	273016	.	-	.	ID=gene:MMSYN1_0209;Name=murQ;locus_tag=MMSYN1_0209;gene=murQ;product=N-acetylmuramic acid 6-phosphate etherase;rna_type=mRNA;gbkey=mRNA
CP002027.1	266188	275868	9680	CP002027.1	syn1_summary	gene	273009	274706	.	-	.	ID=gene:MMSYN1_0210;Name=;locus_tag=MMSYN1_0210;product=PTS system N-acetylmuramic acid-specific eiibc component (eiibc-murnac);rna_type=mRNA;gbkey=mRNA
CP002027.1	266188	275868	9680	CP002027.1	syn1_summary	gene	274828	275661	.	-	.	ID=gene:MMSYN1_0211;Name=;locus_tag=MMSYN1_0211;product=transcription regulator GntR;rna_type=mRNA;gbkey=mRNA
CP002027.1	266188	275868	9680	CP002027.1	syn1_summary	gene	275665	275868	.	-	.	ID=gene:MMSYN1_0212;Name=;locus_tag=MMSYN1_0212;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
