operon_id	chrom	strand	start0	end0	length	sense_gene_names	deletion_class	n_overlapping_deletions	per_hit_classes	overlapping_deletions
OP_00059	CP002027.1	-	139293	141017	1724	rrmJ,,xseA	3'_truncation_UTR	1	3'_truncation_UTR	CP002027.1:136259-140014
OP_00060	CP002027.1	-	141631	142030	399	nusB	intact	0		
OP_00061	CP002027.1	-	142149	144944	2795	,,,	5'_truncation_gene	1	5'_truncation_gene	CP002027.1:144073-147287
OP_00062	CP002027.1	-	145037	147342	2305		3'_truncation_UTR	1	3'_truncation_UTR	CP002027.1:144073-147287
OP_00063	CP002027.1	+	147450	148903	1453		intact	0		
OP_00064	CP002027.1	-	148930	150141	1211		intact	0		
OP_00065	CP002027.1	-	150228	151277	1049		intact	0		
OP_00066	CP002027.1	+	151079	154274	3195	plsY,	3'_truncation_gene	1	3'_truncation_gene	CP002027.1:152702-163934
OP_00067	CP002027.1	-	154238	155086	848		fully_deleted	1	fully_deleted	CP002027.1:152702-163934
OP_00068	CP002027.1	+	155218	156712	1494	ilvA,	fully_deleted	1	fully_deleted	CP002027.1:152702-163934
OP_00069	CP002027.1	+	158296	159157	861		fully_deleted	1	fully_deleted	CP002027.1:152702-163934
OP_00070	CP002027.1	+	159370	161939	2569	vlcD,	fully_deleted	1	fully_deleted	CP002027.1:152702-163934
OP_00071	CP002027.1	-	159935	160903	968		fully_deleted	1	fully_deleted	CP002027.1:152702-163934
OP_00072	CP002027.1	+	162011	164499	2488	,gltX	5'_truncation_gene	1	5'_truncation_gene	CP002027.1:152702-163934
OP_00073	CP002027.1	+	164031	170016	5985	gltX,,,pyrG,	intra_truncated	1	intra_truncated	CP002027.1:169009-169984
OP_00074	CP002027.1	+	170115	174549	4434	fba,,	intact	0		
OP_00075	CP002027.1	-	174559	176145	1586		intra_truncated	1	intra_truncated	CP002027.1:174618-176104
OP_00076	CP002027.1	+	176258	177124	866		3'_truncation_UTR	1	3'_truncation_UTR	CP002027.1:176703-177405
OP_00077	CP002027.1	+	177522	179714	2192	rpmE,	intact	0		
OP_00078	CP002027.1	+	180145	182572	2427	,tdk,prfA,prmC	intact	0		
OP_00079	CP002027.1	+	184648	186588	1940	,,	intact	0		
OP_00080	CP002027.1	+	186591	187299	708		intact	0		
OP_00081	CP002027.1	+	187298	188828	1530		intact	0		
OP_00082	CP002027.1	+	188908	193382	4474	rpsL,rpsG,fusA,tuf	intact	0		
OP_00083	CP002027.1	+	193450	197629	4179	,	intra_truncated	1	intra_truncated	CP002027.1:193470-197590
OP_00084	CP002027.1	+	197657	199153	1496	lap	intact	0		
OP_00085	CP002027.1	+	199379	200123	744		fully_deleted	1	fully_deleted	CP002027.1:199189-203734
OP_00086	CP002027.1	+	200903	201506	603		fully_deleted	1	fully_deleted	CP002027.1:199189-203734
OP_00087	CP002027.1	-	201663	203734	2071		fully_deleted	1	fully_deleted	CP002027.1:199189-203734
OP_00088	CP002027.1	+	203878	204289	411	ssrA	intact	0		
OP_00089	CP002027.1	+	204413	206543	2130		fully_deleted	1	fully_deleted	CP002027.1:204413-209414
OP_00090	CP002027.1	-	206562	207315	753	abiGIA	fully_deleted	1	fully_deleted	CP002027.1:204413-209414
OP_00091	CP002027.1	-	207401	207998	597	abiGIB	fully_deleted	1	fully_deleted	CP002027.1:204413-209414
OP_00092	CP002027.1	-	208208	209415	1207		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:204413-209414
OP_00093	CP002027.1	-	210337	212239	1902	alaS	intact	0		
OP_00094	CP002027.1	-	212292	212787	495		intact	0		
OP_00095	CP002027.1	+	213004	215275	2271		intact	0		
OP_00096	CP002027.1	+	216012	218043	2031	,	intact	0		
OP_00097	CP002027.1	+	218355	222012	3657	,	intact	0		
OP_00098	CP002027.1	-	222555	223705	1150		fully_deleted	1	fully_deleted	CP002027.1:222394-256770
OP_00099	CP002027.1	-	223757	225140	1383		fully_deleted	1	fully_deleted	CP002027.1:222394-256770
OP_00100	CP002027.1	+	225291	226235	944		fully_deleted	1	fully_deleted	CP002027.1:222394-256770
OP_00101	CP002027.1	-	226199	227956	1757		fully_deleted	1	fully_deleted	CP002027.1:222394-256770
OP_00102	CP002027.1	-	228293	230038	1745		fully_deleted	1	fully_deleted	CP002027.1:222394-256770
OP_00103	CP002027.1	-	230077	232574	2497	pgmB,	fully_deleted	1	fully_deleted	CP002027.1:222394-256770
OP_00104	CP002027.1	-	232650	234512	1862		fully_deleted	1	fully_deleted	CP002027.1:222394-256770
OP_00105	CP002027.1	+	234647	236585	1938		fully_deleted	1	fully_deleted	CP002027.1:222394-256770
OP_00106	CP002027.1	+	236741	244480	7739	,,,,,	fully_deleted	1	fully_deleted	CP002027.1:222394-256770
OP_00107	CP002027.1	+	245364	247662	2298		fully_deleted	1	fully_deleted	CP002027.1:222394-256770
OP_00108	CP002027.1	+	248213	250039	1826	,	fully_deleted	1	fully_deleted	CP002027.1:222394-256770
OP_00109	CP002027.1	-	250007	254213	4206	pepF,,,	fully_deleted	1	fully_deleted	CP002027.1:222394-256770
OP_00110	CP002027.1	+	254433	255818	1385	,	fully_deleted	1	fully_deleted	CP002027.1:222394-256770
OP_00111	CP002027.1	+	255889	256849	960		5'_truncation_gene	1	5'_truncation_gene	CP002027.1:222394-256770
OP_00112	CP002027.1	-	257599	261590	3991	,,	intact	0		
OP_00113	CP002027.1	-	262699	264676	1977	rplT,rpmI,infC,def	intact	0		
OP_00114	CP002027.1	+	264714	265971	1257	,gmk	intact	0		
OP_00115	CP002027.1	-	267420	269294	1874	typA	fully_deleted	1	fully_deleted	CP002027.1:266188-275868
OP_00116	CP002027.1	+	269436	272099	2663	,,	fully_deleted	1	fully_deleted	CP002027.1:266188-275868
OP_00117	CP002027.1	+	272198	273668	1470		fully_deleted	1	fully_deleted	CP002027.1:266188-275868
OP_00118	CP002027.1	-	274827	275868	1041		fully_deleted	1	fully_deleted	CP002027.1:266188-275868
OP_00119	CP002027.1	+	276042	277481	1439	eno	intact	0		
OP_00120	CP002027.1	+	278273	279363	1090	,,hpt_1	intact	0		
OP_00121	CP002027.1	-	279329	283175	3846	,glpK,glpO	multi:intra_truncated	2	intra_truncated;intra_truncated	CP002027.1:279393-280162;CP002027.1:281737-282901
OP_00122	CP002027.1	+	282977	284150	1173	pfkA	intact	0		
OP_00123	CP002027.1	+	284264	285975	1711	pyk	intact	0		
OP_00124	CP002027.1	+	285753	287951	2198	thrS	intact	0		
OP_00125	CP002027.1	+	288163	291059	2896	,,pdhA	3'_truncation_gene	1	3'_truncation_gene	CP002027.1:288391-292905
OP_00126	CP002027.1	+	291894	298399	6505	pdhA,pdhB,pdhC,lpdA,pta,ackA	5'_truncation_gene	1	5'_truncation_gene	CP002027.1:288391-292905
OP_00127	CP002027.1	+	300106	303472	3366	,coaD,ptsP,,	5'_truncation_gene	1	5'_truncation_gene	CP002027.1:298422-300803
OP_00128	CP002027.1	+	303492	304592	1100	dhaL,	intra_truncated	1	intra_truncated	CP002027.1:303533-304560
OP_00129	CP002027.1	-	304559	305385	826	rpsD	3'_truncation_UTR	1	3'_truncation_UTR	CP002027.1:303533-304560
OP_00130	CP002027.1	+	305470	307204	1734		intact	0		
OP_00131	CP002027.1	+	307282	308470	1188	thiI	intact	0		
OP_00132	CP002027.1	+	308577	311372	2795	ctpA	3'_truncation_gene	1	3'_truncation_gene	CP002027.1:308606-323314
OP_00133	CP002027.1	+	311450	313136	1686		fully_deleted	1	fully_deleted	CP002027.1:308606-323314
OP_00134	CP002027.1	+	313146	315438	2292		fully_deleted	1	fully_deleted	CP002027.1:308606-323314
OP_00135	CP002027.1	+	315500	317768	2268		fully_deleted	1	fully_deleted	CP002027.1:308606-323314
OP_00136	CP002027.1	+	317964	320427	2463		fully_deleted	1	fully_deleted	CP002027.1:308606-323314
OP_00137	CP002027.1	-	320395	323364	2969	,ysxC	3'_truncation_gene	1	3'_truncation_gene	CP002027.1:308606-323314
OP_00138	CP002027.1	-	323908	324469	561		intact	0		
OP_00139	CP002027.1	-	324470	325049	579		intact	0		
OP_00140	CP002027.1	-	325051	325741	690		intact	0		
OP_00141	CP002027.1	-	326199	327773	1574	,	3'_truncation_gene	1	3'_truncation_gene	CP002027.1:325824-327238
OP_00142	CP002027.1	-	328344	330715	2371	uvrC,	5'_truncation_gene	1	5'_truncation_gene	CP002027.1:329649-332391
OP_00143	CP002027.1	-	330701	332416	1715	,	3'_truncation_gene	1	3'_truncation_gene	CP002027.1:329649-332391
OP_00144	CP002027.1	-	332556	334304	1748		intact	0		
OP_00145	CP002027.1	-	334374	335903	1529		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:334374-335091
OP_00146	CP002027.1	-	335985	341017	5032	valS,thiN,rpe,rsgA,	intra_truncated	1	intra_truncated	CP002027.1:338719-339334
OP_00147	CP002027.1	-	341266	342894	1628	,	5'_truncation_gene	1	5'_truncation_gene	CP002027.1:342141-344319
OP_00148	CP002027.1	-	342911	344321	1410		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:342141-344319
OP_00149	CP002027.1	+	344440	345422	982		intact	0		
OP_00150	CP002027.1	-	345457	350779	5322		fully_deleted	1	fully_deleted	CP002027.1:345422-359429
OP_00151	CP002027.1	+	350991	354132	3141		fully_deleted	1	fully_deleted	CP002027.1:345422-359429
OP_00152	CP002027.1	+	354146	354761	615		fully_deleted	1	fully_deleted	CP002027.1:345422-359429
OP_00153	CP002027.1	+	354900	355422	522		fully_deleted	1	fully_deleted	CP002027.1:345422-359429
OP_00154	CP002027.1	+	355681	356302	621		fully_deleted	1	fully_deleted	CP002027.1:345422-359429
OP_00155	CP002027.1	-	356973	359449	2476		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:345422-359429
OP_00156	CP002027.1	+	359687	359975	288		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:359689-359975
OP_00157	CP002027.1	+	360207	362513	2306	,,proS	intact	0		
OP_00158	CP002027.1	+	362525	363143	618	rnhA	intact	0		
OP_00159	CP002027.1	+	363946	365769	1823	,lepA	5'_truncation_UTR	1	5'_truncation_UTR	CP002027.1:363144-364030
OP_00160	CP002027.1	-	366670	369706	3036	aspS,hisS	intact	0		
OP_00161	CP002027.1	+	369851	371723	1872	rbfA,truB,	3'_truncation_UTR	1	3'_truncation_UTR	CP002027.1:371713-375754
OP_00162	CP002027.1	-	371740	374305	2565	,	fully_deleted	1	fully_deleted	CP002027.1:371713-375754
OP_00163	CP002027.1	+	372078	373636	1558		fully_deleted	1	fully_deleted	CP002027.1:371713-375754
OP_00164	CP002027.1	+	375240	376407	1167	rpsO,	5'_truncation_UTR	1	5'_truncation_UTR	CP002027.1:371713-375754
OP_00165	CP002027.1	+	376463	377108	645		intact	0		
OP_00166	CP002027.1	-	377523	383512	5989	infB,,,nusA,,,polC	intact	0		
OP_00167	CP002027.1	-	387048	388077	1029	cdsA	intact	0		
OP_00168	CP002027.1	-	388236	390364	2128	,	multi:5'_truncation_gene+intra_truncated	2	intra_truncated;5'_truncation_gene	CP002027.1:389505-389779;CP002027.1:389979-390909
OP_00169	CP002027.1	+	389566	391154	1588	,trpS	multi:5'_truncation_UTR+intra_truncated	2	5'_truncation_UTR;intra_truncated	CP002027.1:389505-389779;CP002027.1:389979-390909
OP_00170	CP002027.1	-	392009	392911	902		5'_truncation_gene	1	5'_truncation_gene	CP002027.1:392044-399521
OP_00171	CP002027.1	+	393023	393824	801		fully_deleted	1	fully_deleted	CP002027.1:392044-399521
OP_00172	CP002027.1	-	393878	394955	1077		fully_deleted	1	fully_deleted	CP002027.1:392044-399521
OP_00173	CP002027.1	+	395691	397862	2171		fully_deleted	1	fully_deleted	CP002027.1:392044-399521
OP_00174	CP002027.1	+	398247	399522	1275	trmFO2	5'_truncation_gene	1	5'_truncation_gene	CP002027.1:392044-399521
OP_00175	CP002027.1	+	399592	402975	3383	,,tkt,	intact	0		
OP_00176	CP002027.1	+	402992	404537	1545		fully_deleted	1	fully_deleted	CP002027.1:402992-412894
OP_00177	CP002027.1	+	404562	405390	828		fully_deleted	1	fully_deleted	CP002027.1:402992-412894
OP_00178	CP002027.1	+	405730	408372	2642	,	fully_deleted	1	fully_deleted	CP002027.1:402992-412894
OP_00179	CP002027.1	+	408423	410708	2285	,	fully_deleted	1	fully_deleted	CP002027.1:402992-412894
OP_00180	CP002027.1	-	410709	412203	1494		fully_deleted	1	fully_deleted	CP002027.1:402992-412894
OP_00181	CP002027.1	-	412371	412896	525		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:402992-412894
OP_00182	CP002027.1	+	414260	415751	1491		intact	0		
OP_00183	CP002027.1	+	416446	420054	3608	,scpA,scpB,,,	3'_truncation_UTR	1	3'_truncation_UTR	CP002027.1:419454-420167
OP_00184	CP002027.1	+	420266	421094	828		intact	0		
OP_00185	CP002027.1	+	421585	422005	420	vlcA	fully_deleted	1	fully_deleted	CP002027.1:421585-426208
OP_00186	CP002027.1	+	422444	422924	480	vlcB	fully_deleted	1	fully_deleted	CP002027.1:421585-426208
OP_00187	CP002027.1	+	423314	423773	459	vlcC	fully_deleted	1	fully_deleted	CP002027.1:421585-426208
OP_00188	CP002027.1	+	423912	427133	3221	,,	5'_truncation_gene	1	5'_truncation_gene	CP002027.1:421585-426208
OP_00189	CP002027.1	+	427500	429321	1821		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:427508-435700
OP_00190	CP002027.1	+	429336	431127	1791		fully_deleted	1	fully_deleted	CP002027.1:427508-435700
OP_00191	CP002027.1	+	431155	432556	1401		fully_deleted	1	fully_deleted	CP002027.1:427508-435700
OP_00192	CP002027.1	+	432894	435687	2793	,	fully_deleted	1	fully_deleted	CP002027.1:427508-435700
OP_00193	CP002027.1	-	435701	436343	642	ppa	intact	0		
OP_00194	CP002027.1	+	436435	437999	1564	,	intact	0		
OP_00195	CP002027.1	+	437395	440082	2687	,cmk,engA	intact	0		
OP_00196	CP002027.1	+	441031	442934	1903	gpsA,hup,,	multi:5'_truncation_UTR+intra_truncated	2	5'_truncation_UTR;intra_truncated	CP002027.1:440092-441059;CP002027.1:441989-442461
OP_00197	CP002027.1	+	442994	444839	1845	,	multi:3'_truncation_UTR+intra_truncated	2	intra_truncated;3'_truncation_UTR	CP002027.1:443061-444476;CP002027.1:444649-445872
OP_00198	CP002027.1	-	443438	444523	1085		3'_truncation_UTR	1	3'_truncation_UTR	CP002027.1:443061-444476
OP_00199	CP002027.1	+	445953	451377	5424	rnpB,,recA,,ffh,	intra_truncated	1	intra_truncated	CP002027.1:446339-447889
OP_00200	CP002027.1	+	451462	453830	2368	rpsP,rimM,trmD,rplS,ylqF	intact	0		
OP_00201	CP002027.1	+	453480	455097	1617	ylqF,rnhB	3'_truncation_gene	1	3'_truncation_gene	CP002027.1:454458-458129
OP_00202	CP002027.1	-	456892	458131	1239		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:454458-458129
OP_00203	CP002027.1	+	458291	458597	306		5'_truncation_gene	1	5'_truncation_gene	CP002027.1:458291-458590
OP_00204	CP002027.1	+	458791	461465	2674	,	intact	0		
OP_00205	CP002027.1	+	462589	464197	1608		intact	0		
OP_00206	CP002027.1	+	464252	464329	77		intact	0		
OP_00207	CP002027.1	+	464382	465123	741		intact	0		
OP_00208	CP002027.1	+	465124	465439	315		intact	0		
OP_00209	CP002027.1	+	465545	467709	2164	cgtA,nadE,	intact	0		
OP_00210	CP002027.1	+	467862	468960	1098		intact	0		
OP_00211	CP002027.1	+	469352	470330	978	mtnN,	intact	0		
OP_00212	CP002027.1	+	470393	471113	720		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:470395-473494
OP_00213	CP002027.1	+	471189	471927	738		fully_deleted	1	fully_deleted	CP002027.1:470395-473494
OP_00214	CP002027.1	+	471936	472617	681		fully_deleted	1	fully_deleted	CP002027.1:470395-473494
OP_00215	CP002027.1	+	472655	473501	846		5'_truncation_gene	1	5'_truncation_gene	CP002027.1:470395-473494
OP_00216	CP002027.1	+	473583	475427	1844	trmU,	intact	0		
OP_00217	CP002027.1	+	475475	477620	2145		intact	0		
OP_00218	CP002027.1	+	477609	478563	954	fmt	intact	0		
OP_00219	CP002027.1	+	478611	480875	2264	efp,,tig	intra_truncated	1	intra_truncated	CP002027.1:479540-480825
OP_00220	CP002027.1	+	480926	483352	2426	lon	intact	0		
OP_00221	CP002027.1	+	483397	484677	1280	rarA	3'_truncation_gene	1	3'_truncation_gene	CP002027.1:483409-489238
OP_00222	CP002027.1	-	485378	488115	2737	,	fully_deleted	1	fully_deleted	CP002027.1:483409-489238
OP_00223	CP002027.1	-	489878	491772	1894		intact	0		
OP_00224	CP002027.1	+	491860	493707	1847		intact	0		
OP_00225	CP002027.1	+	494804	498118	3314	,,,	intact	0		
OP_00226	CP002027.1	+	499623	502257	2634	,,era,recO,glyS	intact	0		
OP_00227	CP002027.1	+	501830	506830	5000	glyS,dnaG,rpoD,	intact	0		
OP_00228	CP002027.1	+	507284	508061	777		intact	0		
OP_00229	CP002027.1	+	508069	509431	1362		intact	0		
OP_00230	CP002027.1	+	509456	515832	6376	,,apt	intact	0		
OP_00231	CP002027.1	+	515853	518156	2303		intact	0		
OP_00232	CP002027.1	-	518125	521155	3030	smc	intact	0		
OP_00233	CP002027.1	-	521434	522282	848		5'_truncation_gene	1	5'_truncation_gene	CP002027.1:521837-522282
OP_00234	CP002027.1	-	522390	526140	3750	rnc,plsX,,	intact	0		
OP_00235	CP002027.1	+	526287	526485	198	rpmB	intact	0		
OP_00236	CP002027.1	+	526548	526633	85		intact	0		
OP_00237	CP002027.1	+	526715	527159	444		intact	0		
OP_00238	CP002027.1	+	527167	530471	3304	,	intact	0		
OP_00239	CP002027.1	+	530887	534563	3676	pstB,phoU,,,	intact	0		
OP_00240	CP002027.1	+	534408	536550	2142	metK,,trmFO	intact	0		
OP_00241	CP002027.1	+	537768	539344	1576		intra_truncated	1	intra_truncated	CP002027.1:538698-539341
OP_00242	CP002027.1	+	539392	540419	1027		intact	0		
OP_00243	CP002027.1	-	540386	545985	5599	,,	intact	0		
OP_00244	CP002027.1	+	546123	547362	1239		intact	0		
OP_00245	CP002027.1	+	547364	547802	438		intact	0		
OP_00246	CP002027.1	+	547794	548358	564	mthfs	intact	0		
OP_00247	CP002027.1	+	548378	550274	1896		intact	0		
OP_00248	CP002027.1	+	550479	553645	3166	pgi,,,,tnpA_2	multi:3'_truncation_UTR+intra_truncated	2	intra_truncated;3'_truncation_UTR	CP002027.1:551789-552252;CP002027.1:553594-555079
OP_00249	CP002027.1	+	554324	555056	732	tnpB_2	fully_deleted	1	fully_deleted	CP002027.1:553594-555079
OP_00250	CP002027.1	+	555199	556678	1479		intact	0		
OP_00251	CP002027.1	+	558654	561366	2712	parE,parC	intact	0		
OP_00252	CP002027.1	+	561556	563740	2184		fully_deleted	1	fully_deleted	CP002027.1:561556-581943
OP_00253	CP002027.1	-	563745	565420	1675		fully_deleted	1	fully_deleted	CP002027.1:561556-581943
OP_00254	CP002027.1	+	565788	566184	396		fully_deleted	1	fully_deleted	CP002027.1:561556-581943
OP_00255	CP002027.1	+	567210	569982	2772		fully_deleted	1	fully_deleted	CP002027.1:561556-581943
OP_00256	CP002027.1	-	570053	570785	732	tnpB_3	fully_deleted	1	fully_deleted	CP002027.1:561556-581943
OP_00257	CP002027.1	-	571464	574972	3508	tnpA_3,,,,	fully_deleted	1	fully_deleted	CP002027.1:561556-581943
OP_00258	CP002027.1	+	575090	577552	2462	,,	fully_deleted	1	fully_deleted	CP002027.1:561556-581943
OP_00259	CP002027.1	+	578872	581990	3118	,,	5'_truncation_gene	1	5'_truncation_gene	CP002027.1:561556-581943
OP_00260	CP002027.1	-	581277	584249	2972	ldh,nagA	multi:3'_truncation_UTR+5'_truncation_gene	2	3'_truncation_UTR;5'_truncation_gene	CP002027.1:561556-581943;CP002027.1:583080-585099
OP_00261	CP002027.1	+	584327	585155	828		5'_truncation_gene	1	5'_truncation_gene	CP002027.1:583080-585099
OP_00262	CP002027.1	-	585771	587437	1666		intact	0		
OP_00263	CP002027.1	+	587510	589586	2076		intra_truncated	1	intra_truncated	CP002027.1:587539-589539
OP_00264	CP002027.1	-	589610	590048	438	vlcE	intact	0		
OP_00265	CP002027.1	+	590363	590528	165	rpsU	intact	0		
OP_00266	CP002027.1	+	590636	591197	561	ruvA	3'_truncation_gene	1	3'_truncation_gene	CP002027.1:590637-601785
OP_00267	CP002027.1	+	591213	592137	924	ruvB	fully_deleted	1	fully_deleted	CP002027.1:590637-601785
OP_00268	CP002027.1	+	592214	593573	1359		fully_deleted	1	fully_deleted	CP002027.1:590637-601785
OP_00269	CP002027.1	-	593588	594398	810		fully_deleted	1	fully_deleted	CP002027.1:590637-601785
OP_00270	CP002027.1	+	595246	596562	1316	,yqeH	fully_deleted	1	fully_deleted	CP002027.1:590637-601785
OP_00271	CP002027.1	+	597881	600620	2739		fully_deleted	1	fully_deleted	CP002027.1:590637-601785
OP_00272	CP002027.1	-	600629	603220	2591	udk,,	3'_truncation_gene	1	3'_truncation_gene	CP002027.1:590637-601785
OP_00273	CP002027.1	-	603362	604043	681		intact	0		
OP_00274	CP002027.1	-	604069	608090	4021	,,,nanA	intra_truncated	1	intra_truncated	CP002027.1:604988-608019
OP_00275	CP002027.1	-	608154	610788	2634	rpmA,,rplU,,	intact	0		
OP_00276	CP002027.1	+	610899	612021	1122		intact	0		
OP_00277	CP002027.1	-	612044	613272	1228	,,,,,	intact	0		
OP_00278	CP002027.1	-	613367	614340	973	plsC	intact	0		
OP_00279	CP002027.1	-	614413	614746	333	acpS	intact	0		
